k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,4155326884,0,10505055450,1.0,0.2834,0.4417
2,0.007874,4155326884,0,10505055450,1.0,0.2834,0.4417
3,0.011811,4155326884,0,10505055450,1.0,0.2834,0.4417
4,0.015748,4155326884,0,10505055450,1.0,0.2834,0.4417
5,0.019685,4155326884,0,10505055450,1.0,0.2834,0.4417
6,0.023622,4155326884,0,10505055450,1.0,0.2834,0.4417
7,0.027559,4155326884,0,10505055450,1.0,0.2834,0.4417
8,0.031496,4155326884,0,10505055450,1.0,0.2834,0.4417
9,0.035433,4155326884,0,10505055450,1.0,0.2834,0.4417
10,0.03937,4155326884,0,10505055450,1.0,0.2834,0.4417
11,0.043307,4155326884,0,10505055450,1.0,0.2834,0.4417
12,0.047244,4155326884,0,10505055450,1.0,0.2834,0.4417
13,0.051181,4155326884,0,10505055450,1.0,0.2834,0.4417
14,0.055118,4155326884,0,10505055450,1.0,0.2834,0.4417
15,0.059055,4155326884,0,10505055450,1.0,0.2834,0.4417
16,0.062992,4155326884,0,10505055450,1.0,0.2834,0.4417
17,0.066929,4155326884,0,10505055450,1.0,0.2834,0.4417
18,0.070866,4155326884,0,10505055450,1.0,0.2834,0.4417
19,0.074803,4155326884,0,10505055450,1.0,0.2834,0.4417
20,0.07874,4155326884,0,10505055450,1.0,0.2834,0.4417
21,0.082677,4155326884,0,10505055450,1.0,0.2834,0.4417
22,0.086614,4155326884,0,10505055450,1.0,0.2834,0.4417
23,0.090551,4155326884,0,10505055450,1.0,0.2834,0.4417
24,0.094488,4155326560,324,10505042824,1.0,0.2834,0.4417
25,0.098425,4155212958,113926,10503207302,1.0,0.2835,0.4417
26,0.102362,4142662638,12664246,10179954129,0.997,0.2892,0.4484
27,0.106299,3890422955,264903929,5712764221,0.9362,0.4051,0.5655
28,0.110236,3386410764,768916120,2049961894,0.815,0.6229,0.7061
29,0.114173,3081561105,1073765779,1051205608,0.7416,0.7456,0.7436
30,0.11811,2923775912,1231550972,834805301,0.7036,0.7779,0.7389
31,0.122047,2834307719,1321019165,748891432,0.6821,0.791,0.7325
32,0.125984,2782143729,1373183155,705063523,0.6695,0.7978,0.7281
33,0.129921,2748666134,1406660750,678375104,0.6615,0.8021,0.725
34,0.133858,2726040557,1429286327,660671927,0.656,0.8049,0.7229
35,0.137795,2711466736,1443860148,649907466,0.6525,0.8067,0.7215
36,0.141732,2701602086,1453724798,643141284,0.6502,0.8077,0.7204
37,0.145669,2694119166,1461207718,638153814,0.6484,0.8085,0.7196
38,0.149606,2688003558,1467323326,634126411,0.6469,0.8091,0.719
39,0.153543,2682640140,1472686744,630620199,0.6456,0.8097,0.7184
40,0.15748,2677978595,1477348289,627585552,0.6445,0.8101,0.7179
41,0.161417,2673844312,1481482572,624903058,0.6435,0.8106,0.7174
42,0.165354,2670011718,1485315166,622420373,0.6426,0.811,0.717
43,0.169291,2666541781,1488785103,620174312,0.6417,0.8113,0.7166
44,0.173228,2663264500,1492062384,618060334,0.6409,0.8116,0.7163
45,0.177165,2660255772,1495071112,616118562,0.6402,0.812,0.7159
46,0.181102,2657378738,1497948146,614263817,0.6395,0.8122,0.7156
47,0.185039,2654717402,1500609482,612552177,0.6389,0.8125,0.7153
48,0.188976,2652157424,1503169460,610904303,0.6383,0.8128,0.715
49,0.192913,2649777075,1505549809,609375141,0.6377,0.813,0.7148
50,0.19685,2647469609,1507857275,607892725,0.6371,0.8133,0.7145
51,0.200787,2645315320,1510011564,606514721,0.6366,0.8135,0.7143
52,0.204724,2643219297,1512107587,605173824,0.6361,0.8137,0.714
53,0.208661,2641177561,1514149323,603866688,0.6356,0.8139,0.7138
54,0.212598,2639183900,1516142984,602592479,0.6351,0.8141,0.7136
55,0.216535,2637309970,1518016914,601395618,0.6347,0.8143,0.7134
56,0.220472,2635477440,1519849444,600226856,0.6342,0.8145,0.7132
57,0.224409,2633753683,1521573201,599129719,0.6338,0.8147,0.713
58,0.228346,2632058500,1523268384,598052101,0.6334,0.8149,0.7128
59,0.232283,2630390988,1524935896,596996822,0.633,0.815,0.7126
60,0.23622,2628750082,1526576802,595957153,0.6326,0.8152,0.7124
61,0.240157,2627204616,1528122268,594976669,0.6322,0.8153,0.7122
62,0.244094,2625675565,1529651319,594010250,0.6319,0.8155,0.712
63,0.248031,2624165208,1531161676,593056938,0.6315,0.8157,0.7119
64,0.251968,2622673366,1532653518,592116863,0.6312,0.8158,0.7117
65,0.255905,2621263799,1534063085,591229675,0.6308,0.816,0.7115
66,0.259842,2619868954,1535457930,590350945,0.6305,0.8161,0.7114
67,0.263779,2618484804,1536842080,589482847,0.6302,0.8162,0.7112
68,0.267716,2617110551,1538216333,588623963,0.6298,0.8164,0.7111
69,0.271653,2615810939,1539515945,587812182,0.6295,0.8165,0.7109
70,0.27559,2614469288,1540857596,586977571,0.6292,0.8167,0.7108
71,0.279527,2613182930,1542143954,586178802,0.6289,0.8168,0.7106
72,0.283464,2611901625,1543425259,585384681,0.6286,0.8169,0.7105
73,0.287401,2610625289,1544701595,584594722,0.6283,0.817,0.7103
74,0.291338,2609383717,1545943167,583827791,0.628,0.8172,0.7102
75,0.295275,2608109848,1547217036,583044844,0.6277,0.8173,0.71
76,0.299212,2606901067,1548425817,582302390,0.6274,0.8174,0.7099
77,0.303149,2605660546,1549666338,581543248,0.6271,0.8175,0.7097
78,0.307086,2604452742,1550874142,580806813,0.6268,0.8177,0.7096
79,0.311023,2603246497,1552080387,580071297,0.6265,0.8178,0.7095
80,0.31496,2602068678,1553258206,579355786,0.6262,0.8179,0.7093
81,0.318897,2600856699,1554470185,578622883,0.6259,0.818,0.7092
82,0.322834,2599675733,1555651151,577909655,0.6256,0.8181,0.709
83,0.326771,2598492100,1556834784,577197268,0.6253,0.8182,0.7089
84,0.330708,2597337618,1557989266,576504532,0.6251,0.8184,0.7088
85,0.334645,2596145746,1559181138,575791091,0.6248,0.8185,0.7086
86,0.338582,2594983261,1560343623,575097917,0.6245,0.8186,0.7085
87,0.342519,2593816141,1561510743,574400367,0.6242,0.8187,0.7084
88,0.346456,2592643445,1562683439,573704491,0.6239,0.8188,0.7082
89,0.350393,2591466298,1563860586,573005128,0.6236,0.8189,0.7081
90,0.35433,2590316206,1565010678,572325578,0.6234,0.819,0.7079
91,0.358267,2589157742,1566169142,571643716,0.6231,0.8191,0.7078
92,0.362204,2587992099,1567334785,570957869,0.6228,0.8193,0.7077
93,0.366141,2586820455,1568506429,570270421,0.6225,0.8194,0.7075
94,0.370078,2585642482,1569684402,569582160,0.6222,0.8195,0.7074
95,0.374015,2584489035,1570837849,568910359,0.622,0.8196,0.7072
96,0.377952,2583292916,1572033968,568215641,0.6217,0.8197,0.7071
97,0.381889,2582130099,1573196785,567542060,0.6214,0.8198,0.7069
98,0.385826,2580948037,1574378847,566859252,0.6211,0.8199,0.7068
99,0.389763,2579758155,1575568729,566172508,0.6208,0.82,0.7067
100,0.3937,2578556268,1576770616,565481126,0.6205,0.8201,0.7065
101,0.397637,2577342006,1577984878,564785273,0.6203,0.8203,0.7064
102,0.401574,2576131316,1579195568,564092710,0.62,0.8204,0.7062
103,0.405511,2574904448,1580422436,563392834,0.6197,0.8205,0.7061
104,0.409448,2573658593,1581668291,562685578,0.6194,0.8206,0.7059
105,0.413385,2572397238,1582929646,561966845,0.6191,0.8207,0.7058
106,0.417322,2571133529,1584193355,561250207,0.6188,0.8208,0.7056
107,0.421259,2569825724,1585501160,560510617,0.6184,0.8209,0.7054
108,0.425196,2568512470,1586814414,559768723,0.6181,0.8211,0.7053
109,0.429133,2567169278,1588157606,559014143,0.6178,0.8212,0.7051
110,0.43307,2565816843,1589510041,558254676,0.6175,0.8213,0.705
111,0.437007,2564404246,1590922638,557464366,0.6171,0.8214,0.7048
112,0.440944,2562946099,1592380785,556652068,0.6168,0.8216,0.7046
113,0.444881,2561450646,1593876238,555822744,0.6164,0.8217,0.7044
114,0.448818,2559898085,1595428799,554966307,0.6161,0.8218,0.7042
115,0.452755,2558264341,1597062543,554066403,0.6157,0.822,0.704
116,0.456692,2556560667,1598766217,553135559,0.6152,0.8221,0.7038
117,0.460629,2554763949,1600562935,552156324,0.6148,0.8223,0.7036
118,0.464566,2552863381,1602463503,551124128,0.6144,0.8224,0.7033
119,0.468503,2550851992,1604474892,550037841,0.6139,0.8226,0.7031
120,0.47244,2548675639,1606651245,548869109,0.6134,0.8228,0.7028
121,0.476377,2546337373,1608989511,547617584,0.6128,0.823,0.7025
122,0.480314,2543781702,1611545182,546256380,0.6122,0.8232,0.7022
123,0.484251,2540960252,1614366632,544759533,0.6115,0.8235,0.7018
124,0.488188,2537722154,1617604730,543052765,0.6107,0.8237,0.7014
125,0.492125,2533810022,1621516862,541006501,0.6098,0.8241,0.7009
126,0.496062,2528728149,1626598735,538339658,0.6086,0.8245,0.7002
127,0.5,2510786937,1644539947,529244220,0.6042,0.8259,0.6979
128,0.503937,2445250163,1710076721,490829071,0.5885,0.8328,0.6896
129,0.507874,2411433812,1743893072,474351807,0.5803,0.8356,0.685
130,0.511811,2391530932,1763795952,465006198,0.5755,0.8372,0.6821
131,0.515748,2375618209,1779708675,457678242,0.5717,0.8385,0.6799
132,0.519685,2361442179,1793884705,451218438,0.5683,0.8396,0.6778
133,0.523622,2348191142,1807135742,445238573,0.5651,0.8406,0.6759
134,0.527559,2335349230,1819977654,439559013,0.562,0.8416,0.674
135,0.531496,2322637893,1832688991,434036476,0.559,0.8426,0.6721
136,0.535433,2309839834,1845487050,428560289,0.5559,0.8435,0.6701
137,0.53937,2296856382,1858470502,423095402,0.5527,0.8444,0.6681
138,0.543307,2283584895,1871741989,417620040,0.5496,0.8454,0.6661
139,0.547244,2270185481,1885141403,412206965,0.5463,0.8463,0.664
140,0.551181,2256670954,1898655930,406859488,0.5431,0.8472,0.6619
141,0.555118,2242911003,1912415881,401514505,0.5398,0.8482,0.6597
142,0.559055,2228999202,1926327682,396194010,0.5364,0.8491,0.6575
143,0.562992,2214542168,1940784716,390739421,0.5329,0.85,0.6551
144,0.566929,2199333493,1955993391,385074105,0.5293,0.851,0.6526
145,0.570866,2183041148,1972285736,379099084,0.5254,0.852,0.65
146,0.574803,2165740469,1989586415,372872848,0.5212,0.8531,0.6471
147,0.57874,2146691163,2008635721,366158277,0.5166,0.8543,0.6439
148,0.582677,2125925385,2029401499,358978009,0.5116,0.8555,0.6403
149,0.586614,2102796717,2052530167,351144602,0.506,0.8569,0.6363
150,0.590551,2077742774,2077584110,342831801,0.5,0.8584,0.6319
151,0.594488,2049613385,2105713499,333726042,0.4932,0.86,0.6269
152,0.598425,2018217945,2137108939,323850259,0.4857,0.8617,0.6212
153,0.602362,1982680227,2172646657,313030380,0.4771,0.8636,0.6147
154,0.606299,1941858880,2213468004,301153653,0.4673,0.8657,0.607
155,0.610236,1893658030,2261668854,287963559,0.4557,0.868,0.5977
156,0.614173,1837411035,2317915849,273696675,0.4422,0.8704,0.5864
157,0.61811,1771876508,2383450376,258466668,0.4264,0.8727,0.5729
158,0.622047,1695944806,2459382078,242249053,0.4081,0.875,0.5566
159,0.625984,1606440978,2548885906,224466130,0.3866,0.8774,0.5367
160,0.629921,1503793645,2651533239,205422131,0.3619,0.8798,0.5128
161,0.633858,1393946789,2761380095,186254083,0.3355,0.8821,0.4861
162,0.637795,1275446527,2879880357,166634569,0.3069,0.8844,0.4557
163,0.641732,1156496710,2998830174,147756139,0.2783,0.8867,0.4237
164,0.645669,1039722015,3115604869,129759127,0.2502,0.889,0.3905
165,0.649606,926629085,3228697799,112759983,0.223,0.8915,0.3568
166,0.653543,818139587,3337187297,96902727,0.1969,0.8941,0.3227
167,0.65748,712653606,3442673278,81866764,0.1715,0.897,0.2879
168,0.661417,614663156,3540663728,68290034,0.1479,0.9,0.2541
169,0.665354,525177117,3630149767,56300993,0.1264,0.9032,0.2217
170,0.669291,444926687,3710400197,45950235,0.1071,0.9064,0.1915
171,0.673228,372167010,3783159874,36976377,0.0896,0.9096,0.1631
172,0.677165,310754627,3844572257,29708994,0.0748,0.9127,0.1382
173,0.681102,256795603,3898531281,23548403,0.0618,0.916,0.1158
174,0.685039,211154572,3944172312,18545430,0.0508,0.9193,0.0963
175,0.688976,171803695,3983523189,14419109,0.0413,0.9226,0.0791
176,0.692913,139757218,4015569666,11197066,0.0336,0.9258,0.0649
177,0.69685,112167255,4043159629,8559750,0.027,0.9291,0.0525
178,0.700787,89188191,4066138693,6474172,0.0215,0.9323,0.042
179,0.704724,69658675,4085668209,4804504,0.0168,0.9355,0.0329
180,0.708661,54053757,4101273127,3548369,0.013,0.9384,0.0257
181,0.712598,40809330,4114517554,2551077,0.0098,0.9412,0.0194
182,0.716535,30638503,4124688381,1820765,0.0074,0.9439,0.0146
183,0.720472,22530313,4132796571,1273009,0.0054,0.9465,0.0108
184,0.724409,16406131,4138920753,879459,0.0039,0.9491,0.0079
185,0.728346,11842799,4143484085,603546,0.0029,0.9515,0.0057
186,0.732283,8403495,4146923389,406135,0.002,0.9539,0.004
187,0.73622,5934433,4149392451,272414,0.0014,0.9561,0.0029
188,0.740157,4106427,4151220457,172432,0.001,0.9597,0.002
189,0.744094,2821416,4152505468,103025,0.0007,0.9648,0.0014
190,0.748031,1922155,4153404729,62156,0.0005,0.9687,0.0009
191,0.751968,1292001,4154034883,37758,0.0003,0.9716,0.0006
192,0.755905,835888,4154490996,21819,0.0002,0.9746,0.0004
193,0.759842,529670,4154797214,12726,0.0001,0.9765,0.0003
194,0.763779,329310,4154997574,7183,0.0001,0.9787,0.0002
195,0.767716,203364,4155123520,3757,0.0,0.9819,0.0001
196,0.771653,122971,4155203913,2263,0.0,0.9819,0.0001
197,0.77559,73341,4155253543,1486,0.0,0.9801,0.0
198,0.779527,43013,4155283871,841,0.0,0.9808,0.0
199,0.783464,25569,4155301315,354,0.0,0.9863,0.0
200,0.787401,15346,4155311538,52,0.0,0.9966,0.0
201,0.791338,9503,4155317381,0,0.0,1.0,0.0
202,0.795275,5772,4155321112,0,0.0,1.0,0.0
203,0.799212,3545,4155323339,0,0.0,1.0,0.0
204,0.803149,2040,4155324844,0,0.0,1.0,0.0
205,0.807086,1256,4155325628,0,0.0,1.0,0.0
206,0.811023,755,4155326129,0,0.0,1.0,0.0
207,0.81496,453,4155326431,0,0.0,1.0,0.0
208,0.818897,259,4155326625,0,0.0,1.0,0.0
209,0.822834,140,4155326744,0,0.0,1.0,0.0
210,0.826771,55,4155326829,0,0.0,1.0,0.0
211,0.830708,1,4155326883,0,0.0,1.0,0.0
212,0.834645,0,4155326884,0,0.0,nan,
213,0.838582,0,4155326884,0,0.0,nan,
214,0.842519,0,4155326884,0,0.0,nan,
215,0.846456,0,4155326884,0,0.0,nan,
216,0.850393,0,4155326884,0,0.0,nan,
