k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,1106123771,0,3022327480,1.0,0.2679,0.4226
2,0.007874,1106123771,0,3022327480,1.0,0.2679,0.4226
3,0.011811,1106123771,0,3022327480,1.0,0.2679,0.4226
4,0.015748,1106123771,0,3022327480,1.0,0.2679,0.4226
5,0.019685,1106123771,0,3022325324,1.0,0.2679,0.4226
6,0.023622,1106122701,1070,3022094811,1.0,0.2679,0.4226
7,0.027559,1106102059,21712,3018698867,1.0,0.2682,0.4229
8,0.031496,1105932481,191290,2998380592,0.9998,0.2695,0.4245
9,0.035433,1105225494,898277,2934962778,0.9992,0.2736,0.4295
10,0.03937,1103570201,2553570,2816892689,0.9977,0.2815,0.4391
11,0.043307,1100769744,5354027,2640685279,0.9952,0.2942,0.4542
12,0.047244,1096694577,9429194,2392033824,0.9915,0.3144,0.4774
13,0.051181,1091687479,14436292,2119676473,0.9869,0.3399,0.5057
14,0.055118,1085723396,20400375,1872747752,0.9816,0.367,0.5342
15,0.059055,1079198066,26925705,1674733786,0.9757,0.3919,0.5592
16,0.062992,1072298655,33825116,1513098785,0.9694,0.4148,0.581
17,0.066929,1065017165,41106606,1375397614,0.9628,0.4364,0.6006
18,0.070866,1057472677,48651094,1258632152,0.956,0.4566,0.618
19,0.074803,1049490478,56633293,1155246549,0.9488,0.476,0.634
20,0.07874,1041173586,64950185,1063553431,0.9413,0.4947,0.6485
21,0.082677,1032398927,73724844,978878861,0.9333,0.5133,0.6623
22,0.086614,1023278118,82845653,901468514,0.9251,0.5316,0.6752
23,0.090551,1014234237,91889534,833028180,0.9169,0.549,0.6868
24,0.094488,1005009024,101114747,770298871,0.9086,0.5661,0.6976
25,0.098425,995234489,110889282,710346458,0.8997,0.5835,0.7079
26,0.102362,985280586,120843185,655316570,0.8908,0.6006,0.7174
27,0.106299,975187327,130936444,605262232,0.8816,0.617,0.726
28,0.110236,965012611,141111160,559848832,0.8724,0.6329,0.7336
29,0.114173,954841480,151282291,518661553,0.8632,0.648,0.7403
30,0.11811,944210667,161913104,479579109,0.8536,0.6632,0.7464
31,0.122047,933164139,172959632,443026783,0.8436,0.6781,0.7518
32,0.125984,922423890,183699881,411422024,0.8339,0.6916,0.7561
33,0.129921,911839298,194284473,383825581,0.8244,0.7038,0.7593
34,0.133858,901159454,204964317,359257038,0.8147,0.715,0.7616
35,0.137795,890902503,215221268,338350855,0.8054,0.7248,0.763
36,0.141732,881218070,224905701,320742805,0.7967,0.7332,0.7636
37,0.145669,872221993,233901778,305987874,0.7885,0.7403,0.7637
38,0.149606,864089806,242033965,293811615,0.7812,0.7463,0.7633
39,0.153543,856984997,249138774,283890884,0.7748,0.7512,0.7628
40,0.15748,851226003,254897768,276395061,0.7696,0.7549,0.7622
41,0.161417,846398127,259725644,270413780,0.7652,0.7579,0.7615
42,0.165354,842066326,264057445,265237224,0.7613,0.7605,0.7609
43,0.169291,838247162,267876609,260809064,0.7578,0.7627,0.7603
44,0.173228,834743725,271380046,256873356,0.7547,0.7647,0.7596
45,0.177165,831620938,274502833,253464948,0.7518,0.7664,0.7591
46,0.181102,828710151,277413620,250365677,0.7492,0.768,0.7585
47,0.185039,826073855,280049916,247614376,0.7468,0.7694,0.7579
48,0.188976,823571629,282552142,245046649,0.7446,0.7707,0.7574
49,0.192913,821258362,284865409,242702095,0.7425,0.7719,0.7569
50,0.19685,819012436,287111335,240455940,0.7404,0.773,0.7564
51,0.200787,816905307,289218464,238369064,0.7385,0.7741,0.7559
52,0.204724,814836219,291287552,236340470,0.7367,0.7752,0.7554
53,0.208661,812799371,293324400,234364300,0.7348,0.7762,0.7549
54,0.212598,810787580,295336191,232435738,0.733,0.7772,0.7545
55,0.216535,808876691,297247080,230624522,0.7313,0.7781,0.754
56,0.220472,806984138,299139633,228848532,0.7296,0.7791,0.7535
57,0.224409,805180607,300943164,227181311,0.7279,0.7799,0.753
58,0.228346,803387237,302736534,225539231,0.7263,0.7808,0.7526
59,0.232283,801597580,304526191,223917781,0.7247,0.7817,0.7521
60,0.23622,799813727,306310044,222320834,0.7231,0.7825,0.7516
61,0.240157,798112075,308011696,220812181,0.7215,0.7833,0.7511
62,0.244094,796419465,309704306,219322788,0.72,0.7841,0.7507
63,0.248031,794738385,311385386,217858541,0.7185,0.7849,0.7502
64,0.251968,793069079,313054692,216415003,0.717,0.7856,0.7497
65,0.255905,791489823,314633948,215058595,0.7156,0.7863,0.7493
66,0.259842,789920657,316203114,213719815,0.7141,0.7871,0.7488
67,0.263779,788364207,317759564,212403183,0.7127,0.7878,0.7484
68,0.267716,786823338,319300433,211111370,0.7113,0.7885,0.7479
69,0.271653,785366935,320756836,209901476,0.71,0.7891,0.7475
70,0.27559,783903045,322220726,208693702,0.7087,0.7897,0.747
71,0.279527,782469799,323653972,207518774,0.7074,0.7904,0.7466
72,0.283464,781045171,325078600,206359422,0.7061,0.791,0.7462
73,0.287401,779626030,326497741,205215956,0.7048,0.7916,0.7457
74,0.291338,778247897,327875874,204115348,0.7036,0.7922,0.7453
75,0.295275,776841077,329282694,202996804,0.7023,0.7928,0.7448
76,0.299212,775508196,330615575,201944932,0.7011,0.7934,0.7444
77,0.303149,774146350,331977421,200875794,0.6999,0.794,0.744
78,0.307086,772822747,333301024,199842970,0.6987,0.7945,0.7435
79,0.311023,771500541,334623230,198820890,0.6975,0.7951,0.7431
80,0.31496,770216108,335907663,197830184,0.6963,0.7956,0.7427
81,0.318897,768898978,337224793,196823551,0.6951,0.7962,0.7422
82,0.322834,767616245,338507526,195850793,0.694,0.7967,0.7418
83,0.326771,766336550,339787221,194885279,0.6928,0.7973,0.7414
84,0.330708,765092269,341031502,193953147,0.6917,0.7978,0.7409
85,0.334645,763812968,342310803,192999823,0.6905,0.7983,0.7405
86,0.338582,762566499,343557272,192081173,0.6894,0.7988,0.7401
87,0.342519,761322965,344800806,191167355,0.6883,0.7993,0.7396
88,0.346456,760077999,346045772,190260839,0.6872,0.7998,0.7392
89,0.350393,758833772,347289999,189358432,0.686,0.8003,0.7388
90,0.35433,757623560,348500211,188486323,0.6849,0.8008,0.7383
91,0.358267,756413200,349710571,187618396,0.6838,0.8013,0.7379
92,0.362204,755201881,350921890,186753653,0.6827,0.8017,0.7375
93,0.366141,753987815,352135956,185893020,0.6816,0.8022,0.737
94,0.370078,752771731,353352040,185033382,0.6805,0.8027,0.7366
95,0.374015,751588248,354535523,184201481,0.6795,0.8032,0.7362
96,0.377952,750368326,355755445,183347308,0.6784,0.8036,0.7357
97,0.381889,749140150,356983621,182494346,0.6773,0.8041,0.7353
98,0.385826,747951836,358171935,181671127,0.6762,0.8046,0.7348
99,0.389763,746749976,359373795,180844097,0.6751,0.805,0.7344
100,0.3937,745544153,360579618,180018505,0.674,0.8055,0.7339
101,0.397637,744333033,361790738,179194214,0.6729,0.806,0.7335
102,0.401574,743135903,362987868,178383562,0.6718,0.8064,0.733
103,0.405511,741934532,364189239,177574585,0.6708,0.8069,0.7325
104,0.409448,740729504,365394267,176769671,0.6697,0.8073,0.7321
105,0.413385,739519131,366604640,175963901,0.6686,0.8078,0.7316
106,0.417322,738323332,367800439,175172186,0.6675,0.8082,0.7312
107,0.421259,737107974,369015797,174370300,0.6664,0.8087,0.7307
108,0.425196,735902814,370220957,173580755,0.6653,0.8091,0.7302
109,0.429133,734691762,371432009,172792664,0.6642,0.8096,0.7297
110,0.43307,733492186,372631585,172014640,0.6631,0.81,0.7293
111,0.437007,732265677,373858094,171224217,0.662,0.8105,0.7288
112,0.440944,731030201,375093570,170431219,0.6609,0.8109,0.7283
113,0.444881,729795480,376328291,169643232,0.6598,0.8114,0.7278
114,0.448818,728549794,377573977,168855469,0.6587,0.8118,0.7273
115,0.452755,727275989,378847782,168052953,0.6575,0.8123,0.7267
116,0.456692,725989291,380134480,167249086,0.6563,0.8128,0.7262
117,0.460629,724675409,381448362,166433315,0.6551,0.8132,0.7257
118,0.464566,723326295,382797476,165600203,0.6539,0.8137,0.7251
119,0.468503,721945084,384178687,164755240,0.6527,0.8142,0.7245
120,0.47244,720509407,385614364,163883205,0.6514,0.8147,0.7239
121,0.476377,719003300,387120471,162972011,0.65,0.8152,0.7233
122,0.480314,717429118,388694653,162027794,0.6486,0.8158,0.7226
123,0.484251,715778544,390345227,161044912,0.6471,0.8163,0.7219
124,0.488188,714036792,392086979,160017532,0.6455,0.8169,0.7212
125,0.492125,712212551,393911220,158945321,0.6439,0.8175,0.7204
126,0.496062,710301798,395821973,157829420,0.6422,0.8182,0.7196
127,0.5,708306704,397817067,156671602,0.6404,0.8189,0.7187
128,0.503937,706199522,399924249,155458113,0.6384,0.8196,0.7178
129,0.507874,703940948,402182823,154166581,0.6364,0.8203,0.7168
130,0.511811,701449425,404674346,152756768,0.6342,0.8212,0.7156
131,0.515748,698613942,407509829,151166037,0.6316,0.8221,0.7144
132,0.519685,695278324,410845447,149307810,0.6286,0.8232,0.7128
133,0.523622,691265406,414858365,147118767,0.6249,0.8245,0.711
134,0.527559,686632930,419490841,144639928,0.6208,0.826,0.7088
135,0.531496,681440855,424682916,141917445,0.6161,0.8276,0.7063
136,0.535433,675564902,430558869,138881101,0.6107,0.8295,0.7035
137,0.53937,668695659,437428112,135390162,0.6045,0.8316,0.7001
138,0.543307,660792717,445331054,131553230,0.5974,0.834,0.6961
139,0.547244,652064570,454059201,127512507,0.5895,0.8364,0.6916
140,0.551181,642272090,463851681,123121943,0.5807,0.8391,0.6864
141,0.555118,630935002,475188769,118218179,0.5704,0.8422,0.6802
142,0.559055,618505128,487618643,113030736,0.5592,0.8455,0.6731
143,0.562992,606161429,499962342,108044391,0.548,0.8487,0.666
144,0.566929,595067527,511056244,103678593,0.538,0.8516,0.6594
145,0.570866,584576423,521547348,99661066,0.5285,0.8543,0.653
146,0.574803,574567201,531556570,95921634,0.5194,0.8569,0.6468
147,0.57874,564399196,541724575,92230628,0.5102,0.8595,0.6404
148,0.582677,553949350,552174421,88555583,0.5008,0.8622,0.6336
149,0.586614,543017750,563106021,84818413,0.4909,0.8649,0.6263
150,0.590551,531906877,574216894,81130299,0.4809,0.8677,0.6188
151,0.594488,520329424,585794347,77413054,0.4704,0.8705,0.6108
152,0.598425,508575439,597548332,73776367,0.4598,0.8733,0.6024
153,0.602362,496810490,609313281,70253401,0.4491,0.8761,0.5938
154,0.606299,485237831,620885940,66901562,0.4387,0.8788,0.5852
155,0.610236,473800759,632323012,63698660,0.4283,0.8815,0.5765
156,0.614173,462698574,643425197,60690755,0.4183,0.884,0.5679
157,0.61811,451881337,654242434,57842273,0.4085,0.8865,0.5593
158,0.622047,441333174,664790597,55149535,0.399,0.8889,0.5508
159,0.625984,431107366,675016405,52621041,0.3897,0.8912,0.5423
160,0.629921,421080449,685043322,50232315,0.3807,0.8934,0.5339
161,0.633858,411826440,694297331,48105012,0.3723,0.8954,0.5259
162,0.637795,402901370,703222401,46131219,0.3642,0.8973,0.5181
163,0.641732,394511541,711612230,44339749,0.3567,0.899,0.5107
164,0.645669,386547498,719576273,42696941,0.3495,0.9005,0.5035
165,0.649606,378943346,727180425,41180661,0.3426,0.902,0.4966
166,0.653543,371659126,734464645,39768846,0.336,0.9033,0.4898
167,0.65748,364502389,741621382,38416959,0.3295,0.9047,0.4831
168,0.661417,357633910,748489861,37152272,0.3233,0.9059,0.4766
169,0.665354,351015135,755108636,35966017,0.3173,0.9071,0.4702
170,0.669291,344615548,761508223,34848936,0.3116,0.9082,0.4639
171,0.673228,338242625,767881146,33764689,0.3058,0.9092,0.4577
172,0.677165,332210187,773913584,32764057,0.3003,0.9102,0.4516
173,0.681102,326137346,779986425,31779506,0.2948,0.9112,0.4455
174,0.685039,320118348,786005423,30832109,0.2894,0.9121,0.4394
175,0.688976,313897264,792226507,29876807,0.2838,0.9131,0.433
176,0.692913,307756884,798366887,28958565,0.2782,0.914,0.4266
177,0.69685,301363494,804760277,28024728,0.2725,0.9149,0.4199
178,0.700787,294902008,811221763,27104814,0.2666,0.9158,0.413
179,0.704724,288206761,817917010,26170689,0.2606,0.9168,0.4058
180,0.708661,281599814,824523957,25274204,0.2546,0.9176,0.3986
181,0.712598,274509543,831614228,24331668,0.2482,0.9186,0.3908
182,0.716535,267452297,838671474,23419483,0.2418,0.9195,0.3829
183,0.720472,260115234,846008537,22495231,0.2352,0.9204,0.3746
184,0.724409,252708184,853415587,21584129,0.2285,0.9213,0.3661
185,0.728346,245246464,860877307,20687954,0.2217,0.9222,0.3575
186,0.732283,237488341,868635430,19779246,0.2147,0.9231,0.3484
187,0.73622,229502324,876621447,18867962,0.2075,0.924,0.3389
188,0.740157,221218180,884905591,17954661,0.2,0.9249,0.3289
189,0.744094,212587280,893536491,17030675,0.1922,0.9258,0.3183
190,0.748031,203450943,902672828,16083204,0.1839,0.9267,0.3069
191,0.751968,193567546,912556225,15097501,0.175,0.9276,0.2944
192,0.755905,182077989,924045782,13987621,0.1646,0.9287,0.2796
193,0.759842,169375045,936748726,12796182,0.1531,0.9298,0.2629
194,0.763779,155747006,950376765,11552461,0.1408,0.9309,0.2446
195,0.767716,141632951,964490820,10295249,0.128,0.9322,0.2252
196,0.771653,126746936,979376835,9023820,0.1146,0.9335,0.2041
197,0.77559,112165767,993958004,7796533,0.1014,0.935,0.183
198,0.779527,98247023,1007876748,6655494,0.0888,0.9366,0.1623
199,0.783464,85241521,1020882250,5623856,0.0771,0.9381,0.1424
200,0.787401,72754035,1033369736,4660851,0.0658,0.9398,0.1229
201,0.791338,61377644,1044746127,3824734,0.0555,0.9413,0.1048
202,0.795275,50693947,1055429824,3095483,0.0458,0.9425,0.0874
203,0.799212,41327139,1064796632,2478202,0.0374,0.9434,0.0719
204,0.803149,33329443,1072794328,1974972,0.0301,0.9441,0.0584
205,0.807086,26582384,1079541387,1585337,0.024,0.9437,0.0469
206,0.811023,20909688,1085214083,1268027,0.0189,0.9428,0.0371
207,0.81496,16416897,1089706874,1016547,0.0148,0.9417,0.0292
208,0.818897,12823524,1093300247,814682,0.0116,0.9403,0.0229
209,0.822834,10126063,1095997708,657821,0.0092,0.939,0.0181
210,0.826771,8054467,1098069304,530350,0.0073,0.9382,0.0145
211,0.830708,6494521,1099629250,422457,0.0059,0.9389,0.0117
212,0.834645,5290969,1100832802,331330,0.0048,0.9411,0.0095
213,0.838582,4385096,1101738675,259515,0.004,0.9441,0.0079
214,0.842519,3661510,1102462261,203398,0.0033,0.9474,0.0066
215,0.846456,3077312,1103046459,161662,0.0028,0.9501,0.0055
216,0.850393,2582659,1103541112,127969,0.0023,0.9528,0.0047
217,0.85433,2165960,1103957811,103209,0.002,0.9545,0.0039
218,0.858267,1819273,1104304498,84450,0.0016,0.9556,0.0033
219,0.862204,1511191,1104612580,68503,0.0014,0.9566,0.0027
220,0.866141,1239192,1104884579,53791,0.0011,0.9584,0.0022
221,0.870078,1004545,1105119226,41930,0.0009,0.9599,0.0018
222,0.874015,808824,1105314947,32670,0.0007,0.9612,0.0015
223,0.877952,644296,1105479475,24679,0.0006,0.9631,0.0012
224,0.881889,501132,1105622639,18149,0.0005,0.965,0.0009
225,0.885826,376238,1105747533,12674,0.0003,0.9674,0.0007
226,0.889763,277787,1105845984,8070,0.0003,0.9718,0.0005
227,0.8937,204438,1105919333,4181,0.0002,0.98,0.0004
228,0.897637,142908,1105980863,1368,0.0001,0.9905,0.0003
229,0.901574,93724,1106030047,36,0.0001,0.9996,0.0002
230,0.905511,57732,1106066039,0,0.0001,1.0,0.0001
231,0.909448,32666,1106091105,0,0.0,1.0,0.0001
232,0.913385,17107,1106106664,0,0.0,1.0,0.0
233,0.917322,6935,1106116836,0,0.0,1.0,0.0
234,0.921259,3101,1106120670,0,0.0,1.0,0.0
235,0.925196,697,1106123074,0,0.0,1.0,0.0
236,0.929133,0,1106123771,0,0.0,nan,
237,0.93307,0,1106123771,0,0.0,nan,
238,0.937007,0,1106123771,0,0.0,nan,
239,0.940944,0,1106123771,0,0.0,nan,
240,0.944881,0,1106123771,0,0.0,nan,
241,0.948818,0,1106123771,0,0.0,nan,
242,0.952755,0,1106123771,0,0.0,nan,
243,0.956692,0,1106123771,0,0.0,nan,
244,0.960629,0,1106123771,0,0.0,nan,
245,0.964566,0,1106123771,0,0.0,nan,
246,0.968503,0,1106123771,0,0.0,nan,
247,0.97244,0,1106123771,0,0.0,nan,
248,0.976377,0,1106123771,0,0.0,nan,
249,0.980314,0,1106123771,0,0.0,nan,
250,0.984251,0,1106123771,0,0.0,nan,
251,0.988188,0,1106123771,0,0.0,nan,
252,0.992125,0,1106123771,0,0.0,nan,
253,0.996062,0,1106123771,0,0.0,nan,
254,1.0,0,1106123771,0,0.0,nan,
