k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,1665637,0,3446368,1.0,0.3258,0.4915
2,0.007874,1665637,0,3446368,1.0,0.3258,0.4915
3,0.011811,1665637,0,3446368,1.0,0.3258,0.4915
4,0.015748,1665637,0,3446368,1.0,0.3258,0.4915
5,0.019685,1665637,0,3446368,1.0,0.3258,0.4915
6,0.023622,1665637,0,3446368,1.0,0.3258,0.4915
7,0.027559,1665637,0,3446368,1.0,0.3258,0.4915
8,0.031496,1665637,0,3446368,1.0,0.3258,0.4915
9,0.035433,1665637,0,3446368,1.0,0.3258,0.4915
10,0.03937,1665637,0,3446368,1.0,0.3258,0.4915
11,0.043307,1665637,0,3446368,1.0,0.3258,0.4915
12,0.047244,1665637,0,3446368,1.0,0.3258,0.4915
13,0.051181,1665637,0,3446368,1.0,0.3258,0.4915
14,0.055118,1665637,0,3446368,1.0,0.3258,0.4915
15,0.059055,1665637,0,3446368,1.0,0.3258,0.4915
16,0.062992,1665637,0,3446368,1.0,0.3258,0.4915
17,0.066929,1665637,0,3446368,1.0,0.3258,0.4915
18,0.070866,1665637,0,3446368,1.0,0.3258,0.4915
19,0.074803,1665637,0,3446368,1.0,0.3258,0.4915
20,0.07874,1665637,0,3446368,1.0,0.3258,0.4915
21,0.082677,1665637,0,3446368,1.0,0.3258,0.4915
22,0.086614,1665637,0,3446368,1.0,0.3258,0.4915
23,0.090551,1665635,2,3445354,1.0,0.3259,0.4916
24,0.094488,1665485,152,3433743,0.9999,0.3266,0.4924
25,0.098425,1665247,390,3406412,0.9998,0.3283,0.4943
26,0.102362,1664999,638,3368239,0.9996,0.3308,0.4971
27,0.106299,1664659,978,3323999,0.9994,0.3337,0.5003
28,0.110236,1664238,1399,3275842,0.9992,0.3369,0.5039
29,0.114173,1663528,2109,3218187,0.9987,0.3408,0.5082
30,0.11811,1662388,3249,3132307,0.998,0.3467,0.5146
31,0.122047,1660852,4785,3001625,0.9971,0.3562,0.5249
32,0.125984,1658623,7014,2833112,0.9958,0.3693,0.5387
33,0.129921,1654914,10723,2640727,0.9936,0.3853,0.5552
34,0.133858,1649505,16132,2436735,0.9903,0.4037,0.5736
35,0.137795,1642308,23329,2240582,0.986,0.423,0.592
36,0.141732,1633058,32579,2059769,0.9804,0.4422,0.6095
37,0.145669,1622163,43474,1896117,0.9739,0.4611,0.6258
38,0.149606,1609594,56043,1752006,0.9664,0.4788,0.6403
39,0.153543,1594499,71138,1616242,0.9573,0.4966,0.654
40,0.15748,1578823,86814,1494971,0.9479,0.5136,0.6663
