k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,1106116079,0,3022325700,1.0,0.2679,0.4226
2,0.007874,1106116079,0,3022325700,1.0,0.2679,0.4226
3,0.011811,1106116079,0,3022325700,1.0,0.2679,0.4226
4,0.015748,1106115827,252,3022300695,1.0,0.2679,0.4226
5,0.019685,1106102637,13442,3021592507,1.0,0.268,0.4227
6,0.023622,1105979039,137040,3016915306,0.9999,0.2683,0.423
7,0.027559,1105472953,643126,3000652030,0.9994,0.2692,0.4242
8,0.031496,1104257156,1858923,2964022360,0.9983,0.2714,0.4268
9,0.035433,1102003334,4112745,2898164222,0.9963,0.2755,0.4316
10,0.03937,1098648877,7467202,2802987227,0.9932,0.2816,0.4388
11,0.043307,1094406325,11709754,2680510520,0.9894,0.2899,0.4484
12,0.047244,1089309681,16806398,2531979902,0.9848,0.3008,0.4608
13,0.051181,1083674681,22441398,2366290927,0.9797,0.3141,0.4757
14,0.055118,1077306010,28810069,2176540010,0.974,0.3311,0.4942
15,0.059055,1070399119,35716960,1971591421,0.9677,0.3519,0.5161
16,0.062992,1063085111,43030968,1759575450,0.9611,0.3766,0.5412
17,0.066929,1055261911,50854168,1543001507,0.954,0.4061,0.5697
18,0.070866,1047047589,59068490,1328255066,0.9466,0.4408,0.6015
19,0.074803,1038259881,67856198,1116006654,0.9387,0.482,0.6369
20,0.07874,1029255264,76860815,928346676,0.9305,0.5258,0.6719
21,0.082677,1019860383,86255696,774234011,0.922,0.5685,0.7033
22,0.086614,1010199811,95916268,657506309,0.9133,0.6057,0.7284
23,0.090551,1000727665,105388414,577230531,0.9047,0.6342,0.7457
24,0.094488,991206816,114909263,521221139,0.8961,0.6554,0.7571
25,0.098425,981279842,124836237,479128831,0.8871,0.6719,0.7647
26,0.102362,971433925,134682154,446042742,0.8782,0.6853,0.7699
27,0.106299,961640387,144475692,418176971,0.8694,0.6969,0.7737
28,0.110236,952236015,153880064,394749229,0.8609,0.7069,0.7764
29,0.114173,943334687,162781392,374737331,0.8528,0.7157,0.7783
30,0.11811,934486739,171629340,356483393,0.8448,0.7239,0.7797
31,0.122047,925737582,180378497,339796741,0.8369,0.7315,0.7807
32,0.125984,917487169,188628910,325138160,0.8295,0.7383,0.7813
33,0.129921,909924949,196191130,312540201,0.8226,0.7443,0.7815
34,0.133858,902475090,203640989,300836645,0.8159,0.75,0.7816
35,0.137795,895351521,210764558,290242489,0.8095,0.7552,0.7814
36,0.141732,888583147,217532932,280692455,0.8033,0.7599,0.781
37,0.145669,882210721,223905358,272136382,0.7976,0.7643,0.7806
38,0.149606,876309253,229806826,264584406,0.7922,0.7681,0.78
39,0.153543,870796436,235319643,257831978,0.7873,0.7716,0.7793
40,0.15748,865971881,240144198,252135871,0.7829,0.7745,0.7787
41,0.161417,861906716,244209363,247495584,0.7792,0.7769,0.7781
42,0.165354,858416690,247699389,243604349,0.7761,0.7789,0.7775
43,0.169291,855477923,250638156,240382198,0.7734,0.7806,0.777
44,0.173228,852855400,253260679,237546367,0.771,0.7821,0.7766
45,0.177165,850539904,255576175,235079511,0.7689,0.7835,0.7761
46,0.181102,848382418,257733661,232804677,0.767,0.7847,0.7757
47,0.185039,846406819,259709260,230747379,0.7652,0.7858,0.7754
48,0.188976,844507085,261608994,228789512,0.7635,0.7868,0.775
49,0.192913,842735266,263380813,226976303,0.7619,0.7878,0.7746
50,0.19685,841004129,265111950,225229300,0.7603,0.7888,0.7743
51,0.200787,839377863,266738216,223599236,0.7589,0.7896,0.7739
52,0.204724,837779692,268336387,222014228,0.7574,0.7905,0.7736
53,0.208661,836205267,269910812,220466039,0.756,0.7914,0.7733
54,0.212598,834651914,271464165,218956862,0.7546,0.7922,0.7729
55,0.216535,833177401,272938678,217536697,0.7532,0.793,0.7726
56,0.220472,831720126,274395953,216145434,0.7519,0.7937,0.7723
57,0.224409,830340672,275775407,214836002,0.7507,0.7945,0.7719
58,0.228346,828971617,277144462,213550322,0.7494,0.7952,0.7716
59,0.232283,827614579,278501500,212284439,0.7482,0.7959,0.7713
60,0.23622,826266475,279849604,211039787,0.747,0.7966,0.771
61,0.240157,824990263,281125816,209865270,0.7458,0.7972,0.7707
62,0.244094,823720848,282395231,208707336,0.7447,0.7978,0.7704
63,0.248031,822457725,283658354,207565582,0.7436,0.7985,0.77
64,0.251968,821204589,284911490,206436604,0.7424,0.7991,0.7697
65,0.255905,820009092,286106987,205370654,0.7413,0.7997,0.7694
66,0.259842,818815376,287300703,204313114,0.7403,0.8003,0.7691
67,0.263779,817629127,288486952,203266288,0.7392,0.8009,0.7688
68,0.267716,816447071,289669008,202231619,0.7381,0.8015,0.7685
69,0.271653,815326788,290789291,201257523,0.7371,0.802,0.7682
70,0.27559,814199108,291916971,200283130,0.7361,0.8026,0.7679
71,0.279527,813089808,293026271,199331416,0.7351,0.8031,0.7676
72,0.283464,811986509,294129570,198389855,0.7341,0.8036,0.7673
