k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,6456574,0,13356617,1.0,0.3259,0.4916
2,0.007874,6456574,0,13356617,1.0,0.3259,0.4916
3,0.011811,6456574,0,13356617,1.0,0.3259,0.4916
4,0.015748,6456574,0,13356617,1.0,0.3259,0.4916
5,0.019685,6456574,0,13356617,1.0,0.3259,0.4916
6,0.023622,6456574,0,13356617,1.0,0.3259,0.4916
7,0.027559,6456574,0,13356617,1.0,0.3259,0.4916
8,0.031496,6456574,0,13356617,1.0,0.3259,0.4916
9,0.035433,6456574,0,13356617,1.0,0.3259,0.4916
10,0.03937,6456574,0,13356617,1.0,0.3259,0.4916
11,0.043307,6456574,0,13356617,1.0,0.3259,0.4916
12,0.047244,6456574,0,13356617,1.0,0.3259,0.4916
13,0.051181,6456574,0,13356617,1.0,0.3259,0.4916
14,0.055118,6456574,0,13356617,1.0,0.3259,0.4916
15,0.059055,6456574,0,13356617,1.0,0.3259,0.4916
16,0.062992,6456574,0,13356617,1.0,0.3259,0.4916
17,0.066929,6456574,0,13356617,1.0,0.3259,0.4916
18,0.070866,6456574,0,13356617,1.0,0.3259,0.4916
19,0.074803,6456574,0,13356617,1.0,0.3259,0.4916
20,0.07874,6456574,0,13356617,1.0,0.3259,0.4916
21,0.082677,6456574,0,13356617,1.0,0.3259,0.4916
22,0.086614,6456574,0,13356617,1.0,0.3259,0.4916
23,0.090551,6456574,0,13356617,1.0,0.3259,0.4916
24,0.094488,6456574,0,13355430,1.0,0.3259,0.4916
25,0.098425,6456572,2,13351481,1.0,0.326,0.4917
26,0.102362,6456557,17,13339779,1.0,0.3261,0.4919
27,0.106299,6456506,68,13305907,1.0,0.3267,0.4925
28,0.110236,6456212,362,13233454,0.9999,0.3279,0.4939
29,0.114173,6455487,1087,13125969,0.9998,0.3297,0.4959
30,0.11811,6453999,2575,12952197,0.9996,0.3326,0.4991
31,0.122047,6451156,5418,12709812,0.9992,0.3367,0.5037
32,0.125984,6445881,10693,12367474,0.9983,0.3426,0.5102
33,0.129921,6437339,19235,11839515,0.997,0.3522,0.5205
34,0.133858,6423204,33370,11071371,0.9948,0.3672,0.5364
35,0.137795,6401242,55332,10125102,0.9914,0.3873,0.557
36,0.141732,6370516,86058,9098193,0.9867,0.4118,0.5811
37,0.145669,6332889,123685,8123252,0.9808,0.4381,0.6056
38,0.149606,6285639,170935,7286403,0.9735,0.4631,0.6277
39,0.153543,6228082,228492,6546096,0.9646,0.4876,0.6477
40,0.15748,6161707,294867,5915172,0.9543,0.5102,0.6649
41,0.161417,6089942,366632,5377998,0.9432,0.531,0.6795
42,0.165354,6010417,446157,4899720,0.9309,0.5509,0.6922
43,0.169291,5930017,526557,4486171,0.9184,0.5693,0.7029
44,0.173228,5847117,609457,4114193,0.9056,0.587,0.7123
45,0.177165,5766361,690213,3799848,0.8931,0.6028,0.7198
46,0.181102,5685125,771449,3521123,0.8805,0.6175,0.7259
47,0.185039,5608851,847723,3285641,0.8687,0.6306,0.7307
48,0.188976,5533724,922850,3076436,0.8571,0.6427,0.7346
49,0.192913,5463533,993041,2894955,0.8462,0.6537,0.7376
50,0.19685,5395047,1061527,2732800,0.8356,0.6638,0.7398
51,0.200787,5333432,1123142,2594392,0.826,0.6727,0.7416
52,0.204724,5275371,1181203,2473133,0.8171,0.6808,0.7427
53,0.208661,5221222,1235352,2367476,0.8087,0.688,0.7435
54,0.212598,5171798,1284776,2275074,0.801,0.6945,0.744
55,0.216535,5128395,1328179,2197582,0.7943,0.7,0.7442
56,0.220472,5089432,1367142,2130252,0.7883,0.7049,0.7443
57,0.224409,5056212,1400362,2074696,0.7831,0.7091,0.7442
58,0.228346,5027229,1429345,2027281,0.7786,0.7126,0.7442
59,0.232283,5002175,1454399,1986995,0.7747,0.7157,0.7441
60,0.23622,4980461,1476113,1953281,0.7714,0.7183,0.7439
61,0.240157,4961867,1494707,1925504,0.7685,0.7204,0.7437
62,0.244094,4944734,1511840,1900649,0.7658,0.7223,0.7435
63,0.248031,4929286,1527288,1878238,0.7635,0.7241,0.7433
64,0.251968,4914927,1541647,1857761,0.7612,0.7257,0.743
65,0.255905,4901932,1554642,1839587,0.7592,0.7271,0.7428
66,0.259842,4889688,1566886,1822567,0.7573,0.7285,0.7426
67,0.263779,4877996,1578578,1806583,0.7555,0.7297,0.7424
68,0.267716,4866802,1589772,1791355,0.7538,0.731,0.7422
69,0.271653,4856628,1599946,1777617,0.7522,0.7321,0.742
70,0.27559,4846453,1610121,1763851,0.7506,0.7332,0.7418
71,0.279527,4837029,1619545,1751355,0.7492,0.7342,0.7416
72,0.283464,4827772,1628802,1739143,0.7477,0.7352,0.7414
73,0.287401,4818795,1637779,1727464,0.7463,0.7361,0.7412
74,0.291338,4810138,1646436,1716337,0.745,0.737,0.741
75,0.295275,4801459,1655115,1705212,0.7437,0.7379,0.7408
76,0.299212,4793267,1663307,1694955,0.7424,0.7388,0.7406
