k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,3761329,0,5480139,1.0,0.407,0.5785
2,0.007874,3761329,0,5480139,1.0,0.407,0.5785
3,0.011811,3761329,0,5480139,1.0,0.407,0.5785
4,0.015748,3761329,0,5480139,1.0,0.407,0.5785
5,0.019685,3761329,0,5480139,1.0,0.407,0.5785
6,0.023622,3761329,0,5480139,1.0,0.407,0.5785
7,0.027559,3761329,0,5480139,1.0,0.407,0.5785
8,0.031496,3761329,0,5480139,1.0,0.407,0.5785
9,0.035433,3761329,0,5480139,1.0,0.407,0.5785
10,0.03937,3761329,0,5480139,1.0,0.407,0.5785
11,0.043307,3761329,0,5480139,1.0,0.407,0.5785
12,0.047244,3761329,0,5480139,1.0,0.407,0.5785
13,0.051181,3761329,0,5480139,1.0,0.407,0.5785
14,0.055118,3761329,0,5480139,1.0,0.407,0.5785
15,0.059055,3761329,0,5480139,1.0,0.407,0.5785
16,0.062992,3761329,0,5480139,1.0,0.407,0.5785
17,0.066929,3761329,0,5480139,1.0,0.407,0.5785
18,0.070866,3761329,0,5480139,1.0,0.407,0.5785
19,0.074803,3761329,0,5480139,1.0,0.407,0.5785
20,0.07874,3761329,0,5480139,1.0,0.407,0.5785
21,0.082677,3761329,0,5480071,1.0,0.407,0.5785
22,0.086614,3761329,0,5479166,1.0,0.407,0.5786
23,0.090551,3761321,8,5475956,1.0,0.4072,0.5787
24,0.094488,3761213,116,5466448,1.0,0.4076,0.5791
25,0.098425,3760977,352,5446916,0.9999,0.4085,0.58
26,0.102362,3760557,772,5420039,0.9998,0.4096,0.5811
27,0.106299,3759866,1463,5379254,0.9996,0.4114,0.5829
28,0.110236,3758627,2702,5310477,0.9993,0.4144,0.5859
29,0.114173,3755832,5497,5190184,0.9985,0.4198,0.5911
30,0.11811,3751373,9956,4989826,0.9974,0.4292,0.6001
31,0.122047,3743944,17385,4706477,0.9954,0.443,0.6132
32,0.125984,3732780,28549,4387201,0.9924,0.4597,0.6283
33,0.129921,3716404,44925,4052294,0.9881,0.4784,0.6446
34,0.133858,3693611,67718,3709027,0.982,0.499,0.6617
35,0.137795,3664116,97213,3373051,0.9742,0.5207,0.6786
36,0.141732,3626126,135203,3061229,0.9641,0.5422,0.6941
37,0.145669,3582806,178523,2780044,0.9525,0.5631,0.7078
38,0.149606,3535394,225935,2534470,0.9399,0.5825,0.7192
39,0.153543,3483871,277458,2315675,0.9262,0.6007,0.7288
40,0.15748,3431831,329498,2128092,0.9124,0.6172,0.7363
41,0.161417,3380972,380357,1969373,0.8989,0.6319,0.7421
42,0.165354,3330676,430653,1831585,0.8855,0.6452,0.7465
43,0.169291,3283288,478041,1714733,0.8729,0.6569,0.7497
44,0.173228,3237240,524089,1613231,0.8607,0.6674,0.7518
45,0.177165,3195010,566319,1526077,0.8494,0.6768,0.7533
46,0.181102,3153787,607542,1449284,0.8385,0.6851,0.7541
47,0.185039,3115997,645332,1383021,0.8284,0.6926,0.7544
48,0.188976,3080004,681325,1324361,0.8189,0.6993,0.7544
49,0.192913,3047067,714262,1272606,0.8101,0.7054,0.7541
50,0.19685,3016244,745085,1226430,0.8019,0.7109,0.7537
51,0.200787,2989319,772010,1187488,0.7948,0.7157,0.7532
52,0.204724,2964759,796570,1153855,0.7882,0.7198,0.7525
53,0.208661,2943429,817900,1125368,0.7826,0.7234,0.7518
54,0.212598,2925413,835916,1102037,0.7778,0.7264,0.7512
55,0.216535,2910341,850988,1083428,0.7738,0.7287,0.7506
56,0.220472,2897094,864235,1067130,0.7702,0.7308,0.75
57,0.224409,2885519,875810,1053333,0.7672,0.7326,0.7495
58,0.228346,2874599,886730,1040735,0.7643,0.7342,0.7489
59,0.232283,2864586,896743,1029138,0.7616,0.7357,0.7484
60,0.23622,2855056,906273,1018086,0.7591,0.7371,0.7479
61,0.240157,2846324,915005,1008199,0.7567,0.7384,0.7475
62,0.244094,2838111,923218,998686,0.7546,0.7397,0.7471
63,0.248031,2830116,931213,989560,0.7524,0.7409,0.7466
64,0.251968,2822420,938909,980943,0.7504,0.7421,0.7462
65,0.255905,2815128,946201,972938,0.7484,0.7432,0.7458
66,0.259842,2807986,953343,965230,0.7465,0.7442,0.7454
67,0.263779,2801237,960092,957820,0.7447,0.7452,0.745
68,0.267716,2794557,966772,950557,0.743,0.7462,0.7446
69,0.271653,2788364,972965,943996,0.7413,0.7471,0.7442
70,0.27559,2782129,979200,937353,0.7397,0.748,0.7438
71,0.279527,2776127,985202,931155,0.7381,0.7488,0.7434
72,0.283464,2770150,991179,924922,0.7365,0.7497,0.743
73,0.287401,2764344,996985,918987,0.7349,0.7505,0.7426
74,0.291338,2758696,1002633,913207,0.7334,0.7513,0.7423
75,0.295275,2752962,1008367,907601,0.7319,0.7521,0.7418
76,0.299212,2747548,1013781,902224,0.7305,0.7528,0.7415
77,0.303149,2742246,1019083,896860,0.7291,0.7535,0.7411
78,0.307086,2737032,1024297,891894,0.7277,0.7542,0.7407
79,0.311023,2731928,1029401,886930,0.7263,0.7549,0.7403
80,0.31496,2726957,1034372,882237,0.725,0.7556,0.74
81,0.318897,2721844,1039485,877392,0.7236,0.7562,0.7396
82,0.322834,2716985,1044344,872866,0.7223,0.7569,0.7392
83,0.326771,2711974,1049355,868267,0.721,0.7575,0.7388
84,0.330708,2707195,1054134,863817,0.7197,0.7581,0.7384
85,0.334645,2702446,1058883,859415,0.7185,0.7587,0.7381
86,0.338582,2697673,1063656,855094,0.7172,0.7593,0.7377
87,0.342519,2693039,1068290,850736,0.716,0.7599,0.7373
88,0.346456,2688357,1072972,846487,0.7147,0.7605,0.7369
89,0.350393,2683730,1077599,842340,0.7135,0.7611,0.7365
90,0.35433,2679142,1082187,838300,0.7123,0.7617,0.7362
91,0.358267,2674530,1086799,834253,0.7111,0.7622,0.7358
92,0.362204,2669938,1091391,830294,0.7098,0.7628,0.7354
93,0.366141,2665382,1095947,826329,0.7086,0.7633,0.735
94,0.370078,2660763,1100566,822452,0.7074,0.7639,0.7346
95,0.374015,2656372,1104957,818695,0.7062,0.7644,0.7342
96,0.377952,2651745,1109584,814856,0.705,0.7649,0.7337
97,0.381889,2647346,1113983,810968,0.7038,0.7655,0.7334
98,0.385826,2642857,1118472,807103,0.7026,0.7661,0.733
99,0.389763,2638257,1123072,803227,0.7014,0.7666,0.7326
100,0.3937,2633715,1127614,799320,0.7002,0.7672,0.7322
101,0.397637,2629017,1132312,795406,0.699,0.7677,0.7317
102,0.401574,2624404,1136925,791510,0.6977,0.7683,0.7313
103,0.405511,2619729,1141600,787735,0.6965,0.7688,0.7309
104,0.409448,2614893,1146436,783843,0.6952,0.7694,0.7304
105,0.413385,2610141,1151188,780000,0.6939,0.7699,0.73
106,0.417322,2605383,1155946,776212,0.6927,0.7705,0.7295
107,0.421259,2600449,1160880,772320,0.6914,0.771,0.729
108,0.425196,2595486,1165843,768267,0.69,0.7716,0.7285
109,0.429133,2590478,1170851,764284,0.6887,0.7722,0.7281
110,0.43307,2585493,1175836,760331,0.6874,0.7728,0.7276
111,0.437007,2580275,1181054,756184,0.686,0.7734,0.7271
112,0.440944,2574938,1186391,752041,0.6846,0.774,0.7265
113,0.444881,2569404,1191925,747823,0.6831,0.7746,0.726
114,0.448818,2563754,1197575,743493,0.6816,0.7752,0.7254
115,0.452755,2557951,1203378,739051,0.6801,0.7758,0.7248
116,0.456692,2551941,1209388,734482,0.6785,0.7765,0.7242
117,0.460629,2545719,1215610,729794,0.6768,0.7772,0.7235
118,0.464566,2539202,1222127,724803,0.6751,0.7779,0.7229
119,0.468503,2532236,1229093,719612,0.6732,0.7787,0.7221
120,0.47244,2524762,1236567,714043,0.6712,0.7795,0.7213
121,0.476377,2516774,1244555,708334,0.6691,0.7804,0.7205
122,0.480314,2508303,1253026,702046,0.6669,0.7813,0.7196
123,0.484251,2498838,1262491,695183,0.6643,0.7823,0.7185
124,0.488188,2488145,1273184,687603,0.6615,0.7835,0.7173
125,0.492125,2475536,1285793,678925,0.6582,0.7848,0.7159
126,0.496062,2460287,1301042,668411,0.6541,0.7864,0.7142
127,0.5,2441151,1320178,655307,0.649,0.7884,0.7119
128,0.503937,2411299,1350030,635651,0.6411,0.7914,0.7083
129,0.507874,2347034,1414295,591322,0.624,0.7988,0.7006
130,0.511811,2273113,1488216,546592,0.6043,0.8062,0.6908
131,0.515748,2221093,1540236,516334,0.5905,0.8114,0.6835
132,0.519685,2181570,1579759,494981,0.58,0.8151,0.6777
133,0.523622,2147500,1613829,477475,0.5709,0.8181,0.6725
134,0.527559,2116282,1645047,462016,0.5626,0.8208,0.6676
135,0.531496,2086995,1674334,448025,0.5549,0.8233,0.6629
136,0.535433,2059041,1702288,434941,0.5474,0.8256,0.6583
137,0.53937,2032087,1729242,422733,0.5403,0.8278,0.6538
138,0.543307,2005871,1755458,411173,0.5333,0.8299,0.6493
139,0.547244,1980466,1780863,400123,0.5265,0.8319,0.6449
140,0.551181,1955221,1806108,389482,0.5198,0.8339,0.6404
141,0.555118,1929968,1831361,379113,0.5131,0.8358,0.6359
142,0.559055,1904920,1856409,369109,0.5064,0.8377,0.6313
143,0.562992,1880114,1881215,359185,0.4999,0.8396,0.6266
144,0.566929,1854885,1906444,349873,0.4931,0.8413,0.6218
145,0.570866,1829465,1931864,340708,0.4864,0.843,0.6169
146,0.574803,1805172,1956157,332138,0.4799,0.8446,0.6121
147,0.57874,1780270,1981059,323512,0.4733,0.8462,0.6071
148,0.582677,1755212,2006117,315170,0.4666,0.8478,0.602
149,0.586614,1729638,2031691,306905,0.4598,0.8493,0.5966
150,0.590551,1704752,2056577,298966,0.4532,0.8508,0.5914
151,0.594488,1679797,2081532,291319,0.4466,0.8522,0.5861
152,0.598425,1653655,2107674,283482,0.4396,0.8537,0.5804
153,0.602362,1627692,2133637,275984,0.4327,0.855,0.5746
154,0.606299,1600189,2161140,268515,0.4254,0.8563,0.5684
155,0.610236,1571801,2189528,261089,0.4179,0.8576,0.5619
156,0.614173,1542890,2218439,253506,0.4102,0.8589,0.5552
157,0.61811,1513179,2248150,246122,0.4023,0.8601,0.5482
158,0.622047,1482389,2278940,238350,0.3941,0.8615,0.5408
159,0.625984,1450615,2310714,230839,0.3857,0.8627,0.533
160,0.629921,1416576,2344753,222935,0.3766,0.864,0.5246
161,0.633858,1381740,2379589,214938,0.3674,0.8654,0.5158
162,0.637795,1344379,2416950,206910,0.3574,0.8666,0.5061
163,0.641732,1305539,2455790,198657,0.3471,0.8679,0.4959
164,0.645669,1264939,2496390,190007,0.3363,0.8694,0.485
165,0.649606,1222352,2538977,181400,0.325,0.8708,0.4733
166,0.653543,1177405,2583924,172770,0.313,0.872,0.4607
167,0.65748,1128276,2633053,163825,0.3,0.8732,0.4465
168,0.661417,1076843,2684486,154551,0.2863,0.8745,0.4314
169,0.665354,1023267,2738062,145311,0.272,0.8757,0.4151
170,0.669291,968724,2792605,136148,0.2575,0.8768,0.3981
171,0.673228,909936,2851393,126219,0.2419,0.8782,0.3793
172,0.677165,851303,2910026,116369,0.2263,0.8797,0.36
173,0.681102,789554,2971775,106652,0.2099,0.881,0.339
174,0.685039,726886,3034443,97522,0.1933,0.8817,0.317
175,0.688976,663295,3098034,88776,0.1763,0.882,0.2939
176,0.692913,602225,3159104,80712,0.1601,0.8818,0.271
177,0.69685,541784,3219545,72754,0.144,0.8816,0.2476
178,0.700787,485047,3276282,65116,0.129,0.8816,0.225
179,0.704724,430150,3331179,57688,0.1144,0.8817,0.2025
180,0.708661,379801,3381528,51150,0.101,0.8813,0.1812
181,0.712598,330789,3430540,45272,0.0879,0.8796,0.1599
182,0.716535,286509,3474820,39796,0.0762,0.878,0.1402
183,0.720472,245618,3515711,34597,0.0653,0.8765,0.1215
184,0.724409,208682,3552647,30066,0.0555,0.8741,0.1043
185,0.728346,175943,3585386,26038,0.0468,0.8711,0.0888
186,0.732283,148028,3613301,22313,0.0394,0.869,0.0753
187,0.73622,123725,3637604,19246,0.0329,0.8654,0.0634
188,0.740157,102453,3658876,16694,0.0272,0.8599,0.0528
189,0.744094,84265,3677064,14578,0.0224,0.8525,0.0437
190,0.748031,69604,3691725,12612,0.0185,0.8466,0.0362
191,0.751968,58172,3703157,10786,0.0155,0.8436,0.0304
192,0.755905,47675,3713654,8950,0.0127,0.8419,0.025
193,0.759842,38789,3722540,7234,0.0103,0.8428,0.0204
194,0.763779,31823,3729506,5294,0.0085,0.8574,0.0168
195,0.767716,26117,3735212,3674,0.0069,0.8767,0.0138
196,0.771653,21522,3739807,2518,0.0057,0.8953,0.0114
197,0.77559,18201,3743128,1704,0.0048,0.9144,0.0096
198,0.779527,15737,3745592,981,0.0042,0.9413,0.0083
199,0.783464,13835,3747494,551,0.0037,0.9617,0.0073
200,0.787401,12215,3749114,290,0.0032,0.9768,0.0065
201,0.791338,10937,3750392,147,0.0029,0.9867,0.0058
202,0.795275,9861,3751468,60,0.0026,0.994,0.0052
203,0.799212,8802,3752527,11,0.0023,0.9988,0.0047
204,0.803149,7708,3753621,0,0.002,1.0,0.0041
205,0.807086,6644,3754685,0,0.0018,1.0,0.0035
206,0.811023,5524,3755805,0,0.0015,1.0,0.0029
207,0.81496,4462,3756867,0,0.0012,1.0,0.0024
208,0.818897,3505,3757824,0,0.0009,1.0,0.0019
209,0.822834,2619,3758710,0,0.0007,1.0,0.0014
210,0.826771,1892,3759437,0,0.0005,1.0,0.001
211,0.830708,1327,3760002,0,0.0004,1.0,0.0007
212,0.834645,853,3760476,0,0.0002,1.0,0.0005
213,0.838582,519,3760810,0,0.0001,1.0,0.0003
214,0.842519,228,3761101,0,0.0001,1.0,0.0001
215,0.846456,42,3761287,0,0.0,1.0,0.0
216,0.850393,0,3761329,0,0.0,nan,
217,0.85433,0,3761329,0,0.0,nan,
218,0.858267,0,3761329,0,0.0,nan,
219,0.862204,0,3761329,0,0.0,nan,
220,0.866141,0,3761329,0,0.0,nan,
221,0.870078,0,3761329,0,0.0,nan,
222,0.874015,0,3761329,0,0.0,nan,
223,0.877952,0,3761329,0,0.0,nan,
224,0.881889,0,3761329,0,0.0,nan,
225,0.885826,0,3761329,0,0.0,nan,
226,0.889763,0,3761329,0,0.0,nan,
227,0.8937,0,3761329,0,0.0,nan,
228,0.897637,0,3761329,0,0.0,nan,
229,0.901574,0,3761329,0,0.0,nan,
230,0.905511,0,3761329,0,0.0,nan,
231,0.909448,0,3761329,0,0.0,nan,
232,0.913385,0,3761329,0,0.0,nan,
233,0.917322,0,3761329,0,0.0,nan,
234,0.921259,0,3761329,0,0.0,nan,
235,0.925196,0,3761329,0,0.0,nan,
236,0.929133,0,3761329,0,0.0,nan,
237,0.93307,0,3761329,0,0.0,nan,
238,0.937007,0,3761329,0,0.0,nan,
239,0.940944,0,3761329,0,0.0,nan,
240,0.944881,0,3761329,0,0.0,nan,
241,0.948818,0,3761329,0,0.0,nan,
242,0.952755,0,3761329,0,0.0,nan,
243,0.956692,0,3761329,0,0.0,nan,
244,0.960629,0,3761329,0,0.0,nan,
245,0.964566,0,3761329,0,0.0,nan,
246,0.968503,0,3761329,0,0.0,nan,
247,0.97244,0,3761329,0,0.0,nan,
248,0.976377,0,3761329,0,0.0,nan,
249,0.980314,0,3761329,0,0.0,nan,
250,0.984251,0,3761329,0,0.0,nan,
251,0.988188,0,3761329,0,0.0,nan,
252,0.992125,0,3761329,0,0.0,nan,
253,0.996062,0,3761329,0,0.0,nan,
254,1.0,0,3761329,0,0.0,nan,
