k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,1664522,1115,3347222,0.9993,0.3321,0.4986
2,0.007874,1660214,5423,3068294,0.9967,0.3511,0.5193
3,0.011811,1653810,11827,2787811,0.9929,0.3723,0.5416
4,0.015748,1645887,19750,2560182,0.9881,0.3913,0.5606
5,0.019685,1636548,29089,2368691,0.9825,0.4086,0.5772
6,0.023622,1627015,38622,2209669,0.9768,0.4241,0.5914
7,0.027559,1617482,48155,2063599,0.9711,0.4394,0.605
8,0.031496,1607750,57887,1934223,0.9652,0.4539,0.6175
9,0.035433,1597807,67830,1820896,0.9593,0.4674,0.6285
10,0.03937,1588196,77441,1721390,0.9535,0.4799,0.6384
11,0.043307,1578836,86801,1636528,0.9479,0.491,0.6469
12,0.047244,1569525,96112,1561496,0.9423,0.5013,0.6544
13,0.051181,1560691,104946,1498644,0.937,0.5101,0.6606
14,0.055118,1551958,113679,1442398,0.9318,0.5183,0.6661
15,0.059055,1543448,122189,1391991,0.9266,0.5258,0.6709
16,0.062992,1535516,130121,1346764,0.9219,0.5327,0.6753
17,0.066929,1527632,138005,1305951,0.9171,0.5391,0.6791
18,0.070866,1519843,145794,1269285,0.9125,0.5449,0.6823
19,0.074803,1512162,153475,1234737,0.9079,0.5505,0.6854
20,0.07874,1504887,160750,1204354,0.9035,0.5555,0.688
21,0.082677,1497954,167683,1175410,0.8993,0.5603,0.6905
22,0.086614,1491011,174626,1147997,0.8952,0.565,0.6927
23,0.090551,1484551,181086,1123317,0.8913,0.5693,0.6948
24,0.094488,1478346,187291,1100240,0.8876,0.5733,0.6966
25,0.098425,1471875,193762,1077767,0.8837,0.5773,0.6984
26,0.102362,1465790,199847,1057053,0.88,0.581,0.6999
27,0.106299,1460157,205480,1037559,0.8766,0.5846,0.7014
28,0.110236,1454671,210966,1019552,0.8733,0.5879,0.7028
29,0.114173,1449550,216087,1002882,0.8703,0.5911,0.704
30,0.11811,1444552,221085,986300,0.8673,0.5943,0.7053
31,0.122047,1439505,226132,971139,0.8642,0.5971,0.7063
32,0.125984,1434659,230978,956413,0.8613,0.6,0.7073
33,0.129921,1430141,235496,942559,0.8586,0.6027,0.7083
34,0.133858,1425512,240125,928866,0.8558,0.6055,0.7092
35,0.137795,1420939,244698,916112,0.8531,0.608,0.71
36,0.141732,1416507,249130,903974,0.8504,0.6104,0.7107
37,0.145669,1412046,253591,892240,0.8478,0.6128,0.7114
38,0.149606,1407809,257828,881053,0.8452,0.6151,0.712
39,0.153543,1403511,262126,869794,0.8426,0.6174,0.7126
40,0.15748,1399329,266308,858999,0.8401,0.6196,0.7132
41,0.161417,1395275,270362,848550,0.8377,0.6218,0.7138
42,0.165354,1391056,274581,838378,0.8351,0.624,0.7143
43,0.169291,1386970,278667,828390,0.8327,0.6261,0.7147
44,0.173228,1382849,282788,818766,0.8302,0.6281,0.7152
45,0.177165,1378912,286725,809398,0.8279,0.6301,0.7156
46,0.181102,1374798,290839,800141,0.8254,0.6321,0.7159
47,0.185039,1370887,294750,791264,0.823,0.634,0.7163
48,0.188976,1366931,298706,782483,0.8207,0.636,0.7166
49,0.192913,1363070,302567,774062,0.8183,0.6378,0.7169
50,0.19685,1359084,306553,765550,0.816,0.6397,0.7171
51,0.200787,1355232,310405,757480,0.8136,0.6415,0.7174
52,0.204724,1351395,314242,749446,0.8113,0.6433,0.7176
53,0.208661,1347391,318246,741388,0.8089,0.6451,0.7178
54,0.212598,1343315,322322,733349,0.8065,0.6469,0.7179
55,0.216535,1339336,326301,725612,0.8041,0.6486,0.718
56,0.220472,1335327,330310,717832,0.8017,0.6504,0.7182
57,0.224409,1331467,334170,710593,0.7994,0.652,0.7182
58,0.228346,1327608,338029,703062,0.7971,0.6538,0.7183
59,0.232283,1323737,341900,695782,0.7947,0.6555,0.7184
60,0.23622,1319866,345771,688589,0.7924,0.6572,0.7185
61,0.240157,1316104,349533,681702,0.7902,0.6588,0.7185
62,0.244094,1312275,353362,674808,0.7879,0.6604,0.7185
63,0.248031,1308434,357203,667938,0.7855,0.662,0.7185
64,0.251968,1304497,361140,661113,0.7832,0.6637,0.7185
65,0.255905,1300725,364912,654578,0.7809,0.6652,0.7184
66,0.259842,1297063,368574,648049,0.7787,0.6668,0.7184
67,0.263779,1293406,372231,641532,0.7765,0.6684,0.7184
