k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,139081509,0,202600591,1.0,0.407,0.5786
2,0.007874,139081509,0,202600591,1.0,0.407,0.5786
3,0.011811,139081509,0,202600591,1.0,0.407,0.5786
4,0.015748,139081509,0,202600591,1.0,0.407,0.5786
5,0.019685,139081509,0,202600591,1.0,0.407,0.5786
6,0.023622,139081509,0,202600591,1.0,0.407,0.5786
7,0.027559,139081509,0,202600591,1.0,0.407,0.5786
8,0.031496,139081509,0,202600591,1.0,0.407,0.5786
9,0.035433,139081509,0,202600591,1.0,0.407,0.5786
10,0.03937,139081509,0,202600591,1.0,0.407,0.5786
11,0.043307,139081509,0,202600591,1.0,0.407,0.5786
12,0.047244,139081509,0,202600591,1.0,0.407,0.5786
13,0.051181,139081509,0,202600591,1.0,0.407,0.5786
14,0.055118,139081509,0,202600591,1.0,0.407,0.5786
15,0.059055,139081509,0,202600591,1.0,0.407,0.5786
16,0.062992,139081509,0,202600591,1.0,0.407,0.5786
17,0.066929,139078989,2520,202587821,1.0,0.4071,0.5786
18,0.070866,133956571,5124938,194463779,0.9632,0.4079,0.5731
19,0.074803,104965367,34116142,88260777,0.7547,0.5432,0.6317
20,0.07874,87335463,51746046,23538572,0.6279,0.7877,0.6988
21,0.082677,82634429,56447080,18798702,0.5941,0.8147,0.6871
22,0.086614,81139046,57942463,17771076,0.5834,0.8203,0.6819
23,0.090551,80449597,58631912,17317922,0.5784,0.8229,0.6793
24,0.094488,80027475,59054034,17057668,0.5754,0.8243,0.6777
25,0.098425,79720791,59360718,16882307,0.5732,0.8252,0.6765
26,0.102362,79485436,59596073,16752394,0.5715,0.8259,0.6756
27,0.106299,79292888,59788621,16646939,0.5701,0.8265,0.6748
28,0.110236,79130200,59951309,16558623,0.5689,0.827,0.6741
29,0.114173,78988577,60092932,16482255,0.5679,0.8274,0.6735
30,0.11811,78857911,60223598,16412191,0.567,0.8277,0.673
31,0.122047,78738013,60343496,16348322,0.5661,0.8281,0.6725
32,0.125984,78629594,60451915,16290241,0.5653,0.8284,0.672
33,0.129921,78532715,60548794,16238517,0.5647,0.8287,0.6716
34,0.133858,78440687,60640822,16189570,0.564,0.8289,0.6713
35,0.137795,78355372,60726137,16144154,0.5634,0.8292,0.6709
36,0.141732,78274999,60806510,16101948,0.5628,0.8294,0.6706
37,0.145669,78200596,60880913,16062305,0.5623,0.8296,0.6703
38,0.149606,78130857,60950652,16025382,0.5618,0.8298,0.67
39,0.153543,78062846,61018663,15989578,0.5613,0.83,0.6697
40,0.15748,77999092,61082417,15955499,0.5608,0.8302,0.6694
41,0.161417,77938833,61142676,15923776,0.5604,0.8304,0.6692
42,0.165354,77879676,61201833,15892809,0.56,0.8305,0.6689
43,0.169291,77824545,61256964,15863485,0.5596,0.8307,0.6687
44,0.173228,77770223,61311286,15834864,0.5592,0.8308,0.6685
45,0.177165,77718701,61362808,15807667,0.5588,0.831,0.6682
46,0.181102,77667846,61413663,15780953,0.5584,0.8311,0.668
47,0.185039,77619471,61462038,15755683,0.5581,0.8313,0.6678
48,0.188976,77571754,61509755,15730740,0.5577,0.8314,0.6676
49,0.192913,77526106,61555403,15706703,0.5574,0.8315,0.6674
50,0.19685,77481274,61600235,15683290,0.5571,0.8317,0.6672
51,0.200787,77438216,61643293,15660951,0.5568,0.8318,0.6671
52,0.204724,77395682,61685827,15638712,0.5565,0.8319,0.6669
53,0.208661,77354057,61727452,15616430,0.5562,0.832,0.6667
54,0.212598,77312227,61769282,15594739,0.5559,0.8321,0.6665
55,0.216535,77271762,61809747,15573979,0.5556,0.8323,0.6663
56,0.220472,77232026,61849483,15553433,0.5553,0.8324,0.6662
57,0.224409,77194114,61887395,15533776,0.555,0.8325,0.666
58,0.228346,77156364,61925145,15514305,0.5548,0.8326,0.6659
59,0.232283,77118707,61962802,15494844,0.5545,0.8327,0.6657
60,0.23622,77081365,62000144,15475365,0.5542,0.8328,0.6655
61,0.240157,77045216,62036293,15457035,0.554,0.8329,0.6654
62,0.244094,77009275,62072234,15438823,0.5537,0.833,0.6652
63,0.248031,76973427,62108082,15420690,0.5534,0.8331,0.6651
64,0.251968,76937353,62144156,15402348,0.5532,0.8332,0.6649
65,0.255905,76903067,62178442,15384937,0.5529,0.8333,0.6648
66,0.259842,76868536,62212973,15367377,0.5527,0.8334,0.6646
67,0.263779,76833967,62247542,15349809,0.5524,0.8335,0.6645
68,0.267716,76799428,62282081,15332568,0.5522,0.8336,0.6643
69,0.271653,76766369,62315140,15315826,0.552,0.8337,0.6642
70,0.27559,76732970,62348539,15298945,0.5517,0.8338,0.664
71,0.279527,76700075,62381434,15282406,0.5515,0.8339,0.6639
72,0.283464,76667165,62414344,15265864,0.5512,0.8339,0.6637
73,0.287401,76634185,62447324,15249403,0.551,0.834,0.6636
74,0.291338,76602069,62479440,15233065,0.5508,0.8341,0.6635
75,0.295275,76568632,62512877,15216447,0.5505,0.8342,0.6633
76,0.299212,76536986,62544523,15200407,0.5503,0.8343,0.6632
77,0.303149,76504281,62577228,15184197,0.5501,0.8344,0.663
78,0.307086,76472049,62609460,15168557,0.5498,0.8345,0.6629
79,0.311023,76439789,62641720,15152676,0.5496,0.8346,0.6628
80,0.31496,76408526,62672983,15137264,0.5494,0.8346,0.6626
81,0.318897,76375655,62705854,15121045,0.5491,0.8347,0.6625
82,0.322834,76344202,62737307,15105679,0.5489,0.8348,0.6623
83,0.326771,76312169,62769340,15090095,0.5487,0.8349,0.6622
84,0.330708,76280944,62800565,15074927,0.5485,0.835,0.6621
85,0.334645,76248728,62832781,15059110,0.5482,0.8351,0.6619
86,0.338582,76217271,62864238,15043863,0.548,0.8352,0.6618
87,0.342519,76185590,62895919,15028347,0.5478,0.8352,0.6616
88,0.346456,76153721,62927788,15012885,0.5475,0.8353,0.6615
89,0.350393,76121947,62959562,14997330,0.5473,0.8354,0.6614
90,0.35433,76090761,62990748,14982049,0.5471,0.8355,0.6612
91,0.358267,76059169,63022340,14966736,0.5469,0.8356,0.6611
92,0.362204,76027308,63054201,14951173,0.5466,0.8357,0.6609
93,0.366141,75994853,63086656,14935626,0.5464,0.8357,0.6608
94,0.370078,75961954,63119555,14919873,0.5462,0.8358,0.6606
95,0.374015,75929855,63151654,14904320,0.5459,0.8359,0.6605
96,0.377952,75896281,63185228,14888277,0.5457,0.836,0.6604
97,0.381889,75862636,63218873,14872250,0.5455,0.8361,0.6602
98,0.385826,75828801,63252708,14856194,0.5452,0.8362,0.6601
99,0.389763,75794625,63286884,14839810,0.545,0.8363,0.6599
100,0.3937,75759750,63321759,14822958,0.5447,0.8364,0.6597
101,0.397637,75724393,63357116,14806135,0.5445,0.8365,0.6596
102,0.401574,75688958,63392551,14789379,0.5442,0.8365,0.6594
103,0.405511,75653134,63428375,14772019,0.5439,0.8366,0.6593
104,0.409448,75615727,63465782,14754598,0.5437,0.8367,0.6591
105,0.413385,75577840,63503669,14736783,0.5434,0.8368,0.6589
106,0.417322,75539792,63541717,14718417,0.5431,0.8369,0.6588
107,0.421259,75499602,63581907,14699511,0.5428,0.837,0.6586
108,0.425196,75458452,63623057,14680665,0.5425,0.8371,0.6584
109,0.429133,75415890,63665619,14660720,0.5422,0.8372,0.6582
110,0.43307,75372570,63708939,14640613,0.5419,0.8374,0.658
111,0.437007,75327262,63754247,14619693,0.5416,0.8375,0.6578
112,0.440944,75279916,63801593,14597737,0.5413,0.8376,0.6576
113,0.444881,75231364,63850145,14575204,0.5409,0.8377,0.6574
114,0.448818,75181687,63899822,14551805,0.5406,0.8378,0.6571
115,0.452755,75129505,63952004,14527660,0.5402,0.838,0.6569
116,0.456692,75076033,64005476,14503010,0.5398,0.8381,0.6567
117,0.460629,75020232,64061277,14477531,0.5394,0.8382,0.6564
118,0.464566,74961878,64119631,14450503,0.539,0.8384,0.6561
119,0.468503,74901337,64180172,14422780,0.5385,0.8385,0.6559
120,0.47244,74836109,64245400,14392672,0.5381,0.8387,0.6556
121,0.476377,74765934,64315575,14360343,0.5376,0.8389,0.6552
122,0.480314,74688492,64393017,14324227,0.537,0.8391,0.6549
123,0.484251,74600140,64481369,14283134,0.5364,0.8393,0.6545
124,0.488188,74497035,64584474,14234856,0.5356,0.8396,0.654
125,0.492125,74373176,64708333,14176474,0.5347,0.8399,0.6535
126,0.496062,74186056,64895453,14085080,0.5334,0.8404,0.6526
127,0.5,73825653,65255856,13867701,0.5308,0.8419,0.6511
128,0.503937,73494199,65587310,13701040,0.5284,0.8429,0.6496
129,0.507874,73188018,65893491,13560824,0.5262,0.8437,0.6482
130,0.511811,72900294,66181215,13432694,0.5242,0.8444,0.6468
131,0.515748,72629315,66452194,13314435,0.5222,0.8451,0.6455
132,0.519685,72370400,66711109,13202507,0.5203,0.8457,0.6443
133,0.523622,72119607,66961902,13094733,0.5185,0.8463,0.6431
134,0.527559,71871592,67209917,12988949,0.5168,0.8469,0.6419
135,0.531496,71626640,67454869,12884524,0.515,0.8475,0.6407
136,0.535433,71385814,67695695,12783294,0.5133,0.8481,0.6395
137,0.53937,71150816,67930693,12684334,0.5116,0.8487,0.6384
138,0.543307,70913814,68167695,12585197,0.5099,0.8493,0.6372
139,0.547244,70673924,68407585,12484978,0.5081,0.8499,0.636
140,0.551181,70429607,68651902,12384202,0.5064,0.8505,0.6348
141,0.555118,70178150,68903359,12282071,0.5046,0.8511,0.6335
142,0.559055,69922567,69158942,12178466,0.5027,0.8517,0.6323
143,0.562992,69659751,69421758,12073109,0.5009,0.8523,0.6309
