k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,5926875,0,8901987,1.0,0.3997,0.5711
2,0.007874,5926875,0,8901987,1.0,0.3997,0.5711
3,0.011811,5926875,0,8901987,1.0,0.3997,0.5711
4,0.015748,5926875,0,8901987,1.0,0.3997,0.5711
5,0.019685,5926875,0,8901987,1.0,0.3997,0.5711
6,0.023622,5926875,0,8901987,1.0,0.3997,0.5711
7,0.027559,5926875,0,8901987,1.0,0.3997,0.5711
8,0.031496,5926875,0,8901987,1.0,0.3997,0.5711
9,0.035433,5926875,0,8901987,1.0,0.3997,0.5711
10,0.03937,5926875,0,8901987,1.0,0.3997,0.5711
11,0.043307,5926875,0,8901987,1.0,0.3997,0.5711
12,0.047244,5926875,0,8901987,1.0,0.3997,0.5711
13,0.051181,5926875,0,8901987,1.0,0.3997,0.5711
14,0.055118,5926875,0,8901987,1.0,0.3997,0.5711
15,0.059055,5926875,0,8901987,1.0,0.3997,0.5711
16,0.062992,5926875,0,8901987,1.0,0.3997,0.5711
17,0.066929,5926875,0,8901987,1.0,0.3997,0.5711
18,0.070866,5926875,0,8901987,1.0,0.3997,0.5711
19,0.074803,5926875,0,8901987,1.0,0.3997,0.5711
20,0.07874,5926875,0,8901987,1.0,0.3997,0.5711
21,0.082677,5926875,0,8901987,1.0,0.3997,0.5711
22,0.086614,5926875,0,8901987,1.0,0.3997,0.5711
23,0.090551,5926875,0,8901987,1.0,0.3997,0.5711
24,0.094488,5926875,0,8901987,1.0,0.3997,0.5711
25,0.098425,5926875,0,8901987,1.0,0.3997,0.5711
26,0.102362,5926875,0,8901987,1.0,0.3997,0.5711
27,0.106299,5926875,0,8901987,1.0,0.3997,0.5711
28,0.110236,5926875,0,8901987,1.0,0.3997,0.5711
29,0.114173,5926875,0,8901987,1.0,0.3997,0.5711
30,0.11811,5926875,0,8901987,1.0,0.3997,0.5711
31,0.122047,5926875,0,8901978,1.0,0.3997,0.5711
32,0.125984,5926875,0,8901938,1.0,0.3997,0.5711
33,0.129921,5926824,51,8901814,1.0,0.3997,0.5711
34,0.133858,5926348,527,8900803,0.9999,0.3997,0.5711
35,0.137795,5925241,1634,8896984,0.9997,0.3998,0.5711
36,0.141732,5922936,3939,8887652,0.9993,0.3999,0.5712
37,0.145669,5919310,7565,8867552,0.9987,0.4003,0.5715
38,0.149606,5914181,12694,8830101,0.9979,0.4011,0.5722
39,0.153543,5906277,20598,8761276,0.9965,0.4027,0.5736
40,0.15748,5896175,30700,8639294,0.9948,0.4056,0.5763
41,0.161417,5883210,43665,8442164,0.9926,0.4107,0.581
42,0.165354,5867182,59693,8167929,0.9899,0.418,0.5878
43,0.169291,5847631,79244,7820541,0.9866,0.4278,0.5968
44,0.173228,5824954,101921,7410588,0.9828,0.4401,0.608
45,0.177165,5800653,126222,6988008,0.9787,0.4536,0.6199
46,0.181102,5772970,153905,6557889,0.974,0.4682,0.6324
47,0.185039,5741362,185513,6151934,0.9687,0.4827,0.6444
48,0.188976,5705902,220973,5772820,0.9627,0.4971,0.6556
49,0.192913,5669585,257290,5435314,0.9566,0.5105,0.6658
50,0.19685,5629105,297770,5120020,0.9498,0.5237,0.6751
51,0.200787,5586917,339958,4836362,0.9426,0.536,0.6834
52,0.204724,5541002,385873,4571200,0.9349,0.548,0.6909
53,0.208661,5492327,434548,4321224,0.9267,0.5597,0.6979
54,0.212598,5441381,485494,4087146,0.9181,0.5711,0.7041
55,0.216535,5390749,536126,3876052,0.9095,0.5817,0.7096
56,0.220472,5339121,587754,3682711,0.9008,0.5918,0.7143
57,0.224409,5288854,638021,3511925,0.8924,0.601,0.7182
58,0.228346,5240881,685994,3355556,0.8843,0.6097,0.7217
59,0.232283,5193818,733057,3212528,0.8763,0.6178,0.7247
60,0.23622,5147527,779348,3083051,0.8685,0.6254,0.7272
61,0.240157,5104972,821903,2970868,0.8613,0.6321,0.7291
62,0.244094,5066243,860632,2871515,0.8548,0.6382,0.7308
63,0.248031,5031861,895014,2787173,0.849,0.6435,0.7321
64,0.251968,5002481,924394,2717692,0.844,0.648,0.7331
65,0.255905,4979409,947466,2665501,0.8401,0.6513,0.7338
66,0.259842,4959441,967434,2623959,0.8368,0.654,0.7342
67,0.263779,4942408,984467,2589420,0.8339,0.6562,0.7345
68,0.267716,4927245,999630,2559348,0.8313,0.6581,0.7347
69,0.271653,4913763,1013112,2533900,0.8291,0.6598,0.7348
70,0.27559,4901055,1025820,2509831,0.8269,0.6613,0.7349
71,0.279527,4889490,1037385,2488225,0.825,0.6627,0.735
72,0.283464,4878599,1048276,2467846,0.8231,0.6641,0.7351
73,0.287401,4868063,1058812,2448881,0.8214,0.6653,0.7351
74,0.291338,4858021,1068854,2431219,0.8197,0.6665,0.7352
75,0.295275,4848387,1078488,2413739,0.818,0.6676,0.7352
76,0.299212,4839341,1087534,2397842,0.8165,0.6687,0.7352
77,0.303149,4830542,1096333,2381982,0.815,0.6697,0.7353
78,0.307086,4822023,1104852,2367018,0.8136,0.6707,0.7353
79,0.311023,4813697,1113178,2352339,0.8122,0.6717,0.7353
80,0.31496,4805625,1121250,2338672,0.8108,0.6727,0.7353
81,0.318897,4797595,1129280,2324804,0.8095,0.6736,0.7353
82,0.322834,4789966,1136909,2311712,0.8082,0.6745,0.7353
83,0.326771,4782399,1144476,2298699,0.8069,0.6754,0.7353
84,0.330708,4775224,1151651,2286327,0.8057,0.6762,0.7353
85,0.334645,4767594,1159281,2273842,0.8044,0.6771,0.7353
86,0.338582,4760355,1166520,2261814,0.8032,0.6779,0.7352
87,0.342519,4753279,1173596,2249943,0.802,0.6787,0.7352
88,0.346456,4746411,1180464,2238367,0.8008,0.6795,0.7352
89,0.350393,4739679,1187196,2226950,0.7997,0.6803,0.7352
90,0.35433,4733113,1193762,2216061,0.7986,0.6811,0.7352
91,0.358267,4726374,1200501,2205131,0.7974,0.6819,0.7351
92,0.362204,4719851,1207024,2194409,0.7963,0.6826,0.7351
93,0.366141,4713446,1213429,2183965,0.7953,0.6834,0.7351
94,0.370078,4707149,1219726,2173444,0.7942,0.6841,0.7351
95,0.374015,4701027,1225848,2163337,0.7932,0.6848,0.735
96,0.377952,4694816,1232059,2153188,0.7921,0.6856,0.735
97,0.381889,4688702,1238173,2142991,0.7911,0.6863,0.735
98,0.385826,4682634,1244241,2133041,0.7901,0.687,0.735
99,0.389763,4676574,1250301,2123480,0.789,0.6877,0.7349
100,0.3937,4670369,1256506,2113969,0.788,0.6884,0.7348
101,0.397637,4664129,1262746,2104405,0.7869,0.6891,0.7348
102,0.401574,4658115,1268760,2094723,0.7859,0.6898,0.7347
103,0.405511,4652001,1274874,2085300,0.7849,0.6905,0.7347
104,0.409448,4645989,1280886,2075945,0.7839,0.6912,0.7346
105,0.413385,4639861,1287014,2066574,0.7829,0.6919,0.7345
106,0.417322,4633749,1293126,2057159,0.7818,0.6925,0.7345
107,0.421259,4627543,1299332,2047344,0.7808,0.6933,0.7344
108,0.425196,4621453,1305422,2037926,0.7797,0.694,0.7344
109,0.429133,4615089,1311786,2028438,0.7787,0.6947,0.7343
110,0.43307,4608666,1318209,2019322,0.7776,0.6953,0.7342
111,0.437007,4602094,1324781,2009663,0.7765,0.696,0.7341
112,0.440944,4595423,1331452,1999992,0.7754,0.6968,0.734
113,0.444881,4589001,1337874,1990359,0.7743,0.6975,0.7339
114,0.448818,4582218,1344657,1980653,0.7731,0.6982,0.7338
115,0.452755,4575090,1351785,1970620,0.7719,0.6989,0.7336
116,0.456692,4568005,1358870,1960472,0.7707,0.6997,0.7335
117,0.460629,4560664,1366211,1950294,0.7695,0.7005,0.7334
118,0.464566,4553307,1373568,1939847,0.7682,0.7012,0.7332
119,0.468503,4545608,1381267,1928978,0.7669,0.7021,0.7331
120,0.47244,4537396,1389479,1917756,0.7656,0.7029,0.7329
121,0.476377,4528814,1398061,1906024,0.7641,0.7038,0.7327
122,0.480314,4519749,1407126,1893612,0.7626,0.7047,0.7325
123,0.484251,4509635,1417240,1880070,0.7609,0.7058,0.7323
124,0.488188,4498475,1428400,1865109,0.759,0.7069,0.732
125,0.492125,4485821,1441054,1848295,0.7569,0.7082,0.7317
126,0.496062,4471097,1455778,1828595,0.7544,0.7097,0.7314
127,0.5,4452236,1474639,1802835,0.7512,0.7118,0.731
128,0.503937,4424647,1502228,1765811,0.7465,0.7148,0.7303
129,0.507874,4345924,1580951,1648217,0.7333,0.725,0.7291
130,0.511811,4162923,1763952,1419045,0.7024,0.7458,0.7234
131,0.515748,4036104,1890771,1295871,0.681,0.757,0.717
132,0.519685,3955573,1971302,1221229,0.6674,0.7641,0.7125
133,0.523622,3890640,2036235,1161839,0.6564,0.77,0.7087
134,0.527559,3830030,2096845,1108960,0.6462,0.7755,0.705
135,0.531496,3770639,2156236,1060564,0.6362,0.7805,0.701
136,0.535433,3711316,2215559,1014794,0.6262,0.7853,0.6968
137,0.53937,3654813,2272062,972544,0.6167,0.7898,0.6926
138,0.543307,3597636,2329239,931749,0.607,0.7943,0.6881
139,0.547244,3539864,2387011,891712,0.5973,0.7988,0.6835
140,0.551181,3480434,2446441,851930,0.5872,0.8034,0.6785
141,0.555118,3418404,2508471,811255,0.5768,0.8082,0.6731
142,0.559055,3354316,2572559,770893,0.566,0.8131,0.6674
143,0.562992,3287266,2639609,730995,0.5546,0.8181,0.6611
144,0.566929,3216618,2710257,691221,0.5427,0.8231,0.6541
145,0.570866,3142826,2784049,651954,0.5303,0.8282,0.6466
146,0.574803,3065912,2860963,613954,0.5173,0.8332,0.6383
147,0.57874,2983313,2943562,576244,0.5034,0.8381,0.629
148,0.582677,2897955,3028920,540053,0.489,0.8429,0.6189
149,0.586614,2809331,3117544,504465,0.474,0.8478,0.608
150,0.590551,2719720,3207155,470159,0.4589,0.8526,0.5966
151,0.594488,2626092,3300783,435652,0.4431,0.8577,0.5843
152,0.598425,2529677,3397198,402192,0.4268,0.8628,0.5711
153,0.602362,2432170,3494705,369888,0.4104,0.868,0.5573
154,0.606299,2334334,3592541,339909,0.3939,0.8729,0.5428
155,0.610236,2233923,3692952,311463,0.3769,0.8776,0.5273
156,0.614173,2130875,3796000,285051,0.3595,0.882,0.5108
157,0.61811,2026723,3900152,260104,0.342,0.8863,0.4935
158,0.622047,1922214,4004661,236798,0.3243,0.8903,0.4754
159,0.625984,1816272,4110603,213802,0.3064,0.8947,0.4565
160,0.629921,1709215,4217660,191410,0.2884,0.8993,0.4367
161,0.633858,1604349,4322526,170703,0.2707,0.9038,0.4166
162,0.637795,1499762,4427113,151698,0.253,0.9081,0.3958
163,0.641732,1398750,4528125,134267,0.236,0.9124,0.375
164,0.645669,1299362,4627513,118953,0.2192,0.9161,0.3538
165,0.649606,1202048,4724827,105571,0.2028,0.9193,0.3323
166,0.653543,1106563,4820312,93526,0.1867,0.9221,0.3105
167,0.65748,1011090,4915785,82447,0.1706,0.9246,0.288
168,0.661417,921732,5005143,72384,0.1555,0.9272,0.2664
169,0.665354,839268,5087607,62990,0.1416,0.9302,0.2458
170,0.669291,761796,5165079,54535,0.1285,0.9332,0.2259
171,0.673228,689028,5237847,46925,0.1163,0.9362,0.2068
172,0.677165,625153,5301722,40565,0.1055,0.9391,0.1897
173,0.681102,566888,5359987,34958,0.0956,0.9419,0.1737
174,0.685039,513370,5413505,30035,0.0866,0.9447,0.1587
175,0.688976,462829,5464046,25810,0.0781,0.9472,0.1443
176,0.692913,417697,5509178,22244,0.0705,0.9494,0.1312
177,0.69685,375896,5550979,19027,0.0634,0.9518,0.1189
178,0.700787,336821,5590054,16127,0.0568,0.9543,0.1073
179,0.704724,298234,5628641,13430,0.0503,0.9569,0.0956
180,0.708661,262991,5663884,11261,0.0444,0.9589,0.0848
181,0.712598,229105,5697770,9271,0.0387,0.9611,0.0743
182,0.716535,200471,5726404,7689,0.0338,0.9631,0.0654
183,0.720472,174741,5752134,6368,0.0295,0.9648,0.0572
184,0.724409,153006,5773869,5295,0.0258,0.9666,0.0503
185,0.728346,134249,5792626,4428,0.0227,0.9681,0.0443
186,0.732283,118258,5808617,3780,0.02,0.969,0.0391
187,0.73622,104642,5822233,3260,0.0177,0.9698,0.0347
188,0.740157,92631,5834244,2873,0.0156,0.9699,0.0308
189,0.744094,81813,5845062,2510,0.0138,0.9702,0.0272
190,0.748031,72643,5854232,2171,0.0123,0.971,0.0242
191,0.751968,64266,5862609,1819,0.0108,0.9725,0.0214
192,0.755905,56622,5870253,1548,0.0096,0.9734,0.0189
193,0.759842,50300,5876575,1322,0.0085,0.9744,0.0168
194,0.763779,44649,5882226,1136,0.0075,0.9752,0.015
195,0.767716,39629,5887246,970,0.0067,0.9761,0.0133
196,0.771653,34857,5892018,805,0.0059,0.9774,0.0117
197,0.77559,30592,5896283,700,0.0052,0.9776,0.0103
198,0.779527,27029,5899846,634,0.0046,0.9771,0.0091
199,0.783464,23788,5903087,567,0.004,0.9767,0.008
200,0.787401,21053,5905822,510,0.0036,0.9763,0.0071
201,0.791338,18673,5908202,455,0.0032,0.9762,0.0063
202,0.795275,16339,5910536,392,0.0028,0.9766,0.0055
203,0.799212,14368,5912507,339,0.0024,0.9769,0.0048
204,0.803149,12578,5914297,306,0.0021,0.9762,0.0042
205,0.807086,10940,5915935,275,0.0018,0.9755,0.0037
206,0.811023,9365,5917510,243,0.0016,0.9747,0.0032
207,0.81496,8012,5918863,217,0.0014,0.9736,0.0027
208,0.818897,6731,5920144,179,0.0011,0.9741,0.0023
209,0.822834,5574,5921301,149,0.0009,0.974,0.0019
210,0.826771,4571,5922304,120,0.0008,0.9744,0.0015
211,0.830708,3750,5923125,102,0.0006,0.9735,0.0013
212,0.834645,3047,5923828,76,0.0005,0.9757,0.001
213,0.838582,2464,5924411,67,0.0004,0.9735,0.0008
214,0.842519,1946,5924929,60,0.0003,0.9701,0.0007
215,0.846456,1478,5925397,55,0.0002,0.9641,0.0005
216,0.850393,1066,5925809,45,0.0002,0.9595,0.0004
217,0.85433,776,5926099,25,0.0001,0.9688,0.0003
218,0.858267,484,5926391,19,0.0001,0.9622,0.0002
219,0.862204,275,5926600,9,0.0,0.9683,0.0001
220,0.866141,149,5926726,0,0.0,1.0,0.0001
221,0.870078,44,5926831,0,0.0,1.0,0.0
222,0.874015,0,5926875,0,0.0,nan,
223,0.877952,0,5926875,0,0.0,nan,
224,0.881889,0,5926875,0,0.0,nan,
225,0.885826,0,5926875,0,0.0,nan,
226,0.889763,0,5926875,0,0.0,nan,
227,0.8937,0,5926875,0,0.0,nan,
228,0.897637,0,5926875,0,0.0,nan,
229,0.901574,0,5926875,0,0.0,nan,
230,0.905511,0,5926875,0,0.0,nan,
231,0.909448,0,5926875,0,0.0,nan,
232,0.913385,0,5926875,0,0.0,nan,
233,0.917322,0,5926875,0,0.0,nan,
234,0.921259,0,5926875,0,0.0,nan,
235,0.925196,0,5926875,0,0.0,nan,
236,0.929133,0,5926875,0,0.0,nan,
237,0.93307,0,5926875,0,0.0,nan,
238,0.937007,0,5926875,0,0.0,nan,
239,0.940944,0,5926875,0,0.0,nan,
240,0.944881,0,5926875,0,0.0,nan,
241,0.948818,0,5926875,0,0.0,nan,
242,0.952755,0,5926875,0,0.0,nan,
243,0.956692,0,5926875,0,0.0,nan,
244,0.960629,0,5926875,0,0.0,nan,
245,0.964566,0,5926875,0,0.0,nan,
246,0.968503,0,5926875,0,0.0,nan,
247,0.97244,0,5926875,0,0.0,nan,
248,0.976377,0,5926875,0,0.0,nan,
249,0.980314,0,5926875,0,0.0,nan,
250,0.984251,0,5926875,0,0.0,nan,
251,0.988188,0,5926875,0,0.0,nan,
252,0.992125,0,5926875,0,0.0,nan,
253,0.996062,0,5926875,0,0.0,nan,
254,1.0,0,5926875,0,0.0,nan,
