k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,4734331682,0,11771386355,1.0,0.2868,0.4458
2,0.007874,4734331682,0,11771386355,1.0,0.2868,0.4458
3,0.011811,4734331682,0,11771386355,1.0,0.2868,0.4458
4,0.015748,4734331682,0,11771386355,1.0,0.2868,0.4458
5,0.019685,4734331682,0,11771386355,1.0,0.2868,0.4458
6,0.023622,4734331682,0,11771386355,1.0,0.2868,0.4458
7,0.027559,4734331682,0,11771386355,1.0,0.2868,0.4458
8,0.031496,4734331682,0,11771386355,1.0,0.2868,0.4458
9,0.035433,4734331682,0,11771386355,1.0,0.2868,0.4458
10,0.03937,4734331682,0,11771386355,1.0,0.2868,0.4458
11,0.043307,4734331682,0,11771386355,1.0,0.2868,0.4458
12,0.047244,4734331682,0,11771386355,1.0,0.2868,0.4458
13,0.051181,4734331682,0,11771386355,1.0,0.2868,0.4458
14,0.055118,4734331682,0,11771386355,1.0,0.2868,0.4458
15,0.059055,4734331682,0,11771386355,1.0,0.2868,0.4458
16,0.062992,4734331682,0,11771386355,1.0,0.2868,0.4458
17,0.066929,4734331682,0,11771386355,1.0,0.2868,0.4458
18,0.070866,4734331682,0,11771386355,1.0,0.2868,0.4458
19,0.074803,4734331682,0,11771386355,1.0,0.2868,0.4458
20,0.07874,4734331682,0,11771386355,1.0,0.2868,0.4458
21,0.082677,4734331682,0,11771386355,1.0,0.2868,0.4458
22,0.086614,4734331682,0,11771386355,1.0,0.2868,0.4458
23,0.090551,4734331682,0,11771386355,1.0,0.2868,0.4458
24,0.094488,4734331682,0,11771386355,1.0,0.2868,0.4458
25,0.098425,4734331682,0,11771386355,1.0,0.2868,0.4458
26,0.102362,4734331682,0,11771386355,1.0,0.2868,0.4458
27,0.106299,4734331682,0,11771386355,1.0,0.2868,0.4458
28,0.110236,4734331682,0,11771386355,1.0,0.2868,0.4458
29,0.114173,4734331682,0,11771386355,1.0,0.2868,0.4458
30,0.11811,4734331682,0,11771386355,1.0,0.2868,0.4458
31,0.122047,4734331682,0,11771386355,1.0,0.2868,0.4458
32,0.125984,4734331682,0,11771386355,1.0,0.2868,0.4458
33,0.129921,4734331682,0,11771386355,1.0,0.2868,0.4458
34,0.133858,4734331682,0,11771386355,1.0,0.2868,0.4458
35,0.137795,4734331682,0,11771386355,1.0,0.2868,0.4458
36,0.141732,4734331682,0,11771386355,1.0,0.2868,0.4458
37,0.145669,4734326847,4835,11771298237,1.0,0.2868,0.4458
38,0.149606,4731835280,2496402,11730218669,0.9995,0.2874,0.4465
39,0.153543,4498020481,236311201,6147600334,0.9501,0.4225,0.5849
40,0.15748,4042853174,691478508,1346297170,0.8539,0.7502,0.7987
41,0.161417,3791773450,942558232,886963171,0.8009,0.8104,0.8056
42,0.165354,3660195258,1074136424,748190494,0.7731,0.8303,0.8007
43,0.169291,3595225100,1139106582,690502142,0.7594,0.8389,0.7972
44,0.173228,3555536937,1178794745,658992885,0.751,0.8436,0.7946
45,0.177165,3532354049,1201977633,642138973,0.7461,0.8462,0.793
46,0.181102,3520099933,1214231749,633094602,0.7435,0.8476,0.7921
47,0.185039,3512168526,1222163156,627125574,0.7419,0.8485,0.7916
48,0.188976,3505906309,1228425373,622411800,0.7405,0.8492,0.7912
49,0.192913,3500786772,1233544910,618583136,0.7394,0.8498,0.7908
50,0.19685,3496264730,1238066952,615215982,0.7385,0.8504,0.7905
51,0.200787,3492330261,1242001421,612299223,0.7377,0.8508,0.7902
52,0.204724,3488700162,1245631520,609621687,0.7369,0.8513,0.79
53,0.208661,3485305748,1249025934,607135159,0.7362,0.8516,0.7897
54,0.212598,3482094062,1252237620,604802211,0.7355,0.852,0.7895
55,0.216535,3479156097,1255175585,602681684,0.7349,0.8524,0.7893
56,0.220472,3476333514,1257998168,600660236,0.7343,0.8527,0.7891
57,0.224409,3473724485,1260607197,598800531,0.7337,0.853,0.7889
58,0.228346,3471196610,1263135072,597010711,0.7332,0.8532,0.7887
59,0.232283,3468739819,1265591863,595278261,0.7327,0.8535,0.7885
60,0.23622,3466346037,1267985645,593598422,0.7322,0.8538,0.7883
61,0.240157,3464106325,1270225357,592032387,0.7317,0.854,0.7882
62,0.244094,3461914019,1272417663,590503564,0.7312,0.8543,0.788
63,0.248031,3459760935,1274570747,589012645,0.7308,0.8545,0.7878
64,0.251968,3457648743,1276682939,587553292,0.7303,0.8548,0.7877
65,0.255905,3455663573,1278668109,586189435,0.7299,0.855,0.7875
66,0.259842,3453706952,1280624730,584850411,0.7295,0.8552,0.7874
67,0.263779,3451778233,1282553449,583533803,0.7291,0.8554,0.7872
68,0.267716,3449871447,1284460235,582237565,0.7287,0.8556,0.7871
69,0.271653,3448078198,1286253484,581022680,0.7283,0.8558,0.7869
70,0.27559,3446237603,1288094079,579781320,0.7279,0.856,0.7868
71,0.279527,3444485071,1289846611,578601986,0.7276,0.8562,0.7866
72,0.283464,3442746661,1291585021,577437223,0.7272,0.8564,0.7865
73,0.287401,3441020893,1293310789,576285111,0.7268,0.8565,0.7864
74,0.291338,3439357388,1294974294,575174077,0.7265,0.8567,0.7862
75,0.295275,3437660086,1296671596,574048473,0.7261,0.8569,0.7861
76,0.299212,3436061119,1298270563,572990343,0.7258,0.8571,0.786
77,0.303149,3434429121,1299902561,571913221,0.7254,0.8572,0.7858
78,0.307086,3432850918,1301480764,570874943,0.7251,0.8574,0.7857
79,0.311023,3431280172,1303051510,569841034,0.7248,0.8576,0.7856
80,0.31496,3429759050,1304572632,568844107,0.7244,0.8577,0.7855
81,0.318897,3428205002,1306126680,567826884,0.7241,0.8579,0.7854
82,0.322834,3426697699,1307633983,566842634,0.7238,0.8581,0.7852
83,0.326771,3425194882,1309136800,565863405,0.7235,0.8582,0.7851
84,0.330708,3423738830,1310592852,564915651,0.7232,0.8584,0.785
85,0.334645,3422246806,1312084876,563945327,0.7229,0.8585,0.7849
86,0.338582,3420798393,1313533289,563005492,0.7226,0.8587,0.7848
87,0.342519,3419353309,1314978373,562069750,0.7222,0.8588,0.7846
88,0.346456,3417911012,1316420670,561136332,0.7219,0.859,0.7845
89,0.350393,3416468402,1317863280,560205701,0.7216,0.8591,0.7844
90,0.35433,3415067376,1319264306,559303270,0.7213,0.8593,0.7843
91,0.358267,3413665779,1320665903,558400312,0.721,0.8594,0.7842
92,0.362204,3412262268,1322069414,557497193,0.7207,0.8596,0.7841
