k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,276534808,0,755579475,1.0,0.2679,0.4226
2,0.007874,276534808,0,755579475,1.0,0.2679,0.4226
3,0.011811,276534808,0,755579475,1.0,0.2679,0.4226
4,0.015748,276534808,0,755579475,1.0,0.2679,0.4226
5,0.019685,276534808,0,755579475,1.0,0.2679,0.4226
6,0.023622,276534808,0,755579475,1.0,0.2679,0.4226
7,0.027559,276534808,0,755579475,1.0,0.2679,0.4226
8,0.031496,276534808,0,755579475,1.0,0.2679,0.4226
9,0.035433,276534808,0,755579475,1.0,0.2679,0.4226
10,0.03937,276534808,0,755579475,1.0,0.2679,0.4226
11,0.043307,276534808,0,755579475,1.0,0.2679,0.4226
12,0.047244,276534808,0,755579475,1.0,0.2679,0.4226
13,0.051181,276534808,0,755579475,1.0,0.2679,0.4226
14,0.055118,276534808,0,755578807,1.0,0.2679,0.4226
15,0.059055,276533925,883,755262883,1.0,0.268,0.4227
16,0.062992,276526947,7861,753569011,1.0,0.2684,0.4233
17,0.066929,276489463,45345,746750053,0.9998,0.2702,0.4254
18,0.070866,276237483,297325,718124967,0.9989,0.2778,0.4347
19,0.074803,275168754,1366054,646682631,0.9951,0.2985,0.4592
20,0.07874,272510704,4024104,529838207,0.9854,0.3396,0.5052
21,0.082677,267456474,9078334,335419894,0.9672,0.4436,0.6083
22,0.086614,260466966,16067842,225290018,0.9419,0.5362,0.6834
23,0.090551,253327466,23207342,176294377,0.9161,0.5897,0.7175
24,0.094488,246720253,29814555,148690606,0.8922,0.624,0.7343
25,0.098425,240845078,35689730,130589477,0.8709,0.6484,0.7434
26,0.102362,236069889,40464919,118457623,0.8537,0.6659,0.7482
27,0.106299,232261598,44273210,109934791,0.8399,0.6787,0.7508
28,0.110236,229282215,47252593,103861878,0.8291,0.6882,0.7521
29,0.114173,226982392,49552416,99494524,0.8208,0.6952,0.7528
30,0.11811,225167152,51367656,96220802,0.8142,0.7006,0.7532
31,0.122047,223790063,52744745,93840191,0.8093,0.7046,0.7533
32,0.125984,222778833,53755975,92152167,0.8056,0.7074,0.7533
33,0.129921,222000314,54534494,90886425,0.8028,0.7095,0.7533
34,0.133858,221328943,55205865,89817632,0.8004,0.7113,0.7532
35,0.137795,220747748,55787060,88905815,0.7983,0.7129,0.7532
36,0.141732,220232203,56302605,88109501,0.7964,0.7142,0.7531
37,0.145669,219767910,56766898,87399018,0.7947,0.7155,0.753
38,0.149606,219345994,57188814,86761088,0.7932,0.7166,0.7529
39,0.153543,218947390,57587418,86162786,0.7918,0.7176,0.7529
40,0.15748,218579742,57955066,85614331,0.7904,0.7186,0.7528
41,0.161417,218237039,58297769,85109374,0.7892,0.7194,0.7527
42,0.165354,217907428,58627380,84625223,0.788,0.7203,0.7526
43,0.169291,217598428,58936380,84174310,0.7869,0.7211,0.7525
44,0.173228,217296913,59237895,83736997,0.7858,0.7218,0.7525
45,0.177165,217013169,59521639,83328479,0.7848,0.7226,0.7524
46,0.181102,216736231,59798577,82930816,0.7838,0.7233,0.7523
47,0.185039,216473873,60060935,82557839,0.7828,0.7239,0.7522
48,0.188976,216217165,60317643,82193268,0.7819,0.7246,0.7521
49,0.192913,215973281,60561527,81850675,0.781,0.7252,0.7521
50,0.19685,215733900,60800908,81515249,0.7801,0.7258,0.752
51,0.200787,215508263,61026545,81200038,0.7793,0.7263,0.7519
52,0.204724,215285505,61249303,80890609,0.7785,0.7269,0.7518
53,0.208661,215066956,61467852,80588823,0.7777,0.7274,0.7517
54,0.212598,214850683,61684125,80291263,0.7769,0.728,0.7517
55,0.216535,214645314,61889494,80011064,0.7762,0.7285,0.7516
56,0.220472,214442741,62092067,79734909,0.7755,0.729,0.7515
57,0.224409,214252333,62282475,79475558,0.7748,0.7294,0.7514
58,0.228346,214063428,62471380,79219664,0.7741,0.7299,0.7513
59,0.232283,213876243,62658565,78967396,0.7734,0.7303,0.7513
60,0.23622,213691186,62843622,78717899,0.7727,0.7308,0.7512
61,0.240157,213515189,63019619,78482280,0.7721,0.7312,0.7511
62,0.244094,213341241,63193567,78249805,0.7715,0.7316,0.751
63,0.248031,213168325,63366483,78019928,0.7709,0.7321,0.751
64,0.251968,212995803,63539005,77792038,0.7702,0.7325,0.7509
65,0.255905,212832330,63702478,77575369,0.7696,0.7329,0.7508
66,0.259842,212669613,63865195,77361352,0.7691,0.7333,0.7507
67,0.263779,212507329,64027479,77149665,0.7685,0.7337,0.7507
68,0.267716,212346012,64188796,76939720,0.7679,0.734,0.7506
69,0.271653,212193417,64341391,76741464,0.7673,0.7344,0.7505
70,0.27559,212035259,64499549,76537023,0.7668,0.7348,0.7504
71,0.279527,211883668,64651140,76341810,0.7662,0.7351,0.7503
72,0.283464,211732925,64801883,76147565,0.7657,0.7355,0.7503
73,0.287401,211582139,64952669,75953946,0.7651,0.7358,0.7502
74,0.291338,211435729,65099079,75766093,0.7646,0.7362,0.7501
75,0.295275,211285226,65249582,75574121,0.764,0.7365,0.75
76,0.299212,211142247,65392561,75392662,0.7635,0.7369,0.75
77,0.303149,210995270,65539538,75206937,0.763,0.7372,0.7499
78,0.307086,210852087,65682721,75026129,0.7625,0.7376,0.7498
79,0.311023,210708878,65825930,74846650,0.762,0.7379,0.7497
80,0.31496,210569916,65964892,74672559,0.7615,0.7382,0.7497
81,0.318897,210425706,66109102,74492545,0.7609,0.7385,0.7496
82,0.322834,210285633,66249175,74317923,0.7604,0.7389,0.7495
83,0.326771,210144757,66390051,74143424,0.7599,0.7392,0.7494
84,0.330708,210006949,66527859,73973844,0.7594,0.7395,0.7493
85,0.334645,209865505,66669303,73799492,0.7589,0.7398,0.7493
86,0.338582,209727208,66807600,73629188,0.7584,0.7402,0.7492
87,0.342519,209588176,66946632,73458868,0.7579,0.7405,0.7491
88,0.346456,209448648,67086160,73287895,0.7574,0.7408,0.749
89,0.350393,209309197,67225611,73117117,0.7569,0.7411,0.7489
90,0.35433,209172233,67362575,72950618,0.7564,0.7414,0.7488
91,0.358267,209034764,67500044,72783337,0.7559,0.7417,0.7488
92,0.362204,208896223,67638585,72616027,0.7554,0.7421,0.7487
93,0.366141,208756399,67778409,72448122,0.7549,0.7424,0.7486
94,0.370078,208616132,67918676,72279798,0.7544,0.7427,0.7485
95,0.374015,208478412,68056396,72115237,0.7539,0.743,0.7484
96,0.377952,208335676,68199132,71944928,0.7534,0.7433,0.7483
97,0.381889,208196818,68337990,71779279,0.7529,0.7436,0.7482
98,0.385826,208055242,68479566,71611728,0.7524,0.7439,0.7481
99,0.389763,207911900,68622908,71443216,0.7518,0.7443,0.748
100,0.3937,207766932,68767876,71273628,0.7513,0.7446,0.7479
101,0.397637,207620573,68914235,71101826,0.7508,0.7449,0.7478
102,0.401574,207474708,69060100,70931007,0.7503,0.7452,0.7477
103,0.405511,207326228,69208580,70757889,0.7497,0.7456,0.7476
104,0.409448,207175691,69359117,70582774,0.7492,0.7459,0.7475
105,0.413385,207022200,69512608,70406067,0.7486,0.7462,0.7474
106,0.417322,206868136,69666672,70228903,0.7481,0.7466,0.7473
107,0.421259,206709309,69825499,70045967,0.7475,0.7469,0.7472
108,0.425196,206548852,69985956,69862518,0.7469,0.7473,0.7471
109,0.429133,206385056,70149752,69674618,0.7463,0.7476,0.747
110,0.43307,206219154,70315654,69485871,0.7457,0.748,0.7468
111,0.437007,206045755,70489053,69288970,0.7451,0.7483,0.7467
112,0.440944,205866611,70668197,69086648,0.7445,0.7487,0.7466
