k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,1664533,1104,3266804,0.9993,0.3375,0.5046
2,0.007874,1657027,8610,2704589,0.9948,0.3799,0.5498
3,0.011811,1643572,22065,2279467,0.9868,0.419,0.5882
4,0.015748,1626140,39497,1965511,0.9763,0.4528,0.6186
5,0.019685,1606207,59430,1721152,0.9643,0.4827,0.6434
6,0.023622,1586022,79615,1529569,0.9522,0.5091,0.6634
7,0.027559,1565212,100425,1370016,0.9397,0.5333,0.6804
8,0.031496,1544646,120991,1238758,0.9274,0.5549,0.6944
9,0.035433,1523908,141729,1127809,0.9149,0.5747,0.7059
10,0.03937,1503916,161721,1034480,0.9029,0.5925,0.7155
11,0.043307,1484753,180884,955184,0.8914,0.6085,0.7233
12,0.047244,1466783,198854,886466,0.8806,0.6233,0.7299
13,0.051181,1449672,215965,828170,0.8703,0.6364,0.7352
14,0.055118,1433219,232418,775791,0.8605,0.6488,0.7398
15,0.059055,1418252,247385,731364,0.8515,0.6598,0.7435
16,0.062992,1404833,260804,693477,0.8434,0.6695,0.7465
17,0.066929,1392286,273351,660428,0.8359,0.6783,0.7489
18,0.070866,1380732,284905,632279,0.829,0.6859,0.7507
19,0.074803,1369619,296018,606994,0.8223,0.6929,0.7521
20,0.07874,1359507,306130,584647,0.8162,0.6993,0.7532
21,0.082677,1349736,315901,564579,0.8103,0.7051,0.7541
22,0.086614,1340353,325284,546019,0.8047,0.7105,0.7547
23,0.090551,1331872,333765,529822,0.7996,0.7154,0.7552
24,0.094488,1323881,341756,514902,0.7948,0.72,0.7555
25,0.098425,1315897,349740,500652,0.79,0.7244,0.7558
26,0.102362,1308415,357222,487759,0.7855,0.7284,0.7559
27,0.106299,1301274,364363,475733,0.7812,0.7323,0.756
28,0.110236,1294604,371033,464865,0.7772,0.7358,0.7559
29,0.114173,1288316,377321,454761,0.7735,0.7391,0.7559
30,0.11811,1282054,383583,445118,0.7697,0.7423,0.7557
31,0.122047,1276112,389525,436073,0.7661,0.7453,0.7556
32,0.125984,1270505,395132,427779,0.7628,0.7481,0.7554
33,0.129921,1265205,400432,420187,0.7596,0.7507,0.7551
34,0.133858,1260152,405485,412840,0.7566,0.7532,0.7549
35,0.137795,1255213,410424,405855,0.7536,0.7557,0.7546
36,0.141732,1250535,415102,399505,0.7508,0.7579,0.7543
37,0.145669,1245924,419713,393397,0.748,0.76,0.754
38,0.149606,1241642,423995,387758,0.7454,0.762,0.7536
39,0.153543,1237411,428226,382185,0.7429,0.764,0.7533
40,0.15748,1233303,432334,376961,0.7404,0.7659,0.753
41,0.161417,1229468,436169,372055,0.7381,0.7677,0.7526
42,0.165354,1225735,439902,367309,0.7359,0.7694,0.7523
43,0.169291,1222085,443552,362712,0.7337,0.7711,0.752
44,0.173228,1218413,447224,358352,0.7315,0.7727,0.7515
45,0.177165,1214939,450698,354060,0.7294,0.7743,0.7512
46,0.181102,1211420,454217,349887,0.7273,0.7759,0.7508
47,0.185039,1208209,457428,345965,0.7254,0.7774,0.7505
48,0.188976,1204951,460686,342128,0.7234,0.7789,0.7501
49,0.192913,1201876,463761,338630,0.7216,0.7802,0.7497
50,0.19685,1198798,466839,335119,0.7197,0.7815,0.7494
51,0.200787,1195866,469771,331835,0.718,0.7828,0.749
52,0.204724,1192916,472721,328537,0.7162,0.7841,0.7486
53,0.208661,1189952,475685,325263,0.7144,0.7853,0.7482
54,0.212598,1187117,478520,322069,0.7127,0.7866,0.7478
55,0.216535,1184405,481232,319143,0.7111,0.7877,0.7475
56,0.220472,1181739,483898,316208,0.7095,0.7889,0.7471
57,0.224409,1179123,486514,313428,0.7079,0.79,0.7467
58,0.228346,1176547,489090,310754,0.7064,0.7911,0.7463
59,0.232283,1173864,491773,308033,0.7048,0.7921,0.7459
60,0.23622,1171341,494296,305387,0.7032,0.7932,0.7455
61,0.240157,1168865,496772,302922,0.7018,0.7942,0.7451
62,0.244094,1166438,499199,300442,0.7003,0.7952,0.7447
63,0.248031,1164080,501557,297976,0.6989,0.7962,0.7444
64,0.251968,1161737,503900,295619,0.6975,0.7972,0.744
65,0.255905,1159386,506251,293342,0.6961,0.7981,0.7436
66,0.259842,1157175,508462,290998,0.6947,0.7991,0.7433
67,0.263779,1154857,510780,288801,0.6933,0.8,0.7428
68,0.267716,1152616,513021,286660,0.692,0.8008,0.7424
69,0.271653,1150431,515206,284563,0.6907,0.8017,0.7421
70,0.27559,1148180,517457,282406,0.6893,0.8026,0.7417
71,0.279527,1145973,519664,280329,0.688,0.8035,0.7413
72,0.283464,1143806,521831,278229,0.6867,0.8043,0.7409
73,0.287401,1141625,524012,276221,0.6854,0.8052,0.7405
74,0.291338,1139539,526098,274239,0.6841,0.806,0.7401
75,0.295275,1137350,528287,272308,0.6828,0.8068,0.7397
76,0.299212,1135296,530341,270492,0.6816,0.8076,0.7393
77,0.303149,1133138,532499,268550,0.6803,0.8084,0.7388
78,0.307086,1131031,534606,266738,0.679,0.8092,0.7384
79,0.311023,1129067,536570,264916,0.6779,0.81,0.738
80,0.31496,1127099,538538,263086,0.6767,0.8108,0.7377
81,0.318897,1124998,540639,261295,0.6754,0.8115,0.7372
82,0.322834,1122973,542664,259620,0.6742,0.8122,0.7368
83,0.326771,1120959,544678,257895,0.673,0.813,0.7364
84,0.330708,1119052,546585,256252,0.6718,0.8137,0.736
85,0.334645,1117051,548586,254456,0.6706,0.8145,0.7356
