k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,6448016,8558,12086420,0.9987,0.3479,0.516
2,0.007874,6393293,63281,9339158,0.9902,0.4064,0.5763
3,0.011811,6312917,143657,7440508,0.9778,0.459,0.6247
4,0.015748,6226352,230222,6293203,0.9643,0.4973,0.6562
5,0.019685,6136741,319833,5498750,0.9505,0.5274,0.6784
6,0.023622,6053675,402899,4922921,0.9376,0.5515,0.6945
7,0.027559,5972297,484277,4454785,0.925,0.5728,0.7075
8,0.031496,5895954,560620,4080872,0.9132,0.591,0.7176
9,0.035433,5822515,634059,3768028,0.9018,0.6071,0.7257
10,0.03937,5754393,702181,3505850,0.8912,0.6214,0.7323
11,0.043307,5689457,767117,3281935,0.8812,0.6342,0.7376
12,0.047244,5626453,830121,3085472,0.8714,0.6458,0.7419
13,0.051181,5567558,889016,2917183,0.8623,0.6562,0.7453
14,0.055118,5508802,947772,2761863,0.8532,0.6661,0.7481
15,0.059055,5452418,1004156,2623421,0.8445,0.6752,0.7504
16,0.062992,5399535,1057039,2501941,0.8363,0.6834,0.7521
17,0.066929,5349408,1107166,2392725,0.8285,0.6909,0.7535
18,0.070866,5302089,1154485,2293970,0.8212,0.698,0.7546
19,0.074803,5256483,1200091,2204191,0.8141,0.7046,0.7554
20,0.07874,5213416,1243158,2125065,0.8075,0.7104,0.7558
21,0.082677,5172343,1284231,2052774,0.8011,0.7159,0.7561
22,0.086614,5132894,1323680,1986074,0.795,0.721,0.7562
23,0.090551,5096528,1360046,1926423,0.7894,0.7257,0.7562
24,0.094488,5061962,1394612,1871171,0.784,0.7301,0.7561
25,0.098425,5028120,1428454,1818981,0.7788,0.7343,0.7559
26,0.102362,4995518,1461056,1770817,0.7737,0.7383,0.7556
27,0.106299,4964996,1491578,1727145,0.769,0.7419,0.7552
28,0.110236,4936320,1520254,1687178,0.7645,0.7453,0.7548
29,0.114173,4909241,1547333,1650600,0.7603,0.7484,0.7543
30,0.11811,4882861,1573713,1615549,0.7563,0.7514,0.7538
31,0.122047,4856677,1599897,1581658,0.7522,0.7543,0.7533
32,0.125984,4832276,1624298,1551130,0.7484,0.757,0.7527
33,0.129921,4809933,1646641,1523159,0.745,0.7595,0.7522
34,0.133858,4787525,1669049,1496144,0.7415,0.7619,0.7516
35,0.137795,4766284,1690290,1470779,0.7382,0.7642,0.751
36,0.141732,4745867,1710707,1446916,0.735,0.7664,0.7504
37,0.145669,4726114,1730460,1424309,0.732,0.7684,0.7498
38,0.149606,4707159,1749415,1402865,0.729,0.7704,0.7492
39,0.153543,4688526,1768048,1381806,0.7262,0.7724,0.7486
40,0.15748,4670603,1785971,1361964,0.7234,0.7742,0.7479
41,0.161417,4653390,1803184,1343180,0.7207,0.776,0.7473
42,0.165354,4636305,1820269,1324864,0.7181,0.7778,0.7467
43,0.169291,4619753,1836821,1307547,0.7155,0.7794,0.7461
44,0.173228,4603302,1853272,1290641,0.713,0.781,0.7454
45,0.177165,4587731,1868843,1274481,0.7106,0.7826,0.7448
46,0.181102,4572432,1884142,1258724,0.7082,0.7841,0.7442
47,0.185039,4557402,1899172,1243956,0.7059,0.7856,0.7436
48,0.188976,4542843,1913731,1229420,0.7036,0.787,0.743
49,0.192913,4529003,1927571,1215767,0.7015,0.7884,0.7424
50,0.19685,4515285,1941289,1202513,0.6993,0.7897,0.7418
51,0.200787,4502236,1954338,1190026,0.6973,0.7909,0.7412
52,0.204724,4489386,1967188,1177754,0.6953,0.7922,0.7406
53,0.208661,4476317,1980257,1166020,0.6933,0.7933,0.74
54,0.212598,4463730,1992844,1154245,0.6913,0.7945,0.7394
55,0.216535,4451407,2005167,1143277,0.6894,0.7956,0.7387
56,0.220472,4439465,2017109,1132615,0.6876,0.7967,0.7381
57,0.224409,4428124,2028450,1122451,0.6858,0.7978,0.7376
58,0.228346,4416811,2039763,1112393,0.6841,0.7988,0.737
59,0.232283,4405701,2050873,1102506,0.6824,0.7998,0.7364
60,0.23622,4394639,2061935,1092846,0.6806,0.8008,0.7359
61,0.240157,4383952,2072622,1083608,0.679,0.8018,0.7353
62,0.244094,4373446,2083128,1074662,0.6774,0.8027,0.7347
63,0.248031,4363069,2093505,1065794,0.6758,0.8037,0.7342
64,0.251968,4352633,2103941,1057076,0.6741,0.8046,0.7336
65,0.255905,4342852,2113722,1048964,0.6726,0.8055,0.7331
66,0.259842,4333229,2123345,1040960,0.6711,0.8063,0.7325
67,0.263779,4323465,2133109,1033182,0.6696,0.8071,0.732
68,0.267716,4313854,2142720,1025581,0.6681,0.8079,0.7314
69,0.271653,4304632,2151942,1018282,0.6667,0.8087,0.7309
70,0.27559,4295314,2161260,1010869,0.6653,0.8095,0.7303
71,0.279527,4286262,2170312,1003679,0.6639,0.8103,0.7298
72,0.283464,4277291,2179283,996595,0.6625,0.811,0.7293
73,0.287401,4268408,2188166,989699,0.6611,0.8118,0.7287
74,0.291338,4259894,2196680,983073,0.6598,0.8125,0.7282
75,0.295275,4251212,2205362,976288,0.6584,0.8132,0.7277
76,0.299212,4242847,2213727,969807,0.6571,0.814,0.7272
77,0.303149,4234464,2222110,963315,0.6558,0.8147,0.7267
78,0.307086,4226238,2230336,956948,0.6546,0.8154,0.7262
79,0.311023,4218046,2238528,950906,0.6533,0.816,0.7257
80,0.31496,4210063,2246511,944925,0.6521,0.8167,0.7252
81,0.318897,4201885,2254689,938854,0.6508,0.8174,0.7246
82,0.322834,4193725,2262849,932802,0.6495,0.818,0.7241
83,0.326771,4185967,2270607,927020,0.6483,0.8187,0.7236
84,0.330708,4178370,2278204,921278,0.6471,0.8193,0.7231
85,0.334645,4170325,2286249,915621,0.6459,0.82,0.7226
86,0.338582,4162627,2293947,910127,0.6447,0.8206,0.7221
87,0.342519,4155093,2301481,904566,0.6435,0.8212,0.7216
88,0.346456,4147501,2309073,899041,0.6424,0.8219,0.7211
89,0.350393,4139898,2316676,893544,0.6412,0.8225,0.7206
90,0.35433,4132503,2324071,888183,0.64,0.8231,0.7201
91,0.358267,4124999,2331575,882959,0.6389,0.8237,0.7196
92,0.362204,4117574,2339000,877798,0.6377,0.8243,0.7191
93,0.366141,4110399,2346175,872570,0.6366,0.8249,0.7186
94,0.370078,4103132,2353442,867359,0.6355,0.8255,0.7181
95,0.374015,4095998,2360576,862366,0.6344,0.8261,0.7177
96,0.377952,4088689,2367885,857184,0.6333,0.8267,0.7172
97,0.381889,4081382,2375192,852138,0.6321,0.8273,0.7167
98,0.385826,4074241,2382333,847260,0.631,0.8278,0.7162
99,0.389763,4066860,2389714,842327,0.6299,0.8284,0.7156
100,0.3937,4059500,2397074,837532,0.6287,0.829,0.7151
101,0.397637,4052336,2404238,832714,0.6276,0.8295,0.7146
102,0.401574,4045284,2411290,827925,0.6265,0.8301,0.7141
103,0.405511,4038221,2418353,823165,0.6254,0.8307,0.7136
104,0.409448,4031129,2425445,818510,0.6243,0.8312,0.7131
105,0.413385,4024087,2432487,813801,0.6233,0.8318,0.7126
106,0.417322,4017230,2439344,809223,0.6222,0.8323,0.7121
107,0.421259,4010198,2446376,804571,0.6211,0.8329,0.7116
108,0.425196,4003092,2453482,800093,0.62,0.8334,0.711
109,0.429133,3996010,2460564,795526,0.6189,0.834,0.7105
110,0.43307,3989020,2467554,791026,0.6178,0.8345,0.71
111,0.437007,3982005,2474569,786469,0.6167,0.8351,0.7095
112,0.440944,3974892,2481682,782008,0.6156,0.8356,0.7089
113,0.444881,3967843,2488731,777578,0.6145,0.8361,0.7084
114,0.448818,3961003,2495571,773300,0.6135,0.8367,0.7079
115,0.452755,3953881,2502693,768913,0.6124,0.8372,0.7074
116,0.456692,3946791,2509783,764568,0.6113,0.8377,0.7068
117,0.460629,3939533,2517041,760133,0.6102,0.8383,0.7062
118,0.464566,3932454,2524120,755740,0.6091,0.8388,0.7057
119,0.468503,3925440,2531134,751515,0.608,0.8393,0.7052
120,0.47244,3918363,2538211,747076,0.6069,0.8399,0.7046
121,0.476377,3911233,2545341,742642,0.6058,0.8404,0.7041
122,0.480314,3903939,2552635,738314,0.6046,0.841,0.7035
123,0.484251,3896609,2559965,733934,0.6035,0.8415,0.7029
124,0.488188,3889476,2567098,729593,0.6024,0.842,0.7023
125,0.492125,3882121,2574453,725321,0.6013,0.8426,0.7018
126,0.496062,3874736,2581838,720986,0.6001,0.8431,0.7012
127,0.5,3867373,2589201,716578,0.599,0.8437,0.7006
128,0.503937,3860005,2596569,712234,0.5978,0.8442,0.7
129,0.507874,3852535,2604039,707935,0.5967,0.8448,0.6994
130,0.511811,3845012,2611562,703742,0.5955,0.8453,0.6988
131,0.515748,3837492,2619082,699423,0.5944,0.8458,0.6981
132,0.519685,3829888,2626686,695120,0.5932,0.8464,0.6975
133,0.523622,3822206,2634368,690779,0.592,0.8469,0.6969
134,0.527559,3814516,2642058,686364,0.5908,0.8475,0.6962
135,0.531496,3806698,2649876,681923,0.5896,0.8481,0.6956
136,0.535433,3798980,2657594,677706,0.5884,0.8486,0.6949
137,0.53937,3791221,2665353,673390,0.5872,0.8492,0.6943
138,0.543307,3783456,2673118,669034,0.586,0.8497,0.6936
139,0.547244,3775508,2681066,664616,0.5848,0.8503,0.693
140,0.551181,3767526,2689048,660358,0.5835,0.8509,0.6923
141,0.555118,3759468,2697106,655984,0.5823,0.8514,0.6916
142,0.559055,3751296,2705278,651636,0.581,0.852,0.6909
143,0.562992,3743018,2713556,647329,0.5797,0.8526,0.6902
144,0.566929,3734491,2722083,642971,0.5784,0.8531,0.6894
145,0.570866,3725941,2730633,638665,0.5771,0.8537,0.6886
146,0.574803,3717485,2739089,634338,0.5758,0.8542,0.6879
