k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,139081509,0,202600591,1.0,0.407,0.5786
2,0.007874,139081509,0,202600591,1.0,0.407,0.5786
3,0.011811,139081509,0,202600591,1.0,0.407,0.5786
4,0.015748,139081509,0,202600591,1.0,0.407,0.5786
5,0.019685,139081509,0,202600591,1.0,0.407,0.5786
6,0.023622,139081509,0,202600591,1.0,0.407,0.5786
7,0.027559,139081509,0,202600591,1.0,0.407,0.5786
8,0.031496,139081509,0,202600591,1.0,0.407,0.5786
9,0.035433,139081509,0,202600591,1.0,0.407,0.5786
10,0.03937,139081509,0,202600591,1.0,0.407,0.5786
11,0.043307,139081509,0,202600591,1.0,0.407,0.5786
12,0.047244,139081509,0,202600591,1.0,0.407,0.5786
13,0.051181,139081509,0,202600591,1.0,0.407,0.5786
14,0.055118,139081509,0,202600591,1.0,0.407,0.5786
15,0.059055,139081509,0,202600591,1.0,0.407,0.5786
16,0.062992,139081509,0,202600591,1.0,0.407,0.5786
17,0.066929,139081509,0,202600591,1.0,0.407,0.5786
18,0.070866,139081509,0,202600591,1.0,0.407,0.5786
19,0.074803,139081509,0,202600591,1.0,0.407,0.5786
20,0.07874,139081509,0,202600591,1.0,0.407,0.5786
21,0.082677,139081509,0,202600591,1.0,0.407,0.5786
22,0.086614,139081509,0,202600591,1.0,0.407,0.5786
23,0.090551,139080286,1223,202593911,1.0,0.4071,0.5786
24,0.094488,135932361,3149148,196264350,0.9774,0.4092,0.5769
25,0.098425,114025801,25055708,107866361,0.8198,0.5139,0.6318
26,0.102362,91797327,47284182,30501363,0.66,0.7506,0.7024
27,0.106299,83326283,55755226,19684886,0.5991,0.8089,0.6884
28,0.110236,80181877,58899632,17616755,0.5765,0.8199,0.677
29,0.114173,78794271,60287238,16823934,0.5665,0.8241,0.6714
30,0.11811,78033288,61048221,16412103,0.5611,0.8262,0.6683
31,0.122047,77541676,61539833,16151908,0.5575,0.8276,0.6662
32,0.125984,77209877,61871632,15983463,0.5551,0.8285,0.6648
33,0.129921,76959288,62122221,15859569,0.5533,0.8291,0.6637
34,0.133858,76747015,62334494,15756487,0.5518,0.8297,0.6628
35,0.137795,76565795,62515714,15668500,0.5505,0.8301,0.662
36,0.141732,76407778,62673731,15592224,0.5494,0.8305,0.6613
37,0.145669,76267114,62814395,15524711,0.5484,0.8309,0.6607
38,0.149606,76141741,62939768,15464563,0.5475,0.8312,0.6601
39,0.153543,76024137,63057372,15408416,0.5466,0.8315,0.6596
40,0.15748,75917378,63164131,15357811,0.5458,0.8317,0.6591
41,0.161417,75819637,63261872,15311322,0.5451,0.832,0.6587
42,0.165354,75726754,63354755,15267155,0.5445,0.8322,0.6583
43,0.169291,75640631,63440878,15226270,0.5439,0.8324,0.6579
44,0.173228,75558737,63522772,15187440,0.5433,0.8326,0.6575
45,0.177165,75482299,63599210,15151367,0.5427,0.8328,0.6572
46,0.181102,75408030,63673479,15116531,0.5422,0.833,0.6568
47,0.185039,75338336,63743173,15083868,0.5417,0.8332,0.6565
48,0.188976,75271179,63810330,15052163,0.5412,0.8334,0.6562
49,0.192913,75207669,63873840,15022503,0.5407,0.8335,0.6559
50,0.19685,75146397,63935112,14993833,0.5403,0.8337,0.6557
51,0.200787,75088895,63992614,14966649,0.5399,0.8338,0.6554
52,0.204724,75032259,64049250,14939852,0.5395,0.834,0.6552
53,0.208661,74976448,64105061,14913695,0.5391,0.8341,0.6549
54,0.212598,74921735,64159774,14888304,0.5387,0.8342,0.6546
55,0.216535,74870272,64211237,14864418,0.5383,0.8344,0.6544
56,0.220472,74819818,64261691,14840500,0.538,0.8345,0.6542
57,0.224409,74772178,64309331,14818264,0.5376,0.8346,0.654
58,0.228346,74724827,64356682,14796542,0.5373,0.8347,0.6538
59,0.232283,74678341,64403168,14775059,0.5369,0.8348,0.6535
60,0.23622,74632157,64449352,14754072,0.5366,0.8349,0.6533
61,0.240157,74587964,64493545,14733679,0.5363,0.835,0.6531
62,0.244094,74544368,64537141,14713696,0.536,0.8352,0.6529
63,0.248031,74501212,64580297,14693921,0.5357,0.8353,0.6527
64,0.251968,74458284,64623225,14674109,0.5354,0.8354,0.6525
65,0.255905,74417769,64663740,14655359,0.5351,0.8355,0.6523
66,0.259842,74376948,64704561,14636741,0.5348,0.8356,0.6522
67,0.263779,74336753,64744756,14618173,0.5345,0.8357,0.652
68,0.267716,74296280,64785229,14599965,0.5342,0.8358,0.6518
69,0.271653,74257846,64823663,14582033,0.5339,0.8359,0.6516
70,0.27559,74218398,64863111,14564245,0.5336,0.836,0.6514
71,0.279527,74179960,64901549,14546756,0.5334,0.836,0.6512
72,0.283464,74141570,64939939,14529021,0.5331,0.8361,0.6511
73,0.287401,74103165,64978344,14511595,0.5328,0.8362,0.6509
74,0.291338,74065901,65015608,14494646,0.5325,0.8363,0.6507
75,0.295275,74027499,65054010,14477152,0.5323,0.8364,0.6505
76,0.299212,73990820,65090689,14460668,0.532,0.8365,0.6504
77,0.303149,73952976,65128533,14443941,0.5317,0.8366,0.6502
78,0.307086,73915975,65165534,14427424,0.5315,0.8367,0.65
79,0.311023,73879046,65202463,14410972,0.5312,0.8368,0.6499
80,0.31496,73842944,65238565,14394896,0.5309,0.8369,0.6497
81,0.318897,73805653,65275856,14378459,0.5307,0.8369,0.6495
82,0.322834,73769363,65312146,14362375,0.5304,0.837,0.6493
83,0.326771,73732681,65348828,14345954,0.5301,0.8371,0.6492
84,0.330708,73697055,65384454,14329998,0.5299,0.8372,0.649
85,0.334645,73659894,65421615,14313529,0.5296,0.8373,0.6488
86,0.338582,73623521,65457988,14297327,0.5294,0.8374,0.6487
87,0.342519,73587302,65494207,14281198,0.5291,0.8375,0.6485
88,0.346456,73550884,65530625,14265025,0.5288,0.8376,0.6483
89,0.350393,73514040,65567469,14248989,0.5286,0.8376,0.6481
90,0.35433,73477951,65603558,14233225,0.5283,0.8377,0.648
91,0.358267,73441709,65639800,14217397,0.528,0.8378,0.6478
92,0.362204,73405222,65676287,14201277,0.5278,0.8379,0.6476
93,0.366141,73368554,65712955,14185072,0.5275,0.838,0.6475
94,0.370078,73331601,65749908,14168723,0.5273,0.8381,0.6473
95,0.374015,73295407,65786102,14152755,0.527,0.8382,0.6471
96,0.377952,73257851,65823658,14136267,0.5267,0.8382,0.6469
97,0.381889,73221245,65860264,14120409,0.5265,0.8383,0.6468
98,0.385826,73183784,65897725,14104105,0.5262,0.8384,0.6466
99,0.389763,73146055,65935454,14087684,0.5259,0.8385,0.6464
100,0.3937,73107693,65973816,14070988,0.5256,0.8386,0.6462
101,0.397637,73069052,66012457,14054345,0.5254,0.8387,0.646
102,0.401574,73030355,66051154,14037306,0.5251,0.8388,0.6459
103,0.405511,72990384,66091125,14020182,0.5248,0.8389,0.6457
104,0.409448,72950063,66131446,14002336,0.5245,0.839,0.6455
105,0.413385,72908932,66172577,13984514,0.5242,0.8391,0.6453
106,0.417322,72867360,66214149,13966453,0.5239,0.8392,0.6451
107,0.421259,72824042,66257467,13947771,0.5236,0.8393,0.6449
108,0.425196,72780178,66301331,13928893,0.5233,0.8394,0.6447
109,0.429133,72734943,66346566,13909107,0.523,0.8395,0.6445
110,0.43307,72688657,66392852,13889372,0.5226,0.8396,0.6442
111,0.437007,72640035,66441474,13868544,0.5223,0.8397,0.644
112,0.440944,72589240,66492269,13846842,0.5219,0.8398,0.6438
113,0.444881,72536581,66544928,13824762,0.5215,0.8399,0.6435
114,0.448818,72482223,66599286,13801388,0.5211,0.84,0.6432
115,0.452755,72424502,66657007,13777282,0.5207,0.8402,0.643
116,0.456692,72365097,66716412,13751953,0.5203,0.8403,0.6427
117,0.460629,72301884,66779625,13725399,0.5199,0.8405,0.6424
118,0.464566,72235372,66846137,13697257,0.5194,0.8406,0.6421
119,0.468503,72165106,66916403,13667224,0.5189,0.8408,0.6417
120,0.47244,72088915,66992594,13635379,0.5183,0.8409,0.6413
121,0.476377,72006670,67074839,13601393,0.5177,0.8411,0.6409
122,0.480314,71915903,67165606,13563249,0.5171,0.8413,0.6405
123,0.484251,71811086,67270423,13519180,0.5163,0.8416,0.64
124,0.488188,71679632,67401877,13463856,0.5154,0.8419,0.6394
125,0.492125,71492828,67588681,13385471,0.514,0.8423,0.6384
126,0.496062,71069265,68012244,13205619,0.511,0.8433,0.6364
127,0.5,70089993,68991516,12762528,0.5039,0.846,0.6316
128,0.503937,69439938,69641571,12507684,0.4993,0.8474,0.6283
129,0.507874,68950916,70130593,12316493,0.4958,0.8484,0.6258
130,0.511811,68524904,70556605,12149579,0.4927,0.8494,0.6236
131,0.515748,68128328,70953181,11995611,0.4898,0.8503,0.6216
132,0.519685,67746086,71335423,11848159,0.4871,0.8511,0.6196
133,0.523622,67372751,71708758,11706167,0.4844,0.852,0.6176
134,0.527559,67000287,72081222,11566824,0.4817,0.8528,0.6157
135,0.531496,66626469,72455040,11428191,0.479,0.8536,0.6137
136,0.535433,66251843,72829666,11290004,0.4764,0.8544,0.6117
137,0.53937,65873937,73207572,11151483,0.4736,0.8552,0.6096
138,0.543307,65481725,73599784,11009108,0.4708,0.8561,0.6075
139,0.547244,65074378,74007131,10862747,0.4679,0.857,0.6053
140,0.551181,64646944,74434565,10711382,0.4648,0.8579,0.6029
141,0.555118,64194382,74887127,10552524,0.4616,0.8588,0.6004
142,0.559055,63720896,75360613,10387496,0.4582,0.8598,0.5978
143,0.562992,63213695,75867814,10213599,0.4545,0.8609,0.5949
144,0.566929,62667757,76413752,10029722,0.4506,0.862,0.5918
