k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,599799,0,1240914,1.0,0.3259,0.4915
2,0.007874,599799,0,1240914,1.0,0.3259,0.4915
3,0.011811,599799,0,1240914,1.0,0.3259,0.4915
4,0.015748,599799,0,1240914,1.0,0.3259,0.4915
5,0.019685,599799,0,1240914,1.0,0.3259,0.4915
6,0.023622,599799,0,1240914,1.0,0.3259,0.4915
7,0.027559,599799,0,1240914,1.0,0.3259,0.4915
8,0.031496,599799,0,1240914,1.0,0.3259,0.4915
9,0.035433,599799,0,1240914,1.0,0.3259,0.4915
10,0.03937,599799,0,1240914,1.0,0.3259,0.4915
11,0.043307,599799,0,1240914,1.0,0.3259,0.4915
12,0.047244,599799,0,1240914,1.0,0.3259,0.4915
13,0.051181,599799,0,1240914,1.0,0.3259,0.4915
14,0.055118,599799,0,1240914,1.0,0.3259,0.4915
15,0.059055,599799,0,1240914,1.0,0.3259,0.4915
16,0.062992,599799,0,1240914,1.0,0.3259,0.4915
17,0.066929,599799,0,1240914,1.0,0.3259,0.4915
18,0.070866,599799,0,1240914,1.0,0.3259,0.4915
19,0.074803,599799,0,1240914,1.0,0.3259,0.4915
20,0.07874,599799,0,1240914,1.0,0.3259,0.4915
21,0.082677,599799,0,1240914,1.0,0.3259,0.4915
22,0.086614,599799,0,1240914,1.0,0.3259,0.4915
23,0.090551,599799,0,1240914,1.0,0.3259,0.4915
24,0.094488,599799,0,1240914,1.0,0.3259,0.4915
25,0.098425,599799,0,1240914,1.0,0.3259,0.4915
26,0.102362,599799,0,1240914,1.0,0.3259,0.4915
27,0.106299,599799,0,1240914,1.0,0.3259,0.4915
28,0.110236,599799,0,1240914,1.0,0.3259,0.4915
29,0.114173,599799,0,1240914,1.0,0.3259,0.4915
30,0.11811,599799,0,1240914,1.0,0.3259,0.4915
31,0.122047,599799,0,1240914,1.0,0.3259,0.4915
32,0.125984,599799,0,1240914,1.0,0.3259,0.4915
33,0.129921,599799,0,1240914,1.0,0.3259,0.4915
34,0.133858,599799,0,1240914,1.0,0.3259,0.4915
35,0.137795,599799,0,1240914,1.0,0.3259,0.4915
36,0.141732,599799,0,1240914,1.0,0.3259,0.4915
37,0.145669,599799,0,1240914,1.0,0.3259,0.4915
38,0.149606,599799,0,1240701,1.0,0.3259,0.4916
39,0.153543,599799,0,1240211,1.0,0.326,0.4917
40,0.15748,599736,63,1236543,0.9999,0.3266,0.4924
41,0.161417,599606,193,1231987,0.9997,0.3274,0.4932
42,0.165354,599425,374,1227574,0.9994,0.3281,0.494
43,0.169291,599191,608,1221636,0.999,0.3291,0.4951
44,0.173228,598607,1192,1213508,0.998,0.3303,0.4964
45,0.177165,597581,2218,1204435,0.9963,0.3316,0.4976
46,0.181102,596616,3183,1194879,0.9947,0.333,0.499
47,0.185039,595935,3864,1178508,0.9936,0.3358,0.502
48,0.188976,595006,4793,1154346,0.992,0.3401,0.5066
49,0.192913,593667,6132,1119616,0.9898,0.3465,0.5133
50,0.19685,591827,7972,1069037,0.9867,0.3563,0.5236
51,0.200787,589121,10678,1004723,0.9822,0.3696,0.5371
52,0.204724,585273,14526,930498,0.9758,0.3861,0.5533
53,0.208661,579641,20158,846553,0.9664,0.4064,0.5722
54,0.212598,572162,27637,758604,0.9539,0.4299,0.5927
55,0.216535,563243,36556,672944,0.9391,0.4556,0.6136
56,0.220472,552010,47789,591121,0.9203,0.4829,0.6334
57,0.224409,539889,59910,516790,0.9001,0.5109,0.6519
58,0.228346,526999,72800,453114,0.8786,0.5377,0.6671
59,0.232283,513329,86470,397595,0.8558,0.5635,0.6796
60,0.23622,498888,100911,350258,0.8318,0.5875,0.6886
61,0.240157,484867,114932,310756,0.8084,0.6094,0.6949
62,0.244094,470676,129123,277418,0.7847,0.6292,0.6984
63,0.248031,457193,142606,249548,0.7622,0.6469,0.6999
64,0.251968,444830,154969,225835,0.7416,0.6633,0.7003
65,0.255905,434135,165664,207372,0.7238,0.6767,0.6995
66,0.259842,424253,175546,191937,0.7073,0.6885,0.6978
67,0.263779,415273,184526,178962,0.6924,0.6988,0.6956
68,0.267716,407184,192615,168349,0.6789,0.7075,0.6929
69,0.271653,400058,199741,159790,0.667,0.7146,0.69
70,0.27559,394380,205419,153248,0.6575,0.7202,0.6874
71,0.279527,389631,210168,148020,0.6496,0.7247,0.6851
72,0.283464,385768,214031,143773,0.6432,0.7285,0.6832
73,0.287401,382414,217385,140058,0.6376,0.7319,0.6815
74,0.291338,379508,220291,136829,0.6327,0.735,0.68
75,0.295275,376761,223038,133894,0.6281,0.7378,0.6786
76,0.299212,374398,225401,131417,0.6242,0.7402,0.6773
77,0.303149,372032,227767,129030,0.6203,0.7425,0.6759
78,0.307086,369933,229866,126848,0.6168,0.7447,0.6747
79,0.311023,368012,231787,124810,0.6136,0.7467,0.6736
80,0.31496,366112,233687,122965,0.6104,0.7486,0.6725
81,0.318897,364255,235544,121152,0.6073,0.7504,0.6713
82,0.322834,362488,237311,119492,0.6043,0.7521,0.6702
83,0.326771,360756,239043,117926,0.6015,0.7536,0.669
84,0.330708,359117,240682,116404,0.5987,0.7552,0.6679
85,0.334645,357472,242327,114834,0.596,0.7569,0.6669
86,0.338582,355908,243891,113339,0.5934,0.7585,0.6658
87,0.342519,354438,245361,111926,0.5909,0.76,0.6649
88,0.346456,352954,246845,110591,0.5885,0.7614,0.6639
89,0.350393,351496,248303,109332,0.586,0.7627,0.6628
90,0.35433,350066,249733,108116,0.5836,0.764,0.6618
91,0.358267,348688,251111,106913,0.5813,0.7653,0.6608
92,0.362204,347277,252522,105677,0.579,0.7667,0.6598
93,0.366141,345837,253962,104540,0.5766,0.7679,0.6586
94,0.370078,344454,255345,103409,0.5743,0.7691,0.6576
95,0.374015,343097,256702,102317,0.572,0.7703,0.6565
96,0.377952,341813,257986,101203,0.5699,0.7716,0.6556
97,0.381889,340512,259287,100132,0.5677,0.7728,0.6546
98,0.385826,339186,260613,99079,0.5655,0.7739,0.6535
99,0.389763,337847,261952,98049,0.5633,0.7751,0.6524
100,0.3937,336617,263182,96998,0.5612,0.7763,0.6515
101,0.397637,335357,264442,95961,0.5591,0.7775,0.6505
102,0.401574,334075,265724,94996,0.557,0.7786,0.6494
103,0.405511,332754,267045,93979,0.5548,0.7798,0.6483
104,0.409448,331480,268319,92981,0.5527,0.7809,0.6473
105,0.413385,330152,269647,91986,0.5504,0.7821,0.6461
106,0.417322,328848,270951,91015,0.5483,0.7832,0.645
107,0.421259,327559,272240,90013,0.5461,0.7844,0.6439
108,0.425196,326204,273595,88976,0.5439,0.7857,0.6428
109,0.429133,324861,274938,87995,0.5416,0.7869,0.6416
110,0.43307,323469,276330,87100,0.5393,0.7879,0.6403
111,0.437007,322001,277798,86114,0.5368,0.789,0.6389
112,0.440944,320581,279218,85117,0.5345,0.7902,0.6377
113,0.444881,319072,280727,84128,0.532,0.7913,0.6362
114,0.448818,317626,282173,83121,0.5296,0.7926,0.6349
115,0.452755,316171,283628,82097,0.5271,0.7939,0.6336
116,0.456692,314664,285135,81114,0.5246,0.7951,0.6321
117,0.460629,313008,286791,80047,0.5219,0.7963,0.6305
118,0.464566,311382,288417,78930,0.5191,0.7978,0.629
119,0.468503,309635,290164,77825,0.5162,0.7991,0.6273
120,0.47244,307842,291957,76654,0.5132,0.8006,0.6255
121,0.476377,305817,293982,75429,0.5099,0.8022,0.6235
122,0.480314,303596,296203,74115,0.5062,0.8038,0.6212
123,0.484251,301125,298674,72725,0.502,0.8055,0.6185
124,0.488188,298088,301711,71110,0.497,0.8074,0.6153
125,0.492125,294667,305132,69309,0.4913,0.8096,0.6115
126,0.496062,290722,309077,67305,0.4847,0.812,0.607
127,0.5,286245,313554,64990,0.4772,0.815,0.602
128,0.503937,278954,320845,61429,0.4651,0.8195,0.5934
129,0.507874,261006,338793,53190,0.4352,0.8307,0.5711
130,0.511811,236519,363280,41706,0.3943,0.8501,0.5388
131,0.515748,217440,382359,33810,0.3625,0.8654,0.511
132,0.519685,204214,395585,29435,0.3405,0.874,0.49
133,0.523622,193991,405808,26324,0.3234,0.8805,0.4731
134,0.527559,185536,414263,23880,0.3093,0.886,0.4586
135,0.531496,178232,421567,21904,0.2972,0.8906,0.4456
136,0.535433,171585,428214,20248,0.2861,0.8944,0.4335
137,0.53937,165506,434293,18780,0.2759,0.8981,0.4222
138,0.543307,159519,440280,17346,0.266,0.9019,0.4108
139,0.547244,153743,446056,15995,0.2563,0.9058,0.3996
140,0.551181,148051,451748,14771,0.2468,0.9093,0.3883
141,0.555118,142351,457448,13573,0.2373,0.913,0.3767
142,0.559055,136983,462816,12495,0.2284,0.9164,0.3656
143,0.562992,131596,468203,11529,0.2194,0.9194,0.3543
144,0.566929,126270,473529,10580,0.2105,0.9227,0.3428
145,0.570866,121012,478787,9631,0.2018,0.9263,0.3313
146,0.574803,115837,483962,8758,0.1931,0.9297,0.3198
147,0.57874,110436,489363,7876,0.1841,0.9334,0.3076
148,0.582677,105085,494714,7142,0.1752,0.9364,0.2952
149,0.586614,99653,500146,6447,0.1661,0.9392,0.2823
150,0.590551,94125,505674,5763,0.1569,0.9423,0.269
151,0.594488,88632,511167,5122,0.1478,0.9454,0.2556
152,0.598425,83389,516410,4628,0.139,0.9474,0.2425
153,0.602362,78228,521571,4160,0.1304,0.9495,0.2293
154,0.606299,73353,526446,3724,0.1223,0.9517,0.2167
155,0.610236,68662,531137,3329,0.1145,0.9538,0.2044
156,0.614173,64196,535603,2956,0.107,0.956,0.1925
157,0.61811,59882,539917,2620,0.0998,0.9581,0.1808
158,0.622047,55844,543955,2314,0.0931,0.9602,0.1697
159,0.625984,51921,547878,2021,0.0866,0.9625,0.1588
160,0.629921,48173,551626,1705,0.0803,0.9658,0.1483
161,0.633858,44716,555083,1430,0.0746,0.969,0.1385
162,0.637795,41066,558733,1194,0.0685,0.9717,0.1279
163,0.641732,37513,562286,993,0.0625,0.9742,0.1175
164,0.645669,34015,565784,831,0.0567,0.9762,0.1072
165,0.649606,30521,569278,695,0.0509,0.9777,0.0967
166,0.653543,27090,572709,553,0.0452,0.98,0.0864
167,0.65748,23893,575906,436,0.0398,0.9821,0.0766
168,0.661417,21028,578771,318,0.0351,0.9851,0.0677
169,0.665354,18286,581513,214,0.0305,0.9884,0.0591
170,0.669291,15820,583979,123,0.0264,0.9923,0.0514
171,0.673228,13511,586288,70,0.0225,0.9948,0.0441
172,0.677165,11543,588256,39,0.0192,0.9966,0.0378
173,0.681102,9795,590004,16,0.0163,0.9984,0.0321
174,0.685039,8345,591454,5,0.0139,0.9994,0.0274
175,0.688976,7204,592595,0,0.012,1.0,0.0237
176,0.692913,6243,593556,0,0.0104,1.0,0.0206
177,0.69685,5499,594300,0,0.0092,1.0,0.0182
178,0.700787,4921,594878,0,0.0082,1.0,0.0163
179,0.704724,4451,595348,0,0.0074,1.0,0.0147
180,0.708661,4058,595741,0,0.0068,1.0,0.0134
181,0.712598,3654,596145,0,0.0061,1.0,0.0121
182,0.716535,3314,596485,0,0.0055,1.0,0.011
183,0.720472,2943,596856,0,0.0049,1.0,0.0098
184,0.724409,2644,597155,0,0.0044,1.0,0.0088
185,0.728346,2434,597365,0,0.0041,1.0,0.0081
186,0.732283,2264,597535,0,0.0038,1.0,0.0075
187,0.73622,2112,597687,0,0.0035,1.0,0.007
188,0.740157,1937,597862,0,0.0032,1.0,0.0064
189,0.744094,1721,598078,0,0.0029,1.0,0.0057
190,0.748031,1467,598332,0,0.0024,1.0,0.0049
191,0.751968,1230,598569,0,0.0021,1.0,0.0041
192,0.755905,981,598818,0,0.0016,1.0,0.0033
193,0.759842,772,599027,0,0.0013,1.0,0.0026
194,0.763779,538,599261,0,0.0009,1.0,0.0018
195,0.767716,312,599487,0,0.0005,1.0,0.001
196,0.771653,181,599618,0,0.0003,1.0,0.0006
197,0.77559,90,599709,0,0.0002,1.0,0.0003
198,0.779527,35,599764,0,0.0001,1.0,0.0001
199,0.783464,0,599799,0,0.0,nan,
200,0.787401,0,599799,0,0.0,nan,
201,0.791338,0,599799,0,0.0,nan,
202,0.795275,0,599799,0,0.0,nan,
203,0.799212,0,599799,0,0.0,nan,
204,0.803149,0,599799,0,0.0,nan,
205,0.807086,0,599799,0,0.0,nan,
206,0.811023,0,599799,0,0.0,nan,
207,0.81496,0,599799,0,0.0,nan,
208,0.818897,0,599799,0,0.0,nan,
209,0.822834,0,599799,0,0.0,nan,
210,0.826771,0,599799,0,0.0,nan,
211,0.830708,0,599799,0,0.0,nan,
212,0.834645,0,599799,0,0.0,nan,
213,0.838582,0,599799,0,0.0,nan,
214,0.842519,0,599799,0,0.0,nan,
215,0.846456,0,599799,0,0.0,nan,
216,0.850393,0,599799,0,0.0,nan,
217,0.85433,0,599799,0,0.0,nan,
218,0.858267,0,599799,0,0.0,nan,
219,0.862204,0,599799,0,0.0,nan,
220,0.866141,0,599799,0,0.0,nan,
221,0.870078,0,599799,0,0.0,nan,
222,0.874015,0,599799,0,0.0,nan,
223,0.877952,0,599799,0,0.0,nan,
224,0.881889,0,599799,0,0.0,nan,
225,0.885826,0,599799,0,0.0,nan,
226,0.889763,0,599799,0,0.0,nan,
227,0.8937,0,599799,0,0.0,nan,
228,0.897637,0,599799,0,0.0,nan,
229,0.901574,0,599799,0,0.0,nan,
230,0.905511,0,599799,0,0.0,nan,
231,0.909448,0,599799,0,0.0,nan,
232,0.913385,0,599799,0,0.0,nan,
233,0.917322,0,599799,0,0.0,nan,
234,0.921259,0,599799,0,0.0,nan,
235,0.925196,0,599799,0,0.0,nan,
236,0.929133,0,599799,0,0.0,nan,
237,0.93307,0,599799,0,0.0,nan,
238,0.937007,0,599799,0,0.0,nan,
239,0.940944,0,599799,0,0.0,nan,
240,0.944881,0,599799,0,0.0,nan,
241,0.948818,0,599799,0,0.0,nan,
242,0.952755,0,599799,0,0.0,nan,
243,0.956692,0,599799,0,0.0,nan,
244,0.960629,0,599799,0,0.0,nan,
245,0.964566,0,599799,0,0.0,nan,
246,0.968503,0,599799,0,0.0,nan,
247,0.97244,0,599799,0,0.0,nan,
248,0.976377,0,599799,0,0.0,nan,
249,0.980314,0,599799,0,0.0,nan,
250,0.984251,0,599799,0,0.0,nan,
251,0.988188,0,599799,0,0.0,nan,
252,0.992125,0,599799,0,0.0,nan,
253,0.996062,0,599799,0,0.0,nan,
254,1.0,0,599799,0,0.0,nan,
