k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,4424508528,0,12089211080,1.0,0.2679,0.4226
2,0.007874,4424508528,0,12089211080,1.0,0.2679,0.4226
3,0.011811,4424508528,0,12089211080,1.0,0.2679,0.4226
4,0.015748,4424508528,0,12089211080,1.0,0.2679,0.4226
5,0.019685,4424508528,0,12089211080,1.0,0.2679,0.4226
6,0.023622,4424508528,0,12089211080,1.0,0.2679,0.4226
7,0.027559,4424508528,0,12089211080,1.0,0.2679,0.4226
8,0.031496,4424508528,0,12089211080,1.0,0.2679,0.4226
9,0.035433,4424508528,0,12089211080,1.0,0.2679,0.4226
10,0.03937,4424508528,0,12089211080,1.0,0.2679,0.4226
11,0.043307,4423549285,959243,12054102275,0.9998,0.2685,0.4233
12,0.047244,4036430571,388077957,7529517830,0.9123,0.349,0.5049
13,0.051181,3424038398,1000470130,1708383876,0.7739,0.6671,0.7166
14,0.055118,3077127863,1347380665,1012374625,0.6955,0.7524,0.7228
15,0.059055,3006613370,1417895158,927383499,0.6795,0.7643,0.7194
16,0.062992,2981230526,1443278002,899128713,0.6738,0.7683,0.7179
17,0.066929,2968281727,1456226801,885203477,0.6709,0.7703,0.7172
18,0.070866,2959368190,1465140338,875696936,0.6689,0.7717,0.7166
19,0.074803,2952327156,1472181372,868237568,0.6673,0.7727,0.7161
20,0.07874,2946697384,1477811144,862316741,0.666,0.7736,0.7158
21,0.082677,2941891600,1482616928,857294018,0.6649,0.7743,0.7155
22,0.086614,2937715589,1486792939,852951842,0.664,0.775,0.7152
23,0.090551,2934162698,1490345830,849283678,0.6632,0.7755,0.715
24,0.094488,2930988077,1493520451,846027580,0.6624,0.776,0.7147
25,0.098425,2928005117,1496503411,843000136,0.6618,0.7765,0.7145
26,0.102362,2925301759,1499206769,840273485,0.6612,0.7769,0.7144
27,0.106299,2922837011,1501671517,837803179,0.6606,0.7772,0.7142
28,0.110236,2920573448,1503935080,835551722,0.6601,0.7775,0.714
29,0.114173,2918491543,1506016985,833488539,0.6596,0.7779,0.7139
30,0.11811,2916466088,1508042440,831490972,0.6592,0.7781,0.7137
31,0.122047,2914520689,1509987839,829575363,0.6587,0.7784,0.7136
32,0.125984,2912689368,1511819160,827780507,0.6583,0.7787,0.7135
33,0.129921,2910990081,1513518447,826118069,0.6579,0.7789,0.7133
34,0.133858,2909316978,1515191550,824490557,0.6575,0.7792,0.7132
35,0.137795,2907719513,1516789015,822939739,0.6572,0.7794,0.7131
36,0.141732,2906190376,1518318152,821460071,0.6568,0.7796,0.713
37,0.145669,2904725019,1519783509,820046212,0.6565,0.7798,0.7129
38,0.149606,2903321724,1521186804,818698910,0.6562,0.78,0.7128
39,0.153543,2901932969,1522575559,817366352,0.6559,0.7802,0.7127
40,0.15748,2900599720,1523908808,816093789,0.6556,0.7804,0.7126
41,0.161417,2899323045,1525185483,814877483,0.6553,0.7806,0.7125
42,0.165354,2898057862,1526450666,813676179,0.655,0.7808,0.7124
43,0.169291,2896845118,1527663410,812526357,0.6547,0.781,0.7123
44,0.173228,2895640544,1528867984,811389732,0.6545,0.7811,0.7122
45,0.177165,2894485702,1530022826,810303380,0.6542,0.7813,0.7121
46,0.181102,2893337719,1531170809,809224648,0.6539,0.7814,0.712
47,0.185039,2892239778,1532268750,808193838,0.6537,0.7816,0.7119
48,0.188976,2891144818,1533363710,807172575,0.6534,0.7817,0.7119
49,0.192913,2890097328,1534411200,806196850,0.6532,0.7819,0.7118
50,0.19685,2889054962,1535453566,805225456,0.653,0.782,0.7117
51,0.200787,2888057344,1536451184,804299483,0.6527,0.7822,0.7116
52,0.204724,2887064734,1537443794,803379067,0.6525,0.7823,0.7115
53,0.208661,2886074319,1538434209,802463571,0.6523,0.7824,0.7115
54,0.212598,2885088126,1539420402,801554342,0.6521,0.7826,0.7114
55,0.216535,2884145761,1540362767,800687132,0.6519,0.7827,0.7113
56,0.220472,2883204739,1541303789,799823341,0.6516,0.7828,0.7112
57,0.224409,2882306102,1542202426,798998392,0.6514,0.783,0.7112
58,0.228346,2881409981,1543098547,798176755,0.6512,0.7831,0.7111
59,0.232283,2880515372,1543993156,797359522,0.651,0.7832,0.711
60,0.23622,2879623332,1544885196,796545049,0.6508,0.7833,0.711
61,0.240157,2878771259,1545737269,795769402,0.6506,0.7834,0.7109
62,0.244094,2877920205,1546588323,794994949,0.6504,0.7836,0.7108
63,0.248031,2877069416,1547439112,794221682,0.6503,0.7837,0.7108
64,0.251968,2876218179,1548290349,793450143,0.6501,0.7838,0.7107
65,0.255905,2875408016,1549100512,792714887,0.6499,0.7839,0.7106
66,0.259842,2874598418,1549910110,791980578,0.6497,0.784,0.7106
67,0.263779,2873789266,1550719262,791248096,0.6495,0.7841,0.7105
68,0.267716,2872979625,1551528903,790515073,0.6493,0.7842,0.7104
69,0.271653,2872217288,1552291240,789827193,0.6492,0.7843,0.7104
70,0.27559,2871425408,1553083120,789113440,0.649,0.7844,0.7103
71,0.279527,2870653096,1553855432,788416871,0.6488,0.7845,0.7102
72,0.283464,2869878373,1554630155,787717725,0.6486,0.7846,0.7102
73,0.287401,2869102624,1555405904,787020165,0.6485,0.7847,0.7101
74,0.291338,2868343602,1556164926,786338012,0.6483,0.7848,0.7101
75,0.295275,2867562186,1556946342,785637925,0.6481,0.7849,0.71
76,0.299212,2866820540,1557687988,784970293,0.6479,0.785,0.7099
77,0.303149,2866055276,1558453252,784284625,0.6478,0.7851,0.7099
78,0.307086,2865308320,1559200208,783615316,0.6476,0.7852,0.7098
79,0.311023,2864555628,1559952900,782943928,0.6474,0.7853,0.7098
80,0.31496,2863821312,1560687216,782287859,0.6473,0.7854,0.7097
