k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,11128663,0,30835696,1.0,0.2652,0.4192
2,0.007874,11128663,0,30835696,1.0,0.2652,0.4192
3,0.011811,11128663,0,30835696,1.0,0.2652,0.4192
4,0.015748,11128663,0,30835696,1.0,0.2652,0.4192
5,0.019685,11128663,0,30835696,1.0,0.2652,0.4192
6,0.023622,11128663,0,30835696,1.0,0.2652,0.4192
7,0.027559,11128663,0,30835696,1.0,0.2652,0.4192
8,0.031496,11128663,0,30835696,1.0,0.2652,0.4192
9,0.035433,11128663,0,30835696,1.0,0.2652,0.4192
10,0.03937,11128663,0,30835696,1.0,0.2652,0.4192
11,0.043307,11128663,0,30835696,1.0,0.2652,0.4192
12,0.047244,11128663,0,30835696,1.0,0.2652,0.4192
13,0.051181,11128663,0,30835696,1.0,0.2652,0.4192
14,0.055118,11128663,0,30835696,1.0,0.2652,0.4192
15,0.059055,11128663,0,30835696,1.0,0.2652,0.4192
16,0.062992,11128661,2,30832089,1.0,0.2652,0.4192
17,0.066929,11121128,7535,30371987,0.9993,0.268,0.4227
18,0.070866,10995022,133641,26714463,0.988,0.2916,0.4503
19,0.074803,10682150,446513,21515934,0.9599,0.3318,0.4931
20,0.07874,10310222,818441,17930438,0.9265,0.3651,0.5238
21,0.082677,9957260,1171403,10849311,0.8947,0.4786,0.6236
22,0.086614,9674323,1454340,7288837,0.8693,0.5703,0.6888
23,0.090551,9479444,1649219,6564293,0.8518,0.5909,0.6977
24,0.094488,9341282,1787381,6172164,0.8394,0.6021,0.7012
25,0.098425,9237710,1890953,5911914,0.8301,0.6098,0.7031
26,0.102362,9159049,1969614,5729378,0.823,0.6152,0.7041
27,0.106299,9096056,2032607,5587559,0.8174,0.6195,0.7048
28,0.110236,9042996,2085667,5472244,0.8126,0.623,0.7053
29,0.114173,8996956,2131707,5375697,0.8084,0.626,0.7056
30,0.11811,8955059,2173604,5288324,0.8047,0.6287,0.7059
31,0.122047,8917155,2211508,5211064,0.8013,0.6312,0.7061
32,0.125984,8882379,2246284,5140954,0.7982,0.6334,0.7063
33,0.129921,8850912,2277751,5078963,0.7953,0.6354,0.7064
34,0.133858,8820770,2307893,5020432,0.7926,0.6373,0.7065
35,0.137795,8792690,2335973,4966384,0.7901,0.639,0.7066
36,0.141732,8766334,2362329,4916059,0.7877,0.6407,0.7066
37,0.145669,8741650,2387013,4869169,0.7855,0.6423,0.7067
38,0.149606,8718174,2410489,4825799,0.7834,0.6437,0.7067
39,0.153543,8695336,2433327,4783809,0.7813,0.6451,0.7067
40,0.15748,8673765,2454898,4743894,0.7794,0.6464,0.7067
41,0.161417,8653027,2475636,4706357,0.7775,0.6477,0.7067
42,0.165354,8632652,2496011,4669786,0.7757,0.649,0.7067
43,0.169291,8613372,2515291,4635552,0.774,0.6501,0.7067
44,0.173228,8594292,2534371,4601676,0.7723,0.6513,0.7066
45,0.177165,8576334,2552329,4570101,0.7707,0.6524,0.7066
46,0.181102,8558454,2570209,4538666,0.769,0.6535,0.7066
47,0.185039,8540921,2587742,4508760,0.7675,0.6545,0.7065
48,0.188976,8523567,2605096,4479492,0.7659,0.6555,0.7064
49,0.192913,8506885,2621778,4451308,0.7644,0.6565,0.7064
50,0.19685,8490391,2638272,4423735,0.7629,0.6574,0.7063
51,0.200787,8474470,2654193,4397399,0.7615,0.6584,0.7062
52,0.204724,8458907,2669756,4371624,0.7601,0.6593,0.7061
53,0.208661,8443278,2685385,4345985,0.7587,0.6602,0.706
54,0.212598,8427846,2700817,4320423,0.7573,0.6611,0.7059
55,0.216535,8413077,2715586,4295868,0.756,0.662,0.7059
56,0.220472,8398212,2730451,4271857,0.7546,0.6628,0.7058
57,0.224409,8383813,2744850,4248973,0.7534,0.6637,0.7057
58,0.228346,8369573,2759090,4226144,0.7521,0.6645,0.7056
59,0.232283,8355478,2773185,4203264,0.7508,0.6653,0.7055
60,0.23622,8341317,2787346,4180576,0.7495,0.6661,0.7054
61,0.240157,8327639,2801024,4159058,0.7483,0.6669,0.7053
62,0.244094,8314137,2814526,4137570,0.7471,0.6677,0.7052
63,0.248031,8300576,2828087,4116312,0.7459,0.6685,0.7051
64,0.251968,8286695,2841968,4094886,0.7446,0.6693,0.7049
65,0.255905,8273557,2855106,4074470,0.7434,0.67,0.7048
66,0.259842,8260411,2868252,4054019,0.7423,0.6708,0.7047
67,0.263779,8246954,2881709,4033981,0.7411,0.6715,0.7046
68,0.267716,8233639,2895024,4013720,0.7399,0.6723,0.7045
69,0.271653,8220492,2908171,3993827,0.7387,0.673,0.7043
70,0.27559,8207477,2921186,3974026,0.7375,0.6738,0.7042
71,0.279527,8194791,2933872,3954955,0.7364,0.6745,0.7041
72,0.283464,8181918,2946745,3935625,0.7352,0.6752,0.7039
73,0.287401,8169053,2959610,3916530,0.7341,0.6759,0.7038
74,0.291338,8156364,2972299,3898066,0.7329,0.6766,0.7036
75,0.295275,8143407,2985256,3879149,0.7318,0.6773,0.7035
76,0.299212,8131094,2997569,3861190,0.7306,0.678,0.7034
77,0.303149,8118479,3010184,3842968,0.7295,0.6787,0.7032
78,0.307086,8105997,3022666,3825089,0.7284,0.6794,0.703
79,0.311023,8093584,3035079,3807401,0.7273,0.6801,0.7029
80,0.31496,8081316,3047347,3790171,0.7262,0.6807,0.7027
81,0.318897,8068797,3059866,3772473,0.725,0.6814,0.7026
82,0.322834,8056672,3071991,3755370,0.724,0.6821,0.7024
83,0.326771,8044307,3084356,3737999,0.7228,0.6827,0.7022
84,0.330708,8032200,3096463,3721033,0.7218,0.6834,0.7021
85,0.334645,8019663,3109000,3703418,0.7206,0.6841,0.7019
86,0.338582,8007140,3121523,3686110,0.7195,0.6848,0.7017
87,0.342519,7994642,3134021,3669055,0.7184,0.6854,0.7015
88,0.346456,7982062,3146601,3651641,0.7173,0.6861,0.7013
89,0.350393,7969327,3159336,3634292,0.7161,0.6868,0.7011
90,0.35433,7956735,3171928,3617274,0.715,0.6875,0.701
91,0.358267,7943877,3184786,3600291,0.7138,0.6881,0.7007
92,0.362204,7930772,3197891,3582973,0.7126,0.6888,0.7005
93,0.366141,7917649,3211014,3565531,0.7115,0.6895,0.7003
94,0.370078,7904387,3224276,3547839,0.7103,0.6902,0.7001
95,0.374015,7891140,3237523,3530309,0.7091,0.6909,0.6999
96,0.377952,7877057,3251606,3511852,0.7078,0.6916,0.6996
97,0.381889,7863169,3265494,3493570,0.7066,0.6924,0.6994
98,0.385826,7849016,3279647,3475060,0.7053,0.6931,0.6992
99,0.389763,7834144,3294519,3455766,0.704,0.6939,0.6989
100,0.3937,7819095,3309568,3436179,0.7026,0.6947,0.6986
