k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,4424501510,0,12081216527,1.0,0.2681,0.4228
2,0.007874,4424501510,0,12081216527,1.0,0.2681,0.4228
3,0.011811,4424501510,0,12081216527,1.0,0.2681,0.4228
4,0.015748,4424501510,0,12081216527,1.0,0.2681,0.4228
5,0.019685,4424501510,0,12081216527,1.0,0.2681,0.4228
6,0.023622,4424501510,0,12081216527,1.0,0.2681,0.4228
7,0.027559,4424501510,0,12081216527,1.0,0.2681,0.4228
8,0.031496,4424501510,0,12081216527,1.0,0.2681,0.4228
9,0.035433,4424501510,0,12081216527,1.0,0.2681,0.4228
10,0.03937,4424501510,0,12081216527,1.0,0.2681,0.4228
11,0.043307,4424501510,0,12081216527,1.0,0.2681,0.4228
12,0.047244,4424501510,0,12081216527,1.0,0.2681,0.4228
13,0.051181,4424501510,0,12081216527,1.0,0.2681,0.4228
14,0.055118,4424501510,0,12081216527,1.0,0.2681,0.4228
15,0.059055,4424501510,0,12081216527,1.0,0.2681,0.4228
16,0.062992,4424501510,0,12081216527,1.0,0.2681,0.4228
17,0.066929,4424501510,0,12081216527,1.0,0.2681,0.4228
18,0.070866,4424501510,0,12081216527,1.0,0.2681,0.4228
19,0.074803,4424501510,0,12081216527,1.0,0.2681,0.4228
20,0.07874,4424501510,0,12081216527,1.0,0.2681,0.4228
21,0.082677,4424501510,0,12081216527,1.0,0.2681,0.4228
22,0.086614,4424501510,0,12081216527,1.0,0.2681,0.4228
23,0.090551,4424501510,0,12081216527,1.0,0.2681,0.4228
24,0.094488,4424501510,0,12081216527,1.0,0.2681,0.4228
25,0.098425,4424501510,0,12081216527,1.0,0.2681,0.4228
26,0.102362,4424501510,0,12081216527,1.0,0.2681,0.4228
27,0.106299,4424501510,0,12081216527,1.0,0.2681,0.4228
28,0.110236,4424501510,0,12081216527,1.0,0.2681,0.4228
29,0.114173,4424501510,0,12081216527,1.0,0.2681,0.4228
30,0.11811,4424501510,0,12081216527,1.0,0.2681,0.4228
31,0.122047,4424501510,0,12081216527,1.0,0.2681,0.4228
32,0.125984,4424501510,0,12081216527,1.0,0.2681,0.4228
33,0.129921,4424501510,0,12081216527,1.0,0.2681,0.4228
34,0.133858,4424501510,0,12081216527,1.0,0.2681,0.4228
35,0.137795,4424501510,0,12081216527,1.0,0.2681,0.4228
36,0.141732,4424501510,0,12081216527,1.0,0.2681,0.4228
37,0.145669,4424501510,0,12081216527,1.0,0.2681,0.4228
38,0.149606,4424501510,0,12081216527,1.0,0.2681,0.4228
39,0.153543,4424501510,0,12081216527,1.0,0.2681,0.4228
40,0.15748,4424501510,0,12081216527,1.0,0.2681,0.4228
41,0.161417,4424501510,0,12081216527,1.0,0.2681,0.4228
42,0.165354,4424501510,0,12081216527,1.0,0.2681,0.4228
43,0.169291,4424501510,0,12081216527,1.0,0.2681,0.4228
44,0.173228,4424501510,0,12081216527,1.0,0.2681,0.4228
45,0.177165,4424501510,0,12081216527,1.0,0.2681,0.4228
46,0.181102,4424501510,0,12081216527,1.0,0.2681,0.4228
47,0.185039,4424501510,0,12081216527,1.0,0.2681,0.4228
48,0.188976,4424501510,0,12081216527,1.0,0.2681,0.4228
49,0.192913,4424501510,0,12081216527,1.0,0.2681,0.4228
50,0.19685,4424501510,0,12081216527,1.0,0.2681,0.4228
51,0.200787,4424500986,524,12081191891,1.0,0.2681,0.4228
52,0.204724,4424414040,87470,12077336155,1.0,0.2681,0.4229
53,0.208661,4400204311,24297199,11460117999,0.9945,0.2774,0.4338
54,0.212598,4182825365,241676145,6530391782,0.9454,0.3904,0.5526
55,0.216535,3899088641,525412869,2165483354,0.8812,0.6429,0.7435
56,0.220472,3720981754,703519756,1524005619,0.841,0.7094,0.7696
57,0.224409,3616065495,808436015,1321125135,0.8173,0.7324,0.7725
58,0.228346,3549365619,875135891,1224079859,0.8022,0.7436,0.7718
59,0.232283,3507836157,916665353,1170032640,0.7928,0.7499,0.7708
60,0.23622,3485472589,939028921,1142860431,0.7878,0.7531,0.77
61,0.240157,3474732271,949769239,1129851212,0.7853,0.7546,0.7697
62,0.244094,3467797325,956704185,1121334588,0.7838,0.7557,0.7695
63,0.248031,3462406612,962094898,1114686980,0.7826,0.7565,0.7693
64,0.251968,3457897827,966603683,1109136148,0.7815,0.7571,0.7691
65,0.255905,3454131937,970369573,1104525857,0.7807,0.7577,0.769
66,0.259842,3450739494,973762016,1100389173,0.7799,0.7582,0.7689
67,0.263779,3447621300,976880210,1096604291,0.7792,0.7587,0.7688
68,0.267716,3444718362,979783148,1093093763,0.7786,0.7591,0.7687
69,0.271653,3441981219,982520291,1089803701,0.7779,0.7595,0.7686
