k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,4155326884,0,10505055450,1.0,0.2834,0.4417
2,0.007874,4155326884,0,10505055450,1.0,0.2834,0.4417
3,0.011811,4155326884,0,10505055450,1.0,0.2834,0.4417
4,0.015748,4155326884,0,10505055450,1.0,0.2834,0.4417
5,0.019685,4155326884,0,10505055450,1.0,0.2834,0.4417
6,0.023622,4155326884,0,10505055450,1.0,0.2834,0.4417
7,0.027559,4155326884,0,10505055450,1.0,0.2834,0.4417
8,0.031496,4155326884,0,10505055450,1.0,0.2834,0.4417
9,0.035433,4155326884,0,10505055450,1.0,0.2834,0.4417
10,0.03937,4155326884,0,10505055450,1.0,0.2834,0.4417
11,0.043307,4155326884,0,10505055450,1.0,0.2834,0.4417
12,0.047244,4155326884,0,10505055450,1.0,0.2834,0.4417
13,0.051181,4155326884,0,10505055450,1.0,0.2834,0.4417
14,0.055118,4154991843,335041,10502270590,0.9999,0.2835,0.4417
15,0.059055,4078881818,76445066,10051994390,0.9816,0.2887,0.4461
16,0.062992,3618989093,536337791,7547147521,0.8709,0.3241,0.4724
17,0.066929,3120161328,1035165556,1978970812,0.7509,0.6119,0.6743
18,0.070866,2843061093,1312265791,739364383,0.6842,0.7936,0.7349
19,0.074803,2714423902,1440902982,630062667,0.6532,0.8116,0.7239
20,0.07874,2653860834,1501466050,589321253,0.6387,0.8183,0.7174
21,0.082677,2623380863,1531946021,570243156,0.6313,0.8214,0.7139
22,0.086614,2606258835,1549068049,559939532,0.6272,0.8232,0.7119
23,0.090551,2595525152,1559801732,553801612,0.6246,0.8242,0.7106
24,0.094488,2587599720,1567727164,549401625,0.6227,0.8249,0.7097
25,0.098425,2580984360,1574342524,545773681,0.6211,0.8255,0.7089
26,0.102362,2575455744,1579871140,542761195,0.6198,0.8259,0.7082
27,0.106299,2570708189,1584618695,540189897,0.6187,0.8264,0.7076
28,0.110236,2566551635,1588775249,537948920,0.6177,0.8267,0.7071
29,0.114173,2562871349,1592455535,535973146,0.6168,0.827,0.7066
30,0.11811,2559415589,1595911295,534121817,0.6159,0.8273,0.7062
31,0.122047,2556197571,1599129313,532405430,0.6152,0.8276,0.7057
32,0.125984,2553255388,1602071496,530836487,0.6145,0.8279,0.7054
33,0.129921,2550592118,1604734766,529419815,0.6138,0.8281,0.705
34,0.133858,2548030219,1607296665,528059481,0.6132,0.8283,0.7047
35,0.137795,2545627009,1609699875,526784320,0.6126,0.8285,0.7044
36,0.141732,2543366536,1611960348,525590070,0.6121,0.8287,0.7041
37,0.145669,2541236532,1614090352,524465774,0.6116,0.8289,0.7038
38,0.149606,2539228470,1616098414,523406210,0.6111,0.8291,0.7036
39,0.153543,2537267680,1618059204,522374398,0.6106,0.8293,0.7033
40,0.15748,2535412112,1619914772,521398539,0.6102,0.8294,0.7031
41,0.161417,2533653714,1621673170,520475988,0.6097,0.8296,0.7029
42,0.165354,2531926577,1623400307,519572538,0.6093,0.8297,0.7026
43,0.169291,2530287335,1625039549,518716919,0.6089,0.8299,0.7024
44,0.173228,2528671667,1626655217,517873927,0.6085,0.83,0.7022
45,0.177165,2527136011,1628190873,517074237,0.6082,0.8301,0.702
46,0.181102,2525621491,1629705393,516286497,0.6078,0.8303,0.7018
47,0.185039,2524179254,1631147630,515539589,0.6075,0.8304,0.7016
48,0.188976,2522754067,1632572817,514801249,0.6071,0.8305,0.7015
49,0.192913,2521394376,1633932508,514098194,0.6068,0.8306,0.7013
50,0.19685,2520046705,1635280179,513403942,0.6065,0.8308,0.7011
51,0.200787,2518760279,1636566605,512741919,0.6062,0.8309,0.7009
52,0.204724,2517485253,1637841631,512085872,0.6058,0.831,0.7008
53,0.208661,2516218198,1639108686,511434952,0.6055,0.8311,0.7006
54,0.212598,2514957836,1640369048,510789524,0.6052,0.8312,0.7004
55,0.216535,2513754111,1641572773,510174435,0.6049,0.8313,0.7003
56,0.220472,2512557927,1642768957,509563676,0.6047,0.8314,0.7001
57,0.224409,2511412211,1643914673,508979408,0.6044,0.8315,0.7
58,0.228346,2510271158,1645055726,508398098,0.6041,0.8316,0.6998
59,0.232283,2509134307,1646192577,507818490,0.6038,0.8317,0.6997
60,0.23622,2507998454,1647328430,507241828,0.6036,0.8318,0.6995
61,0.240157,2506912333,1648414551,506691993,0.6033,0.8319,0.6994
62,0.244094,2505827471,1649499413,506142947,0.603,0.832,0.6992
63,0.248031,2504744169,1650582715,505594576,0.6028,0.832,0.6991
64,0.251968,2503663704,1651663180,505047191,0.6025,0.8321,0.699
65,0.255905,2502629774,1652697110,504525381,0.6023,0.8322,0.6988
66,0.259842,2501593380,1653733504,504003982,0.602,0.8323,0.6987
67,0.263779,2500557541,1654769343,503483365,0.6018,0.8324,0.6985
68,0.267716,2499520907,1655805977,502962493,0.6015,0.8325,0.6984
69,0.271653,2498519780,1656807104,502460885,0.6013,0.8326,0.6983
70,0.27559,2497503591,1657823293,501951285,0.601,0.8327,0.6981
71,0.279527,2496508835,1658818049,501454215,0.6008,0.8327,0.698
72,0.283464,2495512059,1659814825,500956482,0.6006,0.8328,0.6979
73,0.287401,2494512491,1660814393,500459441,0.6003,0.8329,0.6977
74,0.291338,2493533406,1661793478,499972041,0.6001,0.833,0.6976
75,0.295275,2492525827,1662801057,499470998,0.5998,0.8331,0.6975
76,0.299212,2491565562,1663761322,498995678,0.5996,0.8331,0.6973
77,0.303149,2490576495,1664750389,498505364,0.5994,0.8332,0.6972
78,0.307086,2489608863,1665718021,498026391,0.5991,0.8333,0.6971
79,0.311023,2488637547,1666689337,497545432,0.5989,0.8334,0.6969
80,0.31496,2487687243,1667639641,497075506,0.5987,0.8335,0.6968
81,0.318897,2486706616,1668620268,496591901,0.5984,0.8335,0.6967
82,0.322834,2485744830,1669582054,496119936,0.5982,0.8336,0.6966
83,0.326771,2484780088,1670546796,495647919,0.598,0.8337,0.6964
84,0.330708,2483838107,1671488777,495185503,0.5977,0.8338,0.6963
85,0.334645,2482864396,1672462488,494708624,0.5975,0.8339,0.6962
86,0.338582,2481910460,1673416424,494242501,0.5973,0.8339,0.696
87,0.342519,2480950887,1674375997,493774315,0.5971,0.834,0.6959
88,0.346456,2479986280,1675340604,493303703,0.5968,0.8341,0.6958
89,0.350393,2479015432,1676311452,492829883,0.5966,0.8342,0.6957
90,0.35433,2478064005,1677262879,492367940,0.5964,0.8342,0.6955
91,0.358267,2477105589,1678221295,491903422,0.5961,0.8343,0.6954
92,0.362204,2476138770,1679188114,491434463,0.5959,0.8344,0.6953
93,0.366141,2475162633,1680164251,490961073,0.5957,0.8345,0.6951
94,0.370078,2474175757,1681151127,490484682,0.5954,0.8346,0.695
95,0.374015,2473207386,1682119498,490016236,0.5952,0.8346,0.6949
96,0.377952,2472197425,1683129459,489529478,0.5949,0.8347,0.6947
97,0.381889,2471195961,1684130923,489046633,0.5947,0.8348,0.6946
98,0.385826,2470189028,1685137856,488563187,0.5945,0.8349,0.6945
99,0.389763,2469167080,1686159804,488071807,0.5942,0.835,0.6943
100,0.3937,2468128484,1687198400,487574775,0.594,0.835,0.6942
101,0.397637,2467073677,1688253207,487070073,0.5937,0.8351,0.694
102,0.401574,2466017108,1689309776,486563328,0.5935,0.8352,0.6939
103,0.405511,2464939015,1690387869,486048612,0.5932,0.8353,0.6937
104,0.409448,2463836770,1691490114,485523147,0.5929,0.8354,0.6936
105,0.413385,2462710127,1692616757,484986641,0.5927,0.8355,0.6934
106,0.417322,2461571672,1693755212,484445920,0.5924,0.8356,0.6933
107,0.421259,2460386335,1694940549,483881791,0.5921,0.8357,0.6931
108,0.425196,2459181176,1696145708,483310568,0.5918,0.8357,0.6929
109,0.429133,2457937889,1697388995,482722001,0.5915,0.8358,0.6928
110,0.43307,2456671169,1698655715,482123991,0.5912,0.8359,0.6926
111,0.437007,2455341658,1699985226,481497392,0.5909,0.836,0.6924
112,0.440944,2453981409,1701345475,480857479,0.5906,0.8362,0.6922
113,0.444881,2452564599,1702762285,480193667,0.5902,0.8363,0.692
114,0.448818,2451106029,1704220855,479509974,0.5899,0.8364,0.6918
115,0.452755,2449577496,1705749388,478796040,0.5895,0.8365,0.6916
116,0.456692,2447998030,1707328854,478059798,0.5891,0.8366,0.6914
117,0.460629,2446346159,1708980725,477293177,0.5887,0.8367,0.6912
118,0.464566,2444615736,1710711148,476492775,0.5883,0.8369,0.6909
119,0.468503,2442811615,1712515269,475658845,0.5879,0.837,0.6907
120,0.47244,2440883218,1714443666,474768614,0.5874,0.8372,0.6904
121,0.476377,2438834953,1716491931,473828205,0.5869,0.8373,0.6901
122,0.480314,2436624997,1718701887,472813458,0.5864,0.8375,0.6898
123,0.484251,2434206785,1721120099,471703675,0.5858,0.8377,0.6895
124,0.488188,2431445695,1723881189,470434558,0.5851,0.8379,0.6891
125,0.492125,2428172150,1727154734,468927291,0.5844,0.8381,0.6886
126,0.496062,2424166755,1731160129,467070404,0.5834,0.8385,0.688
127,0.5,2417837781,1737489103,464028137,0.5819,0.839,0.6872
128,0.503937,2393921920,1761404964,451844154,0.5761,0.8412,0.6839
129,0.507874,2379480518,1775846366,445365669,0.5726,0.8423,0.6818
130,0.511811,2368590074,1786736810,440662380,0.57,0.8431,0.6802
131,0.515748,2359313746,1796013138,436717806,0.5678,0.8438,0.6788
132,0.519685,2351041320,1804285564,433233416,0.5658,0.8444,0.6776
133,0.523622,2343442430,1811884454,430049829,0.564,0.8449,0.6764
134,0.527559,2336266240,1819060644,427054089,0.5622,0.8455,0.6754
135,0.531496,2329389566,1825937318,424197850,0.5606,0.8459,0.6743
136,0.535433,2322739137,1832587747,421440833,0.559,0.8464,0.6733
137,0.53937,2316242479,1839084405,418761845,0.5574,0.8469,0.6723
138,0.543307,2309773723,1845553161,416109826,0.5559,0.8473,0.6713
139,0.547244,2303338191,1851988693,413484385,0.5543,0.8478,0.6703
140,0.551181,2296908364,1858418520,410879852,0.5528,0.8483,0.6693
141,0.555118,2290430071,1864896813,408272574,0.5512,0.8487,0.6683
142,0.559055,2283975628,1871351256,405693308,0.5497,0.8492,0.6673
143,0.562992,2277417549,1877909335,403089422,0.5481,0.8496,0.6663
144,0.566929,2270722184,1884604700,400447731,0.5465,0.8501,0.6653
145,0.570866,2263964839,1891362045,397803160,0.5448,0.8505,0.6642
146,0.574803,2257225730,1898101154,395187116,0.5432,0.851,0.6631
147,0.57874,2250303034,1905023850,392515211,0.5415,0.8515,0.662
148,0.582677,2243289657,1912037227,389830377,0.5399,0.852,0.6609
149,0.586614,2236067386,1919259498,387088608,0.5381,0.8524,0.6598
150,0.590551,2228836741,1926490143,384359448,0.5364,0.8529,0.6586
151,0.594488,2221350860,1933976024,381550113,0.5346,0.8534,0.6574
152,0.598425,2213674229,1941652655,378693804,0.5327,0.8539,0.6561
153,0.602362,2205801400,1949525484,375783286,0.5308,0.8544,0.6548
154,0.606299,2197701180,1957625704,372812479,0.5289,0.855,0.6535
155,0.610236,2189223010,1966103874,369729166,0.5268,0.8555,0.6521
156,0.614173,2180467582,1974859302,366574660,0.5247,0.8561,0.6507
157,0.61811,2171408128,1983918756,363337637,0.5226,0.8567,0.6491
158,0.622047,2162026402,1993300482,360015956,0.5203,0.8573,0.6476
159,0.625984,2152243731,2003083153,356584741,0.5179,0.8579,0.6459
160,0.629921,2141881351,2013445533,352983549,0.5155,0.8585,0.6442
161,0.633858,2131430640,2023896244,349392393,0.5129,0.8592,0.6424
162,0.637795,2120235632,2035091252,345583100,0.5102,0.8599,0.6404
163,0.641732,2108542311,2046784573,341649850,0.5074,0.8606,0.6384
164,0.645669,2096262719,2059064165,337556559,0.5045,0.8613,0.6363
165,0.649606,2083274985,2072051899,333273456,0.5014,0.8621,0.634
166,0.653543,2069434251,2085892633,328747598,0.498,0.8629,0.6316
167,0.65748,2054149888,2101176996,323799934,0.4943,0.8638,0.6288
168,0.661417,2037587757,2117739127,318495339,0.4904,0.8648,0.6259
169,0.665354,2019571304,2135755580,312794270,0.486,0.8659,0.6226
170,0.669291,1999883790,2155443094,306655272,0.4813,0.867,0.619
171,0.673228,1977602196,2177724688,299824101,0.4759,0.8683,0.6149
172,0.677165,1953588708,2201738176,292608937,0.4701,0.8697,0.6104
173,0.681102,1926061873,2229265011,284630388,0.4635,0.8712,0.6051
174,0.685039,1895236448,2260090436,276061377,0.4561,0.8729,0.5991
175,0.688976,1859697468,2295629416,266636787,0.4475,0.8746,0.5921
176,0.692913,1821029394,2334297490,256854010,0.4382,0.8764,0.5843
177,0.69685,1777045426,2378281458,246193067,0.4277,0.8783,0.5752
178,0.700787,1728939298,2426387586,234985916,0.4161,0.8803,0.5651
179,0.704724,1675768601,2479558283,223055971,0.4033,0.8825,0.5536
180,0.708661,1620788206,2534538678,211168314,0.3901,0.8847,0.5414
181,0.712598,1559707389,2595619495,198520821,0.3754,0.8871,0.5275
182,0.716535,1496865818,2658461066,186053230,0.3602,0.8894,0.5128
183,0.720472,1429019454,2726307430,173146036,0.3439,0.8919,0.4964
184,0.724409,1357847421,2797479463,160129533,0.3268,0.8945,0.4787
185,0.728346,1283888538,2871438346,147190942,0.309,0.8971,0.4596
186,0.732283,1205652021,2949674863,134063516,0.2901,0.8999,0.4388
187,0.73622,1125809684,3029517200,121188169,0.2709,0.9028,0.4168
188,0.740157,1040728522,3114598362,108051753,0.2505,0.9059,0.3924
189,0.744094,954654864,3200672020,95358007,0.2297,0.9092,0.3668
190,0.748031,869454554,3285872330,83378654,0.2092,0.9125,0.3404
191,0.751968,786732562,3368594322,72379605,0.1893,0.9158,0.3138
192,0.755905,704138861,3451188023,62118574,0.1695,0.9189,0.2861
193,0.759842,626747415,3528579469,53161336,0.1508,0.9218,0.2592
194,0.763779,555019782,3600307102,45367711,0.1336,0.9244,0.2334
195,0.767716,489080598,3666246286,38614546,0.1177,0.9268,0.2089
196,0.771653,426278068,3729048816,32517532,0.1026,0.9291,0.1848
197,0.77559,369716516,3785610368,27262610,0.089,0.9313,0.1624
198,0.779527,319152695,3836174189,22769397,0.0768,0.9334,0.1419
199,0.783464,274219700,3881107184,18959905,0.066,0.9353,0.1233
200,0.787401,233064268,3922262616,15624615,0.0561,0.9372,0.1058
201,0.791338,197392042,3957934842,12858772,0.0475,0.9388,0.0904
202,0.795275,165470432,3989856452,10474238,0.0398,0.9405,0.0764
203,0.799212,138336096,4016990788,8510857,0.0333,0.942,0.0643
204,0.803149,115386727,4039940157,6909023,0.0278,0.9435,0.0539
205,0.807086,96006652,4059320232,5604145,0.0231,0.9448,0.0451
206,0.811023,79181493,4076145391,4503351,0.0191,0.9462,0.0374
207,0.81496,65140449,4090186435,3609099,0.0157,0.9475,0.0308
208,0.818897,52985706,4102341178,2863050,0.0128,0.9487,0.0252
209,0.822834,42947967,4112378917,2288729,0.0103,0.9494,0.0204
