k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,1183590197,0,2944861054,1.0,0.2867,0.4456
2,0.007874,1183590197,0,2944861054,1.0,0.2867,0.4456
3,0.011811,1183590197,0,2944861054,1.0,0.2867,0.4456
4,0.015748,1183590197,0,2944861054,1.0,0.2867,0.4456
5,0.019685,1183590197,0,2944858898,1.0,0.2867,0.4456
6,0.023622,1183587127,3070,2944630385,1.0,0.2867,0.4456
7,0.027559,1183525035,65162,2941275891,0.9999,0.2869,0.4459
8,0.031496,1183142990,447207,2921170083,0.9996,0.2883,0.4475
9,0.035433,1181872062,1718135,2858316210,0.9985,0.2925,0.4525
10,0.03937,1179444776,4145421,2741018114,0.9965,0.3008,0.4622
11,0.043307,1175902204,7687993,2565552819,0.9935,0.3143,0.4775
12,0.047244,1171259484,12330713,2317468917,0.9896,0.3357,0.5014
13,0.051181,1166042843,17547354,2045321109,0.9852,0.3631,0.5306
14,0.055118,1160088197,23502000,1798382951,0.9801,0.3921,0.5602
15,0.059055,1153643136,29947061,1600288716,0.9747,0.4189,0.586
16,0.062992,1146916894,36673303,1438480546,0.969,0.4436,0.6086
17,0.066929,1139824854,43765343,1300589925,0.963,0.4671,0.629
18,0.070866,1132445113,51145084,1183659716,0.9568,0.4889,0.6472
19,0.074803,1124579616,59010581,1080157411,0.9501,0.5101,0.6638
20,0.07874,1116361692,67228505,988365325,0.9432,0.5304,0.679
21,0.082677,1107595129,75995068,903682659,0.9358,0.5507,0.6934
22,0.086614,1098386910,85203287,826359722,0.928,0.5707,0.7067
23,0.090551,1089170622,94419575,758091795,0.9202,0.5896,0.7187
24,0.094488,1079709262,103880935,695598633,0.9122,0.6082,0.7298
25,0.098425,1069612009,113978188,635968938,0.9037,0.6271,0.7404
26,0.102362,1059267861,124322336,581329295,0.895,0.6457,0.7501
27,0.106299,1048730695,134859502,531718864,0.8861,0.6636,0.7588
28,0.110236,1038065385,145524812,486796058,0.877,0.6808,0.7665
29,0.114173,1027366167,156224030,446136866,0.868,0.6972,0.7733
30,0.11811,1016134720,167455477,407655056,0.8585,0.7137,0.7794
31,0.122047,1004406717,179183480,371784205,0.8486,0.7298,0.7848
32,0.125984,992976346,190613851,340869568,0.839,0.7444,0.7889
33,0.129921,981692498,201897699,313972381,0.8294,0.7577,0.7919
34,0.133858,970274306,213315891,290142186,0.8198,0.7698,0.794
35,0.137795,959283058,224307139,269970300,0.8105,0.7804,0.7951
36,0.141732,948891922,234698275,253068953,0.8017,0.7895,0.7955
37,0.145669,939231908,244358289,238977959,0.7935,0.7972,0.7954
38,0.149606,930511461,253078736,227389960,0.7862,0.8036,0.7948
39,0.153543,922868065,260722132,218007816,0.7797,0.8089,0.794
40,0.15748,916642555,266947642,210978509,0.7745,0.8129,0.7932
41,0.161417,911401075,272189122,205410832,0.77,0.8161,0.7924
42,0.165354,906695715,276894482,200607835,0.7661,0.8188,0.7916
43,0.169291,902539095,281051102,196517131,0.7625,0.8212,0.7908
44,0.173228,898720120,284870077,192896961,0.7593,0.8233,0.79
45,0.177165,895310804,288279393,189775082,0.7564,0.8251,0.7893
46,0.181102,892126651,291463546,186949177,0.7537,0.8268,0.7886
47,0.185039,889240786,294349411,184447445,0.7513,0.8282,0.7879
48,0.188976,886497484,297092713,182120794,0.749,0.8296,0.7872
49,0.192913,883959940,299630257,180000517,0.7468,0.8308,0.7866
50,0.19685,881498394,302091803,177969982,0.7448,0.832,0.786
51,0.200787,879186600,304403597,176087771,0.7428,0.8331,0.7854
52,0.204724,876915036,306675161,174261653,0.7409,0.8342,0.7848
53,0.208661,874679881,308910316,172483790,0.739,0.8353,0.7842
54,0.212598,872471617,311118580,170751701,0.7371,0.8363,0.7836
55,0.216535,870371907,313218290,169129306,0.7354,0.8373,0.783
56,0.220472,868290556,315299641,167542114,0.7336,0.8383,0.7824
57,0.224409,866309738,317280459,166052180,0.7319,0.8392,0.7819
58,0.228346,864337916,319252281,164588552,0.7303,0.84,0.7813
59,0.232283,862370483,321219714,163144878,0.7286,0.8409,0.7807
