k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,3761880,0,5479590,1.0,0.4071,0.5786
2,0.007874,3761880,0,5479590,1.0,0.4071,0.5786
3,0.011811,3761880,0,5479590,1.0,0.4071,0.5786
4,0.015748,3761880,0,5479590,1.0,0.4071,0.5786
5,0.019685,3761880,0,5479590,1.0,0.4071,0.5786
6,0.023622,3761880,0,5479590,1.0,0.4071,0.5786
7,0.027559,3761880,0,5479590,1.0,0.4071,0.5786
8,0.031496,3761880,0,5479590,1.0,0.4071,0.5786
9,0.035433,3761880,0,5479590,1.0,0.4071,0.5786
10,0.03937,3761880,0,5479590,1.0,0.4071,0.5786
11,0.043307,3761880,0,5479590,1.0,0.4071,0.5786
12,0.047244,3761880,0,5479590,1.0,0.4071,0.5786
13,0.051181,3761880,0,5479590,1.0,0.4071,0.5786
14,0.055118,3761880,0,5479590,1.0,0.4071,0.5786
15,0.059055,3761880,0,5479590,1.0,0.4071,0.5786
16,0.062992,3761880,0,5479590,1.0,0.4071,0.5786
17,0.066929,3761880,0,5479590,1.0,0.4071,0.5786
18,0.070866,3761880,0,5479590,1.0,0.4071,0.5786
19,0.074803,3761880,0,5479590,1.0,0.4071,0.5786
20,0.07874,3761880,0,5479590,1.0,0.4071,0.5786
21,0.082677,3761880,0,5479590,1.0,0.4071,0.5786
22,0.086614,3761880,0,5479590,1.0,0.4071,0.5786
23,0.090551,3761880,0,5479590,1.0,0.4071,0.5786
24,0.094488,3761880,0,5479590,1.0,0.4071,0.5786
25,0.098425,3761880,0,5479590,1.0,0.4071,0.5786
26,0.102362,3761880,0,5479590,1.0,0.4071,0.5786
27,0.106299,3761880,0,5479590,1.0,0.4071,0.5786
28,0.110236,3761880,0,5479590,1.0,0.4071,0.5786
29,0.114173,3761880,0,5479439,1.0,0.4071,0.5786
30,0.11811,3761878,2,5477009,1.0,0.4072,0.5787
31,0.122047,3761853,27,5469554,1.0,0.4075,0.579
32,0.125984,3761722,158,5453407,1.0,0.4082,0.5798
33,0.129921,3761356,524,5423765,0.9999,0.4095,0.581
34,0.133858,3760133,1747,5360271,0.9995,0.4123,0.5838
35,0.137795,3757712,4168,5237856,0.9989,0.4177,0.5891
36,0.141732,3753121,8759,5047928,0.9977,0.4264,0.5975
37,0.145669,3743885,17995,4786037,0.9952,0.4389,0.6092
38,0.149606,3729205,32675,4471148,0.9913,0.4548,0.6235
39,0.153543,3707493,54387,4124067,0.9855,0.4734,0.6396
40,0.15748,3681060,80820,3790854,0.9785,0.4927,0.6554
41,0.161417,3648421,113459,3484609,0.9698,0.5115,0.6697
42,0.165354,3607924,153956,3191774,0.9591,0.5306,0.6832
43,0.169291,3562145,199735,2925531,0.9469,0.5491,0.6951
44,0.173228,3510379,251501,2672950,0.9331,0.5677,0.7059
45,0.177165,3455017,306863,2446727,0.9184,0.5854,0.7151
46,0.181102,3397001,364879,2233291,0.903,0.6033,0.7234
47,0.185039,3338712,423168,2044367,0.8875,0.6202,0.7302
48,0.188976,3278324,483556,1876408,0.8715,0.636,0.7353
49,0.192913,3219066,542814,1730602,0.8557,0.6504,0.739
50,0.19685,3159001,602879,1598785,0.8397,0.664,0.7416
51,0.200787,3101373,660507,1486520,0.8244,0.676,0.7429
52,0.204724,3044650,717230,1385845,0.8093,0.6872,0.7433
53,0.208661,2989236,772644,1295617,0.7946,0.6976,0.743
54,0.212598,2936440,825440,1215282,0.7806,0.7073,0.7421
55,0.216535,2887188,874692,1146561,0.7675,0.7158,0.7407
56,0.220472,2840275,921605,1086097,0.755,0.7234,0.7389
57,0.224409,2798747,963133,1036397,0.744,0.7298,0.7368
58,0.228346,2760563,1001317,993386,0.7338,0.7354,0.7346
59,0.232283,2727028,1034852,957645,0.7249,0.7401,0.7324
60,0.23622,2698277,1063603,928725,0.7173,0.7439,0.7304
61,0.240157,2675033,1086847,906374,0.7111,0.7469,0.7286
62,0.244094,2655184,1106696,887938,0.7058,0.7494,0.7269
63,0.248031,2637952,1123928,872228,0.7012,0.7515,0.7255
64,0.251968,2622611,1139269,858410,0.6972,0.7534,0.7242
65,0.255905,2609234,1152646,846873,0.6936,0.755,0.723
66,0.259842,2596855,1165025,836183,0.6903,0.7564,0.7219
67,0.263779,2585154,1176726,826153,0.6872,0.7578,0.7208
68,0.267716,2574212,1187668,816934,0.6843,0.7591,0.7198
69,0.271653,2563651,1198229,808219,0.6815,0.7603,0.7187
70,0.27559,2554320,1207560,800241,0.679,0.7614,0.7179
71,0.279527,2545069,1216811,792682,0.6765,0.7625,0.717
72,0.283464,2536197,1225683,785516,0.6742,0.7635,0.7161
73,0.287401,2527635,1234245,778659,0.6719,0.7645,0.7152
74,0.291338,2519374,1242506,772184,0.6697,0.7654,0.7144
75,0.295275,2511416,1250464,765830,0.6676,0.7663,0.7136
76,0.299212,2503839,1258041,760027,0.6656,0.7671,0.7128
77,0.303149,2496280,1265600,754205,0.6636,0.768,0.712
78,0.307086,2489008,1272872,748597,0.6616,0.7688,0.7112
79,0.311023,2482013,1279867,743124,0.6598,0.7696,0.7105
80,0.31496,2475161,1286719,737975,0.658,0.7703,0.7097
81,0.318897,2468313,1293567,732851,0.6561,0.7711,0.709
82,0.322834,2461726,1300154,728014,0.6544,0.7718,0.7082
83,0.326771,2455215,1306665,723238,0.6527,0.7725,0.7075
84,0.330708,2448933,1312947,718635,0.651,0.7731,0.7068
85,0.334645,2442643,1319237,714089,0.6493,0.7738,0.7061
86,0.338582,2436565,1325315,709735,0.6477,0.7744,0.7054
87,0.342519,2430423,1331457,705393,0.6461,0.7751,0.7047
88,0.346456,2424373,1337507,701161,0.6445,0.7757,0.704
89,0.350393,2418294,1343586,697104,0.6428,0.7762,0.7033
90,0.35433,2412448,1349432,693016,0.6413,0.7768,0.7026
91,0.358267,2406658,1355222,688889,0.6397,0.7775,0.7019
92,0.362204,2400905,1360975,684872,0.6382,0.7781,0.7012
93,0.366141,2395016,1366864,680898,0.6367,0.7786,0.7005
94,0.370078,2389222,1372658,676880,0.6351,0.7792,0.6998
95,0.374015,2383575,1378305,673015,0.6336,0.7798,0.6992
96,0.377952,2377926,1383954,669149,0.6321,0.7804,0.6985
97,0.381889,2372277,1389603,665422,0.6306,0.7809,0.6978
98,0.385826,2366593,1395287,661725,0.6291,0.7815,0.6971
99,0.389763,2361030,1400850,657951,0.6276,0.7821,0.6964
100,0.3937,2355381,1406499,654244,0.6261,0.7826,0.6957
101,0.397637,2349783,1412097,650614,0.6246,0.7832,0.695
102,0.401574,2344280,1417600,646932,0.6232,0.7837,0.6943
103,0.405511,2338644,1423236,643272,0.6217,0.7843,0.6936
104,0.409448,2333103,1428777,639553,0.6202,0.7849,0.6929
105,0.413385,2327486,1434394,635834,0.6187,0.7854,0.6922
106,0.417322,2321869,1440011,632131,0.6172,0.786,0.6915
107,0.421259,2316064,1445816,628462,0.6157,0.7866,0.6907
108,0.425196,2310371,1451509,624867,0.6142,0.7871,0.69
109,0.429133,2304479,1457401,621264,0.6126,0.7877,0.6892
110,0.43307,2298580,1463300,617688,0.611,0.7882,0.6884
111,0.437007,2292572,1469308,614026,0.6094,0.7887,0.6876
112,0.440944,2286367,1475513,610291,0.6078,0.7893,0.6867
113,0.444881,2280198,1481682,606479,0.6061,0.7899,0.6859
114,0.448818,2273869,1488011,602791,0.6045,0.7905,0.6851
115,0.452755,2267565,1494315,598834,0.6028,0.7911,0.6842
116,0.456692,2261085,1500795,594942,0.6011,0.7917,0.6833
117,0.460629,2254277,1507603,590829,0.5992,0.7923,0.6824
118,0.464566,2247316,1514564,586636,0.5974,0.793,0.6814
119,0.468503,2239990,1521890,582266,0.5954,0.7937,0.6804
120,0.47244,2232163,1529717,577822,0.5934,0.7944,0.6793
121,0.476377,2224004,1537876,572955,0.5912,0.7952,0.6782
122,0.480314,2214937,1546943,567805,0.5888,0.796,0.6769
123,0.484251,2205109,1556771,562399,0.5862,0.7968,0.6754
124,0.488188,2193908,1567972,556348,0.5832,0.7977,0.6738
125,0.492125,2180790,1581090,549534,0.5797,0.7987,0.6718
