k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,6453690,2884,12864638,0.9996,0.3341,0.5008
2,0.007874,6436657,19917,11232197,0.9969,0.3643,0.5336
3,0.011811,6408553,48021,10054029,0.9926,0.3893,0.5592
4,0.015748,6374346,82228,9057511,0.9873,0.4131,0.5824
5,0.019685,6334244,122330,8157787,0.9811,0.4371,0.6047
6,0.023622,6291887,164687,7412083,0.9745,0.4591,0.6242
7,0.027559,6246558,210016,6787660,0.9675,0.4792,0.641
8,0.031496,6199944,256630,6273263,0.9603,0.4971,0.655
9,0.035433,6151308,305266,5828388,0.9527,0.5135,0.6673
10,0.03937,6103009,353565,5462499,0.9452,0.5277,0.6773
11,0.043307,6056210,400364,5147249,0.938,0.5406,0.6859
12,0.047244,6008912,447662,4867789,0.9307,0.5525,0.6933
13,0.051181,5964153,492421,4626701,0.9237,0.5631,0.6997
14,0.055118,5918837,537737,4406757,0.9167,0.5732,0.7054
15,0.059055,5874251,582323,4208171,0.9098,0.5826,0.7104
16,0.062992,5831365,625209,4026330,0.9032,0.5916,0.7149
17,0.066929,5789431,667143,3858689,0.8967,0.6001,0.719
18,0.070866,5748025,708549,3703139,0.8903,0.6082,0.7227
19,0.074803,5705706,750868,3552087,0.8837,0.6163,0.7262
20,0.07874,5664145,792429,3408712,0.8773,0.6243,0.7295
21,0.082677,5622717,833857,3272956,0.8709,0.6321,0.7325
22,0.086614,5581707,874867,3146765,0.8645,0.6395,0.7352
23,0.090551,5543222,913352,3035412,0.8585,0.6462,0.7374
24,0.094488,5506530,950044,2931756,0.8529,0.6526,0.7394
25,0.098425,5469121,987453,2832480,0.8471,0.6588,0.7412
26,0.102362,5433352,1023222,2741545,0.8415,0.6646,0.7427
27,0.106299,5399539,1057035,2658651,0.8363,0.6701,0.744
28,0.110236,5366660,1089914,2584594,0.8312,0.6749,0.745
29,0.114173,5335742,1120832,2517090,0.8264,0.6795,0.7458
30,0.11811,5305205,1151369,2453171,0.8217,0.6838,0.7464
31,0.122047,5274424,1182150,2391120,0.8169,0.6881,0.747
32,0.125984,5245494,1211080,2335541,0.8124,0.6919,0.7473
33,0.129921,5218211,1238363,2284696,0.8082,0.6955,0.7476
34,0.133858,5190436,1266138,2235956,0.8039,0.6989,0.7477
35,0.137795,5163942,1292632,2190431,0.7998,0.7022,0.7478
36,0.141732,5138205,1318369,2147821,0.7958,0.7052,0.7478
37,0.145669,5113587,1342987,2107414,0.792,0.7082,0.7477
38,0.149606,5089591,1366983,2069721,0.7883,0.7109,0.7476
39,0.153543,5065744,1390830,2033354,0.7846,0.7136,0.7474
40,0.15748,5042847,1413727,1998999,0.781,0.7161,0.7472
41,0.161417,5020990,1435584,1966783,0.7777,0.7185,0.7469
42,0.165354,4998946,1457628,1935856,0.7742,0.7208,0.7466
43,0.169291,4978290,1478284,1906470,0.771,0.7231,0.7463
44,0.173228,4957502,1499072,1877996,0.7678,0.7253,0.7459
45,0.177165,4937701,1518873,1851208,0.7648,0.7273,0.7456
46,0.181102,4917960,1538614,1825298,0.7617,0.7293,0.7452
47,0.185039,4899307,1557267,1800634,0.7588,0.7312,0.7448
48,0.188976,4880838,1575736,1776923,0.7559,0.7331,0.7444
49,0.192913,4863349,1593225,1754684,0.7532,0.7349,0.7439
50,0.19685,4845966,1610608,1733364,0.7505,0.7365,0.7435
51,0.200787,4829429,1627145,1713232,0.748,0.7381,0.743
52,0.204724,4813286,1643288,1693244,0.7455,0.7398,0.7426
