k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,3761329,0,5480139,1.0,0.407,0.5785
2,0.007874,3761329,0,5480139,1.0,0.407,0.5785
3,0.011811,3761329,0,5480139,1.0,0.407,0.5785
4,0.015748,3761329,0,5480139,1.0,0.407,0.5785
5,0.019685,3761329,0,5480139,1.0,0.407,0.5785
6,0.023622,3761329,0,5480139,1.0,0.407,0.5785
7,0.027559,3761329,0,5480139,1.0,0.407,0.5785
8,0.031496,3761329,0,5480139,1.0,0.407,0.5785
9,0.035433,3761329,0,5480139,1.0,0.407,0.5785
10,0.03937,3761329,0,5480139,1.0,0.407,0.5785
11,0.043307,3761329,0,5480139,1.0,0.407,0.5785
12,0.047244,3761329,0,5480139,1.0,0.407,0.5785
13,0.051181,3761329,0,5480139,1.0,0.407,0.5785
14,0.055118,3761329,0,5480040,1.0,0.407,0.5785
15,0.059055,3761329,0,5479708,1.0,0.407,0.5786
16,0.062992,3761312,17,5477723,1.0,0.4071,0.5786
17,0.066929,3761262,67,5468896,1.0,0.4075,0.579
18,0.070866,3761102,227,5444847,0.9999,0.4086,0.5801
19,0.074803,3760709,620,5380409,0.9998,0.4114,0.5829
20,0.07874,3759774,1555,5253443,0.9996,0.4171,0.5886
21,0.082677,3756614,4715,5035149,0.9987,0.4273,0.5985
22,0.086614,3746857,14472,4691528,0.9962,0.444,0.6143
23,0.090551,3727519,33810,4277314,0.991,0.4657,0.6336
24,0.094488,3697632,63697,3820023,0.9831,0.4919,0.6557
25,0.098425,3656114,105215,3343875,0.972,0.5223,0.6795
26,0.102362,3606551,154778,2911523,0.9589,0.5533,0.7017
27,0.106299,3550690,210639,2554465,0.944,0.5816,0.7197
28,0.110236,3491284,270045,2270434,0.9282,0.6059,0.7332
29,0.114173,3430512,330817,2043863,0.912,0.6266,0.7429
30,0.11811,3367606,393723,1849806,0.8953,0.6455,0.7501
31,0.122047,3304393,456936,1685617,0.8785,0.6622,0.7552
32,0.125984,3245639,515690,1555081,0.8629,0.6761,0.7581
33,0.129921,3190150,571179,1445643,0.8481,0.6882,0.7598
34,0.133858,3136620,624709,1350514,0.8339,0.699,0.7605
35,0.137795,3086559,674770,1268507,0.8206,0.7087,0.7606
36,0.141732,3041146,720183,1196458,0.8085,0.7177,0.7604
37,0.145669,2999614,761715,1132551,0.7975,0.7259,0.76
38,0.149606,2962395,798934,1078313,0.7876,0.7331,0.7594
39,0.153543,2928123,833206,1032002,0.7785,0.7394,0.7584
40,0.15748,2898327,863002,992555,0.7706,0.7449,0.7575
41,0.161417,2872365,888964,958241,0.7637,0.7498,0.7567
42,0.165354,2849247,912082,927838,0.7575,0.7544,0.7559
43,0.169291,2829299,932030,901937,0.7522,0.7583,0.7552
44,0.173228,2811338,949991,879893,0.7474,0.7616,0.7545
45,0.177165,2796170,965159,862045,0.7434,0.7644,0.7537
46,0.181102,2782204,979125,847047,0.7397,0.7666,0.7529
47,0.185039,2770074,991255,834265,0.7365,0.7685,0.7522
48,0.188976,2758993,1002336,823091,0.7335,0.7702,0.7514
49,0.192913,2748877,1012452,813019,0.7308,0.7717,0.7507
50,0.19685,2739308,1022021,803497,0.7283,0.7732,0.7501
51,0.200787,2730568,1030761,794898,0.726,0.7745,0.7495
52,0.204724,2722158,1039171,786797,0.7237,0.7758,0.7488
53,0.208661,2714022,1047307,779102,0.7216,0.777,0.7482
54,0.212598,2706166,1055163,771734,0.7195,0.7781,0.7476
55,0.216535,2698973,1062356,765110,0.7176,0.7791,0.7471
56,0.220472,2692130,1069199,758568,0.7157,0.7802,0.7466
57,0.224409,2685578,1075751,752561,0.714,0.7811,0.746
58,0.228346,2679214,1082115,746873,0.7123,0.782,0.7455
59,0.232283,2672956,1088373,741216,0.7106,0.7829,0.745
60,0.23622,2666726,1094603,735720,0.709,0.7838,0.7445
61,0.240157,2660974,1100355,730636,0.7075,0.7846,0.744
62,0.244094,2655388,1105941,725625,0.706,0.7854,0.7436
63,0.248031,2649925,1111404,720886,0.7045,0.7861,0.7431
64,0.251968,2644530,1116799,716120,0.7031,0.7869,0.7426
65,0.255905,2639483,1121846,711740,0.7017,0.7876,0.7422
66,0.259842,2634430,1126899,707555,0.7004,0.7883,0.7417
67,0.263779,2629700,1131629,703323,0.6991,0.789,0.7414
68,0.267716,2624800,1136529,699216,0.6978,0.7896,0.7409
69,0.271653,2620162,1141167,695252,0.6966,0.7903,0.7405
70,0.27559,2615549,1145780,691313,0.6954,0.7909,0.7401
71,0.279527,2610939,1150390,687443,0.6942,0.7916,0.7397
72,0.283464,2606611,1154718,683724,0.693,0.7922,0.7393
73,0.287401,2602281,1159048,679967,0.6919,0.7928,0.7389
74,0.291338,2598054,1163275,676397,0.6907,0.7934,0.7385
75,0.295275,2593691,1167638,672818,0.6896,0.794,0.7381
76,0.299212,2589608,1171721,669419,0.6885,0.7946,0.7377
77,0.303149,2585257,1176072,666051,0.6873,0.7951,0.7373
78,0.307086,2581191,1180138,662668,0.6862,0.7957,0.7369
79,0.311023,2577025,1184304,659466,0.6851,0.7962,0.7365
80,0.31496,2573120,1188209,656336,0.6841,0.7968,0.7361
81,0.318897,2569089,1192240,653140,0.683,0.7973,0.7358
82,0.322834,2565141,1196188,650111,0.682,0.7978,0.7354
83,0.326771,2561179,1200150,646980,0.6809,0.7983,0.735
84,0.330708,2557381,1203948,643881,0.6799,0.7989,0.7346
85,0.334645,2553465,1207864,640904,0.6789,0.7994,0.7342
86,0.338582,2549668,1211661,637985,0.6779,0.7999,0.7338
87,0.342519,2545736,1215593,635047,0.6768,0.8003,0.7334
88,0.346456,2541869,1219460,632147,0.6758,0.8008,0.733
89,0.350393,2537922,1223407,629189,0.6747,0.8013,0.7326
90,0.35433,2534148,1227181,626320,0.6737,0.8018,0.7322
91,0.358267,2530318,1231011,623499,0.6727,0.8023,0.7318
92,0.362204,2526505,1234824,620712,0.6717,0.8028,0.7314
93,0.366141,2522663,1238666,617851,0.6707,0.8033,0.731
94,0.370078,2518771,1242558,615096,0.6696,0.8037,0.7306
95,0.374015,2514954,1246375,612221,0.6686,0.8042,0.7302
96,0.377952,2510958,1250371,609323,0.6676,0.8047,0.7298
97,0.381889,2507023,1254306,606444,0.6665,0.8052,0.7293
98,0.385826,2503078,1258251,603722,0.6655,0.8057,0.7289
99,0.389763,2499066,1262263,600940,0.6644,0.8061,0.7284
100,0.3937,2495023,1266306,598317,0.6633,0.8066,0.728
101,0.397637,2491104,1270225,595493,0.6623,0.8071,0.7275
102,0.401574,2487123,1274206,592738,0.6612,0.8075,0.7271
103,0.405511,2483024,1278305,590003,0.6601,0.808,0.7266
104,0.409448,2478958,1282371,587224,0.6591,0.8085,0.7262
105,0.413385,2474712,1286617,584407,0.6579,0.809,0.7257
106,0.417322,2470487,1290842,581718,0.6568,0.8094,0.7252
107,0.421259,2466300,1295029,578794,0.6557,0.8099,0.7247
108,0.425196,2461977,1299352,576008,0.6545,0.8104,0.7242
109,0.429133,2457674,1303655,573115,0.6534,0.8109,0.7237
110,0.43307,2453411,1307918,570284,0.6523,0.8114,0.7232
111,0.437007,2448846,1312483,567384,0.6511,0.8119,0.7226
112,0.440944,2444290,1317039,564372,0.6498,0.8124,0.7221
113,0.444881,2439556,1321773,561326,0.6486,0.8129,0.7215
114,0.448818,2434587,1326742,558282,0.6473,0.8135,0.7209
115,0.452755,2429475,1331854,555092,0.6459,0.814,0.7203
116,0.456692,2424353,1336976,551772,0.6445,0.8146,0.7197
117,0.460629,2418756,1342573,548283,0.6431,0.8152,0.719
118,0.464566,2412962,1348367,544739,0.6415,0.8158,0.7182
119,0.468503,2406785,1354544,540985,0.6399,0.8165,0.7175
120,0.47244,2400358,1360971,536941,0.6382,0.8172,0.7167
121,0.476377,2393284,1368045,532673,0.6363,0.8179,0.7158
122,0.480314,2385637,1375692,528136,0.6343,0.8187,0.7148
123,0.484251,2377150,1384179,523210,0.632,0.8196,0.7137
124,0.488188,2367520,1393809,517682,0.6294,0.8206,0.7124
125,0.492125,2356246,1405083,511269,0.6264,0.8217,0.7109
126,0.496062,2342456,1418873,503192,0.6228,0.8232,0.7091
127,0.5,2320304,1441025,490981,0.6169,0.8254,0.7061
128,0.503937,2278462,1482867,466804,0.6058,0.83,0.7004
129,0.507874,2232015,1529314,443021,0.5934,0.8344,0.6936
130,0.511811,2187092,1574237,421215,0.5815,0.8385,0.6867
131,0.515748,2148326,1613003,404078,0.5712,0.8417,0.6805
132,0.519685,2113925,1647404,389592,0.562,0.8444,0.6749
133,0.523622,2082172,1679157,376687,0.5536,0.8468,0.6695
134,0.527559,2051776,1709553,364895,0.5455,0.849,0.6642
135,0.531496,2023056,1738273,354172,0.5379,0.851,0.6591
136,0.535433,1995199,1766130,344127,0.5305,0.8529,0.6541
137,0.53937,1968397,1792932,334694,0.5233,0.8547,0.6492
138,0.543307,1942316,1819013,325830,0.5164,0.8563,0.6443
139,0.547244,1917291,1844038,317512,0.5097,0.8579,0.6395
140,0.551181,1893224,1868105,309831,0.5033,0.8594,0.6348
141,0.555118,1870196,1891133,302802,0.4972,0.8607,0.6303
142,0.559055,1848161,1913168,296311,0.4914,0.8618,0.6259
143,0.562992,1826913,1934416,290028,0.4857,0.863,0.6216
144,0.566929,1806492,1954837,284139,0.4803,0.8641,0.6174
145,0.570866,1786116,1975213,278445,0.4749,0.8651,0.6132
146,0.574803,1766413,1994916,273108,0.4696,0.8661,0.609
147,0.57874,1746291,2015038,267881,0.4643,0.867,0.6047
148,0.582677,1726157,2035172,262795,0.4589,0.8679,0.6004
149,0.586614,1705781,2055548,257671,0.4535,0.8688,0.5959
150,0.590551,1685386,2075943,252698,0.4481,0.8696,0.5914
151,0.594488,1664718,2096611,247753,0.4426,0.8705,0.5868
152,0.598425,1643813,2117516,242965,0.437,0.8712,0.5821
153,0.602362,1622578,2138751,238146,0.4314,0.872,0.5772
154,0.606299,1600823,2160506,233449,0.4256,0.8727,0.5722
155,0.610236,1578126,2183203,228479,0.4196,0.8735,0.5669
156,0.614173,1555344,2205985,223628,0.4135,0.8743,0.5615
157,0.61811,1532195,2229134,218817,0.4074,0.875,0.5559
158,0.622047,1508461,2252868,214126,0.401,0.8757,0.5501
159,0.625984,1483772,2277557,209352,0.3945,0.8764,0.5441
160,0.629921,1457917,2303412,204527,0.3876,0.877,0.5376
161,0.633858,1431664,2329665,199869,0.3806,0.8775,0.5309
162,0.637795,1404431,2356898,195097,0.3734,0.878,0.524
163,0.641732,1376417,2384912,190318,0.3659,0.8785,0.5167
164,0.645669,1347874,2413455,185606,0.3584,0.879,0.5091
165,0.649606,1318985,2442344,180889,0.3507,0.8794,0.5014
166,0.653543,1289975,2471354,176160,0.343,0.8798,0.4935
167,0.65748,1259910,2501419,171302,0.335,0.8803,0.4853
168,0.661417,1228996,2532333,166485,0.3267,0.8807,0.4766
169,0.665354,1197531,2563798,161668,0.3184,0.8811,0.4677
170,0.669291,1164495,2596834,156885,0.3096,0.8813,0.4582
171,0.673228,1129596,2631733,151884,0.3003,0.8815,0.448
172,0.677165,1094796,2666533,147195,0.2911,0.8815,0.4376
173,0.681102,1058088,2703241,142348,0.2813,0.8814,0.4265
174,0.685039,1020502,2740827,137611,0.2713,0.8812,0.4149
175,0.688976,981829,2779500,132793,0.261,0.8809,0.4027
176,0.692913,944064,2817265,128084,0.251,0.8805,0.3906
177,0.69685,905576,2855753,123252,0.2408,0.8802,0.3781
178,0.700787,867139,2894190,118333,0.2305,0.8799,0.3654
179,0.704724,827850,2933479,113486,0.2201,0.8794,0.3521
180,0.708661,789521,2971808,108597,0.2099,0.8791,0.3389
181,0.712598,749584,3011745,103667,0.1993,0.8785,0.3249
182,0.716535,710609,3050720,98763,0.1889,0.878,0.3109
183,0.720472,671715,3089614,94087,0.1786,0.8771,0.2968
184,0.724409,633232,3128097,89570,0.1684,0.8761,0.2824
185,0.728346,595386,3165943,85354,0.1583,0.8746,0.2681
186,0.732283,557529,3203800,81428,0.1482,0.8726,0.2534
187,0.73622,520512,3240817,77480,0.1384,0.8704,0.2388
188,0.740157,483427,3277902,73538,0.1285,0.868,0.2239
189,0.744094,447912,3313417,69639,0.1191,0.8654,0.2094
190,0.748031,414038,3347291,65952,0.1101,0.8626,0.1952
191,0.751968,381210,3380119,62216,0.1013,0.8597,0.1813
192,0.755905,348653,3412676,58483,0.0927,0.8564,0.1673
193,0.759842,317626,3443703,54474,0.0844,0.8536,0.1537
194,0.763779,287592,3473737,50614,0.0765,0.8503,0.1403
195,0.767716,260153,3501176,47135,0.0692,0.8466,0.1279
196,0.771653,233296,3528033,43773,0.062,0.842,0.1155
197,0.77559,208682,3552647,40575,0.0555,0.8372,0.1041
198,0.779527,186470,3574859,37515,0.0496,0.8325,0.0936
199,0.783464,166672,3594657,34643,0.0443,0.8279,0.0841
200,0.787401,148239,3613090,31729,0.0394,0.8237,0.0752
201,0.791338,132042,3629287,29166,0.0351,0.8191,0.0673
202,0.795275,117513,3643816,26709,0.0312,0.8148,0.0602
203,0.799212,104434,3656895,24325,0.0278,0.8111,0.0537
204,0.803149,93157,3668172,22080,0.0248,0.8084,0.0481
205,0.807086,83177,3678152,20112,0.0221,0.8053,0.043
206,0.811023,74323,3687006,18342,0.0198,0.8021,0.0386
207,0.81496,67526,3693803,16570,0.018,0.803,0.0351
208,0.818897,61833,3699496,14928,0.0164,0.8055,0.0322
209,0.822834,57547,3703782,13374,0.0153,0.8114,0.03
210,0.826771,53730,3707599,12397,0.0143,0.8125,0.0281
211,0.830708,50447,3710882,11640,0.0134,0.8125,0.0264
212,0.834645,47612,3713717,10876,0.0127,0.814,0.0249
213,0.838582,45356,3715973,10110,0.0121,0.8177,0.0238
214,0.842519,43385,3717944,9250,0.0115,0.8243,0.0228
215,0.846456,41430,3719899,8387,0.011,0.8316,0.0217
216,0.850393,39735,3721594,7737,0.0106,0.837,0.0209
217,0.85433,38141,3723188,7329,0.0101,0.8388,0.02
218,0.858267,36622,3724707,7010,0.0097,0.8393,0.0192
219,0.862204,35076,3726253,6673,0.0093,0.8402,0.0184
220,0.866141,33523,3727806,6336,0.0089,0.841,0.0176
221,0.870078,31966,3729363,6044,0.0085,0.841,0.0168
222,0.874015,30372,3730957,5754,0.0081,0.8407,0.016
223,0.877952,28858,3732471,5462,0.0077,0.8409,0.0152
224,0.881889,27265,3734064,5177,0.0072,0.8404,0.0144
225,0.885826,25653,3735676,4856,0.0068,0.8408,0.0135
226,0.889763,24063,3737266,4516,0.0064,0.842,0.0127
227,0.8937,22410,3738919,4154,0.006,0.8436,0.0118
228,0.897637,20700,3740629,3762,0.0055,0.8462,0.0109
229,0.901574,18849,3742480,3391,0.005,0.8475,0.01
230,0.905511,16923,3744406,2994,0.0045,0.8497,0.009
231,0.909448,14895,3746434,2605,0.004,0.8511,0.0079
232,0.913385,12852,3748477,2191,0.0034,0.8544,0.0068
233,0.917322,10842,3750487,1745,0.0029,0.8614,0.0057
234,0.921259,8640,3752689,1318,0.0023,0.8676,0.0046
235,0.925196,6774,3754555,854,0.0018,0.888,0.0036
236,0.929133,5179,3756150,451,0.0014,0.9199,0.0027
237,0.93307,3948,3757381,144,0.001,0.9648,0.0021
238,0.937007,3137,3758192,0,0.0008,1.0,0.0017
239,0.940944,2531,3758798,0,0.0007,1.0,0.0013
240,0.944881,1945,3759384,0,0.0005,1.0,0.001
241,0.948818,1465,3759864,0,0.0004,1.0,0.0008
242,0.952755,953,3760376,0,0.0003,1.0,0.0005
243,0.956692,175,3761154,0,0.0,1.0,0.0001
244,0.960629,0,3761329,0,0.0,nan,
245,0.964566,0,3761329,0,0.0,nan,
246,0.968503,0,3761329,0,0.0,nan,
247,0.97244,0,3761329,0,0.0,nan,
248,0.976377,0,3761329,0,0.0,nan,
249,0.980314,0,3761329,0,0.0,nan,
250,0.984251,0,3761329,0,0.0,nan,
251,0.988188,0,3761329,0,0.0,nan,
252,0.992125,0,3761329,0,0.0,nan,
