k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,248079912,3905411,426933417,0.9845,0.3675,0.5352
2,0.007874,195255994,56729329,74060559,0.7749,0.725,0.7491
3,0.011811,183604221,68381102,48267587,0.7286,0.7918,0.7589
4,0.015748,179428956,72556367,44416317,0.7121,0.8016,0.7542
5,0.019685,176717855,75267468,42187147,0.7013,0.8073,0.7506
6,0.023622,174765942,77219381,40707474,0.6936,0.8111,0.7477
7,0.027559,173210545,78774778,39582904,0.6874,0.814,0.7453
8,0.031496,171962648,80022675,38694923,0.6824,0.8163,0.7434
9,0.035433,170887819,81097504,37942685,0.6782,0.8183,0.7417
10,0.03937,169948654,82036669,37303466,0.6744,0.82,0.7401
11,0.043307,169084518,82900805,36740191,0.671,0.8215,0.7387
12,0.047244,168257557,83727766,36221511,0.6677,0.8229,0.7372
13,0.051181,167489805,84495518,35751514,0.6647,0.8241,0.7359
14,0.055118,166735721,85249602,35298422,0.6617,0.8253,0.7345
15,0.059055,166018645,85966678,34868801,0.6588,0.8264,0.7332
16,0.062992,165343205,86642118,34467187,0.6562,0.8275,0.7319
17,0.066929,164690990,87294333,34083713,0.6536,0.8285,0.7307
18,0.070866,164065185,87920138,33718112,0.6511,0.8295,0.7296
19,0.074803,163446809,88538514,33359762,0.6486,0.8305,0.7284
20,0.07874,162853907,89131416,33020822,0.6463,0.8314,0.7273
21,0.082677,162263699,89721624,32686789,0.6439,0.8323,0.7261
22,0.086614,161676411,90308912,32357172,0.6416,0.8332,0.725
23,0.090551,161113905,90871418,32045038,0.6394,0.8341,0.7239
24,0.094488,160554447,91430876,31737776,0.6372,0.835,0.7228
25,0.098425,159971517,92013806,31419877,0.6348,0.8358,0.7216
26,0.102362,159386071,92599252,31107186,0.6325,0.8367,0.7204
27,0.106299,158803531,93181792,30801313,0.6302,0.8375,0.7192
28,0.110236,158229937,93755386,30502841,0.6279,0.8384,0.7181
29,0.114173,157672970,94312353,30214032,0.6257,0.8392,0.7169
30,0.11811,157104958,94880365,29921031,0.6235,0.84,0.7157
31,0.122047,156533138,95452185,29627799,0.6212,0.8408,0.7145
32,0.125984,155972786,96012537,29340462,0.619,0.8417,0.7133
33,0.129921,155432431,96552892,29065290,0.6168,0.8425,0.7122
34,0.133858,154883654,97101669,28786638,0.6147,0.8433,0.711
35,0.137795,154343231,97642092,28513546,0.6125,0.8441,0.7099
36,0.141732,153813697,98171626,28247122,0.6104,0.8448,0.7087
37,0.145669,153297689,98687634,27988506,0.6084,0.8456,0.7076
38,0.149606,152795035,99190288,27739495,0.6064,0.8463,0.7065
39,0.153543,152289288,99696035,27493250,0.6044,0.8471,0.7054
40,0.15748,151799580,100185743,27255738,0.6024,0.8478,0.7043
41,0.161417,151325165,100660158,27028991,0.6005,0.8485,0.7033
42,0.165354,150849023,101136300,26804449,0.5986,0.8491,0.7022
43,0.169291,150387315,101598008,26588696,0.5968,0.8498,0.7012
44,0.173228,149922873,102062450,26374912,0.595,0.8504,0.7001
45,0.177165,149471672,102513651,26168432,0.5932,0.851,0.6991
46,0.181102,149017530,102967793,25963242,0.5914,0.8516,0.698
47,0.185039,148572981,103412342,25765877,0.5896,0.8522,0.697
48,0.188976,148120145,103865178,25567695,0.5878,0.8528,0.6959
49,0.192913,147677412,104307911,25375508,0.5861,0.8534,0.6949
50,0.19685,147230157,104755166,25182736,0.5843,0.8539,0.6938
51,0.200787,146799571,105185752,24995746,0.5826,0.8545,0.6928
52,0.204724,146370947,105614376,24809071,0.5809,0.8551,0.6918
53,0.208661,145944530,106040793,24624465,0.5792,0.8556,0.6908
54,0.212598,145523061,106462262,24443600,0.5775,0.8562,0.6898
55,0.216535,145124074,106861249,24272359,0.5759,0.8567,0.6888
56,0.220472,144730089,107255234,24104751,0.5744,0.8572,0.6878
57,0.224409,144358918,107626405,23947682,0.5729,0.8577,0.6869
58,0.228346,143992334,107992989,23793511,0.5714,0.8582,0.6861
59,0.232283,143632491,108352832,23641620,0.57,0.8587,0.6852
60,0.23622,143277913,108707410,23493263,0.5686,0.8591,0.6843
61,0.240157,142943018,109042305,23353385,0.5673,0.8596,0.6835
62,0.244094,142613303,109372020,23214812,0.566,0.86,0.6827
63,0.248031,142289146,109696177,23078785,0.5647,0.8604,0.6819
64,0.251968,141969066,110016257,22943606,0.5634,0.8609,0.6811
65,0.255905,141666966,110318357,22816036,0.5622,0.8613,0.6803
66,0.259842,141369412,110615911,22689473,0.561,0.8617,0.6796
67,0.263779,141075816,110909507,22564044,0.5599,0.8621,0.6789
68,0.267716,140787971,111197352,22441713,0.5587,0.8625,0.6781
69,0.271653,140506700,111478623,22321093,0.5576,0.8629,0.6774
70,0.27559,140227493,111757830,22201505,0.5565,0.8633,0.6768
71,0.279527,139957426,112027897,22085266,0.5554,0.8637,0.6761
72,0.283464,139690132,112295191,21970237,0.5544,0.8641,0.6754
73,0.287401,139424474,112560849,21856513,0.5533,0.8645,0.6747
74,0.291338,139166840,112818483,21746360,0.5523,0.8649,0.6741
75,0.295275,138903497,113081826,21634194,0.5512,0.8652,0.6734
76,0.299212,138654491,113330832,21528496,0.5502,0.8656,0.6728
77,0.303149,138399741,113585582,21420754,0.5492,0.866,0.6722
78,0.307086,138153148,113832175,21316302,0.5483,0.8663,0.6715
79,0.311023,137907135,114078188,21212382,0.5473,0.8667,0.6709
80,0.31496,137667275,114318048,21111471,0.5463,0.867,0.6703
81,0.318897,137421347,114563976,21008504,0.5454,0.8674,0.6697
82,0.322834,137182423,114802900,20908813,0.5444,0.8677,0.6691
83,0.326771,136943626,115041697,20809970,0.5435,0.8681,0.6684
84,0.330708,136710501,115274822,20713665,0.5425,0.8684,0.6678
85,0.334645,136469868,115515455,20614885,0.5416,0.8688,0.6672
86,0.338582,136234540,115750783,20518473,0.5406,0.8691,0.6666
87,0.342519,135997558,115987765,20422416,0.5397,0.8694,0.666
88,0.346456,135760515,116224808,20326710,0.5388,0.8698,0.6654
89,0.350393,135521989,116463334,20230449,0.5378,0.8701,0.6648
90,0.35433,135287845,116697478,20137180,0.5369,0.8704,0.6641
91,0.358267,135051244,116934079,20042998,0.5359,0.8708,0.6635
92,0.362204,134811914,117173409,19948475,0.535,0.8711,0.6629
93,0.366141,134569117,117416206,19852958,0.534,0.8714,0.6622
94,0.370078,134321653,117663670,19757476,0.5331,0.8718,0.6616
95,0.374015,134076904,117908419,19663063,0.5321,0.8721,0.6609
96,0.377952,133822982,118162341,19565792,0.5311,0.8724,0.6602
97,0.381889,133570810,118414513,19469237,0.5301,0.8728,0.6596
98,0.385826,133313415,118671908,19371825,0.5291,0.8731,0.6589
99,0.389763,133050685,118934638,19274105,0.528,0.8735,0.6582
100,0.3937,132784078,119201245,19174456,0.527,0.8738,0.6574
101,0.397637,132513366,119471957,19074181,0.5259,0.8742,0.6567
102,0.401574,132242183,119743140,18974280,0.5248,0.8745,0.656
103,0.405511,131966732,120018591,18873003,0.5237,0.8749,0.6552
104,0.409448,131686259,120299064,18771622,0.5226,0.8752,0.6544
105,0.413385,131401236,120584087,18668890,0.5215,0.8756,0.6536
106,0.417322,131116307,120869016,18565743,0.5203,0.876,0.6529
107,0.421259,130823267,121162056,18460398,0.5192,0.8763,0.652
108,0.425196,130529865,121455458,18355121,0.518,0.8767,0.6512
109,0.429133,130232838,121752485,18249015,0.5168,0.8771,0.6504
110,0.43307,129937533,122047790,18144230,0.5157,0.8775,0.6496
111,0.437007,129633934,122351389,18037028,0.5145,0.8779,0.6487
