k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,128186173,0,298314160,1.0,0.3006,0.4622
2,0.007874,128186173,0,298314160,1.0,0.3006,0.4622
3,0.011811,128186173,0,298314160,1.0,0.3006,0.4622
4,0.015748,128186173,0,298314153,1.0,0.3006,0.4622
5,0.019685,128186173,0,298311036,1.0,0.3006,0.4622
6,0.023622,128185724,449,298235943,1.0,0.3006,0.4623
7,0.027559,128182327,3846,297771281,1.0,0.3009,0.4626
8,0.031496,128167356,18817,296115637,0.9999,0.3021,0.464
9,0.035433,128123823,62350,292026834,0.9995,0.3049,0.4673
10,0.03937,128023492,162681,284440007,0.9987,0.3104,0.4736
11,0.043307,127836530,349643,273258581,0.9973,0.3187,0.4831
12,0.047244,127542594,643579,259208160,0.995,0.3298,0.4954
13,0.051181,127156347,1029826,242085130,0.992,0.3444,0.5113
14,0.055118,126662013,1524160,200261243,0.9881,0.3874,0.5566
15,0.059055,126082630,2103543,163575325,0.9836,0.4353,0.6035
16,0.062992,125428369,2757804,145839375,0.9785,0.4624,0.628
17,0.066929,124706573,3479600,131778185,0.9729,0.4862,0.6484
18,0.070866,123927493,4258680,119732400,0.9668,0.5086,0.6666
19,0.074803,123082178,5103995,109052797,0.9602,0.5302,0.6832
20,0.07874,122210366,5975807,99888904,0.9534,0.5503,0.6978
21,0.082677,121296583,6889590,91718804,0.9463,0.5694,0.711
22,0.086614,120357004,7829169,84466352,0.9389,0.5876,0.7228
23,0.090551,119441934,8744239,78281325,0.9318,0.6041,0.733
24,0.094488,118521681,9664492,72778674,0.9246,0.6196,0.742
25,0.098425,117562956,10623217,67696371,0.9171,0.6346,0.7501
26,0.102362,116610121,11576052,63199370,0.9097,0.6485,0.7572
27,0.106299,115671971,12514202,59204567,0.9024,0.6614,0.7634
28,0.110236,114754443,13431730,55648260,0.8952,0.6734,0.7686
29,0.114173,113856768,14329405,52477314,0.8882,0.6845,0.7732
30,0.11811,112940447,15245726,49509823,0.8811,0.6952,0.7772
31,0.122047,112006862,16179311,46725931,0.8738,0.7056,0.7808
32,0.125984,111117092,17069081,44273911,0.8668,0.7151,0.7837
33,0.129921,110247687,17938486,42059728,0.8601,0.7238,0.7861
34,0.133858,109368575,18817598,39967720,0.8532,0.7324,0.7882
35,0.137795,108504871,19681302,38042104,0.8465,0.7404,0.7899
36,0.141732,107657327,20528846,36271311,0.8399,0.748,0.7913
