k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,6457455,0,13355735,1.0,0.3259,0.4916
2,0.007874,6457455,0,13355735,1.0,0.3259,0.4916
3,0.011811,6457455,0,13355735,1.0,0.3259,0.4916
4,0.015748,6457455,0,13355735,1.0,0.3259,0.4916
5,0.019685,6457455,0,13355735,1.0,0.3259,0.4916
6,0.023622,6457455,0,13355735,1.0,0.3259,0.4916
7,0.027559,6457455,0,13355735,1.0,0.3259,0.4916
8,0.031496,6457455,0,13355735,1.0,0.3259,0.4916
9,0.035433,6457455,0,13355735,1.0,0.3259,0.4916
10,0.03937,6457455,0,13355735,1.0,0.3259,0.4916
11,0.043307,6457455,0,13355735,1.0,0.3259,0.4916
12,0.047244,6457455,0,13355735,1.0,0.3259,0.4916
13,0.051181,6457455,0,13355735,1.0,0.3259,0.4916
14,0.055118,6457455,0,13355735,1.0,0.3259,0.4916
15,0.059055,6457455,0,13355735,1.0,0.3259,0.4916
16,0.062992,6457455,0,13355735,1.0,0.3259,0.4916
17,0.066929,6457455,0,13355735,1.0,0.3259,0.4916
18,0.070866,6457455,0,13355735,1.0,0.3259,0.4916
19,0.074803,6457455,0,13355735,1.0,0.3259,0.4916
20,0.07874,6457455,0,13355735,1.0,0.3259,0.4916
21,0.082677,6457455,0,13355690,1.0,0.3259,0.4916
22,0.086614,6457428,27,13354089,1.0,0.3259,0.4916
23,0.090551,6457345,110,13337980,1.0,0.3262,0.4919
24,0.094488,6457207,248,13268698,1.0,0.3273,0.4932
25,0.098425,6456757,698,13122669,0.9999,0.3298,0.496
26,0.102362,6455711,1744,12930781,0.9997,0.333,0.4996
27,0.106299,6453758,3697,12705897,0.9994,0.3368,0.5039
28,0.110236,6450582,6873,12392518,0.9989,0.3423,0.5099
29,0.114173,6445225,12230,11931099,0.9981,0.3507,0.5191
30,0.11811,6435828,21627,11223510,0.9967,0.3644,0.5337
31,0.122047,6418830,38625,10222038,0.994,0.3857,0.5558
32,0.125984,6391693,65762,9170551,0.9898,0.4107,0.5805
33,0.129921,6356918,100537,8189602,0.9844,0.437,0.6053
34,0.133858,6312588,144867,7292300,0.9776,0.464,0.6293
35,0.137795,6257400,200055,6512087,0.969,0.49,0.6509
36,0.141732,6190580,266875,5833622,0.9587,0.5148,0.6699
37,0.145669,6114765,342690,5251870,0.9469,0.538,0.6861
38,0.149606,6032896,424559,4747701,0.9343,0.5596,0.7
39,0.153543,5946069,511386,4309736,0.9208,0.5798,0.7115
40,0.15748,5859416,598039,3940339,0.9074,0.5979,0.7208
41,0.161417,5776855,680600,3633127,0.8946,0.6139,0.7281
42,0.165354,5694856,762599,3368754,0.8819,0.6283,0.7338
43,0.169291,5618259,839196,3145987,0.87,0.641,0.7382
44,0.173228,5545403,912052,2950049,0.8588,0.6527,0.7417
45,0.177165,5478980,978475,2786293,0.8485,0.6629,0.7443
46,0.181102,5415415,1042040,2642955,0.8386,0.672,0.7461
47,0.185039,5356647,1100808,2520533,0.8295,0.68,0.7474
48,0.188976,5302026,1155429,2411320,0.8211,0.6874,0.7483
49,0.192913,5250893,1206562,2315983,0.8132,0.6939,0.7488
50,0.19685,5203386,1254069,2230972,0.8058,0.6999,0.7491
51,0.200787,5161592,1295863,2159070,0.7993,0.7051,0.7492
52,0.204724,5124281,1333174,2097311,0.7935,0.7096,0.7492
53,0.208661,5092027,1365428,2045638,0.7886,0.7134,0.7491
54,0.212598,5065364,1392091,2004219,0.7844,0.7165,0.7489
55,0.216535,5042917,1414538,1970742,0.7809,0.719,0.7487
56,0.220472,5023157,1434298,1941524,0.7779,0.7212,0.7485
57,0.224409,5005771,1451684,1916213,0.7752,0.7232,0.7483
58,0.228346,4989672,1467783,1892982,0.7727,0.725,0.7481
59,0.232283,4974352,1483103,1871521,0.7703,0.7266,0.7478
60,0.23622,4960230,1497225,1851511,0.7681,0.7282,0.7476
61,0.240157,4947230,1510225,1833433,0.7661,0.7296,0.7474
62,0.244094,4934857,1522598,1816214,0.7642,0.731,0.7472
63,0.248031,4922896,1534559,1799889,0.7624,0.7323,0.747
64,0.251968,4911436,1546019,1784250,0.7606,0.7335,0.7468
65,0.255905,4900529,1556926,1769728,0.7589,0.7347,0.7466
66,0.259842,4889957,1567498,1755873,0.7573,0.7358,0.7464
67,0.263779,4879784,1577671,1742411,0.7557,0.7369,0.7462
68,0.267716,4869915,1587540,1729407,0.7542,0.7379,0.746
69,0.271653,4860752,1596703,1717391,0.7527,0.7389,0.7458
70,0.27559,4851552,1605903,1705477,0.7513,0.7399,0.7456
71,0.279527,4842617,1614838,1694166,0.7499,0.7408,0.7453
72,0.283464,4833700,1623755,1682988,0.7485,0.7417,0.7451
73,0.287401,4825103,1632352,1672042,0.7472,0.7426,0.7449
74,0.291338,4816735,1640720,1661556,0.7459,0.7435,0.7447
75,0.295275,4808380,1649075,1651071,0.7446,0.7444,0.7445
76,0.299212,4800406,1657049,1641396,0.7434,0.7452,0.7443
77,0.303149,4792387,1665068,1631535,0.7421,0.746,0.7441
78,0.307086,4784732,1672723,1622160,0.741,0.7468,0.7439
79,0.311023,4777148,1680307,1612971,0.7398,0.7476,0.7437
80,0.31496,4769886,1687569,1604066,0.7387,0.7483,0.7435
81,0.318897,4762451,1695004,1595143,0.7375,0.7491,0.7433
82,0.322834,4755118,1702337,1586695,0.7364,0.7498,0.743
83,0.326771,4747954,1709501,1578251,0.7353,0.7505,0.7428
84,0.330708,4741093,1716362,1570230,0.7342,0.7512,0.7426
85,0.334645,4734072,1723383,1562003,0.7331,0.7519,0.7424
86,0.338582,4727108,1730347,1554085,0.732,0.7526,0.7422
87,0.342519,4720178,1737277,1546147,0.731,0.7533,0.7419
88,0.346456,4713296,1744159,1538342,0.7299,0.7539,0.7417
89,0.350393,4706351,1751104,1530661,0.7288,0.7546,0.7415
90,0.35433,4699846,1757609,1522959,0.7278,0.7553,0.7413
91,0.358267,4693252,1764203,1515589,0.7268,0.7559,0.7411
92,0.362204,4686539,1770916,1508127,0.7258,0.7565,0.7408
93,0.366141,4679762,1777693,1500525,0.7247,0.7572,0.7406
94,0.370078,4673114,1784341,1493185,0.7237,0.7578,0.7404
95,0.374015,4666561,1790894,1486060,0.7227,0.7585,0.7401
96,0.377952,4659833,1797622,1478630,0.7216,0.7591,0.7399
97,0.381889,4653273,1804182,1471430,0.7206,0.7598,0.7397
98,0.385826,4646570,1810885,1464263,0.7196,0.7604,0.7394
99,0.389763,4639804,1817651,1457082,0.7185,0.761,0.7392
100,0.3937,4633093,1824362,1449865,0.7175,0.7617,0.7389
