k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,1106123214,0,3020275476,1.0,0.2681,0.4228
2,0.007874,1106123214,0,3020275476,1.0,0.2681,0.4228
3,0.011811,1106123214,0,3020275476,1.0,0.2681,0.4228
4,0.015748,1106123214,0,3020275476,1.0,0.2681,0.4228
5,0.019685,1106123214,0,3020267420,1.0,0.2681,0.4228
6,0.023622,1106121761,1453,3020072101,1.0,0.2681,0.4228
7,0.027559,1106089292,33922,3017876812,1.0,0.2682,0.423
8,0.031496,1105875982,247232,3005873972,0.9998,0.269,0.4239
9,0.035433,1105103215,1019999,2966050915,0.9991,0.2714,0.4269
10,0.03937,1103268070,2855144,2879012930,0.9974,0.277,0.4336
11,0.043307,1100107954,6015260,2707693724,0.9946,0.2889,0.4478
12,0.047244,1095498133,10625081,2399167303,0.9904,0.3135,0.4762
13,0.051181,1089768865,16354349,2040981411,0.9852,0.3481,0.5144
14,0.055118,1082743618,23379596,1721283077,0.9789,0.3861,0.5538
15,0.059055,1074766978,31356236,1467096048,0.9717,0.4228,0.5892
16,0.062992,1066197797,39925417,1266443313,0.9639,0.4571,0.6201
17,0.066929,1057149795,48973419,1107036639,0.9557,0.4885,0.6465
18,0.070866,1047751238,58371976,981974624,0.9472,0.5162,0.6682
19,0.074803,1037844094,68279120,878655397,0.9383,0.5415,0.6867
20,0.07874,1027852938,78270276,794054464,0.9292,0.5642,0.7021
21,0.082677,1017479698,88643516,721108919,0.9199,0.5852,0.7153
22,0.086614,1006808222,99314992,657542893,0.9102,0.6049,0.7268
23,0.090551,996333097,109790117,604045392,0.9007,0.6226,0.7363
24,0.094488,985728563,120394651,556976896,0.8912,0.639,0.7443
25,0.098425,974664140,131459074,514008995,0.8812,0.6547,0.7512
26,0.102362,963748090,142375124,476527466,0.8713,0.6691,0.7569
27,0.106299,953089825,153033389,443774058,0.8616,0.6823,0.7616
28,0.110236,942764029,163359185,415098626,0.8523,0.6943,0.7652
29,0.114173,932899129,173224085,389900399,0.8434,0.7052,0.7682
30,0.11811,923078147,183045067,366713020,0.8345,0.7157,0.7705
31,0.122047,913343962,192779252,345478037,0.8257,0.7256,0.7724
32,0.125984,904201289,201921925,326920687,0.8175,0.7345,0.7737
33,0.129921,895181476,210941738,309749691,0.8093,0.7429,0.7747
34,0.133858,885877616,220245598,293170079,0.8009,0.7514,0.7753
35,0.137795,876679552,229443662,277903148,0.7926,0.7593,0.7756
36,0.141732,867668447,238454767,263902561,0.7844,0.7668,0.7755
37,0.145669,858888342,247234872,251112185,0.7765,0.7738,0.7751
38,0.149606,850414182,255709032,239542822,0.7688,0.7802,0.7745
39,0.153543,842053399,264069815,228851398,0.7613,0.7863,0.7736
40,0.15748,834152633,271970581,219341990,0.7541,0.7918,0.7725
41,0.161417,826840771,279282443,211009540,0.7475,0.7967,0.7713
42,0.165354,820167685,285955529,203718439,0.7415,0.801,0.7701
43,0.169291,814663751,291459463,197932091,0.7365,0.8045,0.769
44,0.173228,810103677,296019537,193334117,0.7324,0.8073,0.768
45,0.177165,806351770,299771444,189687734,0.729,0.8096,0.7672
46,0.181102,803031112,303092102,186533059,0.726,0.8115,0.7664
47,0.185039,800130629,305992585,183824613,0.7234,0.8132,0.7656
48,0.188976,797447414,308675800,181364305,0.7209,0.8147,0.765
49,0.192913,795022484,311100730,179180179,0.7187,0.8161,0.7643
50,0.19685,792709776,313413438,177130871,0.7167,0.8174,0.7637
51,0.200787,790569328,315553886,175260770,0.7147,0.8185,0.7631
52,0.204724,788498670,317624544,173476432,0.7128,0.8197,0.7625
53,0.208661,786490674,319632540,171769987,0.711,0.8207,0.762
54,0.212598,784545529,321577685,170140619,0.7093,0.8218,0.7614
55,0.216535,782733611,323389603,168639109,0.7076,0.8227,0.7609
56,0.220472,780966528,325156686,167193208,0.706,0.8237,0.7603
57,0.224409,779310477,326812737,165852604,0.7045,0.8245,0.7598
58,0.228346,777683275,328439939,164551206,0.7031,0.8254,0.7593
59,0.232283,776081876,330041338,163281326,0.7016,0.8262,0.7588
60,0.23622,774496027,331627187,162037717,0.7002,0.827,0.7583
61,0.240157,772992322,333130892,160871175,0.6988,0.8277,0.7578
62,0.244094,771495812,334627402,159719845,0.6975,0.8285,0.7574
63,0.248031,770007455,336115759,158589386,0.6961,0.8292,0.7569
64,0.251968,768527644,337595570,157475453,0.6948,0.8299,0.7564
65,0.255905,767122553,339000661,156429574,0.6935,0.8306,0.7559
66,0.259842,765727620,340395594,155397895,0.6923,0.8313,0.7554
67,0.263779,764337055,341786159,154377843,0.691,0.832,0.755
68,0.267716,762953205,343170009,153372114,0.6898,0.8326,0.7545
69,0.271653,761640913,344482301,152426210,0.6886,0.8332,0.754
70,0.27559,760283733,345839481,151456743,0.6873,0.8339,0.7536
71,0.279527,758978053,347145161,150533785,0.6862,0.8345,0.7531
72,0.283464,757677454,348445760,149621406,0.685,0.8351,0.7526
73,0.287401,756380073,349743141,148716657,0.6838,0.8357,0.7522
74,0.291338,755119241,351003973,147846085,0.6827,0.8363,0.7517
75,0.295275,753827263,352295951,146961171,0.6815,0.8369,0.7512
76,0.299212,752601195,353522019,146130273,0.6804,0.8374,0.7508
77,0.303149,751345934,354777280,145286257,0.6793,0.838,0.7503
78,0.307086,750126936,355996278,144472405,0.6782,0.8385,0.7499
79,0.311023,748907339,357215875,143666376,0.6771,0.839,0.7494
80,0.31496,747721559,358401655,142888916,0.676,0.8396,0.7489
81,0.318897,746506840,359616374,142096885,0.6749,0.8401,0.7485
82,0.322834,745323458,360799756,141331016,0.6738,0.8406,0.748
83,0.326771,744141325,361981889,140571759,0.6727,0.8411,0.7476
84,0.330708,742994025,363129189,139838958,0.6717,0.8416,0.7471
85,0.334645,741815116,364308098,139091956,0.6706,0.8421,0.7467
86,0.338582,740668071,365455143,138371641,0.6696,0.8426,0.7462
87,0.342519,739522666,366600548,137656504,0.6686,0.8431,0.7457
88,0.346456,738378457,367744757,136946336,0.6675,0.8435,0.7453
89,0.350393,737233524,368889690,136241657,0.6665,0.844,0.7448
90,0.35433,736122065,370001149,135561020,0.6655,0.8445,0.7444
91,0.358267,735006833,371116381,134887092,0.6645,0.8449,0.7439
92,0.362204,733893584,372229630,134218052,0.6635,0.8454,0.7435
93,0.366141,732779050,373344164,133552758,0.6625,0.8458,0.743
94,0.370078,731664084,374459130,132894317,0.6615,0.8463,0.7425
95,0.374015,730579334,375543880,132256292,0.6605,0.8467,0.7421
96,0.377952,729462107,376661107,131602741,0.6595,0.8472,0.7416
97,0.381889,728341202,377782012,130954554,0.6585,0.8476,0.7412
98,0.385826,727258446,378864768,130332426,0.6575,0.848,0.7407
99,0.389763,726163712,379959502,129707185,0.6565,0.8485,0.7402
100,0.3937,725066836,381056378,129084086,0.6555,0.8489,0.7398
101,0.397637,723965655,382157559,128463458,0.6545,0.8493,0.7393
102,0.401574,722878707,383244507,127855244,0.6535,0.8497,0.7388
103,0.405511,721785988,384337226,127250003,0.6525,0.8501,0.7383
104,0.409448,720687860,385435354,126644286,0.6515,0.8505,0.7379
105,0.413385,719584270,386538944,126039819,0.6505,0.851,0.7374
106,0.417322,718490155,387633059,125447186,0.6496,0.8514,0.7369
107,0.421259,717373177,388750037,124844971,0.6485,0.8518,0.7364
108,0.425196,716267983,389855231,124251838,0.6475,0.8522,0.7359
109,0.429133,715153951,390969263,123658816,0.6465,0.8526,0.7354
110,0.43307,714047493,392075721,123074889,0.6455,0.853,0.7349
111,0.437007,712916626,393206588,122480850,0.6445,0.8534,0.7344
112,0.440944,711793001,394330213,121893571,0.6435,0.8538,0.7339
113,0.444881,710641585,395481629,121297036,0.6425,0.8542,0.7334
114,0.448818,709485356,396637858,120702404,0.6414,0.8546,0.7328
115,0.452755,708303326,397819888,120097627,0.6403,0.855,0.7323
116,0.456692,707104520,399018694,119487932,0.6393,0.8554,0.7317
117,0.460629,705873272,400249942,118866777,0.6382,0.8559,0.7311
118,0.464566,704604511,401518703,118231221,0.637,0.8563,0.7306
119,0.468503,703289876,402833338,117579900,0.6358,0.8568,0.7299
120,0.47244,701898094,404225120,116894616,0.6346,0.8572,0.7293
121,0.476377,700427486,405695728,116180328,0.6332,0.8577,0.7286
122,0.480314,698840720,407282494,115419250,0.6318,0.8583,0.7278
123,0.484251,697128301,408994913,114607695,0.6302,0.8588,0.727
124,0.488188,695248607,410874607,113730865,0.6285,0.8594,0.7261
125,0.492125,693178951,412944263,112776547,0.6267,0.8601,0.7251
126,0.496062,690827620,415295594,111712224,0.6245,0.8608,0.7239
127,0.5,688052925,418070289,110481379,0.622,0.8616,0.7225
128,0.503937,684234104,421889110,108887068,0.6186,0.8627,0.7205
129,0.507874,679004196,427119018,106777187,0.6139,0.8641,0.7178
130,0.511811,673594344,432528870,104607613,0.609,0.8656,0.7149
131,0.515748,668499076,437624138,102581185,0.6044,0.867,0.7122
132,0.519685,663401503,442721711,100574902,0.5998,0.8684,0.7095
133,0.523622,658041316,448081898,98560117,0.5949,0.8697,0.7065
134,0.527559,652565626,453557588,96581691,0.59,0.8711,0.7035
135,0.531496,647123982,458999232,94682695,0.585,0.8724,0.7004
136,0.535433,641836763,464286451,92874132,0.5803,0.8736,0.6973
137,0.53937,636772827,469350387,91174902,0.5757,0.8748,0.6944
138,0.543307,631647085,474476129,89515106,0.571,0.8759,0.6914
139,0.547244,626482242,479640972,87892223,0.5664,0.877,0.6883
140,0.551181,621397675,484725539,86330200,0.5618,0.878,0.6852
141,0.555118,616378775,489744439,84819545,0.5572,0.879,0.6821
142,0.559055,611556360,494566854,83387202,0.5529,0.88,0.6791
143,0.562992,606841359,499281855,82000114,0.5486,0.881,0.6762
144,0.566929,602227912,503895302,80650549,0.5444,0.8819,0.6733
145,0.570866,597748557,508374657,79345110,0.5404,0.8828,0.6704
146,0.574803,593420528,512702686,78088551,0.5365,0.8837,0.6677
147,0.57874,589056855,517066359,76826966,0.5325,0.8846,0.6648
148,0.582677,584745754,521377460,75585624,0.5286,0.8855,0.6621
149,0.586614,580461488,525661726,74360576,0.5248,0.8864,0.6593
150,0.590551,576334616,529788598,73192160,0.521,0.8873,0.6565
151,0.594488,572227044,533896170,72037494,0.5173,0.8882,0.6538
152,0.598425,568190988,537932226,70914586,0.5137,0.889,0.6511
153,0.602362,564217858,541905356,69818008,0.5101,0.8899,0.6485
154,0.606299,560297948,545825266,68747188,0.5065,0.8907,0.6458
155,0.610236,556373026,549750188,67687330,0.503,0.8915,0.6431
156,0.614173,552496012,553627202,66651329,0.4995,0.8923,0.6405
157,0.61811,548648913,557474301,65635567,0.496,0.8932,0.6378
158,0.622047,544818477,561304737,64633341,0.4925,0.8939,0.6351
159,0.625984,540984300,565138914,63642281,0.4891,0.8947,0.6325
160,0.629921,537054718,569068496,62639428,0.4855,0.8955,0.6297
161,0.633858,533188299,572934915,61665470,0.482,0.8963,0.6269
162,0.637795,529177752,576945462,60670121,0.4784,0.8971,0.624
163,0.641732,525129945,580993269,59679157,0.4747,0.898,0.6211
164,0.645669,521050556,585072658,58695078,0.4711,0.8988,0.6181
165,0.649606,516948472,589174742,57717237,0.4674,0.8996,0.6151
166,0.653543,512820320,593302894,56745551,0.4636,0.9004,0.6121
167,0.65748,508544462,597578752,55754300,0.4598,0.9012,0.6089
168,0.661417,504231244,601891970,54769618,0.4559,0.902,0.6056
169,0.665354,499875703,606247511,53789227,0.4519,0.9028,0.6023
170,0.669291,495458317,610664897,52806161,0.4479,0.9037,0.599
171,0.673228,490825540,615297674,51793615,0.4437,0.9045,0.5954
172,0.677165,486200116,619923098,50799269,0.4396,0.9054,0.5918
173,0.681102,481293948,624829266,49763001,0.4351,0.9063,0.588
174,0.685039,476206140,629917074,48708909,0.4305,0.9072,0.5839
175,0.688976,470792889,635330325,47605695,0.4256,0.9082,0.5796
176,0.692913,465339962,640783252,46512601,0.4207,0.9091,0.5752
177,0.69685,459537974,646585240,45366470,0.4154,0.9101,0.5705
178,0.700787,453509900,652613314,44198963,0.41,0.9112,0.5655
179,0.704724,447050273,659072941,42977729,0.4042,0.9123,0.5602
180,0.708661,440445023,665678191,41754591,0.3982,0.9134,0.5546
181,0.712598,433090812,673032402,40430887,0.3915,0.9146,0.5483
182,0.716535,425455102,680668112,39100929,0.3846,0.9158,0.5417
183,0.720472,417095780,689027434,37685998,0.3771,0.9171,0.5344
184,0.724409,408154716,697968498,36220694,0.369,0.9185,0.5265
185,0.728346,398572979,707550235,34701568,0.3603,0.9199,0.5178
186,0.732283,388005612,718117602,33080527,0.3508,0.9214,0.5081
187,0.73622,376712072,729411142,31404759,0.3406,0.923,0.4976
188,0.740157,363885231,742237983,29582442,0.329,0.9248,0.4853
189,0.744094,349585207,756538007,27648785,0.316,0.9267,0.4713
190,0.748031,333455047,772668167,25577812,0.3015,0.9288,0.4552
191,0.751968,315299770,790823444,23388165,0.285,0.9309,0.4365
192,0.755905,294379373,811743841,21008846,0.2661,0.9334,0.4142
193,0.759842,272108432,834014782,18622290,0.246,0.9359,0.3896
194,0.763779,249134031,856989183,16320318,0.2252,0.9385,0.3633
195,0.767716,226051312,880071902,14143691,0.2044,0.9411,0.3358
196,0.771653,202212720,903910494,12038070,0.1828,0.9438,0.3063
197,0.77559,178952157,927171057,10125835,0.1618,0.9464,0.2763
198,0.779527,156511742,949611472,8390325,0.1415,0.9491,0.2463
199,0.783464,135017434,971105780,6838903,0.1221,0.9518,0.2164
200,0.787401,113730759,992392455,5399386,0.1028,0.9547,0.1856
201,0.791338,93856547,1012266667,4146644,0.0849,0.9577,0.1559
202,0.795275,74973507,1031149707,3055181,0.0678,0.9608,0.1266
203,0.799212,58387892,1047735322,2197858,0.0528,0.9637,0.1001
204,0.803149,44509495,1061613719,1550720,0.0402,0.9663,0.0773
205,0.807086,33338922,1072784292,1076994,0.0301,0.9687,0.0585
206,0.811023,24286141,1081837073,739925,0.022,0.9704,0.0429
207,0.81496,17460723,1088662491,502613,0.0158,0.972,0.0311
208,0.818897,12235617,1093887597,327973,0.0111,0.9739,0.0219
209,0.822834,8508330,1097614884,210493,0.0077,0.9759,0.0153
210,0.826771,5762388,1100360826,131065,0.0052,0.9778,0.0104
211,0.830708,3846044,1102277170,76523,0.0035,0.9805,0.0069
212,0.834645,2468900,1103654314,40897,0.0022,0.9837,0.0045
213,0.838582,1542769,1104580445,19625,0.0014,0.9874,0.0028
214,0.842519,929669,1105193545,9382,0.0008,0.99,0.0017
215,0.846456,540875,1105582339,4140,0.0005,0.9924,0.001
216,0.850393,305048,1105818166,1952,0.0003,0.9936,0.0006
217,0.85433,165826,1105957388,1051,0.0001,0.9937,0.0003
218,0.858267,87064,1106036150,488,0.0001,0.9944,0.0002
219,0.862204,43251,1106079963,233,0.0,0.9946,0.0001
220,0.866141,23124,1106100090,34,0.0,0.9985,0.0
221,0.870078,11683,1106111531,0,0.0,1.0,0.0
222,0.874015,5524,1106117690,0,0.0,1.0,0.0
223,0.877952,2517,1106120697,0,0.0,1.0,0.0
224,0.881889,1265,1106121949,0,0.0,1.0,0.0
225,0.885826,868,1106122346,0,0.0,1.0,0.0
226,0.889763,620,1106122594,0,0.0,1.0,0.0
227,0.8937,404,1106122810,0,0.0,1.0,0.0
228,0.897637,188,1106123026,0,0.0,1.0,0.0
229,0.901574,8,1106123206,0,0.0,1.0,0.0
