k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,119791164,0,306709169,1.0,0.2809,0.4386
2,0.007874,119791164,0,306709169,1.0,0.2809,0.4386
3,0.011811,119791164,0,306709169,1.0,0.2809,0.4386
4,0.015748,119791164,0,306709162,1.0,0.2809,0.4386
5,0.019685,119791164,0,306706045,1.0,0.2809,0.4386
6,0.023622,119791044,120,306630623,1.0,0.2809,0.4386
7,0.027559,119788804,2360,306164804,1.0,0.2812,0.439
8,0.031496,119780465,10699,304502528,0.9999,0.2823,0.4403
9,0.035433,119754936,36228,300395721,0.9997,0.285,0.4436
10,0.03937,119690454,100710,292773045,0.9992,0.2902,0.4497
11,0.043307,119568602,222562,281526509,0.9981,0.2981,0.4591
12,0.047244,119362463,428701,267388291,0.9964,0.3086,0.4713
13,0.051181,119076326,714838,250165151,0.994,0.3225,0.487
14,0.055118,118684130,1107034,208239126,0.9908,0.363,0.5314
15,0.059055,118200788,1590376,171457167,0.9867,0.4081,0.5774
16,0.062992,117639122,2152042,153628622,0.982,0.4337,0.6016
17,0.066929,116999692,2791472,139485066,0.9767,0.4562,0.6219
18,0.070866,116296986,3494178,127362907,0.9708,0.4773,0.64
19,0.074803,115524866,4266298,116610109,0.9644,0.4977,0.6565
20,0.07874,114724017,5067147,107375253,0.9577,0.5165,0.6711
21,0.082677,113878683,5912481,99136704,0.9506,0.5346,0.6844
22,0.086614,113001929,6789235,91821427,0.9433,0.5517,0.6962
23,0.090551,112138008,7653156,85585251,0.9361,0.5671,0.7063
24,0.094488,111259419,8531745,80040936,0.9288,0.5816,0.7153
25,0.098425,110339784,9451380,74919543,0.9211,0.5956,0.7234
26,0.102362,109423561,10367603,70385930,0.9135,0.6086,0.7305
27,0.106299,108520767,11270397,66355771,0.9059,0.6206,0.7366
28,0.110236,107638000,12153164,62764703,0.8985,0.6317,0.7418
29,0.114173,106776315,13014849,59557767,0.8914,0.6419,0.7464
30,0.11811,105900970,13890194,56549300,0.884,0.6519,0.7504
31,0.122047,105008582,14782582,53724211,0.8766,0.6615,0.754
32,0.125984,104159236,15631928,51231767,0.8695,0.6703,0.757
33,0.129921,103332454,16458710,48974961,0.8626,0.6784,0.7595
34,0.133858,102497901,17293263,46838394,0.8556,0.6864,0.7617
35,0.137795,101677618,18113546,44869357,0.8488,0.6938,0.7635
36,0.141732,100872154,18919010,43056484,0.8421,0.7008,0.765
37,0.145669,100084600,19706564,41376961,0.8355,0.7075,0.7662
38,0.149606,99315139,20476025,39821860,0.8291,0.7138,0.7671
39,0.153543,98546492,21244672,38345334,0.8227,0.7199,0.7678
40,0.15748,97812012,21979152,36998755,0.8165,0.7256,0.7684
41,0.161417,97110789,22680375,35778065,0.8107,0.7308,0.7686
42,0.165354,96431216,23359948,34648804,0.805,0.7357,0.7688
43,0.169291,95794169,23996995,33638444,0.7997,0.7401,0.7687
44,0.173228,95184009,24607155,32706985,0.7946,0.7443,0.7686
45,0.177165,94622196,25168968,31879268,0.7899,0.748,0.7684
46,0.181102,94091007,25700157,31118799,0.7855,0.7515,0.7681
47,0.185039,93607865,26183299,30447034,0.7814,0.7546,0.7678
48,0.188976,93158273,26632891,29839509,0.7777,0.7574,0.7674
49,0.192913,92755733,27035431,29311675,0.7743,0.7599,0.767
50,0.19685,92382950,27408214,28836937,0.7712,0.7621,0.7666
51,0.200787,92049452,27741712,28426007,0.7684,0.7641,0.7662
52,0.204724,91738392,28052772,28051123,0.7658,0.7658,0.7658
53,0.208661,91443830,28347334,27701944,0.7634,0.7675,0.7654
54,0.212598,91163864,28627300,27376297,0.761,0.7691,0.765
55,0.216535,90907412,28883752,27082113,0.7589,0.7705,0.7646
56,0.220472,90661311,29129853,26803015,0.7568,0.7718,0.7643
57,0.224409,90434650,29356514,26548851,0.7549,0.7731,0.7639
58,0.228346,90214781,29576383,26304981,0.7531,0.7742,0.7635
59,0.232283,90001528,29789636,26070219,0.7513,0.7754,0.7632
60,0.23622,89794328,29996836,25844459,0.7496,0.7765,0.7628
61,0.240157,89599886,30191278,25635019,0.748,0.7775,0.7625
62,0.244094,89408955,30382209,25431954,0.7464,0.7785,0.7621
63,0.248031,89222248,30568916,25234408,0.7448,0.7795,0.7618
64,0.251968,89039124,30752040,25041009,0.7433,0.7805,0.7614
65,0.255905,88865888,30925276,24861296,0.7418,0.7814,0.7611
66,0.259842,88695224,31095940,24685860,0.7404,0.7823,0.7608
67,0.263779,88526667,31264497,24513943,0.739,0.7831,0.7604
68,0.267716,88360921,31430243,24345671,0.7376,0.784,0.7601
69,0.271653,88204689,31586475,24187636,0.7363,0.7848,0.7598
70,0.27559,88043619,31747545,24026660,0.735,0.7856,0.7595
71,0.279527,87889348,31901816,23873922,0.7337,0.7864,0.7591
72,0.283464,87735898,32055266,23722969,0.7324,0.7872,0.7588
73,0.287401,87583530,32207634,23574207,0.7311,0.7879,0.7585
