k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,238463729,0,493343217,1.0,0.3259,0.4915
2,0.007874,238463729,0,493343217,1.0,0.3259,0.4915
3,0.011811,238463729,0,493343217,1.0,0.3259,0.4915
4,0.015748,238463729,0,493343217,1.0,0.3259,0.4915
5,0.019685,238463729,0,493343217,1.0,0.3259,0.4915
6,0.023622,238463729,0,493343217,1.0,0.3259,0.4915
7,0.027559,238463729,0,493343217,1.0,0.3259,0.4915
8,0.031496,238463729,0,493343217,1.0,0.3259,0.4915
9,0.035433,238463729,0,493343217,1.0,0.3259,0.4915
10,0.03937,238463729,0,493343217,1.0,0.3259,0.4915
11,0.043307,238463729,0,493343217,1.0,0.3259,0.4915
12,0.047244,238463729,0,493343217,1.0,0.3259,0.4915
13,0.051181,238463729,0,493343217,1.0,0.3259,0.4915
14,0.055118,238463729,0,493343217,1.0,0.3259,0.4915
15,0.059055,238463729,0,493343217,1.0,0.3259,0.4915
16,0.062992,238463729,0,493343217,1.0,0.3259,0.4915
17,0.066929,238459995,3734,493329093,1.0,0.3259,0.4915
18,0.070866,234755423,3708306,485823900,0.9844,0.3258,0.4896
19,0.074803,195044126,43419603,264650927,0.8179,0.4243,0.5587
20,0.07874,161044153,77419576,48062212,0.6753,0.7702,0.7196
21,0.082677,152215240,86248489,37709926,0.6383,0.8014,0.7106
22,0.086614,149599046,88864683,35638775,0.6273,0.8076,0.7062
23,0.090551,148434668,90029061,34750795,0.6225,0.8103,0.7041
24,0.094488,147740101,90723628,34246054,0.6195,0.8118,0.7028
25,0.098425,147244259,91219470,33912768,0.6175,0.8128,0.7018
26,0.102362,146866106,91597623,33666181,0.6159,0.8135,0.701
27,0.106299,146558024,91905705,33468460,0.6146,0.8141,0.7004
28,0.110236,146296959,92166770,33302098,0.6135,0.8146,0.6999
29,0.114173,146071677,92392052,33159459,0.6126,0.815,0.6994
30,0.11811,145863973,92599756,33027763,0.6117,0.8154,0.699
31,0.122047,145672965,92790764,32907370,0.6109,0.8157,0.6986
32,0.125984,145501205,92962524,32799280,0.6102,0.816,0.6982
33,0.129921,145346622,93117107,32701551,0.6095,0.8163,0.6979
34,0.133858,145199677,93264052,32609299,0.6089,0.8166,0.6976
35,0.137795,145062586,93401143,32523615,0.6083,0.8169,0.6973
36,0.141732,144935382,93528347,32444139,0.6078,0.8171,0.6971
37,0.145669,144816531,93647198,32369820,0.6073,0.8173,0.6968
38,0.149606,144704062,93759667,32299982,0.6068,0.8175,0.6966
39,0.153543,144595797,93867932,32232517,0.6064,0.8177,0.6964
40,0.15748,144493397,93970332,32168677,0.6059,0.8179,0.6961
41,0.161417,144396885,94066844,32108735,0.6055,0.8181,0.6959
42,0.165354,144302660,94161069,32050691,0.6051,0.8183,0.6957
43,0.169291,144214594,94249135,31995324,0.6048,0.8184,0.6956
44,0.173228,144127223,94336506,31941220,0.6044,0.8186,0.6954
45,0.177165,144044728,94419001,31890070,0.6041,0.8187,0.6952
46,0.181102,143963883,94499846,31839678,0.6037,0.8189,0.695
47,0.185039,143886736,94576993,31791919,0.6034,0.819,0.6949
48,0.188976,143810758,94652971,31745095,0.6031,0.8192,0.6947
49,0.192913,143738143,94725586,31700539,0.6028,0.8193,0.6946
50,0.19685,143666670,94797059,31656462,0.6025,0.8194,0.6944
51,0.200787,143598125,94865604,31614228,0.6022,0.8196,0.6943
52,0.204724,143530542,94933187,31572389,0.6019,0.8197,0.6941
53,0.208661,143463094,95000635,31531111,0.6016,0.8198,0.694
54,0.212598,143396346,95067383,31490264,0.6013,0.8199,0.6938
55,0.216535,143332366,95131363,31451505,0.6011,0.8201,0.6937
56,0.220472,143268874,95194855,31412938,0.6008,0.8202,0.6936
57,0.224409,143208408,95255321,31375862,0.6005,0.8203,0.6934
58,0.228346,143147805,95315924,31339244,0.6003,0.8204,0.6933
59,0.232283,143087831,95375898,31302947,0.6,0.8205,0.6932
60,0.23622,143027918,95435811,31266760,0.5998,0.8206,0.693
61,0.240157,142970188,95493541,31232284,0.5995,0.8207,0.6929
62,0.244094,142912898,95550831,31197785,0.5993,0.8208,0.6928
63,0.248031,142855577,95608152,31163679,0.5991,0.8209,0.6927
64,0.251968,142798339,95665390,31129580,0.5988,0.821,0.6925
65,0.255905,142743537,95720192,31097259,0.5986,0.8211,0.6924
66,0.259842,142688602,95775127,31064754,0.5984,0.8212,0.6923
67,0.263779,142633821,95829908,31032406,0.5981,0.8213,0.6922
68,0.267716,142578982,95884747,31000203,0.5979,0.8214,0.6921
69,0.271653,142525841,95937888,30969027,0.5977,0.8215,0.6919
70,0.27559,142472196,95991533,30937536,0.5975,0.8216,0.6918
71,0.279527,142419342,96044387,30907059,0.5972,0.8217,0.6917
72,0.283464,142366784,96096945,30876464,0.597,0.8218,0.6916
73,0.287401,142314604,96149125,30845465,0.5968,0.8219,0.6915
74,0.291338,142262838,96200891,30815469,0.5966,0.822,0.6914
75,0.295275,142209723,96254006,30784667,0.5964,0.822,0.6912
76,0.299212,142159168,96304561,30755262,0.5961,0.8221,0.6911
77,0.303149,142107009,96356720,30725024,0.5959,0.8222,0.691
78,0.307086,142056316,96407413,30695937,0.5957,0.8223,0.6909
79,0.311023,142005074,96458655,30666148,0.5955,0.8224,0.6908
80,0.31496,141954761,96508968,30637111,0.5953,0.8225,0.6907
81,0.318897,141903110,96560619,30607371,0.5951,0.8226,0.6906
82,0.322834,141852541,96611188,30578255,0.5949,0.8227,0.6905
83,0.326771,141802232,96661497,30549387,0.5946,0.8227,0.6903
84,0.330708,141752863,96710866,30521270,0.5944,0.8228,0.6902
85,0.334645,141701726,96762003,30492125,0.5942,0.8229,0.6901
86,0.338582,141651792,96811937,30463497,0.594,0.823,0.69
87,0.342519,141601395,96862334,30434769,0.5938,0.8231,0.6899
88,0.346456,141550722,96913007,30406125,0.5936,0.8232,0.6898
89,0.350393,141499649,96964080,30377130,0.5934,0.8233,0.6897
90,0.35433,141449971,97013758,30348958,0.5932,0.8233,0.6896
91,0.358267,141399493,97064236,30320653,0.593,0.8234,0.6894
92,0.362204,141348813,97114916,30292079,0.5927,0.8235,0.6893
93,0.366141,141297194,97166535,30263311,0.5925,0.8236,0.6892
94,0.370078,141245302,97218427,30233931,0.5923,0.8237,0.6891
95,0.374015,141193930,97269799,30204950,0.5921,0.8238,0.689
96,0.377952,141140731,97322998,30175024,0.5919,0.8239,0.6889
97,0.381889,141087654,97376075,30145336,0.5917,0.824,0.6887
98,0.385826,141034302,97429427,30116094,0.5914,0.824,0.6886
99,0.389763,140979887,97483842,30085779,0.5912,0.8241,0.6885
100,0.3937,140924885,97538844,30055320,0.591,0.8242,0.6884
101,0.397637,140868620,97595109,30024394,0.5907,0.8243,0.6882
102,0.401574,140812403,97651326,29993424,0.5905,0.8244,0.6881
103,0.405511,140754874,97708855,29961693,0.5903,0.8245,0.688
104,0.409448,140696169,97767560,29929082,0.59,0.8246,0.6879
105,0.413385,140636065,97827664,29895861,0.5898,0.8247,0.6877
106,0.417322,140574907,97888822,29862395,0.5895,0.8248,0.6876
107,0.421259,140511160,97952569,29827937,0.5892,0.8249,0.6874
108,0.425196,140445643,98018086,29792333,0.589,0.825,0.6873
