k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,6528648,0,8313238,1.0,0.4399,0.611
2,0.007874,6528648,0,8313238,1.0,0.4399,0.611
3,0.011811,6528648,0,8313238,1.0,0.4399,0.611
4,0.015748,6528648,0,8313238,1.0,0.4399,0.611
5,0.019685,6528648,0,8313238,1.0,0.4399,0.611
6,0.023622,6528648,0,8313238,1.0,0.4399,0.611
7,0.027559,6528648,0,8313238,1.0,0.4399,0.611
8,0.031496,6528648,0,8313238,1.0,0.4399,0.611
9,0.035433,6528648,0,8313238,1.0,0.4399,0.611
10,0.03937,6528648,0,8313238,1.0,0.4399,0.611
11,0.043307,6528648,0,8313238,1.0,0.4399,0.611
12,0.047244,6528648,0,8313238,1.0,0.4399,0.611
13,0.051181,6528648,0,8313238,1.0,0.4399,0.611
14,0.055118,6528648,0,8313238,1.0,0.4399,0.611
15,0.059055,6528648,0,8313238,1.0,0.4399,0.611
16,0.062992,6528648,0,8313238,1.0,0.4399,0.611
17,0.066929,6528648,0,8313238,1.0,0.4399,0.611
18,0.070866,6528648,0,8313238,1.0,0.4399,0.611
19,0.074803,6528648,0,8313238,1.0,0.4399,0.611
20,0.07874,6528648,0,8313238,1.0,0.4399,0.611
21,0.082677,6528648,0,8313238,1.0,0.4399,0.611
22,0.086614,6528648,0,8313238,1.0,0.4399,0.611
23,0.090551,6528648,0,8313238,1.0,0.4399,0.611
24,0.094488,6528648,0,8313238,1.0,0.4399,0.611
25,0.098425,6528648,0,8313232,1.0,0.4399,0.611
26,0.102362,6528648,0,8313195,1.0,0.4399,0.611
27,0.106299,6528447,201,8313022,1.0,0.4399,0.611
28,0.110236,6527758,890,8311913,0.9999,0.4399,0.611
29,0.114173,6525952,2696,8307837,0.9996,0.4399,0.611
30,0.11811,6521550,7098,8292106,0.9989,0.4402,0.6111
31,0.122047,6513290,15358,8248923,0.9976,0.4412,0.6118
32,0.125984,6498810,29838,8139388,0.9954,0.444,0.6141
33,0.129921,6471851,56797,7905174,0.9913,0.4502,0.6191
34,0.133858,6427421,101227,7500228,0.9845,0.4615,0.6284
35,0.137795,6369933,158715,6939728,0.9757,0.4786,0.6422
36,0.141732,6295362,233286,6302764,0.9643,0.4997,0.6583
37,0.145669,6217761,310887,5682762,0.9524,0.5225,0.6748
38,0.149606,6138808,389840,5162760,0.9403,0.5432,0.6886
39,0.153543,6052015,476633,4701929,0.927,0.5628,0.7004
40,0.15748,5962605,566043,4310862,0.9133,0.5804,0.7097
41,0.161417,5873721,654927,3976974,0.8997,0.5963,0.7172
42,0.165354,5782253,746395,3678564,0.8857,0.6112,0.7233
43,0.169291,5692651,835997,3416484,0.8719,0.6249,0.7281
44,0.173228,5604036,924612,3172161,0.8584,0.6385,0.7323
45,0.177165,5519201,1009447,2961711,0.8454,0.6508,0.7354
46,0.181102,5436309,1092339,2771482,0.8327,0.6623,0.7378
47,0.185039,5359900,1168748,2608737,0.821,0.6726,0.7394
48,0.188976,5285275,1243373,2463719,0.8096,0.6821,0.7404
49,0.192913,5214989,1313659,2337598,0.7988,0.6905,0.7407
50,0.19685,5146666,1381982,2222762,0.7883,0.6984,0.7406
51,0.200787,5085024,1443624,2124323,0.7789,0.7053,0.7403
52,0.204724,5027834,1500814,2037360,0.7701,0.7116,0.7397
53,0.208661,4974433,1554215,1960718,0.7619,0.7173,0.7389
54,0.212598,4925597,1603051,1893249,0.7545,0.7224,0.7381
55,0.216535,4882332,1646316,1836525,0.7478,0.7267,0.7371
56,0.220472,4843816,1684832,1786657,0.7419,0.7305,0.7362
57,0.224409,4811145,1717503,1745300,0.7369,0.7338,0.7354
58,0.228346,4782618,1746030,1709661,0.7326,0.7367,0.7346
59,0.232283,4758098,1770550,1679597,0.7288,0.7391,0.7339
60,0.23622,4737023,1791625,1654613,0.7256,0.7411,0.7333
61,0.240157,4719050,1809598,1633940,0.7228,0.7428,0.7327
62,0.244094,4702597,1826051,1615444,0.7203,0.7443,0.7321
63,0.248031,4687718,1840930,1599036,0.718,0.7456,0.7316
64,0.251968,4673940,1854708,1583985,0.7159,0.7469,0.7311
65,0.255905,4661710,1866938,1570454,0.714,0.748,0.7306
66,0.259842,4650044,1878604,1557999,0.7123,0.749,0.7302
67,0.263779,4639079,1889569,1545956,0.7106,0.75,0.7298
