k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,599799,0,1240914,1.0,0.3259,0.4915
2,0.007874,599799,0,1240914,1.0,0.3259,0.4915
3,0.011811,599799,0,1240914,1.0,0.3259,0.4915
4,0.015748,599799,0,1240914,1.0,0.3259,0.4915
5,0.019685,599799,0,1240914,1.0,0.3259,0.4915
6,0.023622,599799,0,1240914,1.0,0.3259,0.4915
7,0.027559,599799,0,1240914,1.0,0.3259,0.4915
8,0.031496,599799,0,1240914,1.0,0.3259,0.4915
9,0.035433,599799,0,1240914,1.0,0.3259,0.4915
10,0.03937,599799,0,1240914,1.0,0.3259,0.4915
11,0.043307,599799,0,1240914,1.0,0.3259,0.4915
12,0.047244,599799,0,1240914,1.0,0.3259,0.4915
13,0.051181,599799,0,1240914,1.0,0.3259,0.4915
14,0.055118,599799,0,1240914,1.0,0.3259,0.4915
15,0.059055,599799,0,1240914,1.0,0.3259,0.4915
16,0.062992,599799,0,1240914,1.0,0.3259,0.4915
17,0.066929,599799,0,1240914,1.0,0.3259,0.4915
18,0.070866,599799,0,1240914,1.0,0.3259,0.4915
19,0.074803,599799,0,1240914,1.0,0.3259,0.4915
20,0.07874,599799,0,1240914,1.0,0.3259,0.4915
21,0.082677,599799,0,1240914,1.0,0.3259,0.4915
22,0.086614,599799,0,1240914,1.0,0.3259,0.4915
23,0.090551,599799,0,1240914,1.0,0.3259,0.4915
24,0.094488,599799,0,1240914,1.0,0.3259,0.4915
25,0.098425,599799,0,1240914,1.0,0.3259,0.4915
26,0.102362,599799,0,1240914,1.0,0.3259,0.4915
27,0.106299,599799,0,1240914,1.0,0.3259,0.4915
28,0.110236,599799,0,1240914,1.0,0.3259,0.4915
29,0.114173,599799,0,1240914,1.0,0.3259,0.4915
30,0.11811,599799,0,1240914,1.0,0.3259,0.4915
31,0.122047,599799,0,1240773,1.0,0.3259,0.4916
32,0.125984,599799,0,1239679,1.0,0.3261,0.4918
33,0.129921,599680,119,1233083,0.9998,0.3272,0.493
34,0.133858,599462,337,1228109,0.9994,0.328,0.4939
35,0.137795,599210,589,1221086,0.999,0.3292,0.4952
36,0.141732,598631,1168,1211895,0.9981,0.3306,0.4967
37,0.145669,597562,2237,1203638,0.9963,0.3318,0.4978
38,0.149606,596779,3020,1194629,0.995,0.3331,0.4991
39,0.153543,596199,3600,1182096,0.994,0.3353,0.5014
40,0.15748,595420,4379,1167626,0.9927,0.3377,0.504
41,0.161417,594469,5330,1148922,0.9911,0.341,0.5074
42,0.165354,593433,6366,1125093,0.9894,0.3453,0.5119
43,0.169291,592086,7713,1094598,0.9871,0.351,0.5179
44,0.173228,590545,9254,1058946,0.9846,0.358,0.5251
45,0.177165,588513,11286,1015124,0.9812,0.367,0.5342
46,0.181102,585815,13984,965463,0.9767,0.3776,0.5447
47,0.185039,582501,17298,908723,0.9712,0.3906,0.5571
48,0.188976,578440,21359,851155,0.9644,0.4046,0.5701
49,0.192913,573867,25932,791617,0.9568,0.4203,0.584
50,0.19685,568238,31561,730222,0.9474,0.4376,0.5987
51,0.200787,561354,38445,670204,0.9359,0.4558,0.613
52,0.204724,553978,45821,615630,0.9236,0.4736,0.6262
53,0.208661,545558,54241,558430,0.9096,0.4942,0.6404
54,0.212598,536852,62947,507752,0.8951,0.5139,0.6529
55,0.216535,527469,72330,462545,0.8794,0.5328,0.6636
56,0.220472,517397,82402,421904,0.8626,0.5508,0.6723
57,0.224409,506923,92876,384257,0.8452,0.5688,0.68
58,0.228346,496843,102956,352795,0.8283,0.5848,0.6856
59,0.232283,485701,114098,321673,0.8098,0.6016,0.6903
60,0.23622,475241,124558,296591,0.7923,0.6157,0.693
61,0.240157,464859,134940,274110,0.775,0.6291,0.6945
62,0.244094,454604,145195,254218,0.7579,0.6414,0.6948
63,0.248031,444612,155187,236785,0.7413,0.6525,0.6941
64,0.251968,435281,164518,222089,0.7257,0.6622,0.6925
65,0.255905,426704,173095,209244,0.7114,0.671,0.6906
66,0.259842,419525,180274,199549,0.6994,0.6777,0.6884
67,0.263779,412552,187247,190454,0.6878,0.6842,0.686
68,0.267716,406987,192812,183320,0.6785,0.6894,0.684
69,0.271653,401991,197808,177094,0.6702,0.6942,0.682
70,0.27559,397751,202048,172067,0.6631,0.698,0.6801
71,0.279527,394243,205556,167814,0.6573,0.7014,0.6786
72,0.283464,391203,208596,164154,0.6522,0.7044,0.6773
73,0.287401,388488,211311,160897,0.6477,0.7071,0.6761
74,0.291338,386007,213792,157954,0.6436,0.7096,0.675
75,0.295275,383660,216139,155208,0.6396,0.712,0.6739
76,0.299212,381562,218237,152781,0.6361,0.7141,0.6729
77,0.303149,379512,220287,150452,0.6327,0.7161,0.6718
78,0.307086,377538,222261,148314,0.6294,0.718,0.6708
79,0.311023,375686,224113,146193,0.6264,0.7199,0.6699
80,0.31496,373955,225844,144356,0.6235,0.7215,0.6689
81,0.318897,372266,227533,142569,0.6207,0.7231,0.668
82,0.322834,370649,229150,140849,0.618,0.7246,0.6671
83,0.326771,369087,230712,139242,0.6154,0.7261,0.6661
84,0.330708,367581,232218,137723,0.6128,0.7274,0.6652
85,0.334645,366125,233674,136239,0.6104,0.7288,0.6644
86,0.338582,364639,235160,134846,0.6079,0.73,0.6634
87,0.342519,363256,236543,133402,0.6056,0.7314,0.6626
88,0.346456,361856,237943,131974,0.6033,0.7328,0.6618
89,0.350393,360436,239363,130645,0.6009,0.734,0.6608
90,0.35433,359109,240690,129429,0.5987,0.7351,0.6599
91,0.358267,357764,242035,128215,0.5965,0.7362,0.659
92,0.362204,356496,243303,126982,0.5944,0.7374,0.6582
93,0.366141,355243,244556,125824,0.5923,0.7384,0.6573
94,0.370078,353979,245820,124561,0.5902,0.7397,0.6565
95,0.374015,352727,247072,123510,0.5881,0.7407,0.6556
96,0.377952,351452,248347,122345,0.5859,0.7418,0.6547
97,0.381889,350245,249554,121220,0.5839,0.7429,0.6539
98,0.385826,349084,250715,120150,0.582,0.7439,0.6531
99,0.389763,347865,251934,119108,0.58,0.7449,0.6522
100,0.3937,346664,253135,118027,0.578,0.746,0.6513
101,0.397637,345459,254340,116971,0.576,0.7471,0.6504
102,0.401574,344177,255622,115928,0.5738,0.748,0.6494
103,0.405511,342963,256836,114903,0.5718,0.749,0.6485
104,0.409448,341673,258126,113922,0.5696,0.7499,0.6475
105,0.413385,340422,259377,112868,0.5676,0.751,0.6465
106,0.417322,339182,260617,111846,0.5655,0.752,0.6456
107,0.421259,337962,261837,110843,0.5635,0.753,0.6446
108,0.425196,336661,263138,109755,0.5613,0.7541,0.6436
109,0.429133,335364,264435,108743,0.5591,0.7551,0.6425
110,0.43307,334036,265763,107717,0.5569,0.7562,0.6414
111,0.437007,332672,267127,106671,0.5546,0.7572,0.6403
112,0.440944,331285,268514,105644,0.5523,0.7582,0.6391
113,0.444881,329883,269916,104556,0.55,0.7593,0.6379
114,0.448818,328553,271246,103508,0.5478,0.7604,0.6368
115,0.452755,327098,272701,102442,0.5453,0.7615,0.6355
116,0.456692,325685,274114,101304,0.543,0.7627,0.6344
117,0.460629,324144,275655,100182,0.5404,0.7639,0.633
118,0.464566,322530,277269,99027,0.5377,0.7651,0.6316
119,0.468503,320987,278812,97845,0.5352,0.7664,0.6302
120,0.47244,319222,280577,96550,0.5322,0.7678,0.6287
121,0.476377,317398,282401,95326,0.5292,0.769,0.6269
122,0.480314,315341,284458,94001,0.5257,0.7704,0.625
123,0.484251,313096,286703,92512,0.522,0.7719,0.6228
124,0.488188,310379,289420,90873,0.5175,0.7735,0.6201
125,0.492125,307415,292384,89084,0.5125,0.7753,0.6171
126,0.496062,304085,295714,87187,0.507,0.7772,0.6136
127,0.5,300328,299471,84985,0.5007,0.7794,0.6097
128,0.503937,295521,304278,82308,0.4927,0.7822,0.6046
129,0.507874,287576,312223,77721,0.4795,0.7872,0.596
130,0.511811,273273,326526,68804,0.4556,0.7989,0.5803
131,0.515748,259342,340457,59597,0.4324,0.8131,0.5646
132,0.519685,249181,350618,53581,0.4154,0.823,0.5522
133,0.523622,241094,358705,49410,0.402,0.8299,0.5416
134,0.527559,234288,365511,46061,0.3906,0.8357,0.5324
135,0.531496,228188,371611,43282,0.3804,0.8406,0.5238
136,0.535433,222415,377384,40784,0.3708,0.845,0.5154
137,0.53937,217066,382733,38498,0.3619,0.8494,0.5075
138,0.543307,211922,387877,36439,0.3533,0.8533,0.4997
139,0.547244,206939,392860,34497,0.345,0.8571,0.492
140,0.551181,201939,397860,32679,0.3367,0.8607,0.484
141,0.555118,196950,402849,30950,0.3284,0.8642,0.4759
142,0.559055,192093,407706,29309,0.3203,0.8676,0.4678
143,0.562992,187254,412545,27679,0.3122,0.8712,0.4597
144,0.566929,182261,417538,26147,0.3039,0.8745,0.451
145,0.570866,177365,422434,24672,0.2957,0.8779,0.4424
146,0.574803,172476,427323,23250,0.2876,0.8812,0.4336
147,0.57874,167473,432326,21813,0.2792,0.8848,0.4245
148,0.582677,162371,437428,20449,0.2707,0.8881,0.4149
149,0.586614,157158,442641,19106,0.262,0.8916,0.405
150,0.590551,152089,447710,17905,0.2536,0.8947,0.3951
151,0.594488,146910,452889,16691,0.2449,0.898,0.3849
152,0.598425,141872,457927,15542,0.2365,0.9013,0.3747
153,0.602362,136813,462986,14533,0.2281,0.904,0.3643
154,0.606299,131689,468110,13570,0.2196,0.9066,0.3535
155,0.610236,126644,473155,12685,0.2111,0.909,0.3427
156,0.614173,121430,478369,11802,0.2025,0.9114,0.3313
157,0.61811,116258,483541,10874,0.1938,0.9145,0.3199
158,0.622047,110959,488840,9998,0.185,0.9173,0.3079
159,0.625984,105699,494100,9145,0.1762,0.9204,0.2958
160,0.629921,100568,499231,8336,0.1677,0.9235,0.2838
161,0.633858,95759,504040,7548,0.1597,0.9269,0.2724
162,0.637795,90642,509157,6866,0.1511,0.9296,0.26
163,0.641732,85503,514296,6203,0.1426,0.9324,0.2473
164,0.645669,80193,519606,5531,0.1337,0.9355,0.234
165,0.649606,74919,524880,4926,0.1249,0.9383,0.2205
166,0.653543,69550,530249,4389,0.116,0.9406,0.2065
167,0.65748,64421,535378,3848,0.1074,0.9436,0.1929
168,0.661417,59755,540044,3327,0.0996,0.9473,0.1803
169,0.665354,55338,544461,2852,0.0923,0.951,0.1682
170,0.669291,51028,548771,2394,0.0851,0.9552,0.1562
171,0.673228,46636,553163,2042,0.0778,0.9581,0.1438
172,0.677165,42512,557287,1748,0.0709,0.9605,0.132
173,0.681102,37984,561815,1515,0.0633,0.9616,0.1188
174,0.685039,33441,566358,1292,0.0558,0.9628,0.1054
175,0.688976,29153,570646,1090,0.0486,0.964,0.0925
176,0.692913,25378,574421,865,0.0423,0.967,0.0811
177,0.69685,21775,578024,643,0.0363,0.9713,0.07
178,0.700787,18533,581266,455,0.0309,0.976,0.0599
179,0.704724,15891,583908,322,0.0265,0.9801,0.0516
180,0.708661,13494,586305,218,0.0225,0.9841,0.044
181,0.712598,11112,588687,143,0.0185,0.9873,0.0364
182,0.716535,9353,590446,89,0.0156,0.9906,0.0307
183,0.720472,7823,591976,39,0.013,0.995,0.0257
184,0.724409,6441,593358,23,0.0107,0.9964,0.0212
185,0.728346,5562,594237,16,0.0093,0.9971,0.0184
186,0.732283,4763,595036,9,0.0079,0.9981,0.0158
187,0.73622,4042,595757,2,0.0067,0.9995,0.0134
188,0.740157,3474,596325,0,0.0058,1.0,0.0115
189,0.744094,2829,596970,0,0.0047,1.0,0.0094
190,0.748031,2094,597705,0,0.0035,1.0,0.007
191,0.751968,1338,598461,0,0.0022,1.0,0.0045
192,0.755905,864,598935,0,0.0014,1.0,0.0029
193,0.759842,476,599323,0,0.0008,1.0,0.0016
194,0.763779,203,599596,0,0.0003,1.0,0.0007
195,0.767716,84,599715,0,0.0001,1.0,0.0003
196,0.771653,33,599766,0,0.0001,1.0,0.0001
197,0.77559,2,599797,0,0.0,1.0,0.0
198,0.779527,0,599799,0,0.0,nan,
199,0.783464,0,599799,0,0.0,nan,
200,0.787401,0,599799,0,0.0,nan,
201,0.791338,0,599799,0,0.0,nan,
202,0.795275,0,599799,0,0.0,nan,
203,0.799212,0,599799,0,0.0,nan,
204,0.803149,0,599799,0,0.0,nan,
205,0.807086,0,599799,0,0.0,nan,
206,0.811023,0,599799,0,0.0,nan,
207,0.81496,0,599799,0,0.0,nan,
208,0.818897,0,599799,0,0.0,nan,
209,0.822834,0,599799,0,0.0,nan,
210,0.826771,0,599799,0,0.0,nan,
211,0.830708,0,599799,0,0.0,nan,
212,0.834645,0,599799,0,0.0,nan,
213,0.838582,0,599799,0,0.0,nan,
214,0.842519,0,599799,0,0.0,nan,
215,0.846456,0,599799,0,0.0,nan,
216,0.850393,0,599799,0,0.0,nan,
217,0.85433,0,599799,0,0.0,nan,
218,0.858267,0,599799,0,0.0,nan,
219,0.862204,0,599799,0,0.0,nan,
220,0.866141,0,599799,0,0.0,nan,
221,0.870078,0,599799,0,0.0,nan,
222,0.874015,0,599799,0,0.0,nan,
223,0.877952,0,599799,0,0.0,nan,
224,0.881889,0,599799,0,0.0,nan,
225,0.885826,0,599799,0,0.0,nan,
226,0.889763,0,599799,0,0.0,nan,
227,0.8937,0,599799,0,0.0,nan,
228,0.897637,0,599799,0,0.0,nan,
229,0.901574,0,599799,0,0.0,nan,
230,0.905511,0,599799,0,0.0,nan,
231,0.909448,0,599799,0,0.0,nan,
232,0.913385,0,599799,0,0.0,nan,
233,0.917322,0,599799,0,0.0,nan,
234,0.921259,0,599799,0,0.0,nan,
235,0.925196,0,599799,0,0.0,nan,
236,0.929133,0,599799,0,0.0,nan,
237,0.93307,0,599799,0,0.0,nan,
238,0.937007,0,599799,0,0.0,nan,
239,0.940944,0,599799,0,0.0,nan,
240,0.944881,0,599799,0,0.0,nan,
241,0.948818,0,599799,0,0.0,nan,
242,0.952755,0,599799,0,0.0,nan,
243,0.956692,0,599799,0,0.0,nan,
244,0.960629,0,599799,0,0.0,nan,
245,0.964566,0,599799,0,0.0,nan,
246,0.968503,0,599799,0,0.0,nan,
247,0.97244,0,599799,0,0.0,nan,
248,0.976377,0,599799,0,0.0,nan,
249,0.980314,0,599799,0,0.0,nan,
250,0.984251,0,599799,0,0.0,nan,
251,0.988188,0,599799,0,0.0,nan,
252,0.992125,0,599799,0,0.0,nan,
253,0.996062,0,599799,0,0.0,nan,
254,1.0,0,599799,0,0.0,nan,
