k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,3761880,0,5479590,1.0,0.4071,0.5786
2,0.007874,3761880,0,5479590,1.0,0.4071,0.5786
3,0.011811,3761880,0,5479590,1.0,0.4071,0.5786
4,0.015748,3761880,0,5479590,1.0,0.4071,0.5786
5,0.019685,3761880,0,5479590,1.0,0.4071,0.5786
6,0.023622,3761880,0,5479590,1.0,0.4071,0.5786
7,0.027559,3761880,0,5479590,1.0,0.4071,0.5786
8,0.031496,3761880,0,5479590,1.0,0.4071,0.5786
9,0.035433,3761880,0,5479590,1.0,0.4071,0.5786
10,0.03937,3761880,0,5479590,1.0,0.4071,0.5786
11,0.043307,3761880,0,5479590,1.0,0.4071,0.5786
12,0.047244,3761880,0,5479590,1.0,0.4071,0.5786
13,0.051181,3761880,0,5479590,1.0,0.4071,0.5786
14,0.055118,3761880,0,5479590,1.0,0.4071,0.5786
15,0.059055,3761880,0,5479590,1.0,0.4071,0.5786
16,0.062992,3761880,0,5479590,1.0,0.4071,0.5786
17,0.066929,3761880,0,5479590,1.0,0.4071,0.5786
18,0.070866,3761880,0,5479590,1.0,0.4071,0.5786
19,0.074803,3761880,0,5479590,1.0,0.4071,0.5786
20,0.07874,3761880,0,5479590,1.0,0.4071,0.5786
21,0.082677,3761880,0,5479590,1.0,0.4071,0.5786
22,0.086614,3761880,0,5479590,1.0,0.4071,0.5786
23,0.090551,3761880,0,5479590,1.0,0.4071,0.5786
24,0.094488,3761880,0,5479590,1.0,0.4071,0.5786
25,0.098425,3761880,0,5479590,1.0,0.4071,0.5786
26,0.102362,3761880,0,5479590,1.0,0.4071,0.5786
27,0.106299,3761880,0,5479440,1.0,0.4071,0.5786
28,0.110236,3761880,0,5477964,1.0,0.4071,0.5787
29,0.114173,3761865,15,5473575,1.0,0.4073,0.5789
30,0.11811,3761845,35,5462462,1.0,0.4078,0.5794
31,0.122047,3761687,193,5442350,0.9999,0.4087,0.5802
32,0.125984,3761371,509,5408661,0.9999,0.4102,0.5817
33,0.129921,3760786,1094,5348344,0.9997,0.4129,0.5844
34,0.133858,3759505,2375,5244204,0.9994,0.4176,0.589
35,0.137795,3756650,5230,5082097,0.9986,0.425,0.5963
36,0.141732,3751271,10609,4846208,0.9972,0.4363,0.607
37,0.145669,3742291,19589,4554823,0.9948,0.451,0.6207
38,0.149606,3728147,33733,4240376,0.991,0.4679,0.6356
39,0.153543,3708324,53556,3914360,0.9858,0.4865,0.6515
40,0.15748,3682866,79014,3598679,0.979,0.5058,0.667
41,0.161417,3652396,109484,3306800,0.9709,0.5248,0.6813
42,0.165354,3616592,145288,3027037,0.9614,0.5444,0.6951
43,0.169291,3576733,185147,2770231,0.9508,0.5635,0.7076
44,0.173228,3531214,230666,2530644,0.9387,0.5825,0.7189
45,0.177165,3483752,278128,2320780,0.9261,0.6002,0.7283
46,0.181102,3433060,328820,2131864,0.9126,0.6169,0.7362
47,0.185039,3382033,379847,1971134,0.899,0.6318,0.7421
48,0.188976,3329941,431939,1826311,0.8852,0.6458,0.7468
49,0.192913,3279118,482762,1698995,0.8717,0.6587,0.7504
50,0.19685,3228119,533761,1583169,0.8581,0.6709,0.7531
51,0.200787,3179485,582395,1482242,0.8452,0.682,0.7549
52,0.204724,3131477,630403,1391005,0.8324,0.6924,0.756
53,0.208661,3085836,676044,1310876,0.8203,0.7019,0.7565
54,0.212598,3042986,718894,1240179,0.8089,0.7105,0.7565
55,0.216535,3004923,756957,1181206,0.7988,0.7178,0.7561
56,0.220472,2970117,791763,1129892,0.7895,0.7244,0.7556
57,0.224409,2939890,821990,1087347,0.7815,0.73,0.7549
58,0.228346,2912750,849130,1050391,0.7743,0.735,0.7541
59,0.232283,2888717,873163,1019202,0.7679,0.7392,0.7533
60,0.23622,2868011,893869,993357,0.7624,0.7427,0.7524
61,0.240157,2850867,911013,972997,0.7578,0.7455,0.7516
62,0.244094,2835760,926120,956098,0.7538,0.7479,0.7508
63,0.248031,2822427,939453,941682,0.7503,0.7498,0.75
64,0.251968,2810393,951487,928710,0.7471,0.7516,0.7493
65,0.255905,2799608,962272,917782,0.7442,0.7531,0.7486
66,0.259842,2789747,972133,907606,0.7416,0.7545,0.748
67,0.263779,2780203,981677,898238,0.739,0.7558,0.7473
68,0.267716,2771267,990613,889217,0.7367,0.7571,0.7467
69,0.271653,2763286,998594,881149,0.7345,0.7582,0.7462
70,0.27559,2755438,1006442,873328,0.7325,0.7593,0.7457
71,0.279527,2747746,1014134,865960,0.7304,0.7604,0.7451
72,0.283464,2740474,1021406,858990,0.7285,0.7614,0.7446
73,0.287401,2733367,1028513,852210,0.7266,0.7623,0.744
74,0.291338,2726489,1035391,845865,0.7248,0.7632,0.7435
75,0.295275,2719782,1042098,839505,0.723,0.7641,0.743
76,0.299212,2713468,1048412,833575,0.7213,0.765,0.7425
77,0.303149,2706976,1054904,827670,0.7196,0.7658,0.742
78,0.307086,2700866,1061014,822162,0.718,0.7666,0.7415
79,0.311023,2694855,1067025,816818,0.7164,0.7674,0.741
80,0.31496,2689217,1072663,811671,0.7149,0.7682,0.7405
81,0.318897,2683570,1078310,806733,0.7134,0.7689,0.7401
82,0.322834,2677903,1083977,801936,0.7119,0.7695,0.7396
83,0.326771,2672553,1089327,797120,0.7104,0.7703,0.7391
84,0.330708,2667316,1094564,792487,0.709,0.7709,0.7387
85,0.334645,2662109,1099771,788015,0.7077,0.7716,0.7382
86,0.338582,2657121,1104759,783630,0.7063,0.7723,0.7378
87,0.342519,2652008,1109872,779359,0.705,0.7729,0.7374
88,0.346456,2647046,1114834,775045,0.7036,0.7735,0.7369
89,0.350393,2642085,1119795,770909,0.7023,0.7741,0.7365
90,0.35433,2637221,1124659,766812,0.701,0.7747,0.736
91,0.358267,2632503,1129377,762813,0.6998,0.7753,0.7356
92,0.362204,2627757,1134123,758914,0.6985,0.7759,0.7352
93,0.366141,2623047,1138833,754920,0.6973,0.7765,0.7348
94,0.370078,2618294,1143586,751018,0.696,0.7771,0.7343
95,0.374015,2613606,1148274,747203,0.6948,0.7777,0.7339
96,0.377952,2608821,1153059,743479,0.6935,0.7782,0.7334
97,0.381889,2604126,1157754,739660,0.6922,0.7788,0.733
98,0.385826,2599507,1162373,736003,0.691,0.7793,0.7325
99,0.389763,2594806,1167074,732363,0.6898,0.7799,0.7321
100,0.3937,2590168,1171712,728622,0.6885,0.7805,0.7316
101,0.397637,2585427,1176453,725022,0.6873,0.781,0.7311
102,0.401574,2580661,1181219,721310,0.686,0.7816,0.7307
103,0.405511,2575885,1185995,717708,0.6847,0.7821,0.7302
104,0.409448,2571178,1190702,714062,0.6835,0.7826,0.7297
105,0.413385,2566381,1195499,710575,0.6822,0.7832,0.7292
106,0.417322,2561628,1200252,707062,0.6809,0.7837,0.7287
107,0.421259,2556703,1205177,703347,0.6796,0.7843,0.7282
108,0.425196,2551859,1210021,699781,0.6783,0.7848,0.7277
109,0.429133,2546978,1214902,696166,0.677,0.7853,0.7272
110,0.43307,2541987,1219893,692654,0.6757,0.7859,0.7266
111,0.437007,2536774,1225106,688812,0.6743,0.7865,0.7261
112,0.440944,2531471,1230409,685152,0.6729,0.787,0.7255
113,0.444881,2526090,1235790,681423,0.6715,0.7876,0.7249
114,0.448818,2520607,1241273,677519,0.67,0.7882,0.7243
115,0.452755,2515062,1246818,673642,0.6686,0.7887,0.7237
116,0.456692,2509509,1252371,669687,0.6671,0.7894,0.7231
117,0.460629,2503772,1258108,665572,0.6656,0.79,0.7225
118,0.464566,2497544,1264336,661314,0.6639,0.7906,0.7218
119,0.468503,2491082,1270798,656901,0.6622,0.7913,0.721
120,0.47244,2484249,1277631,652338,0.6604,0.792,0.7202
121,0.476377,2477002,1284878,647600,0.6584,0.7927,0.7194
122,0.480314,2468912,1292968,642324,0.6563,0.7935,0.7184
123,0.484251,2460200,1301680,636613,0.654,0.7944,0.7174
124,0.488188,2450269,1311611,630245,0.6513,0.7954,0.7162
125,0.492125,2439088,1322792,622912,0.6484,0.7966,0.7149
126,0.496062,2425336,1336544,614345,0.6447,0.7979,0.7132
