k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,4155280795,0,10762484800,1.0,0.2785,0.4357
2,0.007874,4155280795,0,10762484800,1.0,0.2785,0.4357
3,0.011811,4155280795,0,10762484800,1.0,0.2785,0.4357
4,0.015748,4155280795,0,10762484800,1.0,0.2785,0.4357
5,0.019685,4155280795,0,10762484800,1.0,0.2785,0.4357
6,0.023622,4155280795,0,10762484800,1.0,0.2785,0.4357
7,0.027559,4155280795,0,10762484800,1.0,0.2785,0.4357
8,0.031496,4155280795,0,10762484800,1.0,0.2785,0.4357
9,0.035433,4155280795,0,10762484800,1.0,0.2785,0.4357
10,0.03937,4155280795,0,10762484800,1.0,0.2785,0.4357
11,0.043307,4155280795,0,10762484800,1.0,0.2785,0.4357
12,0.047244,4155280795,0,10762484800,1.0,0.2785,0.4357
13,0.051181,4155280795,0,10762484800,1.0,0.2785,0.4357
14,0.055118,4155271222,9573,10762219523,1.0,0.2786,0.4357
15,0.059055,4154781972,498823,10745724894,0.9999,0.2788,0.4361
16,0.062992,4147801251,7479544,10538766259,0.9982,0.2824,0.4403
17,0.066929,4104722554,50558241,9255793878,0.9878,0.3072,0.4687
18,0.070866,3989048177,166232618,6571264158,0.96,0.3777,0.5422
19,0.074803,3804575702,350705093,3873279436,0.9156,0.4955,0.643
20,0.07874,3609652481,545628314,2391302491,0.8687,0.6015,0.7108
21,0.082677,3430054330,725226465,1651089673,0.8255,0.6751,0.7427
22,0.086614,3277693459,877587336,1271615796,0.7888,0.7205,0.7531
23,0.090551,3169003873,986276922,1083350788,0.7626,0.7452,0.7538
24,0.094488,3096427534,1058853261,985462164,0.7452,0.7586,0.7518
25,0.098425,3048639125,1106641670,928714407,0.7337,0.7665,0.7497
26,0.102362,3026772402,1128508393,904654180,0.7284,0.7699,0.7486
27,0.106299,3011833253,1143447542,888605433,0.7248,0.7722,0.7478
28,0.110236,2999821552,1155459243,875951752,0.7219,0.774,0.7471
29,0.114173,2989848199,1165432596,865662968,0.7195,0.7755,0.7465
30,0.11811,2981073748,1174207047,856695634,0.7174,0.7768,0.7459
31,0.122047,2973279048,1182001747,848801643,0.7155,0.7779,0.7454
32,0.125984,2966459441,1188821354,841971972,0.7139,0.7789,0.745
33,0.129921,2960528965,1194751830,836099029,0.7125,0.7798,0.7446
34,0.133858,2955010417,1200270378,830683925,0.7111,0.7806,0.7442
35,0.137795,2949951159,1205329636,825761618,0.7099,0.7813,0.7439
36,0.141732,2945277149,1210003646,821245048,0.7088,0.782,0.7436
37,0.145669,2940931995,1214348800,817076543,0.7078,0.7826,0.7433
38,0.149606,2936885036,1218395759,813215449,0.7068,0.7831,0.743
39,0.153543,2932989966,1222290829,809513046,0.7058,0.7837,0.7427
40,0.15748,2929343849,1225936946,806069217,0.705,0.7842,0.7425
41,0.161417,2925936528,1229344267,802867272,0.7041,0.7847,0.7422
42,0.165354,2922641139,1232639656,799779365,0.7034,0.7851,0.742
43,0.169291,2919551061,1235729734,796903408,0.7026,0.7856,0.7418
44,0.173228,2916545485,1238735310,794114861,0.7019,0.786,0.7416
45,0.177165,2913720919,1241559876,791504838,0.7012,0.7864,0.7414
46,0.181102,2910954386,1244326409,788965291,0.7005,0.7868,0.7412
47,0.185039,2908343989,1246936806,786574455,0.6999,0.7871,0.741
48,0.188976,2905777955,1249502840,784235378,0.6993,0.7875,0.7408
49,0.192913,2903350138,1251930657,782025222,0.6987,0.7878,0.7406
50,0.19685,2900958023,1254322772,779854513,0.6981,0.7881,0.7404
51,0.200787,2898691773,1256589022,777801258,0.6976,0.7884,0.7402
52,0.204724,2896453154,1258827641,775776858,0.6971,0.7887,0.7401
53,0.208661,2894239930,1261040865,773782623,0.6965,0.789,0.7399
54,0.212598,2892053211,1263227584,771812412,0.696,0.7893,0.7397
55,0.216535,2889973713,1265307082,769947070,0.6955,0.7896,0.7396
56,0.220472,2887913262,1267367533,768101338,0.695,0.7899,0.7394
57,0.224409,2885957441,1269323354,766353949,0.6945,0.7902,0.7393
58,0.228346,2884019819,1271260976,764624594,0.6941,0.7904,0.7391
59,0.232283,2882095028,1273185767,762914919,0.6936,0.7907,0.739
60,0.23622,2880184228,1275096567,761217924,0.6931,0.791,0.7388
61,0.240157,2878371507,1276909288,759610248,0.6927,0.7912,0.7387
62,0.244094,2876571157,1278709638,758016086,0.6923,0.7914,0.7385
63,0.248031,2874782341,1280498454,756435232,0.6918,0.7917,0.7384
64,0.251968,2873002774,1282278021,754866362,0.6914,0.7919,0.7383
65,0.255905,2871314029,1283966766,753379550,0.691,0.7922,0.7381
66,0.259842,2869634566,1285646229,751903254,0.6906,0.7924,0.738
67,0.263779,2867960839,1287319956,750435245,0.6902,0.7926,0.7379
68,0.267716,2866295523,1288985272,748978486,0.6898,0.7928,0.7377
69,0.271653,2864716042,1290564753,747600872,0.6894,0.793,0.7376
70,0.27559,2863083481,1292197314,746177426,0.689,0.7933,0.7375
71,0.279527,2861519583,1293761212,744812634,0.6886,0.7935,0.7374
72,0.283464,2859960013,1295320782,743458094,0.6883,0.7937,0.7372
73,0.287401,2858407157,1296873638,742111495,0.6879,0.7939,0.7371
74,0.291338,2856900993,1298379802,740805847,0.6875,0.7941,0.737
75,0.295275,2855359744,1299921051,739473324,0.6872,0.7943,0.7369
76,0.299212,2853900266,1301380529,738213695,0.6868,0.7945,0.7367
77,0.303149,2852408311,1302872484,736927493,0.6865,0.7947,0.7366
78,0.307086,2850958702,1304322093,735680814,0.6861,0.7949,0.7365
79,0.311023,2849513262,1305767533,734440215,0.6858,0.7951,0.7364
80,0.31496,2848110217,1307170578,733237793,0.6854,0.7953,0.7363
81,0.318897,2846674817,1308605978,732007646,0.6851,0.7955,0.7361
82,0.322834,2845280023,1310000772,730816731,0.6847,0.7956,0.736
83,0.326771,2843886150,1311394645,729632505,0.6844,0.7958,0.7359
84,0.330708,2842534463,1312746332,728484581,0.6841,0.796,0.7358
85,0.334645,2841149459,1314131336,727308445,0.6837,0.7962,0.7357
86,0.338582,2839804588,1315476207,726169640,0.6834,0.7964,0.7356
87,0.342519,2838461017,1316819778,725034217,0.6831,0.7965,0.7355
88,0.346456,2837119556,1318161239,723904312,0.6828,0.7967,0.7354
89,0.350393,2835781005,1319499790,722775409,0.6825,0.7969,0.7352
90,0.35433,2834479898,1320800897,721682670,0.6821,0.7971,0.7351
91,0.358267,2833181875,1322098920,720589966,0.6818,0.7972,0.735
92,0.362204,2831879548,1323401247,719499141,0.6815,0.7974,0.7349
93,0.366141,2830577384,1324703411,718408729,0.6812,0.7976,0.7348
94,0.370078,2829272321,1326008474,717319931,0.6809,0.7977,0.7347
95,0.374015,2828002260,1327278535,716261849,0.6806,0.7979,0.7346
96,0.377952,2826690467,1328590328,715170751,0.6803,0.7981,0.7345
97,0.381889,2825420469,1329860326,714115659,0.68,0.7982,0.7344
98,0.385826,2824135675,1331145120,713048913,0.6796,0.7984,0.7343
99,0.389763,2822843076,1332437719,711981173,0.6793,0.7986,0.7341
100,0.3937,2821543657,1333737138,710910458,0.679,0.7987,0.734
101,0.397637,2820235554,1335045241,709832714,0.6787,0.7989,0.7339
102,0.401574,2818935564,1336345231,708764709,0.6784,0.7991,0.7338
103,0.405511,2817624909,1337655886,707691883,0.6781,0.7993,0.7337
104,0.409448,2816303660,1338977135,706610438,0.6778,0.7994,0.7336
105,0.413385,2814965020,1340315775,705520899,0.6774,0.7996,0.7335
106,0.417322,2813631199,1341649596,704435992,0.6771,0.7998,0.7334
107,0.421259,2812258863,1343021932,703323398,0.6768,0.7999,0.7332
108,0.425196,2810884968,1344395827,702215780,0.6765,0.8001,0.7331
109,0.429133,2809489312,1345791483,701090164,0.6761,0.8003,0.733
110,0.43307,2808088277,1347192518,699962934,0.6758,0.8005,0.7329
111,0.437007,2806636533,1348644262,698798113,0.6754,0.8007,0.7327
112,0.440944,2805147921,1350132874,697605456,0.6751,0.8008,0.7326
113,0.444881,2803636369,1351644426,696398924,0.6747,0.801,0.7325
114,0.448818,2802091025,1353189770,695163776,0.6743,0.8012,0.7323
115,0.452755,2800474708,1354806087,693877511,0.674,0.8014,0.7322
116,0.456692,2798799709,1356481086,692548286,0.6736,0.8016,0.732
117,0.460629,2797033342,1358247453,691151805,0.6731,0.8019,0.7319
118,0.464566,2795163286,1360117509,689677630,0.6727,0.8021,0.7317
119,0.468503,2793183260,1362097535,688126359,0.6722,0.8023,0.7315
120,0.47244,2791043290,1364237505,686450733,0.6717,0.8026,0.7313
121,0.476377,2788730275,1366550520,684643743,0.6711,0.8029,0.7311
122,0.480314,2786151078,1369129717,682630931,0.6705,0.8032,0.7309
123,0.484251,2783216701,1372064094,680357000,0.6698,0.8036,0.7306
124,0.488188,2779672223,1375608572,677632826,0.6689,0.804,0.7303
125,0.492125,2775061215,1380219580,674110627,0.6678,0.8046,0.7299
126,0.496062,2767749167,1387531628,668525267,0.6661,0.8055,0.7292
127,0.5,2647633602,1507647193,585778874,0.6372,0.8188,0.7167
128,0.503937,2514092045,1641188750,515442033,0.605,0.8299,0.6998
129,0.507874,2454143013,1701137782,487926370,0.5906,0.8342,0.6916
130,0.511811,2406750112,1748530683,467729532,0.5792,0.8373,0.6847
131,0.515748,2370800710,1784480085,452783393,0.5706,0.8396,0.6794
132,0.519685,2337634938,1817645857,439281497,0.5626,0.8418,0.6744
133,0.523622,2306255470,1849025325,426922512,0.555,0.8438,0.6696
134,0.527559,2277015700,1878265095,415695590,0.548,0.8456,0.665
135,0.531496,2248161605,1907119190,404896732,0.541,0.8474,0.6604
136,0.535433,2217738978,1937541817,393833698,0.5337,0.8492,0.6555
137,0.53937,2185941463,1969339332,382530225,0.5261,0.8511,0.6502
138,0.543307,2153088868,2002191927,371070610,0.5182,0.853,0.6447
139,0.547244,2121770432,2033510363,360391836,0.5106,0.8548,0.6393
140,0.551181,2092374731,2062906064,350608502,0.5035,0.8565,0.6342
141,0.555118,2063247800,2092032995,341140351,0.4965,0.8581,0.6291
142,0.559055,2034008428,2121272367,331852345,0.4895,0.8597,0.6238
143,0.562992,2003731230,2151549565,322462292,0.4822,0.8614,0.6183
144,0.566929,1972335106,2182945689,312993519,0.4747,0.863,0.6125
145,0.570866,1939089898,2216190897,303216955,0.4667,0.8648,0.6062
146,0.574803,1905117742,2250163053,293456565,0.4585,0.8665,0.5997
147,0.57874,1869697010,2285583785,283519554,0.45,0.8683,0.5928
148,0.582677,1832732439,2322548356,273391550,0.4411,0.8702,0.5854
149,0.586614,1792436719,2362844076,262487075,0.4314,0.8723,0.5773
150,0.590551,1748814371,2406466424,250886657,0.4209,0.8745,0.5683
151,0.594488,1699706380,2455574415,238256058,0.409,0.8771,0.5579
152,0.598425,1645680575,2509600220,224869852,0.396,0.8798,0.5462
153,0.602362,1586474290,2568806505,210626812,0.3818,0.8828,0.5331
154,0.606299,1521052887,2634227908,195219361,0.3661,0.8863,0.5181
155,0.610236,1446514063,2708766732,178039853,0.3481,0.8904,0.5005
156,0.614173,1362495695,2792785100,159720325,0.3279,0.8951,0.48
157,0.61811,1269383062,2885897733,140951296,0.3055,0.9001,0.4562
158,0.622047,1168840900,2986439895,122552571,0.2813,0.9051,0.4292
159,0.625984,1061361523,3093919272,104848470,0.2554,0.9101,0.3989
160,0.629921,951575825,3203704970,88662766,0.229,0.9148,0.3663
161,0.633858,846740884,3308539911,74852291,0.2038,0.9188,0.3336
162,0.637795,743535493,3411745302,62665058,0.1789,0.9223,0.2997
163,0.641732,646931875,3508348920,52343678,0.1557,0.9251,0.2665
164,0.645669,557905852,3597374943,43682031,0.1343,0.9274,0.2346
165,0.649606,476991119,3678289676,36347961,0.1148,0.9292,0.2043
166,0.653543,404471440,3750809355,30089114,0.0973,0.9308,0.1762
167,0.65748,338585046,3816695749,24629639,0.0815,0.9322,0.1499
168,0.661417,281361455,3873919340,20010680,0.0677,0.9336,0.1263
169,0.665354,232299810,3922980985,16088362,0.0559,0.9352,0.1055
170,0.669291,190723907,3964556888,12787132,0.0459,0.9372,0.0875
171,0.673228,154951641,4000329154,10012169,0.0373,0.9393,0.0717
172,0.677165,126099307,4029181488,7902413,0.0303,0.941,0.0588
173,0.681102,101674491,4053606304,6190856,0.0245,0.9426,0.0477
174,0.685039,81940888,4073339907,4856869,0.0197,0.944,0.0386
175,0.688976,65972119,4089308676,3812358,0.0159,0.9454,0.0312
176,0.692913,53870813,4101409982,3043914,0.013,0.9465,0.0256
177,0.69685,43994576,4111286219,2436444,0.0106,0.9475,0.0209
178,0.700787,35965479,4119315316,1948149,0.0087,0.9486,0.0172
179,0.704724,29174233,4126106562,1547665,0.007,0.9496,0.0139
180,0.708661,23691877,4131588918,1235247,0.0057,0.9504,0.0113
181,0.712598,18871305,4136409490,966769,0.0045,0.9513,0.009
182,0.716535,14980783,4140300012,744492,0.0036,0.9527,0.0072
183,0.720472,11650565,4143630230,555095,0.0028,0.9545,0.0056
184,0.724409,8866582,4146414213,409173,0.0021,0.9559,0.0043
185,0.728346,6604044,4148676751,296932,0.0016,0.957,0.0032
186,0.732283,4754611,4150526184,207638,0.0011,0.9582,0.0023
187,0.73622,3330661,4151950134,141238,0.0008,0.9593,0.0016
188,0.740157,2255292,4153025503,92967,0.0005,0.9604,0.0011
189,0.744094,1483082,4153797713,60322,0.0004,0.9609,0.0007
190,0.748031,948706,4154332089,36881,0.0002,0.9626,0.0005
191,0.751968,588843,4154691952,21187,0.0001,0.9653,0.0003
192,0.755905,340710,4154940085,10783,0.0001,0.9693,0.0002
193,0.759842,189168,4155091627,5443,0.0,0.972,0.0001
194,0.763779,99941,4155180854,3497,0.0,0.9662,0.0
195,0.767716,48727,4155232068,2415,0.0,0.9528,0.0
196,0.771653,22080,4155258715,1475,0.0,0.9374,0.0
197,0.77559,10084,4155270711,468,0.0,0.9556,0.0
198,0.779527,3637,4155277158,0,0.0,1.0,0.0
199,0.783464,1565,4155279230,0,0.0,1.0,0.0
200,0.787401,762,4155280033,0,0.0,1.0,0.0
201,0.791338,114,4155280681,0,0.0,1.0,0.0
202,0.795275,0,4155280795,0,0.0,nan,
203,0.799212,0,4155280795,0,0.0,nan,
204,0.803149,0,4155280795,0,0.0,nan,
205,0.807086,0,4155280795,0,0.0,nan,
206,0.811023,0,4155280795,0,0.0,nan,
