k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,6456574,0,13356617,1.0,0.3259,0.4916
2,0.007874,6456574,0,13356617,1.0,0.3259,0.4916
3,0.011811,6456574,0,13356617,1.0,0.3259,0.4916
4,0.015748,6456574,0,13356617,1.0,0.3259,0.4916
5,0.019685,6456574,0,13356617,1.0,0.3259,0.4916
6,0.023622,6456574,0,13356617,1.0,0.3259,0.4916
7,0.027559,6456574,0,13356617,1.0,0.3259,0.4916
8,0.031496,6456574,0,13356617,1.0,0.3259,0.4916
9,0.035433,6456574,0,13356617,1.0,0.3259,0.4916
10,0.03937,6456574,0,13356617,1.0,0.3259,0.4916
11,0.043307,6456574,0,13356617,1.0,0.3259,0.4916
12,0.047244,6456574,0,13356617,1.0,0.3259,0.4916
13,0.051181,6456574,0,13356617,1.0,0.3259,0.4916
14,0.055118,6456574,0,13356617,1.0,0.3259,0.4916
15,0.059055,6456574,0,13356617,1.0,0.3259,0.4916
16,0.062992,6456574,0,13356617,1.0,0.3259,0.4916
17,0.066929,6456574,0,13356617,1.0,0.3259,0.4916
18,0.070866,6456574,0,13356617,1.0,0.3259,0.4916
19,0.074803,6456574,0,13356617,1.0,0.3259,0.4916
20,0.07874,6456574,0,13356617,1.0,0.3259,0.4916
21,0.082677,6456574,0,13356617,1.0,0.3259,0.4916
22,0.086614,6456574,0,13356617,1.0,0.3259,0.4916
23,0.090551,6456574,0,13356617,1.0,0.3259,0.4916
24,0.094488,6456574,0,13356617,1.0,0.3259,0.4916
25,0.098425,6456574,0,13356617,1.0,0.3259,0.4916
26,0.102362,6456574,0,13356617,1.0,0.3259,0.4916
27,0.106299,6456574,0,13356617,1.0,0.3259,0.4916
28,0.110236,6456574,0,13356617,1.0,0.3259,0.4916
29,0.114173,6456574,0,13356617,1.0,0.3259,0.4916
30,0.11811,6456574,0,13356617,1.0,0.3259,0.4916
31,0.122047,6456574,0,13356617,1.0,0.3259,0.4916
32,0.125984,6456574,0,13356617,1.0,0.3259,0.4916
33,0.129921,6456574,0,13356617,1.0,0.3259,0.4916
34,0.133858,6456574,0,13356617,1.0,0.3259,0.4916
35,0.137795,6456574,0,13356617,1.0,0.3259,0.4916
36,0.141732,6456574,0,13356617,1.0,0.3259,0.4916
37,0.145669,6456574,0,13356617,1.0,0.3259,0.4916
38,0.149606,6456574,0,13356521,1.0,0.3259,0.4916
39,0.153543,6456574,0,13355000,1.0,0.3259,0.4916
40,0.15748,6456574,0,13351282,1.0,0.326,0.4917
41,0.161417,6456574,0,13345310,1.0,0.3261,0.4918
42,0.165354,6456537,37,13327179,1.0,0.3264,0.4921
43,0.169291,6456471,103,13281606,1.0,0.3271,0.493
44,0.173228,6456239,335,13209369,0.9999,0.3283,0.4943
45,0.177165,6455626,948,13086417,0.9999,0.3303,0.4966
46,0.181102,6454294,2280,12929166,0.9996,0.333,0.4996
47,0.185039,6451843,4731,12711784,0.9993,0.3367,0.5037
48,0.188976,6446461,10113,12341792,0.9984,0.3431,0.5107
49,0.192913,6436694,19880,11703515,0.9969,0.3548,0.5234
50,0.19685,6419835,36739,10814762,0.9943,0.3725,0.542
51,0.200787,6396176,60398,9763804,0.9906,0.3958,0.5656
52,0.204724,6361783,94791,8656076,0.9853,0.4236,0.5925
53,0.208661,6312851,143723,7624960,0.9777,0.4529,0.6191
54,0.212598,6247971,208603,6716990,0.9677,0.4819,0.6434
55,0.216535,6170390,286184,5957907,0.9557,0.5088,0.664
56,0.220472,6078600,377974,5293465,0.9415,0.5345,0.6819
57,0.224409,5981122,475452,4738257,0.9264,0.558,0.6965
58,0.228346,5877106,579468,4252749,0.9103,0.5802,0.7087
59,0.232283,5769336,687238,3827951,0.8936,0.6011,0.7187
60,0.23622,5661973,794601,3461291,0.8769,0.6206,0.7268
61,0.240157,5561995,894579,3166365,0.8614,0.6372,0.7326
62,0.244094,5464919,991655,2916812,0.8464,0.652,0.7366
63,0.248031,5373617,1082957,2706396,0.8323,0.6651,0.7393
64,0.251968,5289480,1167094,2528267,0.8192,0.6766,0.7411
65,0.255905,5216573,1240001,2385177,0.8079,0.6862,0.7421
66,0.259842,5150434,1306140,2264466,0.7977,0.6946,0.7426
67,0.263779,5091597,1364977,2162509,0.7886,0.7019,0.7427
68,0.267716,5040269,1416305,2077645,0.7806,0.7081,0.7426
69,0.271653,4999279,1457295,2010810,0.7743,0.7132,0.7425
70,0.27559,4964653,1491921,1957339,0.7689,0.7172,0.7422
71,0.279527,4936325,1520249,1916252,0.7645,0.7204,0.7418
72,0.283464,4912540,1544034,1882050,0.7609,0.723,0.7415
73,0.287401,4891671,1564903,1852717,0.7576,0.7253,0.7411
74,0.291338,4873259,1583315,1827308,0.7548,0.7273,0.7408
75,0.295275,4856062,1600512,1803705,0.7521,0.7292,0.7405
76,0.299212,4840842,1615732,1783088,0.7498,0.7308,0.7402
77,0.303149,4826384,1630190,1763383,0.7475,0.7324,0.7399
