k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,4436185090,0,10481580505,1.0,0.2974,0.4584
2,0.007874,4436185090,0,10481580505,1.0,0.2974,0.4584
3,0.011811,4436185090,0,10481580505,1.0,0.2974,0.4584
4,0.015748,4436185090,0,10481580505,1.0,0.2974,0.4584
5,0.019685,4436185090,0,10481580505,1.0,0.2974,0.4584
6,0.023622,4436185090,0,10481580505,1.0,0.2974,0.4584
7,0.027559,4436185090,0,10481580505,1.0,0.2974,0.4584
8,0.031496,4436185090,0,10481580505,1.0,0.2974,0.4584
9,0.035433,4436185090,0,10481580505,1.0,0.2974,0.4584
10,0.03937,4436185090,0,10481580505,1.0,0.2974,0.4584
11,0.043307,4436185090,0,10481580505,1.0,0.2974,0.4584
12,0.047244,4436185090,0,10481580505,1.0,0.2974,0.4584
13,0.051181,4436185090,0,10481580505,1.0,0.2974,0.4584
14,0.055118,4436169230,15860,10481321515,1.0,0.2974,0.4584
15,0.059055,4435169848,1015242,10465337018,0.9998,0.2977,0.4587
16,0.062992,4420297543,15887547,10266269967,0.9964,0.301,0.4623
17,0.066929,4342411705,93773385,9018104727,0.9789,0.325,0.488
18,0.070866,4186349468,249835622,6373962867,0.9437,0.3964,0.5583
19,0.074803,3973444023,462741067,3704411115,0.8957,0.5175,0.656
20,0.07874,3759140446,677044644,2241814526,0.8474,0.6264,0.7203
21,0.082677,3564948699,871236391,1516195304,0.8036,0.7016,0.7491
22,0.086614,3401331397,1034853693,1147977858,0.7667,0.7477,0.7571
23,0.090551,3284922227,1151262863,967432434,0.7405,0.7725,0.7562
24,0.094488,3207589645,1228595445,874300053,0.7231,0.7858,0.7531
25,0.098425,3156741725,1279443365,820611807,0.7116,0.7937,0.7504
26,0.102362,3133539717,1302645373,797886865,0.7064,0.797,0.749
27,0.106299,3117687736,1318497354,782750950,0.7028,0.7993,0.7479
28,0.110236,3104935514,1331249576,770837790,0.6999,0.8011,0.7471
29,0.114173,3094342638,1341842452,761168529,0.6975,0.8026,0.7464
30,0.11811,3085035786,1351149304,752733596,0.6954,0.8039,0.7457
31,0.122047,3076774042,1359411048,745306649,0.6936,0.805,0.7451
32,0.125984,3069546242,1366638848,738885171,0.6919,0.806,0.7446
33,0.129921,3063259910,1372925180,733368084,0.6905,0.8068,0.7442
34,0.133858,3057410586,1378774504,728283756,0.6892,0.8076,0.7437
35,0.137795,3052043251,1384141839,723669526,0.688,0.8083,0.7433
36,0.141732,3047089163,1389095927,719433034,0.6869,0.809,0.7429
37,0.145669,3042483518,1393701572,715525020,0.6858,0.8096,0.7426
38,0.149606,3038194292,1397990798,711906193,0.6849,0.8102,0.7423
39,0.153543,3034066424,1402118666,708436588,0.6839,0.8107,0.7419
40,0.15748,3030202342,1405982748,705210724,0.6831,0.8112,0.7416
41,0.161417,3026591765,1409593325,702212035,0.6823,0.8117,0.7414
42,0.165354,3023097684,1413087406,699322820,0.6815,0.8121,0.7411
43,0.169291,3019822233,1416362857,696632236,0.6807,0.8126,0.7408
44,0.173228,3016634437,1419550653,694025909,0.68,0.813,0.7406
45,0.177165,3013638344,1422546746,691587413,0.6793,0.8133,0.7403
46,0.181102,3010706313,1425478777,689213364,0.6787,0.8137,0.7401
47,0.185039,3007936418,1428248672,686982026,0.678,0.8141,0.7399
48,0.188976,3005214559,1430970531,684798774,0.6774,0.8144,0.7396
49,0.192913,3002638503,1433546587,682736857,0.6769,0.8147,0.7394
50,0.19685,3000100598,1436084492,680711938,0.6763,0.8151,0.7392
51,0.200787,2997694193,1438490897,678798838,0.6757,0.8154,0.739
52,0.204724,2995316152,1440868938,676913860,0.6752,0.8157,0.7388
53,0.208661,2992964603,1443220487,675057950,0.6747,0.816,0.7386
54,0.212598,2990641843,1445543247,673223780,0.6741,0.8163,0.7384
55,0.216535,2988433275,1447751815,671487508,0.6736,0.8165,0.7382
56,0.220472,2986245061,1449940029,669769539,0.6732,0.8168,0.7381
57,0.224409,2984169180,1452015910,668142210,0.6727,0.8171,0.7379
58,0.228346,2982112242,1454072848,666532171,0.6722,0.8173,0.7377
59,0.232283,2980068370,1456116720,664941577,0.6718,0.8176,0.7375
60,0.23622,2978039073,1458146017,663363079,0.6713,0.8178,0.7374
61,0.240157,2976111918,1460073172,661869837,0.6709,0.8181,0.7372
62,0.244094,2974198103,1461986987,660389140,0.6704,0.8183,0.737
63,0.248031,2972298714,1463886376,658918859,0.67,0.8185,0.7369
64,0.251968,2970407768,1465777322,657461368,0.6696,0.8188,0.7367
65,0.255905,2968612538,1467572552,656081041,0.6692,0.819,0.7365
66,0.259842,2966828974,1469356116,654708846,0.6688,0.8192,0.7364
67,0.263779,2965048221,1471136869,653347863,0.6684,0.8194,0.7362
68,0.267716,2963280263,1472904827,651993746,0.668,0.8197,0.7361
69,0.271653,2961602524,1474582566,650714390,0.6676,0.8199,0.7359
70,0.27559,2959869224,1476315866,649391683,0.6672,0.8201,0.7358
71,0.279527,2958207050,1477978040,648125167,0.6668,0.8203,0.7356
72,0.283464,2956550700,1479634390,646867407,0.6665,0.8205,0.7355
73,0.287401,2954900923,1481284167,645617729,0.6661,0.8207,0.7354
74,0.291338,2953300089,1482885001,644406751,0.6657,0.8209,0.7352
75,0.295275,2951661887,1484523203,643171181,0.6654,0.8211,0.7351
76,0.299212,2950109601,1486075489,642004360,0.665,0.8213,0.7349
77,0.303149,2948523130,1487661960,640812674,0.6647,0.8215,0.7348
78,0.307086,2946982648,1489202442,639656868,0.6643,0.8217,0.7346
79,0.311023,2945446060,1490739030,638507417,0.664,0.8218,0.7345
80,0.31496,2943952609,1492232481,637395401,0.6636,0.822,0.7344
81,0.318897,2942426404,1493758686,636256059,0.6633,0.8222,0.7342
82,0.322834,2940943457,1495241633,635153297,0.6629,0.8224,0.7341
83,0.326771,2939462712,1496722378,634055943,0.6626,0.8226,0.734
84,0.330708,2938025134,1498159956,632993910,0.6623,0.8227,0.7338
85,0.334645,2936550886,1499634204,631907018,0.662,0.8229,0.7337
86,0.338582,2935119115,1501065975,630855113,0.6616,0.8231,0.7336
87,0.342519,2933689330,1502495760,629805904,0.6613,0.8233,0.7335
88,0.346456,2932262219,1503922871,628761649,0.661,0.8234,0.7333
89,0.350393,2930837576,1505347514,627718838,0.6607,0.8236,0.7332
90,0.35433,2929452231,1506732859,626710337,0.6604,0.8238,0.7331
91,0.358267,2928070776,1508114314,625701065,0.66,0.8239,0.7329
92,0.362204,2926683883,1509501207,624694806,0.6597,0.8241,0.7328
93,0.366141,2925297560,1510887530,623688553,0.6594,0.8243,0.7327
94,0.370078,2923909171,1512275919,622683081,0.6591,0.8244,0.7326
95,0.374015,2922557698,1513627392,621706411,0.6588,0.8246,0.7324
96,0.377952,2921161618,1515023472,620699600,0.6585,0.8248,0.7323
97,0.381889,2919810147,1516374943,619725981,0.6582,0.8249,0.7322
98,0.385826,2918442433,1517742657,618742155,0.6579,0.8251,0.732
99,0.389763,2917067627,1519117463,617756622,0.6576,0.8252,0.7319
100,0.3937,2915685843,1520499247,616768272,0.6573,0.8254,0.7318
101,0.397637,2914292927,1521892163,615775341,0.6569,0.8256,0.7317
102,0.401574,2912909094,1523275996,614791179,0.6566,0.8257,0.7315
103,0.405511,2911514736,1524670354,613802056,0.6563,0.8259,0.7314
104,0.409448,2910107907,1526077183,612806191,0.656,0.8261,0.7313
105,0.413385,2908684015,1527501075,611801904,0.6557,0.8262,0.7311
106,0.417322,2907265038,1528920052,610802153,0.6554,0.8264,0.731
107,0.421259,2905806646,1530378444,609775615,0.655,0.8266,0.7309
108,0.425196,2904346944,1531838146,608753804,0.6547,0.8267,0.7307
109,0.429133,2902862337,1533322753,607717139,0.6544,0.8269,0.7306
110,0.43307,2901372887,1534812203,606678324,0.654,0.8271,0.7304
111,0.437007,2899827591,1536357499,605607055,0.6537,0.8272,0.7303
112,0.440944,2898244138,1537940952,604509239,0.6533,0.8274,0.7301
113,0.444881,2896635920,1539549170,603399373,0.653,0.8276,0.73
114,0.448818,2894989774,1541195316,602265027,0.6526,0.8278,0.7298
115,0.452755,2893269160,1542915930,601083059,0.6522,0.828,0.7297
116,0.456692,2891487798,1544697292,599860197,0.6518,0.8282,0.7295
117,0.460629,2889609065,1546576025,598576082,0.6514,0.8284,0.7293
118,0.464566,2887619513,1548565577,597221403,0.6509,0.8286,0.7291
119,0.468503,2885513654,1550671436,595795965,0.6504,0.8289,0.7289
120,0.47244,2883237135,1552947955,594256888,0.6499,0.8291,0.7287
121,0.476377,2880778325,1555406765,592595693,0.6494,0.8294,0.7284
122,0.480314,2878033830,1558151260,590748179,0.6488,0.8297,0.7282
123,0.484251,2874915692,1561269398,588658009,0.6481,0.83,0.7278
124,0.488188,2871154359,1565030731,586150690,0.6472,0.8305,0.7275
125,0.492125,2866262167,1569922923,582909675,0.6461,0.831,0.727
126,0.496062,2858468213,1577716877,577806221,0.6444,0.8319,0.7262
127,0.5,2728503481,1707681609,504908995,0.6151,0.8438,0.7115
128,0.503937,2589564300,1846620790,439969778,0.5837,0.8548,0.6937
129,0.507874,2526597692,1909587398,415471691,0.5695,0.8588,0.6849
130,0.511811,2477156441,1959028649,397323203,0.5584,0.8618,0.6777
131,0.515748,2439668235,1996516855,383915868,0.5499,0.864,0.6721
132,0.519685,2405111292,2031073798,371805143,0.5422,0.8661,0.6669
133,0.523622,2372459938,2063725152,360718044,0.5348,0.868,0.6618
134,0.527559,2342031132,2094153958,350680158,0.5279,0.8698,0.6571
135,0.531496,2312013328,2124171762,341045009,0.5212,0.8715,0.6523
136,0.535433,2280378137,2155806953,331194539,0.514,0.8732,0.6471
137,0.53937,2247327839,2188857251,321143849,0.5066,0.875,0.6417
138,0.543307,2213220411,2222964679,310939067,0.4989,0.8768,0.636
139,0.547244,2180736765,2255448325,301425503,0.4916,0.8786,0.6304
140,0.551181,2150234617,2285950473,292748616,0.4847,0.8802,0.6251
141,0.555118,2120012956,2316172134,284375195,0.4779,0.8817,0.6198
142,0.559055,2089681299,2346503791,276179474,0.4711,0.8833,0.6144
143,0.562992,2058275356,2377909734,267918166,0.464,0.8848,0.6087
144,0.566929,2025710685,2410474405,259617940,0.4566,0.8864,0.6028
145,0.570866,1991230827,2444954263,251076026,0.4489,0.888,0.5963
146,0.574803,1956008125,2480176965,242566182,0.4409,0.8897,0.5896
147,0.57874,1919299297,2516885793,233917267,0.4326,0.8914,0.5825
148,0.582677,1880999899,2555185191,225124090,0.424,0.8931,0.575
149,0.586614,1839226478,2596958612,215697316,0.4146,0.895,0.5667
150,0.590551,1793998899,2642186191,205702129,0.4044,0.8971,0.5575
151,0.594488,1743095113,2693089977,194867325,0.3929,0.8994,0.5469
152,0.598425,1687088380,2749096710,183462047,0.3803,0.9019,0.535
153,0.602362,1625722208,2810462882,171378894,0.3665,0.9046,0.5216
154,0.606299,1557938679,2878246411,158333569,0.3512,0.9077,0.5064
155,0.610236,1480739402,2955445688,143814514,0.3338,0.9115,0.4886
156,0.614173,1393783859,3042401231,128432161,0.3142,0.9156,0.4678
157,0.61811,1297460277,3138724813,112874081,0.2925,0.92,0.4438
158,0.622047,1193510393,3242674697,97883078,0.269,0.9242,0.4168
159,0.625984,1082477375,3353707715,83732618,0.244,0.9282,0.3864
160,0.629921,969292959,3466892131,70945632,0.2185,0.9318,0.354
161,0.633858,861544069,3574641021,60049106,0.1942,0.9348,0.3216
162,0.637795,755797427,3680387663,50403124,0.1704,0.9375,0.2883
163,0.641732,657096422,3779088668,42179131,0.1481,0.9397,0.2559
164,0.645669,566392988,3869792102,35194895,0.1277,0.9415,0.2249
165,0.649606,484102763,3952082327,29236317,0.1091,0.943,0.1956
166,0.653543,410409459,4025775631,24151095,0.0925,0.9444,0.1685
167,0.65748,343538993,4092646097,19675692,0.0774,0.9458,0.1432
168,0.661417,285525524,4150659566,15846611,0.0644,0.9474,0.1205
169,0.665354,235801524,4200383566,12586648,0.0532,0.9493,0.1007
170,0.669291,193648481,4242536609,9862558,0.0437,0.9515,0.0835
171,0.673228,157366468,4278818622,7597342,0.0355,0.9539,0.0684
172,0.677165,128097987,4308087103,5903733,0.0289,0.9559,0.0561
173,0.681102,103316583,4332868507,4548764,0.0233,0.9578,0.0455
174,0.685039,83298409,4352886681,3499348,0.0188,0.9597,0.0368
175,0.688976,67093788,4369091302,2690689,0.0151,0.9614,0.0298
176,0.692913,54792795,4381392295,2121932,0.0124,0.9627,0.0244
177,0.69685,44749927,4391435163,1681093,0.0101,0.9638,0.02
178,0.700787,36580294,4399604796,1333334,0.0082,0.9648,0.0164
179,0.704724,29678991,4406506099,1042907,0.0067,0.9661,0.0133
180,0.708661,24109846,4412075244,817278,0.0054,0.9672,0.0108
181,0.712598,19212241,4416972849,625833,0.0043,0.9685,0.0086
182,0.716535,15252455,4420932635,472820,0.0034,0.9699,0.0069
183,0.720472,11864541,4424320549,341119,0.0027,0.9721,0.0053
184,0.724409,9030953,4427154137,244802,0.002,0.9736,0.0041
185,0.728346,6727097,4429457993,173879,0.0015,0.9748,0.003
186,0.732283,4839732,4431345358,122517,0.0011,0.9753,0.0022
187,0.73622,3387632,4432797458,84267,0.0008,0.9757,0.0015
188,0.740157,2293755,4433891335,54504,0.0005,0.9768,0.001
189,0.744094,1510026,4434675064,33378,0.0003,0.9784,0.0007
190,0.748031,965259,4435219831,20328,0.0002,0.9794,0.0004
191,0.751968,598576,4435586514,11454,0.0001,0.9812,0.0003
192,0.755905,345544,4435839546,5949,0.0001,0.9831,0.0002
193,0.759842,191575,4435993515,3036,0.0,0.9844,0.0001
194,0.763779,102670,4436082420,768,0.0,0.9926,0.0
195,0.767716,51032,4436134058,110,0.0,0.9978,0.0
196,0.771653,23555,4436161535,0,0.0,1.0,0.0
197,0.77559,10552,4436174538,0,0.0,1.0,0.0
198,0.779527,3637,4436181453,0,0.0,1.0,0.0
199,0.783464,1565,4436183525,0,0.0,1.0,0.0
200,0.787401,762,4436184328,0,0.0,1.0,0.0
201,0.791338,114,4436184976,0,0.0,1.0,0.0
202,0.795275,0,4436185090,0,0.0,nan,
203,0.799212,0,4436185090,0,0.0,nan,
204,0.803149,0,4436185090,0,0.0,nan,
205,0.807086,0,4436185090,0,0.0,nan,
206,0.811023,0,4436185090,0,0.0,nan,
207,0.81496,0,4436185090,0,0.0,nan,
208,0.818897,0,4436185090,0,0.0,nan,
209,0.822834,0,4436185090,0,0.0,nan,
210,0.826771,0,4436185090,0,0.0,nan,
211,0.830708,0,4436185090,0,0.0,nan,
212,0.834645,0,4436185090,0,0.0,nan,
213,0.838582,0,4436185090,0,0.0,nan,
214,0.842519,0,4436185090,0,0.0,nan,
215,0.846456,0,4436185090,0,0.0,nan,
216,0.850393,0,4436185090,0,0.0,nan,
217,0.85433,0,4436185090,0,0.0,nan,
218,0.858267,0,4436185090,0,0.0,nan,
219,0.862204,0,4436185090,0,0.0,nan,
220,0.866141,0,4436185090,0,0.0,nan,
221,0.870078,0,4436185090,0,0.0,nan,
222,0.874015,0,4436185090,0,0.0,nan,
223,0.877952,0,4436185090,0,0.0,nan,
224,0.881889,0,4436185090,0,0.0,nan,
225,0.885826,0,4436185090,0,0.0,nan,
226,0.889763,0,4436185090,0,0.0,nan,
227,0.8937,0,4436185090,0,0.0,nan,
228,0.897637,0,4436185090,0,0.0,nan,
229,0.901574,0,4436185090,0,0.0,nan,
230,0.905511,0,4436185090,0,0.0,nan,
231,0.909448,0,4436185090,0,0.0,nan,
232,0.913385,0,4436185090,0,0.0,nan,
233,0.917322,0,4436185090,0,0.0,nan,
234,0.921259,0,4436185090,0,0.0,nan,
235,0.925196,0,4436185090,0,0.0,nan,
236,0.929133,0,4436185090,0,0.0,nan,
237,0.93307,0,4436185090,0,0.0,nan,
238,0.937007,0,4436185090,0,0.0,nan,
239,0.940944,0,4436185090,0,0.0,nan,
240,0.944881,0,4436185090,0,0.0,nan,
241,0.948818,0,4436185090,0,0.0,nan,
242,0.952755,0,4436185090,0,0.0,nan,
243,0.956692,0,4436185090,0,0.0,nan,
244,0.960629,0,4436185090,0,0.0,nan,
245,0.964566,0,4436185090,0,0.0,nan,
246,0.968503,0,4436185090,0,0.0,nan,
247,0.97244,0,4436185090,0,0.0,nan,
248,0.976377,0,4436185090,0,0.0,nan,
249,0.980314,0,4436185090,0,0.0,nan,
250,0.984251,0,4436185090,0,0.0,nan,
251,0.988188,0,4436185090,0,0.0,nan,
252,0.992125,0,4436185090,0,0.0,nan,
253,0.996062,0,4436185090,0,0.0,nan,
254,1.0,0,4436185090,0,0.0,nan,
