k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,633822,0,1206785,1.0,0.3444,0.5123
2,0.007874,633373,449,1165394,0.9993,0.3521,0.5207
3,0.011811,630354,3468,1033962,0.9945,0.3787,0.5486
4,0.015748,624720,9102,874082,0.9856,0.4168,0.5859
5,0.019685,616947,16875,737721,0.9734,0.4554,0.6205
6,0.023622,608618,25204,633398,0.9602,0.49,0.6489
7,0.027559,599850,33972,550654,0.9464,0.5214,0.6724
8,0.031496,591457,42365,487588,0.9332,0.5481,0.6906
9,0.035433,583327,50495,436342,0.9203,0.5721,0.7056
10,0.03937,575476,58346,395698,0.9079,0.5926,0.7171
11,0.043307,568129,65693,362742,0.8964,0.6103,0.7262
12,0.047244,561129,72693,334609,0.8853,0.6264,0.7337
13,0.051181,554807,79015,310990,0.8753,0.6408,0.7399
14,0.055118,548535,85287,290417,0.8654,0.6538,0.7449
15,0.059055,542590,91232,272903,0.8561,0.6654,0.7488
16,0.062992,537192,96630,257831,0.8475,0.6757,0.7519
17,0.066929,532125,101697,244508,0.8395,0.6852,0.7545
18,0.070866,527383,106439,232448,0.8321,0.6941,0.7568
19,0.074803,522775,111047,221783,0.8248,0.7021,0.7585
20,0.07874,518370,115452,212348,0.8178,0.7094,0.7598
21,0.082677,514295,119527,203828,0.8114,0.7162,0.7608
22,0.086614,510303,123519,196012,0.8051,0.7225,0.7616
23,0.090551,506683,127139,189214,0.7994,0.7281,0.7621
24,0.094488,503202,130620,183015,0.7939,0.7333,0.7624
25,0.098425,499883,133939,177075,0.7887,0.7384,0.7627
26,0.102362,496706,137116,171694,0.7837,0.7431,0.7629
27,0.106299,493669,140153,166841,0.7789,0.7474,0.7628
28,0.110236,490776,143046,162416,0.7743,0.7514,0.7627
29,0.114173,488148,145674,158355,0.7702,0.7551,0.7625
30,0.11811,485490,148332,154477,0.766,0.7586,0.7623
31,0.122047,482838,150984,150653,0.7618,0.7622,0.762
32,0.125984,480370,153452,147288,0.7579,0.7653,0.7616
33,0.129921,478066,155756,144128,0.7543,0.7684,0.7612
34,0.133858,475707,158115,141051,0.7505,0.7713,0.7608
35,0.137795,473603,160219,138246,0.7472,0.7741,0.7604
36,0.141732,471534,162288,135669,0.744,0.7766,0.7599
37,0.145669,469509,164313,133179,0.7408,0.779,0.7594
38,0.149606,467481,166341,130823,0.7376,0.7813,0.7588
39,0.153543,465493,168329,128480,0.7344,0.7837,0.7583
40,0.15748,463713,170109,126298,0.7316,0.7859,0.7578
41,0.161417,461989,171833,124164,0.7289,0.7882,0.7574
42,0.165354,460179,173643,122151,0.726,0.7902,0.7568
43,0.169291,458460,175362,120269,0.7233,0.7922,0.7562
44,0.173228,456800,177022,118334,0.7207,0.7942,0.7557
45,0.177165,455168,178654,116561,0.7181,0.7961,0.7551
46,0.181102,453492,180330,114891,0.7155,0.7979,0.7544
47,0.185039,451907,181915,113358,0.713,0.7995,0.7538
48,0.188976,450397,183425,111779,0.7106,0.8012,0.7532
