k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,6822519,0,12990671,1.0,0.3443,0.5123
2,0.007874,6822519,0,12990671,1.0,0.3443,0.5123
3,0.011811,6822519,0,12990671,1.0,0.3443,0.5123
4,0.015748,6822519,0,12990671,1.0,0.3443,0.5123
5,0.019685,6822519,0,12990671,1.0,0.3443,0.5123
6,0.023622,6822519,0,12990671,1.0,0.3443,0.5123
7,0.027559,6822519,0,12990671,1.0,0.3443,0.5123
8,0.031496,6822519,0,12990671,1.0,0.3443,0.5123
9,0.035433,6822519,0,12990671,1.0,0.3443,0.5123
10,0.03937,6822519,0,12990671,1.0,0.3443,0.5123
11,0.043307,6822519,0,12990671,1.0,0.3443,0.5123
12,0.047244,6822519,0,12990671,1.0,0.3443,0.5123
13,0.051181,6822497,22,12990419,1.0,0.3443,0.5123
14,0.055118,6822249,270,12982416,1.0,0.3445,0.5124
15,0.059055,6821560,959,12943368,0.9999,0.3451,0.5131
16,0.062992,6819230,3289,12841475,0.9995,0.3468,0.515
17,0.066929,6815113,7406,12650991,0.9989,0.3501,0.5185
18,0.070866,6804452,18067,12237362,0.9974,0.3573,0.5262
19,0.074803,6784484,38035,11503626,0.9944,0.371,0.5404
20,0.07874,6755099,67420,10407272,0.9901,0.3936,0.5633
21,0.082677,6711178,111341,9058360,0.9837,0.4256,0.5941
22,0.086614,6651809,170710,7735657,0.975,0.4623,0.6272
23,0.090551,6581938,240581,6645328,0.9647,0.4976,0.6566
24,0.094488,6494597,327922,5741397,0.9519,0.5308,0.6815
25,0.098425,6391237,431282,4952314,0.9368,0.5634,0.7036
26,0.102362,6282409,540110,4317235,0.9208,0.5927,0.7212
27,0.106299,6173817,648702,3804845,0.9049,0.6187,0.7349
28,0.110236,6067517,755002,3393266,0.8893,0.6413,0.7452
29,0.114173,5967064,855455,3056022,0.8746,0.6613,0.7532
30,0.11811,5866729,955790,2766502,0.8599,0.6796,0.7592
31,0.122047,5768577,1053942,2515943,0.8455,0.6963,0.7637
32,0.125984,5676904,1145615,2311399,0.8321,0.7107,0.7666
33,0.129921,5591381,1231138,2139337,0.8195,0.7233,0.7684
34,0.133858,5510150,1312369,1988282,0.8076,0.7348,0.7695
35,0.137795,5437434,1385085,1859895,0.797,0.7451,0.7702
36,0.141732,5372185,1450334,1750530,0.7874,0.7542,0.7705
37,0.145669,5314418,1508101,1658451,0.779,0.7622,0.7705
38,0.149606,5263659,1558860,1582411,0.7715,0.7689,0.7702
39,0.153543,5218263,1604256,1518197,0.7649,0.7746,0.7697
40,0.15748,5179626,1642893,1465622,0.7592,0.7794,0.7692
41,0.161417,5146458,1676061,1422761,0.7543,0.7834,0.7686
42,0.165354,5117530,1704989,1387168,0.7501,0.7867,0.768
43,0.169291,5092734,1729785,1357779,0.7465,0.7895,0.7674
44,0.173228,5070634,1751885,1332760,0.7432,0.7919,0.7668
45,0.177165,5050868,1771651,1310990,0.7403,0.7939,0.7662
46,0.181102,5032336,1790183,1290798,0.7376,0.7959,0.7656
47,0.185039,5015693,1806826,1273274,0.7352,0.7975,0.7651
48,0.188976,4999846,1822673,1256882,0.7328,0.7991,0.7645
49,0.192913,4985376,1837143,1241888,0.7307,0.8006,0.7641
50,0.19685,4971490,1851029,1227927,0.7287,0.8019,0.7636
51,0.200787,4958793,1863726,1215009,0.7268,0.8032,0.7631
52,0.204724,4946506,1876013,1202853,0.725,0.8044,0.7627
53,0.208661,4934716,1887803,1191071,0.7233,0.8056,0.7622
54,0.212598,4923076,1899443,1179580,0.7216,0.8067,0.7618
55,0.216535,4912302,1910217,1169087,0.72,0.8078,0.7614
56,0.220472,4901699,1920820,1159056,0.7185,0.8088,0.7609
57,0.224409,4891966,1930553,1149731,0.717,0.8097,0.7606
58,0.228346,4882505,1940014,1140711,0.7156,0.8106,0.7602
59,0.232283,4873151,1949368,1131843,0.7143,0.8115,0.7598
60,0.23622,4863788,1958731,1123231,0.7129,0.8124,0.7594
61,0.240157,4855042,1967477,1115247,0.7116,0.8132,0.759
62,0.244094,4846561,1975958,1107585,0.7104,0.814,0.7587
63,0.248031,4838211,1984308,1099995,0.7092,0.8148,0.7583
64,0.251968,4829935,1992584,1092620,0.7079,0.8155,0.7579
65,0.255905,4822010,2000509,1085649,0.7068,0.8162,0.7576
66,0.259842,4814345,2008174,1078857,0.7057,0.8169,0.7572
67,0.263779,4806666,2015853,1072278,0.7045,0.8176,0.7569
68,0.267716,4799046,2023473,1065636,0.7034,0.8183,0.7565
69,0.271653,4791580,2030939,1059129,0.7023,0.819,0.7562
70,0.27559,4784370,2038149,1052792,0.7013,0.8196,0.7558
71,0.279527,4777354,2045165,1046681,0.7002,0.8203,0.7555
72,0.283464,4770491,2052028,1040578,0.6992,0.8209,0.7552
73,0.287401,4763473,2059046,1034667,0.6982,0.8216,0.7549
74,0.291338,4756736,2065783,1028879,0.6972,0.8222,0.7546
75,0.295275,4749781,2072738,1023107,0.6962,0.8228,0.7542
76,0.299212,4743161,2079358,1017481,0.6952,0.8234,0.7539
77,0.303149,4736390,2086129,1011913,0.6942,0.824,0.7536
78,0.307086,4729800,2092719,1006458,0.6933,0.8245,0.7532
79,0.311023,4723342,2099177,1001178,0.6923,0.8251,0.7529
80,0.31496,4716944,2105575,996048,0.6914,0.8257,0.7526
81,0.318897,4710428,2112091,990735,0.6904,0.8262,0.7522
82,0.322834,4704042,2118477,985645,0.6895,0.8268,0.7519
83,0.326771,4697608,2124911,980726,0.6885,0.8273,0.7516
84,0.330708,4691334,2131185,975810,0.6876,0.8278,0.7512
85,0.334645,4685010,2137509,970701,0.6867,0.8284,0.7509
86,0.338582,4678801,2143718,965662,0.6858,0.8289,0.7506
87,0.342519,4672495,2150024,960729,0.6849,0.8295,0.7503
88,0.346456,4666323,2156196,955788,0.684,0.83,0.7499
89,0.350393,4659900,2162619,951049,0.683,0.8305,0.7496
90,0.35433,4653628,2168891,946262,0.6821,0.831,0.7492
91,0.358267,4647440,2175079,941583,0.6812,0.8315,0.7489
92,0.362204,4641254,2181265,936906,0.6803,0.832,0.7485
93,0.366141,4634803,2187716,932168,0.6793,0.8326,0.7482
94,0.370078,4628482,2194037,927453,0.6784,0.8331,0.7478
95,0.374015,4622144,2200375,922790,0.6775,0.8336,0.7475
96,0.377952,4615753,2206766,917897,0.6765,0.8341,0.7471
97,0.381889,4609491,2213028,913331,0.6756,0.8346,0.7468
98,0.385826,4603146,2219373,908612,0.6747,0.8352,0.7464
99,0.389763,4596662,2225857,903871,0.6737,0.8357,0.746
100,0.3937,4590082,2232437,899238,0.6728,0.8362,0.7456
101,0.397637,4583334,2239185,894610,0.6718,0.8367,0.7452
102,0.401574,4576825,2245694,889910,0.6708,0.8372,0.7448
103,0.405511,4570172,2252347,885177,0.6699,0.8377,0.7445
104,0.409448,4563424,2259095,880546,0.6689,0.8383,0.744
105,0.413385,4556758,2265761,875809,0.6679,0.8388,0.7437
106,0.417322,4550055,2272464,871060,0.6669,0.8393,0.7433
107,0.421259,4542988,2279531,866195,0.6659,0.8399,0.7428
108,0.425196,4535945,2286574,861361,0.6648,0.8404,0.7424
109,0.429133,4528812,2293707,856466,0.6638,0.841,0.742
110,0.43307,4521572,2300947,851639,0.6627,0.8415,0.7415
111,0.437007,4514215,2308304,846572,0.6617,0.8421,0.741
112,0.440944,4506539,2315980,841311,0.6605,0.8427,0.7406
113,0.444881,4498799,2323720,836192,0.6594,0.8433,0.7401
114,0.448818,4490760,2331759,830823,0.6582,0.8439,0.7396
115,0.452755,4482417,2340102,825333,0.657,0.8445,0.739
116,0.456692,4473751,2348768,819710,0.6557,0.8451,0.7385
117,0.460629,4464768,2357751,813933,0.6544,0.8458,0.7379
118,0.464566,4455382,2367137,807827,0.653,0.8465,0.7373
119,0.468503,4445393,2377126,801581,0.6516,0.8472,0.7366
120,0.47244,4434840,2387679,794850,0.65,0.848,0.7359
121,0.476377,4423121,2399398,787732,0.6483,0.8488,0.7351
122,0.480314,4410641,2411878,780080,0.6465,0.8497,0.7343
123,0.484251,4397172,2425347,771858,0.6445,0.8507,0.7334
124,0.488188,4382192,2440327,762540,0.6423,0.8518,0.7324
125,0.492125,4364811,2457708,751966,0.6398,0.853,0.7312
126,0.496062,4344209,2478310,739438,0.6367,0.8545,0.7297
127,0.5,4317982,2504537,723362,0.6329,0.8565,0.7279
128,0.503937,4276354,2546165,697134,0.6268,0.8598,0.7251
129,0.507874,4213870,2608649,656414,0.6176,0.8652,0.7208
130,0.511811,4137319,2685200,606720,0.6064,0.8721,0.7154
131,0.515748,4072071,2750448,568778,0.5969,0.8774,0.7104
132,0.519685,4015468,2807051,539666,0.5886,0.8815,0.7059
133,0.523622,3964774,2857745,515368,0.5811,0.885,0.7016
134,0.527559,3919506,2903013,494393,0.5745,0.888,0.6976
135,0.531496,3877409,2945110,475489,0.5683,0.8908,0.6939
136,0.535433,3838082,2984437,457903,0.5626,0.8934,0.6904
137,0.53937,3800619,3021900,441851,0.5571,0.8959,0.687
138,0.543307,3764319,3058200,426528,0.5517,0.8982,0.6836
139,0.547244,3729362,3093157,412038,0.5466,0.9005,0.6803
140,0.551181,3694856,3127663,397978,0.5416,0.9028,0.677
141,0.555118,3660316,3162203,384735,0.5365,0.9049,0.6736
142,0.559055,3626744,3195775,372263,0.5316,0.9069,0.6703
143,0.562992,3592878,3229641,360211,0.5266,0.9089,0.6669
144,0.566929,3559103,3263416,348490,0.5217,0.9108,0.6634
145,0.570866,3525140,3297379,337092,0.5167,0.9127,0.6598
146,0.574803,3491620,3330899,326315,0.5118,0.9145,0.6563
147,0.57874,3457349,3365170,315645,0.5068,0.9163,0.6526
148,0.582677,3422701,3399818,305324,0.5017,0.9181,0.6488
149,0.586614,3387223,3435296,295206,0.4965,0.9198,0.6449
150,0.590551,3352410,3470109,285462,0.4914,0.9215,0.641
151,0.594488,3316631,3505888,275905,0.4861,0.9232,0.6369
152,0.598425,3279968,3542551,266611,0.4808,0.9248,0.6326
153,0.602362,3242657,3579862,257379,0.4753,0.9265,0.6283
154,0.606299,3204801,3617718,248001,0.4697,0.9282,0.6238
155,0.610236,3165329,3657190,238890,0.464,0.9298,0.619
156,0.614173,3124710,3697809,229732,0.458,0.9315,0.6141
157,0.61811,3082621,3739898,220465,0.4518,0.9333,0.6089
158,0.622047,3039191,3783328,211283,0.4455,0.935,0.6034
159,0.625984,2994158,3828361,202225,0.4389,0.9367,0.5977
160,0.629921,2945369,3877150,192651,0.4317,0.9386,0.5914
161,0.633858,2895855,3926664,183496,0.4245,0.9404,0.5849
162,0.637795,2842391,3980128,173947,0.4166,0.9423,0.5778
163,0.641732,2785895,4036624,164608,0.4083,0.9442,0.5701
164,0.645669,2725892,4096627,155564,0.3995,0.946,0.5618
165,0.649606,2662996,4159523,146398,0.3903,0.9479,0.553
166,0.653543,2596160,4226359,137406,0.3805,0.9497,0.5434
167,0.65748,2522458,4300061,128127,0.3697,0.9517,0.5326
168,0.661417,2445767,4376752,119171,0.3585,0.9535,0.5211
169,0.665354,2364124,4458395,110600,0.3465,0.9553,0.5086
170,0.669291,2277274,4545245,102232,0.3338,0.957,0.495
171,0.673228,2182147,4640372,93815,0.3198,0.9588,0.4797
172,0.677165,2085314,4737205,85790,0.3057,0.9605,0.4637
173,0.681102,1979942,4842577,77780,0.2902,0.9622,0.4459
174,0.685039,1870385,4952134,70086,0.2741,0.9639,0.4269
175,0.688976,1755583,5066936,62808,0.2573,0.9655,0.4063
176,0.692913,1639986,5182533,55962,0.2404,0.967,0.385
177,0.69685,1518706,5303813,49405,0.2226,0.9685,0.362
178,0.700787,1398570,5423949,43400,0.205,0.9699,0.3385
179,0.704724,1279117,5543402,37753,0.1875,0.9713,0.3143
180,0.708661,1165624,5656895,32571,0.1708,0.9728,0.2907
181,0.712598,1050429,5772090,27677,0.154,0.9743,0.2659
182,0.716535,942823,5879696,23110,0.1382,0.9761,0.2421
183,0.720472,838921,5983598,18779,0.123,0.9781,0.2185
184,0.724409,739168,6083351,15185,0.1083,0.9799,0.1951
185,0.728346,647423,6175096,12499,0.0949,0.9811,0.1731
186,0.732283,562974,6259545,10231,0.0825,0.9822,0.1522
187,0.73622,488388,6334131,8570,0.0716,0.9828,0.1334
188,0.740157,420342,6402177,7158,0.0616,0.9833,0.116
189,0.744094,362300,6460219,5972,0.0531,0.9838,0.1008
190,0.748031,313088,6509431,4941,0.0459,0.9845,0.0877
191,0.751968,270450,6552069,4049,0.0396,0.9852,0.0762
192,0.755905,231505,6591014,3260,0.0339,0.9861,0.0656
193,0.759842,198384,6624135,2680,0.0291,0.9867,0.0565
194,0.763779,169971,6652548,2161,0.0249,0.9874,0.0486
195,0.767716,145363,6677156,1748,0.0213,0.9881,0.0417
196,0.771653,122905,6699614,1398,0.018,0.9888,0.0354
197,0.77559,103468,6719051,1119,0.0152,0.9893,0.0299
198,0.779527,86486,6736033,874,0.0127,0.99,0.025
199,0.783464,71671,6750848,652,0.0105,0.991,0.0208
200,0.787401,58107,6764412,452,0.0085,0.9923,0.0169
201,0.791338,46516,6776003,285,0.0068,0.9939,0.0135
202,0.795275,37037,6785482,195,0.0054,0.9948,0.0108
203,0.799212,28989,6793530,123,0.0042,0.9958,0.0085
204,0.803149,22494,6800025,76,0.0033,0.9966,0.0066
205,0.807086,17567,6804952,66,0.0026,0.9963,0.0051
206,0.811023,13368,6809151,52,0.002,0.9961,0.0039
207,0.81496,10174,6812345,40,0.0015,0.9961,0.003
208,0.818897,7645,6814874,26,0.0011,0.9966,0.0022
209,0.822834,5423,6817096,15,0.0008,0.9972,0.0016
210,0.826771,3650,6818869,6,0.0005,0.9984,0.0011
211,0.830708,2315,6820204,0,0.0003,1.0,0.0007
212,0.834645,1282,6821237,0,0.0002,1.0,0.0004
213,0.838582,727,6821792,0,0.0001,1.0,0.0002
214,0.842519,456,6822063,0,0.0001,1.0,0.0001
215,0.846456,320,6822199,0,0.0,1.0,0.0001
216,0.850393,199,6822320,0,0.0,1.0,0.0001
217,0.85433,112,6822407,0,0.0,1.0,0.0
218,0.858267,67,6822452,0,0.0,1.0,0.0
219,0.862204,30,6822489,0,0.0,1.0,0.0
220,0.866141,8,6822511,0,0.0,1.0,0.0
221,0.870078,0,6822519,0,0.0,nan,
222,0.874015,0,6822519,0,0.0,nan,
223,0.877952,0,6822519,0,0.0,nan,
224,0.881889,0,6822519,0,0.0,nan,
225,0.885826,0,6822519,0,0.0,nan,
226,0.889763,0,6822519,0,0.0,nan,
227,0.8937,0,6822519,0,0.0,nan,
228,0.897637,0,6822519,0,0.0,nan,
229,0.901574,0,6822519,0,0.0,nan,
230,0.905511,0,6822519,0,0.0,nan,
231,0.909448,0,6822519,0,0.0,nan,
232,0.913385,0,6822519,0,0.0,nan,
233,0.917322,0,6822519,0,0.0,nan,
234,0.921259,0,6822519,0,0.0,nan,
235,0.925196,0,6822519,0,0.0,nan,
236,0.929133,0,6822519,0,0.0,nan,
237,0.93307,0,6822519,0,0.0,nan,
238,0.937007,0,6822519,0,0.0,nan,
239,0.940944,0,6822519,0,0.0,nan,
240,0.944881,0,6822519,0,0.0,nan,
241,0.948818,0,6822519,0,0.0,nan,
242,0.952755,0,6822519,0,0.0,nan,
243,0.956692,0,6822519,0,0.0,nan,
244,0.960629,0,6822519,0,0.0,nan,
245,0.964566,0,6822519,0,0.0,nan,
246,0.968503,0,6822519,0,0.0,nan,
247,0.97244,0,6822519,0,0.0,nan,
248,0.976377,0,6822519,0,0.0,nan,
249,0.980314,0,6822519,0,0.0,nan,
250,0.984251,0,6822519,0,0.0,nan,
251,0.988188,0,6822519,0,0.0,nan,
252,0.992125,0,6822519,0,0.0,nan,
253,0.996062,0,6822519,0,0.0,nan,
254,1.0,0,6822519,0,0.0,nan,
