k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,6451003,5571,12628364,0.9991,0.3381,0.5052
2,0.007874,6407971,48603,10050247,0.9925,0.3893,0.5593
3,0.011811,6333389,123185,8128566,0.9809,0.4379,0.6055
4,0.015748,6241768,214806,6736255,0.9667,0.4809,0.6423
5,0.019685,6144294,312280,5778234,0.9516,0.5154,0.6686
6,0.023622,6053584,402990,5146982,0.9376,0.5405,0.6857
7,0.027559,5968796,487778,4672426,0.9245,0.5609,0.6982
8,0.031496,5890189,566385,4303243,0.9123,0.5778,0.7075
9,0.035433,5815628,640946,3996445,0.9007,0.5927,0.7149
10,0.03937,5746668,709906,3742206,0.89,0.6056,0.7208
11,0.043307,5683351,773223,3524033,0.8802,0.6173,0.7257
12,0.047244,5622777,833797,3330537,0.8709,0.628,0.7298
13,0.051181,5566216,890358,3163358,0.8621,0.6376,0.7331
14,0.055118,5510942,945632,3008166,0.8535,0.6469,0.736
15,0.059055,5458215,998359,2868795,0.8454,0.6555,0.7384
16,0.062992,5407957,1048617,2741961,0.8376,0.6636,0.7405
17,0.066929,5359157,1097417,2624574,0.83,0.6713,0.7422
18,0.070866,5312881,1143693,2518302,0.8229,0.6784,0.7437
19,0.074803,5267202,1189372,2420345,0.8158,0.6852,0.7448
20,0.07874,5223894,1232680,2334488,0.8091,0.6911,0.7455
21,0.082677,5182585,1273989,2256649,0.8027,0.6967,0.7459
22,0.086614,5142698,1313876,2186200,0.7965,0.7017,0.7461
23,0.090551,5106663,1349911,2124799,0.7909,0.7062,0.7461
24,0.094488,5072508,1384066,2069013,0.7856,0.7103,0.7461
25,0.098425,5039401,1417173,2015858,0.7805,0.7143,0.7459
26,0.102362,5007931,1448643,1967281,0.7756,0.718,0.7457
27,0.106299,4977947,1478627,1922655,0.771,0.7214,0.7454
28,0.110236,4949454,1507120,1882327,0.7666,0.7245,0.7449
29,0.114173,4922856,1533718,1845115,0.7625,0.7274,0.7445
30,0.11811,4896463,1560111,1808840,0.7584,0.7302,0.744
31,0.122047,4871436,1585138,1775283,0.7545,0.7329,0.7435
32,0.125984,4846632,1609942,1743076,0.7507,0.7355,0.743
33,0.129921,4823441,1633133,1713463,0.7471,0.7379,0.7424
34,0.133858,4800783,1655791,1684675,0.7435,0.7402,0.7419
35,0.137795,4778483,1678091,1657748,0.7401,0.7424,0.7413
36,0.141732,4756768,1699806,1632200,0.7367,0.7445,0.7406
37,0.145669,4735908,1720666,1607869,0.7335,0.7465,0.74
38,0.149606,4715654,1740920,1584541,0.7304,0.7485,0.7393
39,0.153543,4695653,1760921,1561979,0.7273,0.7504,0.7386
40,0.15748,4676107,1780467,1540898,0.7242,0.7521,0.7379
41,0.161417,4657404,1799170,1520651,0.7213,0.7539,0.7372
42,0.165354,4638924,1817650,1501278,0.7185,0.7555,0.7365
43,0.169291,4621346,1835228,1482169,0.7158,0.7572,0.7359
44,0.173228,4603845,1852729,1463796,0.713,0.7588,0.7352
45,0.177165,4586914,1869660,1446222,0.7104,0.7603,0.7345
46,0.181102,4570136,1886438,1429177,0.7078,0.7618,0.7338
47,0.185039,4554248,1902326,1413064,0.7054,0.7632,0.7331
48,0.188976,4538362,1918212,1397203,0.7029,0.7646,0.7325
49,0.192913,4523132,1933442,1382329,0.7005,0.7659,0.7318
50,0.19685,4507872,1948702,1367685,0.6982,0.7672,0.7311
51,0.200787,4493425,1963149,1354040,0.6959,0.7684,0.7304
52,0.204724,4479190,1977384,1340559,0.6937,0.7697,0.7297
53,0.208661,4464942,1991632,1327296,0.6915,0.7708,0.729
54,0.212598,4450530,2006044,1314285,0.6893,0.772,0.7283
55,0.216535,4436962,2019612,1301809,0.6872,0.7732,0.7276
56,0.220472,4423326,2033248,1289901,0.6851,0.7742,0.7269
57,0.224409,4410148,2046426,1278407,0.683,0.7753,0.7262
58,0.228346,4397396,2059178,1266935,0.6811,0.7763,0.7256
59,0.232283,4384733,2071841,1255688,0.6791,0.7774,0.7249
60,0.23622,4372010,2084564,1244728,0.6771,0.7784,0.7242
61,0.240157,4359859,2096715,1234376,0.6753,0.7793,0.7236
62,0.244094,4347883,2108691,1224082,0.6734,0.7803,0.7229
63,0.248031,4335702,2120872,1214095,0.6715,0.7812,0.7222
64,0.251968,4323864,2132710,1204163,0.6697,0.7822,0.7216
65,0.255905,4312748,2143826,1194833,0.668,0.7831,0.7209
66,0.259842,4301628,2154946,1185599,0.6662,0.7839,0.7203
67,0.263779,4290549,2166025,1176515,0.6645,0.7848,0.7197
68,0.267716,4279516,2177058,1167490,0.6628,0.7857,0.719
69,0.271653,4268632,2187942,1158920,0.6611,0.7865,0.7184
70,0.27559,4257973,2198601,1150424,0.6595,0.7873,0.7177
71,0.279527,4247454,2209120,1142153,0.6578,0.7881,0.7171
72,0.283464,4237046,2219528,1133888,0.6562,0.7889,0.7165
73,0.287401,4226620,2229954,1125753,0.6546,0.7897,0.7158
74,0.291338,4216554,2240020,1117867,0.6531,0.7904,0.7152
75,0.295275,4206302,2250272,1109986,0.6515,0.7912,0.7146
76,0.299212,4196695,2259879,1102347,0.65,0.792,0.714
77,0.303149,4186877,2269697,1094769,0.6485,0.7927,0.7134
78,0.307086,4177115,2279459,1087328,0.647,0.7935,0.7128
79,0.311023,4167378,2289196,1080011,0.6454,0.7942,0.7121
80,0.31496,4158023,2298551,1072985,0.644,0.7949,0.7115
81,0.318897,4148494,2308080,1065886,0.6425,0.7956,0.7109
82,0.322834,4139128,2317446,1058836,0.6411,0.7963,0.7103
83,0.326771,4129634,2326940,1052210,0.6396,0.7969,0.7097
84,0.330708,4120454,2336120,1045708,0.6382,0.7976,0.709
85,0.334645,4111083,2345491,1038937,0.6367,0.7983,0.7084
86,0.338582,4101937,2354637,1032172,0.6353,0.799,0.7078
87,0.342519,4092772,2363802,1025594,0.6339,0.7996,0.7072
88,0.346456,4083526,2373048,1019223,0.6325,0.8003,0.7065
89,0.350393,4074427,2382147,1012691,0.6311,0.8009,0.7059
90,0.35433,4065394,2391180,1006527,0.6297,0.8015,0.7053
91,0.358267,4056586,2399988,1000413,0.6283,0.8022,0.7047
92,0.362204,4047629,2408945,994366,0.6269,0.8028,0.704
93,0.366141,4038768,2417806,988354,0.6255,0.8034,0.7034
94,0.370078,4029748,2426826,982355,0.6241,0.804,0.7027
95,0.374015,4021096,2435478,976621,0.6228,0.8046,0.7021
96,0.377952,4012266,2444308,970689,0.6214,0.8052,0.7015
97,0.381889,4003448,2453126,964937,0.6201,0.8058,0.7008
98,0.385826,3994769,2461805,959221,0.6187,0.8064,0.7002
99,0.389763,3986051,2470523,953608,0.6174,0.8069,0.6995
100,0.3937,3977332,2479242,948054,0.616,0.8075,0.6989
101,0.397637,3968697,2487877,942345,0.6147,0.8081,0.6982
102,0.401574,3960139,2496435,936837,0.6133,0.8087,0.6976
103,0.405511,3951502,2505072,931244,0.612,0.8093,0.697
104,0.409448,3942922,2513652,925744,0.6107,0.8099,0.6963
105,0.413385,3934287,2522287,920410,0.6093,0.8104,0.6956
106,0.417322,3925752,2530822,915026,0.608,0.811,0.695
107,0.421259,3916931,2539643,909500,0.6067,0.8116,0.6943
108,0.425196,3908194,2548380,904167,0.6053,0.8121,0.6936
109,0.429133,3899699,2556875,898886,0.604,0.8127,0.693
110,0.43307,3891237,2565337,893768,0.6027,0.8132,0.6923
111,0.437007,3882637,2573937,888396,0.6013,0.8138,0.6916
112,0.440944,3873849,2582725,883062,0.6,0.8144,0.6909
113,0.444881,3865044,2591530,877793,0.5986,0.8149,0.6902
114,0.448818,3856206,2600368,872576,0.5973,0.8155,0.6895
115,0.452755,3847296,2609278,867372,0.5959,0.816,0.6888
116,0.456692,3838539,2618035,862188,0.5945,0.8166,0.6881
117,0.460629,3829507,2627067,857031,0.5931,0.8171,0.6873
118,0.464566,3820403,2636171,851827,0.5917,0.8177,0.6866
119,0.468503,3811405,2645169,846595,0.5903,0.8182,0.6858
120,0.47244,3802380,2654194,841422,0.5889,0.8188,0.6851
121,0.476377,3793139,2663435,836260,0.5875,0.8194,0.6843
122,0.480314,3783711,2672863,831234,0.586,0.8199,0.6835
123,0.484251,3774343,2682231,826025,0.5846,0.8204,0.6827
124,0.488188,3764873,2691701,820891,0.5831,0.821,0.6819
125,0.492125,3755190,2701384,815658,0.5816,0.8216,0.6811
126,0.496062,3745493,2711081,810491,0.5801,0.8221,0.6802
127,0.5,3735808,2720766,805185,0.5786,0.8227,0.6794
128,0.503937,3725977,2730597,799843,0.5771,0.8233,0.6785
129,0.507874,3716069,2740505,794678,0.5755,0.8238,0.6777
130,0.511811,3705935,2750639,789434,0.574,0.8244,0.6768
131,0.515748,3695550,2761024,784160,0.5724,0.825,0.6758
132,0.519685,3685173,2771401,778926,0.5708,0.8255,0.6749
133,0.523622,3674640,2781934,773670,0.5691,0.8261,0.6739
134,0.527559,3663892,2792682,768384,0.5675,0.8266,0.673
135,0.531496,3653207,2803367,762992,0.5658,0.8272,0.672
136,0.535433,3642401,2814173,757466,0.5641,0.8278,0.671
137,0.53937,3631284,2825290,752073,0.5624,0.8284,0.67
138,0.543307,3619843,2836731,746499,0.5606,0.829,0.6689
139,0.547244,3608370,2848204,740942,0.5589,0.8296,0.6679
140,0.551181,3596867,2859707,735277,0.5571,0.8303,0.6668
141,0.555118,3584900,2871674,729699,0.5552,0.8309,0.6656
142,0.559055,3572980,2883594,723985,0.5534,0.8315,0.6645
143,0.562992,3560534,2896040,718377,0.5515,0.8321,0.6633
144,0.566929,3547844,2908730,712722,0.5495,0.8327,0.6621
145,0.570866,3535092,2921482,706944,0.5475,0.8333,0.6609
146,0.574803,3522425,2934149,701042,0.5456,0.834,0.6596
147,0.57874,3509355,2947219,694940,0.5435,0.8347,0.6584
148,0.582677,3496179,2960395,688798,0.5415,0.8354,0.6571
149,0.586614,3482461,2974113,682615,0.5394,0.8361,0.6557
150,0.590551,3468794,2987780,676511,0.5372,0.8368,0.6544
151,0.594488,3454590,3001984,670118,0.5351,0.8375,0.653
152,0.598425,3440292,3016282,663613,0.5328,0.8383,0.6515
153,0.602362,3425740,3030834,657067,0.5306,0.8391,0.6501
154,0.606299,3410866,3045708,650520,0.5283,0.8398,0.6486
155,0.610236,3395287,3061287,643510,0.5259,0.8407,0.647
156,0.614173,3379284,3077290,636527,0.5234,0.8415,0.6454
157,0.61811,3362760,3093814,629422,0.5208,0.8423,0.6437
158,0.622047,3345749,3110825,622230,0.5182,0.8432,0.6419
159,0.625984,3327698,3128876,614704,0.5154,0.8441,0.64
160,0.629921,3308852,3147722,607082,0.5125,0.845,0.638
161,0.633858,3290090,3166484,599266,0.5096,0.8459,0.636
162,0.637795,3270188,3186386,591133,0.5065,0.8469,0.6339
163,0.641732,3248809,3207765,582575,0.5032,0.8479,0.6316
164,0.645669,3226628,3229946,573776,0.4997,0.849,0.6292
165,0.649606,3202981,3253593,564675,0.4961,0.8501,0.6265
166,0.653543,3178356,3278218,555113,0.4923,0.8513,0.6238
167,0.65748,3151227,3305347,545149,0.4881,0.8525,0.6208
168,0.661417,3122251,3334323,534553,0.4836,0.8538,0.6174
169,0.665354,3091666,3364908,523681,0.4788,0.8552,0.6139
170,0.669291,3058745,3397829,512518,0.4737,0.8565,0.6101
171,0.673228,3023019,3433555,500547,0.4682,0.8579,0.6058
172,0.677165,2986097,3470477,488328,0.4625,0.8595,0.6014
173,0.681102,2945862,3510712,475452,0.4563,0.861,0.5965
174,0.685039,2903803,3552771,462185,0.4497,0.8627,0.5913
175,0.688976,2857952,3598622,448114,0.4426,0.8645,0.5855
176,0.692913,2811561,3645013,433908,0.4355,0.8663,0.5796
177,0.69685,2761314,3695260,418932,0.4277,0.8683,0.5731
178,0.700787,2708938,3747636,403833,0.4196,0.8703,0.5662
179,0.704724,2652352,3804222,387432,0.4108,0.8725,0.5586
180,0.708661,2594222,3862352,371252,0.4018,0.8748,0.5507
181,0.712598,2529579,3926995,353675,0.3918,0.8773,0.5417
182,0.716535,2463902,3992672,336360,0.3816,0.8799,0.5323
183,0.720472,2395929,4060645,318731,0.3711,0.8826,0.5225
184,0.724409,2327528,4129046,301215,0.3605,0.8854,0.5124
185,0.728346,2259514,4197060,284291,0.35,0.8882,0.5021
186,0.732283,2190991,4265583,268245,0.3393,0.8909,0.4915
187,0.73622,2124293,4332281,253001,0.329,0.8936,0.4809
188,0.740157,2055605,4400969,237582,0.3184,0.8964,0.4699
189,0.744094,1988196,4468378,222919,0.3079,0.8992,0.4588
190,0.748031,1921542,4535032,208789,0.2976,0.902,0.4476
191,0.751968,1856412,4600162,195885,0.2875,0.9046,0.4363
192,0.755905,1790608,4665966,183252,0.2773,0.9072,0.4248
193,0.759842,1727028,4729546,171523,0.2675,0.9097,0.4134
194,0.763779,1664921,4791653,160490,0.2579,0.9121,0.4021
195,0.767716,1605355,4851219,150071,0.2486,0.9145,0.391
196,0.771653,1543805,4912769,140065,0.2391,0.9168,0.3793
197,0.77559,1483995,4972579,130704,0.2298,0.9191,0.3677
198,0.779527,1425923,5030651,122217,0.2208,0.9211,0.3563
199,0.783464,1369508,5087066,114485,0.2121,0.9229,0.3449
200,0.787401,1312427,5144147,107040,0.2033,0.9246,0.3333
201,0.791338,1257205,5199369,100166,0.1947,0.9262,0.3218
202,0.795275,1201367,5255207,93446,0.1861,0.9278,0.31
203,0.799212,1147772,5308802,87426,0.1778,0.9292,0.2984
204,0.803149,1096118,5360456,81845,0.1698,0.9305,0.2871
205,0.807086,1046259,5410315,76780,0.162,0.9316,0.2761
206,0.811023,996336,5460238,71866,0.1543,0.9327,0.2648
207,0.81496,948681,5507893,67431,0.1469,0.9336,0.2539
208,0.818897,901067,5555507,63133,0.1396,0.9345,0.2428
209,0.822834,855212,5601362,59140,0.1325,0.9353,0.2321
210,0.826771,809529,5647045,55239,0.1254,0.9361,0.2211
211,0.830708,766096,5690478,51543,0.1187,0.937,0.2106
212,0.834645,722552,5734022,47874,0.1119,0.9379,0.2
213,0.838582,681345,5775229,44531,0.1055,0.9387,0.1897
214,0.842519,640482,5816092,41371,0.0992,0.9393,0.1794
215,0.846456,600671,5855903,38190,0.093,0.9402,0.1693
216,0.850393,560709,5895865,35008,0.0868,0.9412,0.159
217,0.85433,521301,5935273,31886,0.0807,0.9424,0.1487
218,0.858267,483709,5972865,28779,0.0749,0.9438,0.1388
219,0.862204,446473,6010101,25715,0.0692,0.9455,0.1289
220,0.866141,409497,6047077,22582,0.0634,0.9477,0.1189
221,0.870078,372927,6083647,19661,0.0578,0.9499,0.1089
222,0.874015,336950,6119624,16958,0.0522,0.9521,0.099
223,0.877952,302430,6154144,14419,0.0468,0.9545,0.0893
224,0.881889,268102,6188472,12121,0.0415,0.9567,0.0796
225,0.885826,234953,6221621,10070,0.0364,0.9589,0.0701
226,0.889763,204848,6251726,8158,0.0317,0.9617,0.0614
227,0.8937,178369,6278205,6557,0.0276,0.9645,0.0537
228,0.897637,153444,6303130,5375,0.0238,0.9662,0.0464
229,0.901574,130215,6326359,4418,0.0202,0.9672,0.0395
230,0.905511,108932,6347642,3615,0.0169,0.9679,0.0332
231,0.909448,89118,6367456,2940,0.0138,0.9681,0.0272
232,0.913385,72027,6384547,2441,0.0112,0.9672,0.0221
233,0.917322,57183,6399391,2011,0.0089,0.966,0.0176
234,0.921259,43840,6412734,1593,0.0068,0.9649,0.0135
235,0.925196,32603,6423971,1140,0.005,0.9662,0.01
236,0.929133,23622,6432952,765,0.0037,0.9686,0.0073
237,0.93307,16512,6440062,407,0.0026,0.9759,0.0051
238,0.937007,11034,6445540,154,0.0017,0.9862,0.0034
239,0.940944,6800,6449774,37,0.0011,0.9946,0.0021
240,0.944881,3947,6452627,8,0.0006,0.998,0.0012
241,0.948818,2288,6454286,0,0.0004,1.0,0.0007
242,0.952755,1193,6455381,0,0.0002,1.0,0.0004
243,0.956692,558,6456016,0,0.0001,1.0,0.0002
244,0.960629,189,6456385,0,0.0,1.0,0.0001
245,0.964566,63,6456511,0,0.0,1.0,0.0
246,0.968503,0,6456574,0,0.0,nan,
247,0.97244,0,6456574,0,0.0,nan,
248,0.976377,0,6456574,0,0.0,nan,
249,0.980314,0,6456574,0,0.0,nan,
250,0.984251,0,6456574,0,0.0,nan,
251,0.988188,0,6456574,0,0.0,nan,
252,0.992125,0,6456574,0,0.0,nan,
253,0.996062,0,6456574,0,0.0,nan,
254,1.0,0,6456574,0,0.0,nan,
