k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,238436067,27662,492456096,0.9999,0.3262,0.4919
2,0.007874,238289773,173956,489813735,0.9993,0.3273,0.4931
3,0.011811,238026140,437589,484533197,0.9982,0.3294,0.4954
4,0.015748,235318385,3145344,441765502,0.9868,0.3475,0.514
5,0.019685,224738674,13725055,274088832,0.9424,0.4505,0.6096
6,0.023622,208704423,29759306,140770911,0.8752,0.5972,0.71
7,0.027559,193219115,45244614,90210121,0.8103,0.6817,0.7405
8,0.031496,182552732,55910997,66894371,0.7655,0.7318,0.7483
9,0.035433,176374238,62089491,57960838,0.7396,0.7527,0.7461
10,0.03937,172218675,66245054,53266992,0.7222,0.7638,0.7424
11,0.043307,169068010,69395719,50168044,0.709,0.7712,0.7388
12,0.047244,166543074,71920655,47913766,0.6984,0.7766,0.7354
13,0.051181,164527730,73935999,46263318,0.6899,0.7805,0.7324
14,0.055118,162854277,75609452,44986382,0.6829,0.7836,0.7298
15,0.059055,161518336,76945393,43997109,0.6773,0.7859,0.7276
16,0.062992,160426574,78037155,43201562,0.6728,0.7878,0.7258
17,0.066929,159481258,78982471,42528284,0.6688,0.7895,0.7241
18,0.070866,158647793,79815936,41944277,0.6653,0.7909,0.7227
19,0.074803,157880293,80583436,41421733,0.6621,0.7922,0.7213
20,0.07874,157191580,81272149,40961763,0.6592,0.7933,0.72
21,0.082677,156550291,81913438,40540895,0.6565,0.7943,0.7189
22,0.086614,155953319,82510410,40153810,0.654,0.7952,0.7177
23,0.090551,155419464,83044265,39809840,0.6518,0.7961,0.7167
24,0.094488,154920948,83542781,39489146,0.6497,0.7969,0.7158
25,0.098425,154437698,84026031,39178666,0.6476,0.7976,0.7149
26,0.102362,153985509,84478220,38888782,0.6457,0.7984,0.714
27,0.106299,153561352,84902377,38616606,0.644,0.7991,0.7132
28,0.110236,153162839,85300890,38362929,0.6423,0.7997,0.7124
29,0.114173,152789530,85674199,38124655,0.6407,0.8003,0.7117
30,0.11811,152419331,86044398,37890370,0.6392,0.8009,0.711
31,0.122047,152046406,86417323,37658363,0.6376,0.8015,0.7102
32,0.125984,151699611,86764118,37444204,0.6362,0.802,0.7095
33,0.129921,151373103,87090626,37244626,0.6348,0.8025,0.7089
34,0.133858,151046576,87417153,37047320,0.6334,0.803,0.7082
35,0.137795,150728315,87735414,36857723,0.6321,0.8035,0.7076
36,0.141732,150418175,88045554,36676551,0.6308,0.804,0.7069
37,0.145669,150115929,88347800,36501671,0.6295,0.8044,0.7063
38,0.149606,149818755,88644974,36333231,0.6283,0.8048,0.7057
39,0.153543,149518704,88945025,36164842,0.627,0.8052,0.705
40,0.15748,149223981,89239748,36001806,0.6258,0.8056,0.7044
41,0.161417,148935189,89528540,35844617,0.6246,0.806,0.7038
42,0.165354,148642777,89820952,35686917,0.6233,0.8064,0.7031
43,0.169291,148357104,90106625,35533325,0.6221,0.8068,0.7025
44,0.173228,148068558,90395171,35378957,0.6209,0.8071,0.7019
45,0.177165,147786458,90677271,35230413,0.6197,0.8075,0.7013
46,0.181102,147503680,90960049,35081815,0.6186,0.8079,0.7006
47,0.185039,147231197,91232532,34938590,0.6174,0.8082,0.7
48,0.188976,146958483,91505246,34796216,0.6163,0.8086,0.6994
49,0.192913,146697432,91766297,34660388,0.6152,0.8089,0.6989
50,0.19685,146436748,92026981,34525597,0.6141,0.8092,0.6983
51,0.200787,146188334,92275395,34397612,0.613,0.8095,0.6977
52,0.204724,145942651,92521078,34270802,0.612,0.8098,0.6972
53,0.208661,145697189,92766540,34145227,0.611,0.8101,0.6966
54,0.212598,145452903,93010826,34020815,0.61,0.8104,0.6961
55,0.216535,145219145,93244584,33902366,0.609,0.8107,0.6955
56,0.220472,144985270,93478459,33785056,0.608,0.811,0.695
57,0.224409,144760865,93702864,33673240,0.6071,0.8113,0.6945
58,0.228346,144535503,93928226,33561545,0.6061,0.8116,0.6939
59,0.232283,144309958,94153771,33450496,0.6052,0.8118,0.6934
60,0.23622,144083438,94380291,33339470,0.6042,0.8121,0.6929
61,0.240157,143866366,94597363,33233844,0.6033,0.8123,0.6924
62,0.244094,143648222,94815507,33128996,0.6024,0.8126,0.6919
63,0.248031,143429268,95034461,33023719,0.6015,0.8128,0.6914
64,0.251968,143207959,95255770,32918368,0.6005,0.8131,0.6908
65,0.255905,142995634,95468095,32817815,0.5997,0.8133,0.6903
66,0.259842,142781866,95681863,32717364,0.5988,0.8136,0.6898
67,0.263779,142567091,95896638,32616766,0.5979,0.8138,0.6893
68,0.267716,142352086,96111643,32516040,0.597,0.8141,0.6888
69,0.271653,142143048,96320681,32418991,0.5961,0.8143,0.6883
70,0.27559,141930884,96532845,32320436,0.5952,0.8145,0.6878
71,0.279527,141722778,96740951,32223615,0.5943,0.8147,0.6873
72,0.283464,141514263,96949466,32126888,0.5934,0.815,0.6868
73,0.287401,141304728,97159001,32029500,0.5926,0.8152,0.6863
74,0.291338,141099129,97364600,31934667,0.5917,0.8154,0.6858
75,0.295275,140886331,97577398,31836254,0.5908,0.8157,0.6853
76,0.299212,140682153,97781576,31742835,0.59,0.8159,0.6848
77,0.303149,140470448,97993281,31646378,0.5891,0.8161,0.6843
78,0.307086,140261622,98202107,31551719,0.5882,0.8164,0.6837
79,0.311023,140050317,98413412,31456170,0.5873,0.8166,0.6832
80,0.31496,139842300,98621429,31363380,0.5864,0.8168,0.6827
81,0.318897,139626914,98836815,31268021,0.5855,0.817,0.6822
82,0.322834,139415284,99048445,31174713,0.5846,0.8173,0.6816
83,0.326771,139200764,99262965,31080531,0.5837,0.8175,0.6811
84,0.330708,138991313,99472416,30989471,0.5829,0.8177,0.6806
85,0.334645,138772780,99690949,30894360,0.5819,0.8179,0.68
86,0.338582,138557969,99905760,30801666,0.581,0.8181,0.6795
87,0.342519,138341482,100122247,30708652,0.5801,0.8183,0.679
88,0.346456,138123468,100340261,30615412,0.5792,0.8186,0.6784
89,0.350393,137903103,100560626,30521947,0.5783,0.8188,0.6778
90,0.35433,137685010,100778719,30430029,0.5774,0.819,0.6773
91,0.358267,137463919,100999810,30337882,0.5765,0.8192,0.6767
