k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,6441802,15653,11973530,0.9976,0.3498,0.518
2,0.007874,6361893,95562,8980959,0.9852,0.4146,0.5837
3,0.011811,6277113,180342,7385714,0.9721,0.4594,0.624
4,0.015748,6198506,258949,6351500,0.9599,0.4939,0.6522
5,0.019685,6122587,334868,5610197,0.9481,0.5218,0.6732
6,0.023622,6053824,403631,5071579,0.9375,0.5441,0.6886
7,0.027559,5987389,470066,4641671,0.9272,0.5633,0.7008
8,0.031496,5925148,532307,4297146,0.9176,0.5796,0.7105
9,0.035433,5866192,591263,4010157,0.9084,0.594,0.7183
10,0.03937,5811868,645587,3774953,0.9,0.6062,0.7245
11,0.043307,5761172,696283,3575967,0.8922,0.617,0.7295
12,0.047244,5713088,744367,3399306,0.8847,0.627,0.7339
13,0.051181,5669045,788410,3250521,0.8779,0.6356,0.7373
14,0.055118,5626438,831017,3116319,0.8713,0.6436,0.7403
15,0.059055,5586320,871135,2997845,0.8651,0.6508,0.7428
16,0.062992,5549150,908305,2892613,0.8593,0.6573,0.7449
17,0.066929,5513744,943711,2797368,0.8539,0.6634,0.7467
18,0.070866,5480178,977277,2711796,0.8487,0.669,0.7482
19,0.074803,5447688,1009767,2632167,0.8436,0.6742,0.7495
20,0.07874,5417257,1040198,2560136,0.8389,0.6791,0.7506
21,0.082677,5387706,1069749,2492447,0.8343,0.6837,0.7515
22,0.086614,5359162,1098293,2429939,0.8299,0.688,0.7523
23,0.090551,5332403,1125052,2373937,0.8258,0.692,0.753
24,0.094488,5307136,1150319,2322370,0.8219,0.6956,0.7535
25,0.098425,5281711,1175744,2272576,0.8179,0.6992,0.7539
26,0.102362,5257407,1200048,2225966,0.8142,0.7025,0.7542
27,0.106299,5234066,1223389,2182397,0.8105,0.7057,0.7545
28,0.110236,5211971,1245484,2142080,0.8071,0.7087,0.7547
29,0.114173,5190649,1266806,2104497,0.8038,0.7115,0.7549
30,0.11811,5168976,1288479,2067336,0.8005,0.7143,0.7549
31,0.122047,5147488,1309967,2030916,0.7971,0.7171,0.755
