k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,139081509,0,202600591,1.0,0.407,0.5786
2,0.007874,139081509,0,202600591,1.0,0.407,0.5786
3,0.011811,139081509,0,202600591,1.0,0.407,0.5786
4,0.015748,139081509,0,202600591,1.0,0.407,0.5786
5,0.019685,139081509,0,202600591,1.0,0.407,0.5786
6,0.023622,139081509,0,202600591,1.0,0.407,0.5786
7,0.027559,139081509,0,202600591,1.0,0.407,0.5786
8,0.031496,139081509,0,202600591,1.0,0.407,0.5786
9,0.035433,139081509,0,202600591,1.0,0.407,0.5786
10,0.03937,139081509,0,202600591,1.0,0.407,0.5786
11,0.043307,139081509,0,202600591,1.0,0.407,0.5786
12,0.047244,139081509,0,202600591,1.0,0.407,0.5786
13,0.051181,139081509,0,202600591,1.0,0.407,0.5786
14,0.055118,139081509,0,202600591,1.0,0.407,0.5786
15,0.059055,139081509,0,202600591,1.0,0.407,0.5786
16,0.062992,139081509,0,202600591,1.0,0.407,0.5786
17,0.066929,139081509,0,202600591,1.0,0.407,0.5786
18,0.070866,139081509,0,202600591,1.0,0.407,0.5786
19,0.074803,139081509,0,202600591,1.0,0.407,0.5786
20,0.07874,139081509,0,202600591,1.0,0.407,0.5786
21,0.082677,139081509,0,202600591,1.0,0.407,0.5786
22,0.086614,139081509,0,202600591,1.0,0.407,0.5786
23,0.090551,139081509,0,202600591,1.0,0.407,0.5786
24,0.094488,139080752,757,202597751,1.0,0.4071,0.5786
25,0.098425,138817064,264445,201464580,0.9981,0.4079,0.5792
26,0.102362,132026867,7054642,170466982,0.9493,0.4365,0.598
27,0.106299,111403519,27677990,71290101,0.801,0.6098,0.6924
28,0.110236,92571783,46509726,25683237,0.6656,0.7828,0.7195
29,0.114173,86312720,52768789,20327148,0.6206,0.8094,0.7025
30,0.11811,83926706,55154803,18786393,0.6034,0.8171,0.6942
31,0.122047,82857927,56223582,18149221,0.5958,0.8203,0.6902
32,0.125984,82295539,56785970,17836452,0.5917,0.8219,0.6881
33,0.129921,81925817,57155692,17637149,0.589,0.8229,0.6866
34,0.133858,81631007,57450502,17480278,0.5869,0.8236,0.6854
35,0.137795,81389408,57692101,17352637,0.5852,0.8243,0.6845
36,0.141732,81184502,57897007,17244767,0.5837,0.8248,0.6836
37,0.145669,81005813,58075696,17151387,0.5824,0.8253,0.6829
38,0.149606,80846829,58234680,17069195,0.5813,0.8257,0.6823
39,0.153543,80700044,58381465,16993033,0.5802,0.8261,0.6817
40,0.15748,80566373,58515136,16924080,0.5793,0.8264,0.6811
41,0.161417,80445234,58636275,16861485,0.5784,0.8267,0.6806
42,0.165354,80329166,58752343,16802099,0.5776,0.827,0.6801
43,0.169291,80223084,58858425,16747270,0.5768,0.8273,0.6797
44,0.173228,80121498,58960011,16695195,0.5761,0.8276,0.6793
45,0.177165,80026811,59054698,16647089,0.5754,0.8278,0.6789
46,0.181102,79935424,59146085,16600860,0.5747,0.828,0.6785
47,0.185039,79850382,59231127,16557479,0.5741,0.8283,0.6782
48,0.188976,79767685,59313824,16515391,0.5735,0.8285,0.6778
49,0.192913,79690651,59390858,16476605,0.573,0.8287,0.6775
50,0.19685,79614952,59466557,16438434,0.5724,0.8289,0.6772
51,0.200787,79544168,59537341,16402786,0.5719,0.829,0.6769
52,0.204724,79475258,59606251,16368017,0.5714,0.8292,0.6766
53,0.208661,79407658,59673851,16334214,0.5709,0.8294,0.6763
54,0.212598,79341979,59739530,16301001,0.5705,0.8296,0.676
55,0.216535,79279862,59801647,16270087,0.57,0.8297,0.6758
56,0.220472,79219244,59862265,16239900,0.5696,0.8299,0.6755
57,0.224409,79162224,59919285,16211232,0.5692,0.83,0.6753
58,0.228346,79105497,59976012,16183118,0.5688,0.8302,0.675
59,0.232283,79049503,60032006,16155567,0.5684,0.8303,0.6748
60,0.23622,78994665,60086844,16128584,0.568,0.8304,0.6746
61,0.240157,78943093,60138416,16102852,0.5676,0.8306,0.6744
62,0.244094,78891672,60189837,16077455,0.5672,0.8307,0.6741
63,0.248031,78840488,60241021,16052334,0.5669,0.8308,0.6739
64,0.251968,78789867,60291642,16027538,0.5665,0.831,0.6737
65,0.255905,78742534,60338975,16004048,0.5662,0.8311,0.6735
66,0.259842,78694737,60386772,15980837,0.5658,0.8312,0.6733
67,0.263779,78647694,60433815,15957847,0.5655,0.8313,0.6731
68,0.267716,78600843,60480666,15934822,0.5651,0.8314,0.6729
69,0.271653,78556626,60524883,15912995,0.5648,0.8316,0.6727
70,0.27559,78510860,60570649,15890429,0.5645,0.8317,0.6725
71,0.279527,78466687,60614822,15868898,0.5642,0.8318,0.6723
72,0.283464,78422498,60659011,15847481,0.5639,0.8319,0.6721
73,0.287401,78378762,60702747,15826077,0.5635,0.832,0.672
74,0.291338,78335843,60745666,15804948,0.5632,0.8321,0.6718
75,0.295275,78291719,60789790,15783641,0.5629,0.8322,0.6716
76,0.299212,78249956,60831553,15763383,0.5626,0.8323,0.6714
77,0.303149,78206686,60874823,15742693,0.5623,0.8324,0.6712
78,0.307086,78164927,60916582,15722397,0.562,0.8325,0.671
79,0.311023,78122991,60958518,15702324,0.5617,0.8326,0.6709
80,0.31496,78082239,60999270,15682624,0.5614,0.8327,0.6707
81,0.318897,78040059,61041450,15662485,0.5611,0.8328,0.6705
82,0.322834,77998740,61082769,15643099,0.5608,0.8329,0.6703
83,0.326771,77957447,61124062,15623391,0.5605,0.833,0.6701
84,0.330708,77917176,61164333,15604097,0.5602,0.8331,0.67
85,0.334645,77875271,61206238,15584293,0.5599,0.8333,0.6698
86,0.338582,77834525,61246984,15564808,0.5596,0.8334,0.6696
87,0.342519,77793886,61287623,15545437,0.5593,0.8335,0.6694
88,0.346456,77753066,61328443,15525753,0.559,0.8336,0.6692
89,0.350393,77711724,61369785,15506343,0.5587,0.8337,0.6691
90,0.35433,77671579,61409930,15487394,0.5585,0.8338,0.6689
91,0.358267,77630670,61450839,15468161,0.5582,0.8339,0.6687
92,0.362204,77590154,61491355,15448858,0.5579,0.834,0.6685
93,0.366141,77549135,61532374,15429693,0.5576,0.8341,0.6684
94,0.370078,77507715,61573794,15410308,0.5573,0.8342,0.6682
95,0.374015,77467246,61614263,15391548,0.557,0.8342,0.668
96,0.377952,77425352,61656157,15372027,0.5567,0.8343,0.6678
97,0.381889,77384829,61696680,15353041,0.5564,0.8344,0.6676
98,0.385826,77343491,61738018,15333622,0.5561,0.8345,0.6674
99,0.389763,77301731,61779778,15314000,0.5558,0.8347,0.6673
100,0.3937,77259175,61822334,15294418,0.5555,0.8348,0.6671
101,0.397637,77216435,61865074,15274444,0.5552,0.8349,0.6669
102,0.401574,77173367,61908142,15254534,0.5549,0.835,0.6667
103,0.405511,77129844,61951665,15234560,0.5546,0.8351,0.6665
104,0.409448,77085586,61995923,15214080,0.5542,0.8352,0.6663
105,0.413385,77040526,62040983,15193599,0.5539,0.8353,0.6661
106,0.417322,76995193,62086316,15172793,0.5536,0.8354,0.6659
107,0.421259,76948296,62133213,15151071,0.5533,0.8355,0.6657
108,0.425196,76900506,62181003,15129018,0.5529,0.8356,0.6655
109,0.429133,76851241,62230268,15106567,0.5526,0.8357,0.6653
110,0.43307,76801348,62280161,15083437,0.5522,0.8358,0.665
111,0.437007,76748958,62332551,15059509,0.5518,0.836,0.6648
112,0.440944,76694382,62387127,15034548,0.5514,0.8361,0.6646
113,0.444881,76637073,62444436,15008169,0.551,0.8362,0.6643
114,0.448818,76577790,62503719,14981346,0.5506,0.8364,0.664
115,0.452755,76515965,62565544,14953104,0.5502,0.8365,0.6638
116,0.456692,76451169,62630340,14923908,0.5497,0.8367,0.6635
117,0.460629,76383600,62697909,14893375,0.5492,0.8368,0.6632
118,0.464566,76311874,62769635,14861389,0.5487,0.837,0.6628
119,0.468503,76237104,62844405,14827623,0.5481,0.8372,0.6625
120,0.47244,76156874,62924635,14791580,0.5476,0.8374,0.6621
121,0.476377,76069406,63012103,14752673,0.5469,0.8376,0.6618
122,0.480314,75971945,63109564,14709111,0.5462,0.8378,0.6613
123,0.484251,75859347,63222162,14658488,0.5454,0.8381,0.6608
124,0.488188,75719052,63362457,14595947,0.5444,0.8384,0.6602
125,0.492125,75505781,63575728,14499955,0.5429,0.8389,0.6592
126,0.496062,75038087,64043422,14286914,0.5395,0.8401,0.6571
127,0.5,74184503,64897006,13886379,0.5334,0.8423,0.6532
128,0.503937,73074047,66007462,13406814,0.5254,0.845,0.6479
129,0.507874,72232742,66848767,13066495,0.5194,0.8468,0.6438
130,0.511811,71484744,67596765,12776102,0.514,0.8484,0.6401
131,0.515748,70809972,68271537,12518859,0.5091,0.8498,0.6368
132,0.519685,70220642,68860867,12297633,0.5049,0.851,0.6338
133,0.523622,69681692,69399817,12097673,0.501,0.8521,0.631
134,0.527559,69169770,69911739,11909549,0.4973,0.8531,0.6284
135,0.531496,68675017,70406492,11729381,0.4938,0.8541,0.6258
136,0.535433,68183241,70898268,11552785,0.4902,0.8551,0.6232
137,0.53937,67689980,71391529,11376885,0.4867,0.8561,0.6206
138,0.543307,67184750,71896759,11199580,0.4831,0.8571,0.6179
139,0.547244,66669483,72412026,11021066,0.4794,0.8581,0.6151
140,0.551181,66135273,72946236,10838862,0.4755,0.8592,0.6122
141,0.555118,65566554,73514955,10646081,0.4714,0.8603,0.6091
142,0.559055,64963435,74118074,10445247,0.4671,0.8615,0.6057
143,0.562992,64314074,74767435,10230141,0.4624,0.8628,0.6021
144,0.566929,63617111,75464398,10001973,0.4574,0.8641,0.5982
