k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,3761880,0,5479590,1.0,0.4071,0.5786
2,0.007874,3761880,0,5479590,1.0,0.4071,0.5786
3,0.011811,3761880,0,5479590,1.0,0.4071,0.5786
4,0.015748,3761880,0,5479590,1.0,0.4071,0.5786
5,0.019685,3761880,0,5479590,1.0,0.4071,0.5786
6,0.023622,3761880,0,5479590,1.0,0.4071,0.5786
7,0.027559,3761880,0,5479590,1.0,0.4071,0.5786
8,0.031496,3761880,0,5479590,1.0,0.4071,0.5786
9,0.035433,3761880,0,5479590,1.0,0.4071,0.5786
10,0.03937,3761880,0,5479590,1.0,0.4071,0.5786
11,0.043307,3761880,0,5479590,1.0,0.4071,0.5786
12,0.047244,3761880,0,5479590,1.0,0.4071,0.5786
13,0.051181,3761880,0,5479590,1.0,0.4071,0.5786
14,0.055118,3761880,0,5479590,1.0,0.4071,0.5786
15,0.059055,3761880,0,5479590,1.0,0.4071,0.5786
16,0.062992,3761880,0,5479590,1.0,0.4071,0.5786
17,0.066929,3761880,0,5479590,1.0,0.4071,0.5786
18,0.070866,3761880,0,5479590,1.0,0.4071,0.5786
19,0.074803,3761880,0,5479590,1.0,0.4071,0.5786
20,0.07874,3761880,0,5479590,1.0,0.4071,0.5786
21,0.082677,3761880,0,5479590,1.0,0.4071,0.5786
22,0.086614,3761880,0,5479590,1.0,0.4071,0.5786
23,0.090551,3761880,0,5479590,1.0,0.4071,0.5786
24,0.094488,3761880,0,5479590,1.0,0.4071,0.5786
25,0.098425,3761880,0,5479590,1.0,0.4071,0.5786
26,0.102362,3761880,0,5479590,1.0,0.4071,0.5786
27,0.106299,3761880,0,5479590,1.0,0.4071,0.5786
28,0.110236,3761880,0,5479590,1.0,0.4071,0.5786
29,0.114173,3761880,0,5479590,1.0,0.4071,0.5786
30,0.11811,3761880,0,5479590,1.0,0.4071,0.5786
31,0.122047,3761880,0,5479590,1.0,0.4071,0.5786
32,0.125984,3761880,0,5479590,1.0,0.4071,0.5786
33,0.129921,3761880,0,5479590,1.0,0.4071,0.5786
34,0.133858,3761880,0,5479590,1.0,0.4071,0.5786
35,0.137795,3761880,0,5479590,1.0,0.4071,0.5786
36,0.141732,3761880,0,5479590,1.0,0.4071,0.5786
37,0.145669,3761880,0,5479590,1.0,0.4071,0.5786
38,0.149606,3761880,0,5479590,1.0,0.4071,0.5786
39,0.153543,3761880,0,5479590,1.0,0.4071,0.5786
40,0.15748,3761880,0,5479392,1.0,0.4071,0.5786
41,0.161417,3761880,0,5477408,1.0,0.4072,0.5787
42,0.165354,3761871,9,5473850,1.0,0.4073,0.5789
43,0.169291,3761852,28,5465828,1.0,0.4077,0.5792
44,0.173228,3761704,176,5448348,1.0,0.4084,0.58
45,0.177165,3761437,443,5418890,0.9999,0.4097,0.5813
46,0.181102,3760867,1013,5364175,0.9997,0.4121,0.5837
47,0.185039,3759557,2323,5265038,0.9994,0.4166,0.5881
48,0.188976,3756466,5414,5095310,0.9986,0.4244,0.5956
49,0.192913,3749919,11961,4853339,0.9968,0.4359,0.6065
50,0.19685,3738115,23765,4534073,0.9937,0.4519,0.6213
51,0.200787,3722187,39693,4188649,0.9894,0.4705,0.6378
52,0.204724,3698262,63618,3835048,0.9831,0.4909,0.6548
53,0.208661,3665239,96641,3488704,0.9743,0.5123,0.6715
54,0.212598,3623617,138263,3154257,0.9632,0.5346,0.6876
55,0.216535,3576281,185599,2842780,0.9507,0.5571,0.7025
56,0.220472,3520985,240895,2548222,0.936,0.5801,0.7163
57,0.224409,3460110,301770,2291195,0.9198,0.6016,0.7274
58,0.228346,3393528,368352,2063448,0.9021,0.6219,0.7362
59,0.232283,3324335,437545,1865707,0.8837,0.6405,0.7427
60,0.23622,3253966,507914,1692088,0.865,0.6579,0.7474
61,0.240157,3186439,575441,1547280,0.847,0.6731,0.7501
62,0.244094,3121684,640196,1421129,0.8298,0.6872,0.7518
63,0.248031,3061231,700649,1312294,0.8138,0.6999,0.7526
64,0.251968,3005082,756798,1220333,0.7988,0.7112,0.7525
65,0.255905,2955408,806472,1147095,0.7856,0.7204,0.7516
66,0.259842,2909702,852178,1086440,0.7735,0.7281,0.7501
67,0.263779,2868293,893587,1036942,0.7625,0.7345,0.7482
68,0.267716,2832468,929412,995258,0.7529,0.74,0.7464
69,0.271653,2802986,958894,962796,0.7451,0.7443,0.7447
70,0.27559,2778596,983284,936831,0.7386,0.7479,0.7432
71,0.279527,2758887,1002993,916592,0.7334,0.7506,0.7419
72,0.283464,2742237,1019643,899923,0.729,0.7529,0.7407
73,0.287401,2727579,1034301,885740,0.7251,0.7549,0.7397
74,0.291338,2714319,1047561,873392,0.7215,0.7566,0.7386
75,0.295275,2701853,1060027,862034,0.7182,0.7581,0.7376
76,0.299212,2690921,1070959,851994,0.7153,0.7595,0.7368
77,0.303149,2680477,1081403,842591,0.7125,0.7608,0.7359
78,0.307086,2670814,1091066,833913,0.71,0.7621,0.7351
79,0.311023,2661483,1100397,825564,0.7075,0.7632,0.7343
80,0.31496,2652771,1109109,818020,0.7052,0.7643,0.7336
81,0.318897,2644052,1117828,810465,0.7029,0.7654,0.7328
82,0.322834,2635890,1125990,803527,0.7007,0.7664,0.7321
83,0.326771,2627960,1133920,796922,0.6986,0.7673,0.7313
84,0.330708,2620491,1141389,790651,0.6966,0.7682,0.7307
85,0.334645,2612917,1148963,784487,0.6946,0.7691,0.7299
86,0.338582,2605786,1156094,778712,0.6927,0.7699,0.7293
87,0.342519,2598764,1163116,773010,0.6908,0.7707,0.7286
88,0.346456,2591886,1169994,767506,0.689,0.7715,0.7279
89,0.350393,2585132,1176748,762062,0.6872,0.7723,0.7273
90,0.35433,2578681,1183199,756779,0.6855,0.7731,0.7267
91,0.358267,2572462,1189418,751704,0.6838,0.7739,0.7261
92,0.362204,2566180,1195700,746881,0.6822,0.7746,0.7254
93,0.366141,2559953,1201927,741956,0.6805,0.7753,0.7248
94,0.370078,2553774,1208106,737236,0.6789,0.776,0.7242
95,0.374015,2547813,1214067,732646,0.6773,0.7767,0.7236
96,0.377952,2541847,1220033,727946,0.6757,0.7774,0.723
97,0.381889,2536002,1225878,723449,0.6741,0.778,0.7224
98,0.385826,2530012,1231868,719011,0.6725,0.7787,0.7217
99,0.389763,2524110,1237770,714647,0.671,0.7793,0.7211
100,0.3937,2518324,1243556,710269,0.6694,0.78,0.7205
101,0.397637,2512488,1249392,705899,0.6679,0.7807,0.7199
102,0.401574,2506720,1255160,701571,0.6663,0.7813,0.7193
103,0.405511,2500703,1261177,697355,0.6647,0.7819,0.7186
104,0.409448,2494869,1267011,693130,0.6632,0.7826,0.718
105,0.413385,2488853,1273027,688911,0.6616,0.7832,0.7173
106,0.417322,2482789,1279091,684810,0.66,0.7838,0.7166
107,0.421259,2476802,1285078,680676,0.6584,0.7844,0.7159
108,0.425196,2470873,1291007,676562,0.6568,0.785,0.7152
109,0.429133,2464944,1296936,672421,0.6552,0.7857,0.7146
110,0.43307,2458919,1302961,668366,0.6536,0.7863,0.7139
111,0.437007,2452594,1309286,664208,0.652,0.7869,0.7131
112,0.440944,2446280,1315600,659990,0.6503,0.7875,0.7124
113,0.444881,2439871,1322009,655713,0.6486,0.7882,0.7116
114,0.448818,2433267,1328613,651344,0.6468,0.7888,0.7108
115,0.452755,2426619,1335261,646884,0.6451,0.7895,0.71
116,0.456692,2419803,1342077,642412,0.6432,0.7902,0.7092
117,0.460629,2412929,1348951,637847,0.6414,0.7909,0.7084
118,0.464566,2405705,1356175,633107,0.6395,0.7917,0.7075
119,0.468503,2398131,1363749,628145,0.6375,0.7924,0.7066
120,0.47244,2390006,1371874,623177,0.6353,0.7932,0.7055
121,0.476377,2381350,1380530,617879,0.633,0.794,0.7044
122,0.480314,2372189,1389691,612168,0.6306,0.7949,0.7033
123,0.484251,2362091,1399789,605855,0.6279,0.7959,0.702
124,0.488188,2350655,1411225,598961,0.6249,0.7969,0.7005
125,0.492125,2337320,1424560,591052,0.6213,0.7982,0.6987
126,0.496062,2321188,1440692,581734,0.617,0.7996,0.6966
