k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,4436241506,0,10224140828,1.0,0.3026,0.4646
2,0.007874,4436241506,0,10224140828,1.0,0.3026,0.4646
3,0.011811,4436241506,0,10224140828,1.0,0.3026,0.4646
4,0.015748,4436241506,0,10224140828,1.0,0.3026,0.4646
5,0.019685,4436241506,0,10224140828,1.0,0.3026,0.4646
6,0.023622,4436241506,0,10224140828,1.0,0.3026,0.4646
7,0.027559,4436241506,0,10224140828,1.0,0.3026,0.4646
8,0.031496,4436241506,0,10224140828,1.0,0.3026,0.4646
9,0.035433,4436241506,0,10224140828,1.0,0.3026,0.4646
10,0.03937,4436241506,0,10224140828,1.0,0.3026,0.4646
11,0.043307,4436241506,0,10224140828,1.0,0.3026,0.4646
12,0.047244,4436241506,0,10224140828,1.0,0.3026,0.4646
13,0.051181,4436241506,0,10224140828,1.0,0.3026,0.4646
14,0.055118,4436241506,0,10224140828,1.0,0.3026,0.4646
15,0.059055,4436241506,0,10224140828,1.0,0.3026,0.4646
16,0.062992,4436241506,0,10224140828,1.0,0.3026,0.4646
17,0.066929,4436241506,0,10224140828,1.0,0.3026,0.4646
18,0.070866,4436241506,0,10224140828,1.0,0.3026,0.4646
19,0.074803,4436241506,0,10224140828,1.0,0.3026,0.4646
20,0.07874,4436241506,0,10224140828,1.0,0.3026,0.4646
21,0.082677,4436241506,0,10224140828,1.0,0.3026,0.4646
22,0.086614,4436241506,0,10224140828,1.0,0.3026,0.4646
23,0.090551,4436241506,0,10224140828,1.0,0.3026,0.4646
24,0.094488,4436239679,1827,10224129705,1.0,0.3026,0.4646
25,0.098425,4436027048,214458,10222393212,1.0,0.3026,0.4646
26,0.102362,4420943332,15298174,9901673435,0.9966,0.3087,0.4713
27,0.106299,4076213656,360027850,5526973520,0.9188,0.4245,0.5807
28,0.110236,3517721749,918519757,1918650909,0.793,0.6471,0.7126
29,0.114173,3206767376,1229474130,925999337,0.7229,0.7759,0.7485
30,0.11811,3046594013,1389647493,711987200,0.6868,0.8106,0.7435
31,0.122047,2954834342,1481407164,628364809,0.6661,0.8246,0.7369
32,0.125984,2900884982,1535356524,586322270,0.6539,0.8319,0.7322
33,0.129921,2866235096,1570006410,560806142,0.6461,0.8364,0.729
34,0.133858,2842820064,1593421442,543892420,0.6408,0.8394,0.7268
35,0.137795,2827698628,1608542878,533675574,0.6374,0.8412,0.7253
36,0.141732,2817436900,1618804606,527306470,0.6351,0.8423,0.7242
37,0.145669,2809643105,1626598401,522629875,0.6333,0.8432,0.7233
38,0.149606,2803263196,1632978310,518866773,0.6319,0.8438,0.7226
39,0.153543,2797663882,1638577624,515596457,0.6306,0.8444,0.722
40,0.15748,2792795658,1643445848,512768489,0.6295,0.8449,0.7215
41,0.161417,2788477501,1647764005,510269869,0.6286,0.8453,0.721
42,0.165354,2784475459,1651766047,507956632,0.6277,0.8457,0.7206
43,0.169291,2780851135,1655390371,505864958,0.6268,0.8461,0.7202
44,0.173228,2777428503,1658813003,503896331,0.6261,0.8464,0.7198
45,0.177165,2774286064,1661955442,502088270,0.6254,0.8468,0.7194
46,0.181102,2771280772,1664960734,500361783,0.6247,0.8471,0.7191
47,0.185039,2768501899,1667739607,498767680,0.6241,0.8473,0.7188
48,0.188976,2765826534,1670414972,497235193,0.6235,0.8476,0.7185
49,0.192913,2763338170,1672903336,495814046,0.6229,0.8479,0.7182
50,0.19685,2760926225,1675315281,494436109,0.6224,0.8481,0.7179
51,0.200787,2758673872,1677567634,493156169,0.6218,0.8483,0.7177
52,0.204724,2756483697,1679757809,491909424,0.6214,0.8486,0.7174
53,0.208661,2754349747,1681891759,490694502,0.6209,0.8488,0.7172
54,0.212598,2752265390,1683976116,489510989,0.6204,0.849,0.7169
55,0.216535,2750306570,1685934936,488399018,0.62,0.8492,0.7167
56,0.220472,2748388770,1687852736,487315526,0.6195,0.8494,0.7165
57,0.224409,2746587453,1689654053,486295949,0.6191,0.8496,0.7163
58,0.228346,2744813321,1691428185,485297280,0.6187,0.8498,0.7161
59,0.232283,2743069634,1693171872,484318176,0.6183,0.8499,0.7159
60,0.23622,2741354151,1694887355,483353084,0.6179,0.8501,0.7157
61,0.240157,2739738955,1696502551,482442330,0.6176,0.8503,0.7155
62,0.244094,2738139193,1698102313,481546622,0.6172,0.8504,0.7153
63,0.248031,2736559596,1699681910,480662550,0.6169,0.8506,0.7151
64,0.251968,2735000157,1701241349,479790072,0.6165,0.8508,0.7149
65,0.255905,2733525483,1702716023,478967991,0.6162,0.8509,0.7148
66,0.259842,2732065390,1704176116,478154509,0.6159,0.8511,0.7146
67,0.263779,2730618275,1705623231,477349376,0.6155,0.8512,0.7144
68,0.267716,2729181010,1707060496,476553504,0.6152,0.8513,0.7143
69,0.271653,2727821438,1708420068,475801683,0.6149,0.8515,0.7141
70,0.27559,2726417295,1709824211,475029564,0.6146,0.8516,0.7139
71,0.279527,2725071922,1711169584,474289810,0.6143,0.8518,0.7138
72,0.283464,2723731381,1712510125,473554925,0.614,0.8519,0.7136
73,0.287401,2722396108,1713845398,472823903,0.6137,0.852,0.7135
74,0.291338,2721097220,1715144286,472114288,0.6134,0.8522,0.7133
75,0.295275,2719763862,1716477644,471390830,0.6131,0.8523,0.7132
76,0.299212,2718499297,1717742209,470704160,0.6128,0.8524,0.713
77,0.303149,2717200286,1719041220,470003508,0.6125,0.8525,0.7129
78,0.307086,2715937036,1720304470,469322519,0.6122,0.8527,0.7127
79,0.311023,2714674316,1721567190,468643478,0.6119,0.8528,0.7126
80,0.31496,2713440299,1722801207,467984165,0.6117,0.8529,0.7124
81,0.318897,2712172046,1724069460,467307536,0.6114,0.853,0.7123
