k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,3761880,0,5479590,1.0,0.4071,0.5786
2,0.007874,3761880,0,5479590,1.0,0.4071,0.5786
3,0.011811,3761880,0,5479590,1.0,0.4071,0.5786
4,0.015748,3761880,0,5479590,1.0,0.4071,0.5786
5,0.019685,3761880,0,5479590,1.0,0.4071,0.5786
6,0.023622,3761880,0,5479590,1.0,0.4071,0.5786
7,0.027559,3761880,0,5479590,1.0,0.4071,0.5786
8,0.031496,3761880,0,5479590,1.0,0.4071,0.5786
9,0.035433,3761880,0,5479590,1.0,0.4071,0.5786
10,0.03937,3761880,0,5479590,1.0,0.4071,0.5786
11,0.043307,3761880,0,5479590,1.0,0.4071,0.5786
12,0.047244,3761880,0,5479590,1.0,0.4071,0.5786
13,0.051181,3761880,0,5479590,1.0,0.4071,0.5786
14,0.055118,3761880,0,5479590,1.0,0.4071,0.5786
15,0.059055,3761880,0,5479590,1.0,0.4071,0.5786
16,0.062992,3761880,0,5479590,1.0,0.4071,0.5786
17,0.066929,3761880,0,5479590,1.0,0.4071,0.5786
18,0.070866,3761880,0,5479590,1.0,0.4071,0.5786
19,0.074803,3761880,0,5479590,1.0,0.4071,0.5786
20,0.07874,3761880,0,5479590,1.0,0.4071,0.5786
21,0.082677,3761880,0,5479590,1.0,0.4071,0.5786
22,0.086614,3761880,0,5479590,1.0,0.4071,0.5786
23,0.090551,3761880,0,5479590,1.0,0.4071,0.5786
24,0.094488,3761880,0,5479590,1.0,0.4071,0.5786
25,0.098425,3761880,0,5479590,1.0,0.4071,0.5786
26,0.102362,3761880,0,5479590,1.0,0.4071,0.5786
27,0.106299,3761880,0,5479590,1.0,0.4071,0.5786
28,0.110236,3761880,0,5479551,1.0,0.4071,0.5786
29,0.114173,3761879,1,5478465,1.0,0.4071,0.5787
30,0.11811,3761858,22,5474813,1.0,0.4073,0.5788
31,0.122047,3761813,67,5465929,1.0,0.4077,0.5792
32,0.125984,3761624,256,5449556,0.9999,0.4084,0.5799
33,0.129921,3761174,706,5422790,0.9998,0.4095,0.5811
34,0.133858,3760147,1733,5372613,0.9995,0.4117,0.5832
35,0.137795,3758141,3739,5284872,0.999,0.4156,0.587
36,0.141732,3754298,7582,5139321,0.998,0.4221,0.5933
37,0.145669,3748193,13687,4929773,0.9964,0.4319,0.6026
38,0.149606,3739044,22836,4672092,0.9939,0.4445,0.6143
39,0.153543,3724323,37557,4362935,0.99,0.4605,0.6286
40,0.15748,3704707,57173,4037384,0.9848,0.4785,0.6441
41,0.161417,3680451,81429,3731202,0.9784,0.4966,0.6588
42,0.165354,3650255,111625,3440666,0.9703,0.5148,0.6727
43,0.169291,3616689,145191,3171399,0.9614,0.5328,0.6856
44,0.173228,3578943,182937,2913465,0.9514,0.5513,0.698
45,0.177165,3539456,222424,2684785,0.9409,0.5687,0.7089
46,0.181102,3496265,265615,2476815,0.9294,0.5853,0.7183
47,0.185039,3451781,310099,2295848,0.9176,0.6006,0.726
48,0.188976,3403675,358205,2133131,0.9048,0.6147,0.7321
49,0.192913,3356079,405801,1990343,0.8921,0.6277,0.7369
50,0.19685,3308026,453854,1862437,0.8794,0.6398,0.7407
51,0.200787,3259603,502277,1748870,0.8665,0.6508,0.7433
52,0.204724,3210722,551158,1644027,0.8535,0.6614,0.7452
53,0.208661,3162642,599238,1549265,0.8407,0.6712,0.7465
54,0.212598,3115715,646165,1461964,0.8282,0.6806,0.7472
55,0.216535,3072749,689131,1386124,0.8168,0.6891,0.7476
56,0.220472,3032805,729075,1319355,0.8062,0.6969,0.7475
57,0.224409,2998184,763696,1262730,0.797,0.7036,0.7474
58,0.228346,2967275,794605,1213996,0.7888,0.7097,0.7471
59,0.232283,2939864,822016,1172982,0.7815,0.7148,0.7467
60,0.23622,2916168,845712,1138660,0.7752,0.7192,0.7461
61,0.240157,2896706,865174,1111191,0.77,0.7227,0.7456
62,0.244094,2879871,882009,1088743,0.7655,0.7257,0.7451
63,0.248031,2864915,896965,1069924,0.7616,0.7281,0.7445
64,0.251968,2851556,910324,1053377,0.758,0.7302,0.7439
65,0.255905,2839827,922053,1039453,0.7549,0.7321,0.7433
66,0.259842,2829109,932771,1026777,0.752,0.7337,0.7428
67,0.263779,2819031,942849,1014718,0.7494,0.7353,0.7423
68,0.267716,2809451,952429,1003580,0.7468,0.7368,0.7418
69,0.271653,2800375,961505,993195,0.7444,0.7382,0.7413
70,0.27559,2792209,969671,983693,0.7422,0.7395,0.7409
71,0.279527,2784207,977673,974812,0.7401,0.7407,0.7404
72,0.283464,2776412,985468,966174,0.738,0.7418,0.7399
73,0.287401,2768920,992960,958131,0.736,0.7429,0.7395
74,0.291338,2762006,999874,950612,0.7342,0.744,0.739
75,0.295275,2755044,1006836,943190,0.7324,0.745,0.7386
76,0.299212,2748609,1013271,936270,0.7306,0.7459,0.7382
77,0.303149,2742190,1019690,929450,0.7289,0.7469,0.7378
78,0.307086,2736013,1025867,923009,0.7273,0.7477,0.7374
79,0.311023,2729889,1031991,916716,0.7257,0.7486,0.737
80,0.31496,2724139,1037741,910699,0.7241,0.7495,0.7366
81,0.318897,2718323,1043557,904512,0.7226,0.7503,0.7362
82,0.322834,2712630,1049250,898781,0.7211,0.7511,0.7358
83,0.326771,2707080,1054800,893101,0.7196,0.7519,0.7354
84,0.330708,2701698,1060182,887693,0.7182,0.7527,0.735
85,0.334645,2696184,1065696,882183,0.7167,0.7535,0.7346
86,0.338582,2690950,1070930,876881,0.7153,0.7542,0.7343
87,0.342519,2685825,1076055,871706,0.714,0.755,0.7339
88,0.346456,2680592,1081288,866535,0.7126,0.7557,0.7335
89,0.350393,2675380,1086500,861537,0.7112,0.7564,0.7331
90,0.35433,2670410,1091470,856812,0.7099,0.7571,0.7327
91,0.358267,2665495,1096385,852138,0.7086,0.7578,0.7323
92,0.362204,2660522,1101358,847597,0.7072,0.7584,0.7319
93,0.366141,2655569,1106311,843068,0.7059,0.759,0.7315
94,0.370078,2650636,1111244,838597,0.7046,0.7597,0.7311
95,0.374015,2645882,1115998,834201,0.7033,0.7603,0.7307
96,0.377952,2640895,1120985,829682,0.702,0.7609,0.7303
97,0.381889,2636053,1125827,825330,0.7007,0.7616,0.7299
98,0.385826,2631142,1130738,820864,0.6994,0.7622,0.7295
99,0.389763,2626370,1135510,816584,0.6982,0.7628,0.7291
100,0.3937,2621503,1140377,812389,0.6969,0.7634,0.7286
101,0.397637,2616511,1145369,808071,0.6955,0.764,0.7282
102,0.401574,2611643,1150237,803944,0.6942,0.7646,0.7277
103,0.405511,2606697,1155183,799793,0.6929,0.7652,0.7273
104,0.409448,2601793,1160087,795622,0.6916,0.7658,0.7268
105,0.413385,2596792,1165088,791482,0.6903,0.7664,0.7264
106,0.417322,2591818,1170062,787438,0.689,0.767,0.7259
107,0.421259,2586674,1175206,783270,0.6876,0.7676,0.7254
108,0.425196,2581637,1180243,779290,0.6863,0.7681,0.7249
109,0.429133,2576495,1185385,775260,0.6849,0.7687,0.7244
110,0.43307,2571305,1190575,771146,0.6835,0.7693,0.7239
111,0.437007,2566029,1195851,766917,0.6821,0.7699,0.7234
112,0.440944,2560625,1201255,762741,0.6807,0.7705,0.7228
113,0.444881,2555010,1206870,758386,0.6792,0.7711,0.7222
114,0.448818,2549249,1212631,753994,0.6777,0.7717,0.7216
115,0.452755,2543404,1218476,749570,0.6761,0.7724,0.721
116,0.456692,2537628,1224252,745168,0.6746,0.773,0.7204
117,0.460629,2531677,1230203,740429,0.673,0.7737,0.7198
118,0.464566,2525230,1236650,735663,0.6713,0.7744,0.7192
119,0.468503,2518592,1243288,730787,0.6695,0.7751,0.7184
120,0.47244,2511630,1250250,725616,0.6677,0.7759,0.7177
121,0.476377,2504107,1257773,720211,0.6657,0.7766,0.7169
122,0.480314,2495901,1265979,714459,0.6635,0.7775,0.716
123,0.484251,2486949,1274931,708161,0.6611,0.7784,0.7149
124,0.488188,2477156,1284724,701383,0.6585,0.7793,0.7138
125,0.492125,2466119,1295761,693762,0.6556,0.7804,0.7126
