k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,6456574,0,13356617,1.0,0.3259,0.4916
2,0.007874,6456574,0,13356617,1.0,0.3259,0.4916
3,0.011811,6456574,0,13356617,1.0,0.3259,0.4916
4,0.015748,6456574,0,13356617,1.0,0.3259,0.4916
5,0.019685,6456574,0,13356617,1.0,0.3259,0.4916
6,0.023622,6456574,0,13356617,1.0,0.3259,0.4916
7,0.027559,6456574,0,13356617,1.0,0.3259,0.4916
8,0.031496,6456574,0,13356617,1.0,0.3259,0.4916
9,0.035433,6456574,0,13356617,1.0,0.3259,0.4916
10,0.03937,6456574,0,13356617,1.0,0.3259,0.4916
11,0.043307,6456574,0,13356617,1.0,0.3259,0.4916
12,0.047244,6456574,0,13356617,1.0,0.3259,0.4916
13,0.051181,6456574,0,13356617,1.0,0.3259,0.4916
14,0.055118,6456574,0,13356617,1.0,0.3259,0.4916
15,0.059055,6456574,0,13356617,1.0,0.3259,0.4916
16,0.062992,6456574,0,13356617,1.0,0.3259,0.4916
17,0.066929,6456574,0,13356617,1.0,0.3259,0.4916
18,0.070866,6456574,0,13356617,1.0,0.3259,0.4916
19,0.074803,6456574,0,13356617,1.0,0.3259,0.4916
20,0.07874,6456574,0,13356617,1.0,0.3259,0.4916
21,0.082677,6456574,0,13356617,1.0,0.3259,0.4916
22,0.086614,6456574,0,13356617,1.0,0.3259,0.4916
23,0.090551,6456574,0,13356617,1.0,0.3259,0.4916
24,0.094488,6456574,0,13356617,1.0,0.3259,0.4916
25,0.098425,6456574,0,13355291,1.0,0.3259,0.4916
26,0.102362,6456574,0,13351089,1.0,0.326,0.4917
27,0.106299,6456554,20,13341939,1.0,0.3261,0.4918
28,0.110236,6456521,53,13309864,1.0,0.3266,0.4924
29,0.114173,6456317,257,13245886,1.0,0.3277,0.4936
30,0.11811,6455862,712,13154926,0.9999,0.3292,0.4953
31,0.122047,6454877,1697,13021529,0.9997,0.3314,0.4978
32,0.125984,6453425,3149,12871823,0.9995,0.3339,0.5006
33,0.129921,6451141,5433,12686006,0.9992,0.3371,0.5041
34,0.133858,6446504,10070,12420015,0.9984,0.3417,0.5091
35,0.137795,6439878,16696,12030247,0.9974,0.3487,0.5167
36,0.141732,6430053,26521,11483666,0.9959,0.3589,0.5277
37,0.145669,6416332,40242,10810185,0.9938,0.3725,0.5418
38,0.149606,6398293,58281,10055312,0.991,0.3889,0.5586
39,0.153543,6373947,82627,9240021,0.9872,0.4082,0.5776
40,0.15748,6344781,111793,8459667,0.9827,0.4286,0.5968
41,0.161417,6310926,145648,7758325,0.9774,0.4486,0.6149
42,0.165354,6269079,187495,7111688,0.971,0.4685,0.632
43,0.169291,6220036,236538,6532071,0.9634,0.4878,0.6476
44,0.173228,6163372,293202,5998700,0.9546,0.5068,0.6621
45,0.177165,6102726,353848,5527903,0.9452,0.5247,0.6748
46,0.181102,6036027,420547,5094978,0.9349,0.5423,0.6864
47,0.185039,5967212,489362,4710213,0.9242,0.5589,0.6965
48,0.188976,5895206,561368,4354461,0.9131,0.5752,0.7057
49,0.192913,5824019,632555,4043300,0.902,0.5902,0.7136
50,0.19685,5752669,703905,3760667,0.891,0.6047,0.7204
51,0.200787,5682114,774460,3512097,0.8801,0.618,0.7261
52,0.204724,5608862,847712,3285313,0.8687,0.6306,0.7308
53,0.208661,5535437,921137,3079360,0.8573,0.6425,0.7346
54,0.212598,5464770,991804,2896789,0.8464,0.6536,0.7376
55,0.216535,5400750,1055824,2742280,0.8365,0.6632,0.7398
56,0.220472,5341081,1115493,2607204,0.8272,0.672,0.7416
57,0.224409,5288787,1167787,2496261,0.8191,0.6794,0.7427
58,0.228346,5241218,1215356,2400054,0.8118,0.6859,0.7435
59,0.232283,5198959,1257615,2318605,0.8052,0.6916,0.7441
60,0.23622,5162371,1294203,2251683,0.7996,0.6963,0.7444
61,0.240157,5133033,1323541,2198913,0.795,0.7001,0.7445
62,0.244094,5108440,1348134,2156345,0.7912,0.7032,0.7446
63,0.248031,5087411,1369163,2120911,0.7879,0.7058,0.7446
64,0.251968,5068709,1387865,2090862,0.785,0.708,0.7445
65,0.255905,5052568,1404006,2065358,0.7825,0.7098,0.7444
66,0.259842,5037614,1418960,2042022,0.7802,0.7116,0.7443
67,0.263779,5023729,1432845,2020610,0.7781,0.7132,0.7442
68,0.267716,5010611,1445963,2000768,0.776,0.7146,0.7441
69,0.271653,4998509,1458065,1982933,0.7742,0.716,0.7439
70,0.27559,4987137,1469437,1965894,0.7724,0.7173,0.7438
71,0.279527,4976498,1480076,1949932,0.7708,0.7185,0.7437
72,0.283464,4965861,1490713,1934676,0.7691,0.7196,0.7436
73,0.287401,4955698,1500876,1920019,0.7675,0.7208,0.7434
74,0.291338,4946019,1510555,1906305,0.766,0.7218,0.7433
75,0.295275,4936294,1520280,1892885,0.7645,0.7228,0.7431
76,0.299212,4927305,1529269,1880446,0.7631,0.7238,0.7429
77,0.303149,4918449,1538125,1867684,0.7618,0.7248,0.7428
