k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,11908269,0,30056090,1.0,0.2838,0.4421
2,0.007874,11908269,0,30056090,1.0,0.2838,0.4421
3,0.011811,11908269,0,30056090,1.0,0.2838,0.4421
4,0.015748,11908269,0,30056090,1.0,0.2838,0.4421
5,0.019685,11908269,0,30056090,1.0,0.2838,0.4421
6,0.023622,11908269,0,30056090,1.0,0.2838,0.4421
7,0.027559,11908269,0,30056090,1.0,0.2838,0.4421
8,0.031496,11908269,0,30056090,1.0,0.2838,0.4421
9,0.035433,11908269,0,30056090,1.0,0.2838,0.4421
10,0.03937,11908269,0,30056090,1.0,0.2838,0.4421
11,0.043307,11908269,0,30056090,1.0,0.2838,0.4421
12,0.047244,11908269,0,30056090,1.0,0.2838,0.4421
13,0.051181,11908269,0,30056090,1.0,0.2838,0.4421
14,0.055118,11908269,0,30056090,1.0,0.2838,0.4421
15,0.059055,11908269,0,30056090,1.0,0.2838,0.4421
16,0.062992,11908262,7,30052488,1.0,0.2838,0.4421
17,0.066929,11900659,7610,29592456,0.9994,0.2868,0.4457
18,0.070866,11793376,114893,25916109,0.9904,0.3127,0.4754
19,0.074803,11504722,403547,20693362,0.9661,0.3573,0.5217
20,0.07874,11132601,775668,17108059,0.9349,0.3942,0.5546
21,0.082677,10763195,1145074,10043376,0.9038,0.5173,0.658
22,0.086614,10457067,1451202,6506093,0.8781,0.6165,0.7244
23,0.090551,10242783,1665486,5800954,0.8601,0.6384,0.7329
24,0.094488,10090130,1818139,5423316,0.8473,0.6504,0.7359
25,0.098425,9975221,1933048,5174403,0.8377,0.6584,0.7373
26,0.102362,9887268,2021001,5001159,0.8303,0.6641,0.7379
27,0.106299,9816501,2091768,4867114,0.8243,0.6685,0.7383
28,0.110236,9756607,2151662,4758633,0.8193,0.6722,0.7385
29,0.114173,9704599,2203670,4668054,0.8149,0.6752,0.7385
30,0.11811,9657084,2251185,4586299,0.811,0.678,0.7385
31,0.122047,9614300,2293969,4513919,0.8074,0.6805,0.7385
32,0.125984,9575015,2333254,4448318,0.8041,0.6828,0.7385
33,0.129921,9539659,2368610,4390216,0.8011,0.6848,0.7384
34,0.133858,9505619,2402650,4335583,0.7982,0.6868,0.7383
35,0.137795,9473949,2434320,4285125,0.7956,0.6886,0.7382
36,0.141732,9444196,2464073,4238197,0.7931,0.6902,0.7381
37,0.145669,9416177,2492092,4194642,0.7907,0.6918,0.738
38,0.149606,9389776,2518493,4154197,0.7885,0.6933,0.7378
39,0.153543,9363819,2544450,4115326,0.7863,0.6947,0.7377
40,0.15748,9339270,2568999,4078389,0.7843,0.696,0.7375
41,0.161417,9315768,2592501,4043616,0.7823,0.6973,0.7374
42,0.165354,9292685,2615584,4009753,0.7804,0.6986,0.7372
43,0.169291,9270940,2637329,3977984,0.7785,0.6998,0.737
44,0.173228,9249282,2658987,3946686,0.7767,0.7009,0.7369
45,0.177165,9228996,2679273,3917439,0.775,0.702,0.7367
46,0.181102,9208667,2699602,3888453,0.7733,0.7031,0.7365
47,0.185039,9188789,2719480,3860892,0.7716,0.7041,0.7363
48,0.188976,9169335,2738934,3833724,0.77,0.7052,0.7362
