k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,238463729,0,493343217,1.0,0.3259,0.4915
2,0.007874,238463729,0,493343217,1.0,0.3259,0.4915
3,0.011811,238463729,0,493343217,1.0,0.3259,0.4915
4,0.015748,238463729,0,493343217,1.0,0.3259,0.4915
5,0.019685,238463729,0,493343217,1.0,0.3259,0.4915
6,0.023622,238463729,0,493343217,1.0,0.3259,0.4915
7,0.027559,238463729,0,493343217,1.0,0.3259,0.4915
8,0.031496,238463729,0,493343217,1.0,0.3259,0.4915
9,0.035433,238463729,0,493343217,1.0,0.3259,0.4915
10,0.03937,238463729,0,493343217,1.0,0.3259,0.4915
11,0.043307,238463729,0,493343217,1.0,0.3259,0.4915
12,0.047244,238463729,0,493343217,1.0,0.3259,0.4915
13,0.051181,238463729,0,493343217,1.0,0.3259,0.4915
14,0.055118,238463729,0,493343217,1.0,0.3259,0.4915
15,0.059055,238463729,0,493343217,1.0,0.3259,0.4915
16,0.062992,238463729,0,493343217,1.0,0.3259,0.4915
17,0.066929,238463729,0,493343217,1.0,0.3259,0.4915
18,0.070866,238463729,0,493343217,1.0,0.3259,0.4915
19,0.074803,238463729,0,493343217,1.0,0.3259,0.4915
20,0.07874,238463729,0,493343217,1.0,0.3259,0.4915
21,0.082677,238463729,0,493343217,1.0,0.3259,0.4915
22,0.086614,238463729,0,493343217,1.0,0.3259,0.4915
23,0.090551,238461129,2600,493327510,1.0,0.3259,0.4915
24,0.094488,236750453,1713276,489653185,0.9928,0.3259,0.4907
25,0.098425,208099457,30364272,294913829,0.8727,0.4137,0.5613
26,0.102362,167848662,70615067,59485795,0.7039,0.7383,0.7207
27,0.106299,152670431,85793298,38194449,0.6402,0.7999,0.7112
28,0.110236,147251567,91212162,34358034,0.6175,0.8108,0.7011
29,0.114173,144950950,93512779,32963635,0.6079,0.8147,0.6962
30,0.11811,143691398,94772331,32246786,0.6026,0.8167,0.6935
31,0.122047,142873168,95590561,31796782,0.5991,0.818,0.6917
32,0.125984,142329591,96134138,31505175,0.5969,0.8188,0.6904
33,0.129921,141923914,96539815,31289681,0.5952,0.8194,0.6895
34,0.133858,141582450,96881279,31109806,0.5937,0.8199,0.6887
35,0.137795,141291431,97172298,30956478,0.5925,0.8203,0.688
36,0.141732,141037621,97426108,30823232,0.5914,0.8207,0.6874
37,0.145669,140813341,97650388,30705974,0.5905,0.821,0.6869
38,0.149606,140611281,97852448,30600801,0.5897,0.8213,0.6865
39,0.153543,140422574,98041155,30503180,0.5889,0.8215,0.686
40,0.15748,140250822,98212907,30414268,0.5881,0.8218,0.6856
41,0.161417,140093604,98370125,30332946,0.5875,0.822,0.6852
42,0.165354,139944201,98519528,30256174,0.5869,0.8222,0.6849
43,0.169291,139806211,98657518,30185410,0.5863,0.8224,0.6846
44,0.173228,139674111,98789618,30116746,0.5857,0.8226,0.6843
45,0.177165,139551665,98912064,30053825,0.5852,0.8228,0.684
46,0.181102,139432464,99031265,29992766,0.5847,0.823,0.6837
47,0.185039,139320883,99142846,29935813,0.5842,0.8231,0.6834
48,0.188976,139212906,99250823,29880071,0.5838,0.8233,0.6832
49,0.192913,139111170,99352559,29828664,0.5834,0.8234,0.6829
50,0.19685,139012495,99451234,29778415,0.583,0.8236,0.6827
51,0.200787,138919686,99544043,29730737,0.5826,0.8237,0.6825
52,0.204724,138828577,99635152,29684781,0.5822,0.8238,0.6822
53,0.208661,138739706,99724023,29639372,0.5818,0.824,0.682
54,0.212598,138652369,99811360,29594484,0.5814,0.8241,0.6818
55,0.216535,138569631,99894098,29552702,0.5811,0.8242,0.6816
56,0.220472,138487926,99975803,29511467,0.5808,0.8243,0.6814
57,0.224409,138410683,100053046,29472844,0.5804,0.8244,0.6812
58,0.228346,138335271,100128458,29434439,0.5801,0.8246,0.6811
59,0.232283,138259944,100203785,29396813,0.5798,0.8247,0.6809
60,0.23622,138185498,100278231,29359458,0.5795,0.8248,0.6807
61,0.240157,138115349,100348380,29324237,0.5792,0.8249,0.6805
62,0.244094,138045740,100417989,29289286,0.5789,0.825,0.6804
63,0.248031,137976528,100487201,29254726,0.5786,0.8251,0.6802
64,0.251968,137907380,100556349,29220414,0.5783,0.8252,0.68
65,0.255905,137842103,100621626,29187704,0.578,0.8253,0.6799
66,0.259842,137776693,100687036,29155271,0.5778,0.8253,0.6797
67,0.263779,137711616,100752113,29122812,0.5775,0.8254,0.6796
68,0.267716,137646660,100817069,29090364,0.5772,0.8255,0.6794
69,0.271653,137584024,100879705,29059253,0.577,0.8256,0.6792
70,0.27559,137521273,100942456,29027984,0.5767,0.8257,0.6791
71,0.279527,137459779,101003950,28997442,0.5764,0.8258,0.6789
72,0.283464,137397975,101065754,28967059,0.5762,0.8259,0.6788
73,0.287401,137336322,101127407,28936599,0.5759,0.826,0.6786
74,0.291338,137275834,101187895,28906505,0.5757,0.8261,0.6785
75,0.295275,137213390,101250339,28875695,0.5754,0.8261,0.6783
76,0.299212,137154319,101309410,28846750,0.5752,0.8262,0.6782
77,0.303149,137093849,101369880,28817129,0.5749,0.8263,0.6781
78,0.307086,137034625,101429104,28788161,0.5747,0.8264,0.6779
79,0.311023,136975496,101488233,28758876,0.5744,0.8265,0.6778
80,0.31496,136917693,101546036,28730458,0.5742,0.8266,0.6776
81,0.318897,136857582,101606147,28701175,0.5739,0.8266,0.6775
82,0.322834,136799338,101664391,28672582,0.5737,0.8267,0.6773
83,0.326771,136740164,101723565,28643512,0.5734,0.8268,0.6772
84,0.330708,136681943,101781786,28615405,0.5732,0.8269,0.677
85,0.334645,136622709,101841020,28586083,0.5729,0.827,0.6769
86,0.338582,136564336,101899393,28557170,0.5727,0.8271,0.6768
87,0.342519,136505248,101958481,28528679,0.5724,0.8271,0.6766
88,0.346456,136446260,102017469,28500025,0.5722,0.8272,0.6765
89,0.350393,136386924,102076805,28471292,0.5719,0.8273,0.6763
90,0.35433,136328577,102135152,28443281,0.5717,0.8274,0.6762
91,0.358267,136270132,102193597,28414968,0.5715,0.8275,0.676
92,0.362204,136211608,102252121,28386677,0.5712,0.8275,0.6759
93,0.366141,136152869,102310860,28358120,0.571,0.8276,0.6757
94,0.370078,136093428,102370301,28329620,0.5707,0.8277,0.6756
95,0.374015,136035385,102428344,28301600,0.5705,0.8278,0.6754
96,0.377952,135975517,102488212,28272391,0.5702,0.8279,0.6753
97,0.381889,135916760,102546969,28244258,0.57,0.8279,0.6752
98,0.385826,135856911,102606818,28215700,0.5697,0.828,0.675
99,0.389763,135795921,102667808,28186365,0.5695,0.8281,0.6749
100,0.3937,135734759,102728970,28157402,0.5692,0.8282,0.6747
101,0.397637,135672659,102791070,28127602,0.5689,0.8283,0.6745
102,0.401574,135610312,102853417,28097529,0.5687,0.8284,0.6744
103,0.405511,135546465,102917264,28067268,0.5684,0.8285,0.6742
104,0.409448,135481835,102981894,28036235,0.5681,0.8285,0.6741
105,0.413385,135415248,103048481,28004739,0.5679,0.8286,0.6739
106,0.417322,135347889,103115840,27973054,0.5676,0.8287,0.6737
107,0.421259,135278856,103184873,27940016,0.5673,0.8288,0.6736
108,0.425196,135208470,103255259,27906565,0.567,0.8289,0.6734
