k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,6799552,22967,11745897,0.9966,0.3666,0.5361
2,0.007874,6714554,107965,8795407,0.9842,0.4329,0.6013
3,0.011811,6631029,191490,7258029,0.9719,0.4774,0.6403
4,0.015748,6558119,264400,6400476,0.9612,0.5061,0.6631
5,0.019685,6491678,330841,5817671,0.9515,0.5274,0.6786
6,0.023622,6434637,387882,5386152,0.9431,0.5443,0.6903
7,0.027559,6382328,440191,5026987,0.9355,0.5594,0.7001
8,0.031496,6333631,488888,4724527,0.9283,0.5728,0.7084
9,0.035433,6286933,535586,4454592,0.9215,0.5853,0.7159
10,0.03937,6242812,579707,4220172,0.915,0.5967,0.7223
11,0.043307,6200231,622288,4011020,0.9088,0.6072,0.728
12,0.047244,6157893,664626,3817586,0.9026,0.6173,0.7332
13,0.051181,6116069,706450,3641198,0.8965,0.6268,0.7378
14,0.055118,6074100,748419,3469172,0.8903,0.6365,0.7423
15,0.059055,6032896,789623,3309640,0.8843,0.6457,0.7464
16,0.062992,5992011,830508,3163075,0.8783,0.6545,0.7501
17,0.066929,5951768,870751,3023988,0.8724,0.6631,0.7535
18,0.070866,5911584,910935,2892771,0.8665,0.6714,0.7566
19,0.074803,5870978,951541,2765397,0.8605,0.6798,0.7596
20,0.07874,5831163,991356,2648032,0.8547,0.6877,0.7622
21,0.082677,5791421,1031098,2538336,0.8489,0.6953,0.7644
22,0.086614,5751962,1070557,2436164,0.8431,0.7025,0.7664
23,0.090551,5715232,1107287,2346578,0.8377,0.7089,0.768
24,0.094488,5680071,1142448,2265151,0.8325,0.7149,0.7693
25,0.098425,5644942,1177577,2188391,0.8274,0.7206,0.7703
26,0.102362,5611223,1211296,2117792,0.8225,0.726,0.7712
27,0.106299,5578803,1243716,2052744,0.8177,0.731,0.7719
28,0.110236,5547817,1274702,1993978,0.8132,0.7356,0.7724
29,0.114173,5518775,1303744,1940138,0.8089,0.7399,0.7729
30,0.11811,5490151,1332368,1888331,0.8047,0.7441,0.7732
31,0.122047,5461825,1360694,1839207,0.8006,0.7481,0.7734
32,0.125984,5434794,1387725,1793912,0.7966,0.7518,0.7736
33,0.129921,5409093,1413426,1752844,0.7928,0.7553,0.7736
34,0.133858,5383762,1438757,1713243,0.7891,0.7586,0.7736
35,0.137795,5359008,1463511,1676094,0.7855,0.7618,0.7734
36,0.141732,5335400,1487119,1641482,0.782,0.7647,0.7733
37,0.145669,5312296,1510223,1608738,0.7786,0.7676,0.7731
38,0.149606,5290162,1532357,1577741,0.7754,0.7703,0.7728
39,0.153543,5267782,1554737,1547711,0.7721,0.7729,0.7725
40,0.15748,5245743,1576776,1519346,0.7689,0.7754,0.7721
41,0.161417,5225185,1597334,1491847,0.7659,0.7779,0.7718
42,0.165354,5204377,1618142,1465216,0.7628,0.7803,0.7715
43,0.169291,5183992,1638527,1439914,0.7598,0.7826,0.7711
44,0.173228,5164256,1658263,1415533,0.7569,0.7849,0.7707
45,0.177165,5145241,1677278,1392547,0.7542,0.787,0.7702
46,0.181102,5126439,1696080,1370071,0.7514,0.7891,0.7698
47,0.185039,5108651,1713868,1349105,0.7488,0.7911,0.7694
48,0.188976,5090922,1731597,1328547,0.7462,0.793,0.7689
49,0.192913,5074400,1748119,1309456,0.7438,0.7949,0.7685
50,0.19685,5058134,1764385,1290896,0.7414,0.7967,0.768
51,0.200787,5042688,1779831,1273625,0.7391,0.7984,0.7676
52,0.204724,5027373,1795146,1257092,0.7369,0.8,0.7671
53,0.208661,5012510,1810009,1240912,0.7347,0.8016,0.7667
54,0.212598,4997744,1824775,1225167,0.7325,0.8031,0.7662
55,0.216535,4983743,1838776,1210553,0.7305,0.8046,0.7657
56,0.220472,4969743,1852776,1196164,0.7284,0.806,0.7653
57,0.224409,4956967,1865552,1182875,0.7266,0.8073,0.7648
58,0.228346,4943918,1878601,1169871,0.7246,0.8087,0.7643
59,0.232283,4931093,1891426,1157231,0.7228,0.8099,0.7639
60,0.23622,4918167,1904352,1144732,0.7209,0.8112,0.7634
61,0.240157,4906220,1916299,1133289,0.7191,0.8124,0.7629
62,0.244094,4894412,1928107,1121729,0.7174,0.8135,0.7624
63,0.248031,4882428,1940091,1110518,0.7156,0.8147,0.762
64,0.251968,4870649,1951870,1099391,0.7139,0.8158,0.7615
65,0.255905,4859463,1963056,1089016,0.7123,0.8169,0.761
66,0.259842,4848371,1974148,1078830,0.7106,0.818,0.7605
67,0.263779,4837210,1985309,1068790,0.709,0.819,0.7601
68,0.267716,4826067,1996452,1058748,0.7074,0.8201,0.7596
69,0.271653,4815298,2007221,1049171,0.7058,0.8211,0.7591
70,0.27559,4804655,2017864,1039636,0.7042,0.8221,0.7586
71,0.279527,4794105,2028414,1030355,0.7027,0.8231,0.7581
72,0.283464,4783442,2039077,1021284,0.7011,0.8241,0.7576
73,0.287401,4773041,2049478,1012323,0.6996,0.825,0.7572
74,0.291338,4763022,2059497,1003622,0.6981,0.826,0.7567
75,0.295275,4752579,2069940,994679,0.6966,0.8269,0.7562
76,0.299212,4742574,2079945,986269,0.6951,0.8278,0.7557
77,0.303149,4732349,2090170,977908,0.6936,0.8287,0.7552
78,0.307086,4722163,2100356,969845,0.6921,0.8296,0.7547
79,0.311023,4712242,2110277,961732,0.6907,0.8305,0.7542
80,0.31496,4702453,2120066,953950,0.6893,0.8314,0.7537
81,0.318897,4692499,2130020,945887,0.6878,0.8322,0.7532
82,0.322834,4682862,2139657,938049,0.6864,0.8331,0.7527
83,0.326771,4672963,2149556,930193,0.6849,0.834,0.7521
84,0.330708,4663381,2159138,922867,0.6835,0.8348,0.7516
85,0.334645,4653421,2169098,915301,0.6821,0.8356,0.7511
86,0.338582,4643833,2178686,907809,0.6807,0.8365,0.7506
87,0.342519,4634136,2188383,900606,0.6792,0.8373,0.75
88,0.346456,4624581,2197938,893408,0.6778,0.8381,0.7495
89,0.350393,4614921,2207598,886442,0.6764,0.8389,0.7489
90,0.35433,4605562,2216957,879629,0.6751,0.8396,0.7484
91,0.358267,4596256,2226263,872864,0.6737,0.8404,0.7479
92,0.362204,4586936,2235583,866103,0.6723,0.8412,0.7473
93,0.366141,4577573,2244946,859552,0.671,0.8419,0.7468
94,0.370078,4568095,2254424,852868,0.6696,0.8427,0.7462
95,0.374015,4558871,2263648,846422,0.6682,0.8434,0.7457
96,0.377952,4549640,2272879,839932,0.6669,0.8442,0.7451
97,0.381889,4540200,2282319,833393,0.6655,0.8449,0.7445
98,0.385826,4530866,2291653,826974,0.6641,0.8457,0.744
99,0.389763,4521661,2300858,820652,0.6628,0.8464,0.7434
100,0.3937,4512516,2310003,814372,0.6614,0.8471,0.7428
101,0.397637,4503347,2319172,808145,0.6601,0.8478,0.7423
102,0.401574,4494249,2328270,802233,0.6587,0.8485,0.7417
103,0.405511,4485145,2337374,796159,0.6574,0.8492,0.7411
104,0.409448,4476243,2346276,790124,0.6561,0.85,0.7406
105,0.413385,4467228,2355291,784168,0.6548,0.8507,0.74
106,0.417322,4458216,2364303,778257,0.6535,0.8514,0.7394
107,0.421259,4449062,2373457,772092,0.6521,0.8521,0.7388
108,0.425196,4440007,2382512,766274,0.6508,0.8528,0.7382
109,0.429133,4431001,2391518,760493,0.6495,0.8535,0.7376
110,0.43307,4422319,2400200,754716,0.6482,0.8542,0.7371
111,0.437007,4413251,2409268,749016,0.6469,0.8549,0.7365
112,0.440944,4404113,2418406,743227,0.6455,0.8556,0.7359
113,0.444881,4395034,2427485,737599,0.6442,0.8563,0.7353
114,0.448818,4386030,2436489,732184,0.6429,0.8569,0.7346
115,0.452755,4377008,2445511,726527,0.6416,0.8576,0.734
116,0.456692,4368055,2454464,720867,0.6402,0.8583,0.7334
117,0.460629,4359135,2463384,715476,0.6389,0.859,0.7328
118,0.464566,4350153,2472366,710001,0.6376,0.8597,0.7322
119,0.468503,4341155,2481364,704617,0.6363,0.8604,0.7316
120,0.47244,4332425,2490094,699186,0.635,0.861,0.731
121,0.476377,4323514,2499005,693863,0.6337,0.8617,0.7303
122,0.480314,4314538,2507981,688487,0.6324,0.8624,0.7297
123,0.484251,4305674,2516845,683166,0.6311,0.8631,0.7291
124,0.488188,4296599,2525920,677869,0.6298,0.8637,0.7284
125,0.492125,4287766,2534753,672609,0.6285,0.8644,0.7278
126,0.496062,4278906,2543613,667342,0.6272,0.8651,0.7272
127,0.5,4269871,2552648,662241,0.6258,0.8657,0.7265
128,0.503937,4260789,2561730,657142,0.6245,0.8664,0.7258
129,0.507874,4251731,2570788,652098,0.6232,0.867,0.7252
130,0.511811,4242588,2579931,646957,0.6219,0.8677,0.7245
131,0.515748,4233455,2589064,641892,0.6205,0.8683,0.7238
132,0.519685,4224323,2598196,636821,0.6192,0.869,0.7231
133,0.523622,4215216,2607303,631847,0.6178,0.8696,0.7224
134,0.527559,4206117,2616402,626884,0.6165,0.8703,0.7217
135,0.531496,4196919,2625600,621938,0.6152,0.8709,0.721
136,0.535433,4187510,2635009,616783,0.6138,0.8716,0.7203
137,0.53937,4178117,2644402,611920,0.6124,0.8723,0.7196
138,0.543307,4168701,2653818,606890,0.611,0.8729,0.7189
139,0.547244,4159105,2663414,602014,0.6096,0.8736,0.7181
140,0.551181,4149421,2673098,596980,0.6082,0.8742,0.7173
141,0.555118,4139617,2682902,592025,0.6068,0.8749,0.7166
142,0.559055,4129695,2692824,587106,0.6053,0.8755,0.7158
143,0.562992,4119721,2702798,582166,0.6038,0.8762,0.715
144,0.566929,4109496,2713023,577224,0.6023,0.8768,0.7141
145,0.570866,4099011,2723508,572131,0.6008,0.8775,0.7133
146,0.574803,4088449,2734070,567117,0.5993,0.8782,0.7124
147,0.57874,4077841,2744678,561897,0.5977,0.8789,0.7115
148,0.582677,4067041,2755478,556757,0.5961,0.8796,0.7106
149,0.586614,4055912,2766607,551595,0.5945,0.8803,0.7097
150,0.590551,4044660,2777859,546329,0.5928,0.881,0.7087
151,0.594488,4033294,2789225,541048,0.5912,0.8817,0.7078
152,0.598425,4021694,2800825,535647,0.5895,0.8825,0.7068
153,0.602362,4009845,2812674,530207,0.5877,0.8832,0.7058
154,0.606299,3997689,2824830,524688,0.586,0.884,0.7048
155,0.610236,3985401,2837118,519083,0.5842,0.8848,0.7037
156,0.614173,3972702,2849817,513491,0.5823,0.8855,0.7026
157,0.61811,3959681,2862838,507661,0.5804,0.8864,0.7015
158,0.622047,3946442,2876077,501780,0.5784,0.8872,0.7003
159,0.625984,3932943,2889576,495836,0.5765,0.888,0.6991
160,0.629921,3918873,2903646,489635,0.5744,0.8889,0.6979
161,0.633858,3904832,2917687,483554,0.5723,0.8898,0.6966
162,0.637795,3889992,2932527,477317,0.5702,0.8907,0.6953
163,0.641732,3874867,2947652,470968,0.568,0.8916,0.6939
164,0.645669,3859155,2963364,464505,0.5656,0.8926,0.6925
165,0.649606,3842942,2979577,457917,0.5633,0.8935,0.691
166,0.653543,3826402,2996117,451079,0.5608,0.8945,0.6894
167,0.65748,3808997,3013522,443889,0.5583,0.8956,0.6878
168,0.661417,3790970,3031549,436776,0.5557,0.8967,0.6861
169,0.665354,3772596,3049923,429475,0.553,0.8978,0.6844
170,0.669291,3753814,3068705,422069,0.5502,0.8989,0.6826
171,0.673228,3733868,3088651,414308,0.5473,0.9001,0.6807
172,0.677165,3713813,3108706,406886,0.5443,0.9013,0.6787
173,0.681102,3692502,3130017,399037,0.5412,0.9025,0.6767
174,0.685039,3670470,3152049,390950,0.538,0.9037,0.6745
175,0.688976,3646878,3175641,382653,0.5345,0.905,0.6721
176,0.692913,3622698,3199821,374231,0.531,0.9064,0.6697
177,0.69685,3596679,3225840,365390,0.5272,0.9078,0.667
178,0.700787,3569406,3253113,356297,0.5232,0.9092,0.6642
179,0.704724,3540742,3281777,346857,0.519,0.9108,0.6612
180,0.708661,3511407,3311112,337274,0.5147,0.9124,0.6581
181,0.712598,3479811,3342708,327004,0.51,0.9141,0.6548
182,0.716535,3447426,3375093,316867,0.5053,0.9158,0.6513
183,0.720472,3413373,3409146,306325,0.5003,0.9176,0.6476
184,0.724409,3378286,3444233,295866,0.4952,0.9195,0.6437
185,0.728346,3342187,3480332,285148,0.4899,0.9214,0.6397
186,0.732283,3303808,3518711,274474,0.4843,0.9233,0.6353
187,0.73622,3266168,3556351,264422,0.4787,0.9251,0.631
188,0.740157,3225736,3596783,254048,0.4728,0.927,0.6262
189,0.744094,3184899,3637620,244096,0.4668,0.9288,0.6214
190,0.748031,3143315,3679204,234386,0.4607,0.9306,0.6163
191,0.751968,3100828,3721691,224834,0.4545,0.9324,0.6111
192,0.755905,3055368,3767151,214953,0.4478,0.9343,0.6055
193,0.759842,3009629,3812890,205263,0.4411,0.9362,0.5997
194,0.763779,2962944,3859575,195718,0.4343,0.938,0.5937
195,0.767716,2915582,3906937,186550,0.4273,0.9399,0.5875
196,0.771653,2865525,3956994,177167,0.42,0.9418,0.5809
197,0.77559,2814745,4007774,168205,0.4126,0.9436,0.5741
198,0.779527,2764134,4058385,159510,0.4051,0.9454,0.5672
199,0.783464,2713070,4109449,151115,0.3977,0.9472,0.5602
200,0.787401,2659508,4163011,142635,0.3898,0.9491,0.5526
201,0.791338,2605503,4217016,134451,0.3819,0.9509,0.5449
202,0.795275,2549026,4273493,126465,0.3736,0.9527,0.5367
203,0.799212,2492193,4330326,118768,0.3653,0.9545,0.5284
204,0.803149,2435268,4387251,111324,0.3569,0.9563,0.5199
205,0.807086,2378087,4444432,104210,0.3486,0.958,0.5112
206,0.811023,2318168,4504351,97246,0.3398,0.9597,0.5019
207,0.81496,2257777,4564742,90637,0.3309,0.9614,0.4924
208,0.818897,2194971,4627548,84291,0.3217,0.963,0.4823
209,0.822834,2131299,4691220,78105,0.3124,0.9646,0.4719
210,0.826771,2065420,4757099,72131,0.3027,0.9663,0.461
211,0.830708,1999196,4823323,66530,0.293,0.9678,0.4499
212,0.834645,1930583,4891936,61012,0.283,0.9694,0.4381
213,0.838582,1861439,4961080,56140,0.2728,0.9707,0.426
214,0.842519,1789365,5033154,51227,0.2623,0.9722,0.4131
215,0.846456,1717467,5105052,46761,0.2517,0.9735,0.4
216,0.850393,1644175,5178344,42281,0.241,0.9749,0.3865
217,0.85433,1569111,5253408,38008,0.23,0.9764,0.3723
218,0.858267,1494578,5327941,34031,0.2191,0.9777,0.3579
219,0.862204,1417970,5404549,30157,0.2078,0.9792,0.3429
220,0.866141,1339920,5482599,26685,0.1964,0.9805,0.3272
221,0.870078,1260746,5561773,23594,0.1848,0.9816,0.311
222,0.874015,1179907,5642612,20824,0.1729,0.9827,0.2941
223,0.877952,1100467,5722052,18423,0.1613,0.9835,0.2771
224,0.881889,1020244,5802275,16206,0.1495,0.9844,0.2596
225,0.885826,937354,5885165,13868,0.1374,0.9854,0.2412
226,0.889763,856851,5965668,11837,0.1256,0.9864,0.2228
