k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,599799,0,1240914,1.0,0.3259,0.4915
2,0.007874,599799,0,1240914,1.0,0.3259,0.4915
3,0.011811,599799,0,1240914,1.0,0.3259,0.4915
4,0.015748,599799,0,1240914,1.0,0.3259,0.4915
5,0.019685,599799,0,1240914,1.0,0.3259,0.4915
6,0.023622,599799,0,1240914,1.0,0.3259,0.4915
7,0.027559,599799,0,1240914,1.0,0.3259,0.4915
8,0.031496,599799,0,1240914,1.0,0.3259,0.4915
9,0.035433,599799,0,1240914,1.0,0.3259,0.4915
10,0.03937,599799,0,1240914,1.0,0.3259,0.4915
11,0.043307,599799,0,1240914,1.0,0.3259,0.4915
12,0.047244,599799,0,1240914,1.0,0.3259,0.4915
13,0.051181,599799,0,1240914,1.0,0.3259,0.4915
14,0.055118,599799,0,1240914,1.0,0.3259,0.4915
15,0.059055,599799,0,1240914,1.0,0.3259,0.4915
16,0.062992,599799,0,1240914,1.0,0.3259,0.4915
17,0.066929,599799,0,1240914,1.0,0.3259,0.4915
18,0.070866,599799,0,1240914,1.0,0.3259,0.4915
19,0.074803,599799,0,1240914,1.0,0.3259,0.4915
20,0.07874,599799,0,1240914,1.0,0.3259,0.4915
21,0.082677,599799,0,1240914,1.0,0.3259,0.4915
22,0.086614,599799,0,1240914,1.0,0.3259,0.4915
23,0.090551,599799,0,1240914,1.0,0.3259,0.4915
24,0.094488,599799,0,1240914,1.0,0.3259,0.4915
25,0.098425,599799,0,1240914,1.0,0.3259,0.4915
26,0.102362,599799,0,1240914,1.0,0.3259,0.4915
27,0.106299,599799,0,1240914,1.0,0.3259,0.4915
28,0.110236,599799,0,1240914,1.0,0.3259,0.4915
29,0.114173,599799,0,1240914,1.0,0.3259,0.4915
30,0.11811,599799,0,1240914,1.0,0.3259,0.4915
31,0.122047,599799,0,1240914,1.0,0.3259,0.4915
32,0.125984,599799,0,1240914,1.0,0.3259,0.4915
33,0.129921,599799,0,1240914,1.0,0.3259,0.4915
34,0.133858,599799,0,1240914,1.0,0.3259,0.4915
35,0.137795,599799,0,1240914,1.0,0.3259,0.4915
36,0.141732,599799,0,1240914,1.0,0.3259,0.4915
37,0.145669,599799,0,1240914,1.0,0.3259,0.4915
38,0.149606,599799,0,1240914,1.0,0.3259,0.4915
39,0.153543,599799,0,1240914,1.0,0.3259,0.4915
40,0.15748,599799,0,1240914,1.0,0.3259,0.4915
41,0.161417,599799,0,1240914,1.0,0.3259,0.4915
42,0.165354,599799,0,1240757,1.0,0.3259,0.4916
43,0.169291,599799,0,1240176,1.0,0.326,0.4917
44,0.173228,599732,67,1236141,0.9999,0.3267,0.4925
45,0.177165,599251,548,1226392,0.9991,0.3282,0.4941
46,0.181102,598330,1469,1209213,0.9976,0.331,0.4971
47,0.185039,597217,2582,1189594,0.9957,0.3342,0.5005
48,0.188976,596108,3691,1165526,0.9938,0.3384,0.5049
49,0.192913,594768,5031,1134412,0.9916,0.344,0.5108
50,0.19685,593100,6699,1091740,0.9888,0.352,0.5192
51,0.200787,590638,9161,1038048,0.9847,0.3626,0.5301
52,0.204724,587238,12561,970445,0.9791,0.377,0.5444
53,0.208661,582619,17180,895200,0.9714,0.3942,0.5609
54,0.212598,576521,23278,815307,0.9612,0.4142,0.5789
55,0.216535,569238,30561,738123,0.949,0.4354,0.5969
56,0.220472,560068,39731,661233,0.9338,0.4586,0.6151
57,0.224409,549492,50307,589126,0.9161,0.4826,0.6322
58,0.228346,538038,61761,523467,0.897,0.5069,0.6477
59,0.232283,525787,74012,463278,0.8766,0.5316,0.6618
60,0.23622,513047,86752,410971,0.8554,0.5552,0.6734
61,0.240157,500389,99410,367903,0.8343,0.5763,0.6817
62,0.244094,487576,112223,330193,0.8129,0.5962,0.6879
63,0.248031,474601,125198,297506,0.7913,0.6147,0.6919
64,0.251968,461494,138305,269302,0.7694,0.6315,0.6937
65,0.255905,449626,150173,245969,0.7496,0.6464,0.6942
66,0.259842,438408,161391,226048,0.7309,0.6598,0.6935
67,0.263779,427923,171876,208968,0.7134,0.6719,0.692
68,0.267716,418452,181347,194826,0.6977,0.6823,0.6899
69,0.271653,409768,190031,183083,0.6832,0.6912,0.6872
70,0.27559,402494,197305,173536,0.671,0.6987,0.6846
71,0.279527,396353,203446,165922,0.6608,0.7049,0.6821
72,0.283464,391402,208397,159718,0.6526,0.7102,0.6802
73,0.287401,387301,212498,154719,0.6457,0.7146,0.6784
74,0.291338,383811,215988,150615,0.6399,0.7182,0.6768
75,0.295275,380664,219135,146890,0.6347,0.7216,0.6753
76,0.299212,377951,221848,143857,0.6301,0.7243,0.6739
77,0.303149,375291,224508,140955,0.6257,0.727,0.6725
78,0.307086,372934,226865,138330,0.6218,0.7294,0.6713
79,0.311023,370739,229060,135993,0.6181,0.7316,0.6701
80,0.31496,368653,231146,133803,0.6146,0.7337,0.6689
81,0.318897,366576,233223,131736,0.6112,0.7356,0.6676
82,0.322834,364597,235202,129801,0.6079,0.7375,0.6664
83,0.326771,362664,237135,127893,0.6046,0.7393,0.6652
84,0.330708,360818,238981,126098,0.6016,0.741,0.6641
85,0.334645,358968,240831,124326,0.5985,0.7428,0.6629
86,0.338582,357224,242575,122619,0.5956,0.7445,0.6617
87,0.342519,355546,244253,121015,0.5928,0.7461,0.6606
88,0.346456,353906,245893,119473,0.59,0.7476,0.6595
89,0.350393,352262,247537,118018,0.5873,0.749,0.6584
90,0.35433,350718,249081,116649,0.5847,0.7504,0.6573
91,0.358267,349162,250637,115273,0.5821,0.7518,0.6562
92,0.362204,347585,252214,113962,0.5795,0.7531,0.655
93,0.366141,346117,253682,112653,0.5771,0.7544,0.6539
94,0.370078,344600,255199,111346,0.5745,0.7558,0.6528
95,0.374015,343162,256637,110086,0.5721,0.7571,0.6518
96,0.377952,341700,258099,108839,0.5697,0.7584,0.6506
97,0.381889,340219,259580,107645,0.5672,0.7596,0.6495
98,0.385826,338747,261052,106468,0.5648,0.7609,0.6483
99,0.389763,337312,262487,105336,0.5624,0.762,0.6472
100,0.3937,335871,263928,104162,0.56,0.7633,0.646
101,0.397637,334460,265339,102959,0.5576,0.7646,0.6449
102,0.401574,333071,266728,101812,0.5553,0.7659,0.6438
103,0.405511,331695,268104,100736,0.553,0.767,0.6427
104,0.409448,330289,269510,99632,0.5507,0.7683,0.6415
105,0.413385,328847,270952,98567,0.5483,0.7694,0.6403
106,0.417322,327454,272345,97466,0.5459,0.7706,0.6391
107,0.421259,326005,273794,96301,0.5435,0.772,0.6379
108,0.425196,324524,275275,95242,0.5411,0.7731,0.6366
109,0.429133,323042,276757,94141,0.5386,0.7743,0.6353
110,0.43307,321572,278227,93034,0.5361,0.7756,0.634
111,0.437007,320056,279743,92013,0.5336,0.7767,0.6326
112,0.440944,318542,281257,90919,0.5311,0.778,0.6312
113,0.444881,316922,282877,89794,0.5284,0.7792,0.6297
114,0.448818,315340,284459,88650,0.5257,0.7806,0.6283
115,0.452755,313732,286067,87585,0.5231,0.7818,0.6268
116,0.456692,312140,287659,86442,0.5204,0.7831,0.6253
117,0.460629,310494,289305,85241,0.5177,0.7846,0.6238
118,0.464566,308741,291058,84064,0.5147,0.786,0.6221
119,0.468503,306972,292827,82873,0.5118,0.7874,0.6204
120,0.47244,305000,294799,81570,0.5085,0.789,0.6184
121,0.476377,302964,296835,80227,0.5051,0.7906,0.6164
122,0.480314,300692,299107,78778,0.5013,0.7924,0.6141
123,0.484251,298233,301566,77219,0.4972,0.7943,0.6116
124,0.488188,295421,304378,75591,0.4925,0.7963,0.6086
125,0.492125,291954,307845,73572,0.4868,0.7987,0.6049
126,0.496062,287334,312465,71121,0.4791,0.8016,0.5997
127,0.5,281060,318739,67864,0.4686,0.8055,0.5925
128,0.503937,268222,331577,61199,0.4472,0.8142,0.5773
129,0.507874,238014,361785,45569,0.3968,0.8393,0.5389
130,0.511811,209886,389913,33912,0.3499,0.8609,0.4976
131,0.515748,191961,407838,28146,0.32,0.8721,0.4683
132,0.519685,181162,418637,25033,0.302,0.8786,0.4495
133,0.523622,172628,427171,22757,0.2878,0.8835,0.4342
134,0.527559,165551,434248,20952,0.276,0.8877,0.4211
135,0.531496,159142,440657,19364,0.2653,0.8915,0.4089
136,0.535433,153202,446597,18010,0.2554,0.8948,0.3974
137,0.53937,147696,452103,16802,0.2462,0.8979,0.3865
138,0.543307,142318,457481,15690,0.2373,0.9007,0.3756
139,0.547244,137247,462552,14580,0.2288,0.904,0.3652
140,0.551181,132156,467643,13566,0.2203,0.9069,0.3545
141,0.555118,127034,472765,12548,0.2118,0.9101,0.3436
142,0.559055,122334,477465,11578,0.204,0.9135,0.3335
143,0.562992,117778,482021,10555,0.1964,0.9178,0.3235
144,0.566929,113613,486186,9553,0.1894,0.9224,0.3143
145,0.570866,109588,490211,8679,0.1827,0.9266,0.3052
146,0.574803,105764,494035,7898,0.1763,0.9305,0.2965
147,0.57874,101826,497973,7211,0.1698,0.9339,0.2873
148,0.582677,97897,501902,6584,0.1632,0.937,0.278
149,0.586614,93882,505917,5999,0.1565,0.9399,0.2684
150,0.590551,90063,509736,5462,0.1502,0.9428,0.2591
151,0.594488,86005,513794,4940,0.1434,0.9457,0.249
152,0.598425,82073,517726,4435,0.1368,0.9487,0.2392
153,0.602362,78197,521602,3950,0.1304,0.9519,0.2293
154,0.606299,74385,525414,3543,0.124,0.9545,0.2195
155,0.610236,70489,529310,3193,0.1175,0.9567,0.2093
156,0.614173,66476,533323,2854,0.1108,0.9588,0.1987
157,0.61811,62652,537147,2535,0.1045,0.9611,0.1884
158,0.622047,58722,541077,2271,0.0979,0.9628,0.1777
159,0.625984,54895,544904,1997,0.0915,0.9649,0.1672
160,0.629921,51182,548617,1770,0.0853,0.9666,0.1568
161,0.633858,48121,551678,1563,0.0802,0.9685,0.1482
162,0.637795,45299,554500,1409,0.0755,0.9698,0.1401
163,0.641732,42308,557491,1274,0.0705,0.9708,0.1315
164,0.645669,39478,560321,1126,0.0658,0.9723,0.1233
165,0.649606,36755,563044,1029,0.0613,0.9728,0.1153
166,0.653543,34052,565747,927,0.0568,0.9735,0.1073
167,0.65748,31267,568532,812,0.0521,0.9747,0.099
168,0.661417,28501,571298,626,0.0475,0.9785,0.0906
169,0.665354,25518,574281,481,0.0425,0.9815,0.0816
170,0.669291,22440,577359,358,0.0374,0.9843,0.0721
171,0.673228,19431,580368,248,0.0324,0.9874,0.0627
172,0.677165,16733,583066,186,0.0279,0.989,0.0543
173,0.681102,14199,585600,144,0.0237,0.99,0.0462
174,0.685039,12030,587769,108,0.0201,0.9911,0.0393
175,0.688976,10235,589564,70,0.0171,0.9932,0.0336
176,0.692913,8726,591073,44,0.0145,0.995,0.0287
177,0.69685,7419,592380,25,0.0124,0.9966,0.0244
178,0.700787,6223,593576,10,0.0104,0.9984,0.0205
179,0.704724,5214,594585,2,0.0087,0.9996,0.0172
180,0.708661,4402,595397,0,0.0073,1.0,0.0146
181,0.712598,3677,596122,0,0.0061,1.0,0.0122
182,0.716535,2900,596899,0,0.0048,1.0,0.0096
183,0.720472,2190,597609,0,0.0037,1.0,0.0073
184,0.724409,1477,598322,0,0.0025,1.0,0.0049
185,0.728346,972,598827,0,0.0016,1.0,0.0032
186,0.732283,624,599175,0,0.001,1.0,0.0021
187,0.73622,384,599415,0,0.0006,1.0,0.0013
188,0.740157,192,599607,0,0.0003,1.0,0.0006
189,0.744094,57,599742,0,0.0001,1.0,0.0002
190,0.748031,16,599783,0,0.0,1.0,0.0001
191,0.751968,0,599799,0,0.0,nan,
192,0.755905,0,599799,0,0.0,nan,
193,0.759842,0,599799,0,0.0,nan,
194,0.763779,0,599799,0,0.0,nan,
195,0.767716,0,599799,0,0.0,nan,
196,0.771653,0,599799,0,0.0,nan,
197,0.77559,0,599799,0,0.0,nan,
198,0.779527,0,599799,0,0.0,nan,
199,0.783464,0,599799,0,0.0,nan,
200,0.787401,0,599799,0,0.0,nan,
201,0.791338,0,599799,0,0.0,nan,
202,0.795275,0,599799,0,0.0,nan,
203,0.799212,0,599799,0,0.0,nan,
204,0.803149,0,599799,0,0.0,nan,
205,0.807086,0,599799,0,0.0,nan,
206,0.811023,0,599799,0,0.0,nan,
207,0.81496,0,599799,0,0.0,nan,
208,0.818897,0,599799,0,0.0,nan,
209,0.822834,0,599799,0,0.0,nan,
210,0.826771,0,599799,0,0.0,nan,
211,0.830708,0,599799,0,0.0,nan,
212,0.834645,0,599799,0,0.0,nan,
213,0.838582,0,599799,0,0.0,nan,
214,0.842519,0,599799,0,0.0,nan,
215,0.846456,0,599799,0,0.0,nan,
216,0.850393,0,599799,0,0.0,nan,
217,0.85433,0,599799,0,0.0,nan,
218,0.858267,0,599799,0,0.0,nan,
219,0.862204,0,599799,0,0.0,nan,
220,0.866141,0,599799,0,0.0,nan,
221,0.870078,0,599799,0,0.0,nan,
222,0.874015,0,599799,0,0.0,nan,
223,0.877952,0,599799,0,0.0,nan,
224,0.881889,0,599799,0,0.0,nan,
225,0.885826,0,599799,0,0.0,nan,
226,0.889763,0,599799,0,0.0,nan,
227,0.8937,0,599799,0,0.0,nan,
228,0.897637,0,599799,0,0.0,nan,
229,0.901574,0,599799,0,0.0,nan,
230,0.905511,0,599799,0,0.0,nan,
231,0.909448,0,599799,0,0.0,nan,
232,0.913385,0,599799,0,0.0,nan,
233,0.917322,0,599799,0,0.0,nan,
234,0.921259,0,599799,0,0.0,nan,
235,0.925196,0,599799,0,0.0,nan,
236,0.929133,0,599799,0,0.0,nan,
237,0.93307,0,599799,0,0.0,nan,
238,0.937007,0,599799,0,0.0,nan,
239,0.940944,0,599799,0,0.0,nan,
240,0.944881,0,599799,0,0.0,nan,
241,0.948818,0,599799,0,0.0,nan,
242,0.952755,0,599799,0,0.0,nan,
243,0.956692,0,599799,0,0.0,nan,
244,0.960629,0,599799,0,0.0,nan,
245,0.964566,0,599799,0,0.0,nan,
246,0.968503,0,599799,0,0.0,nan,
247,0.97244,0,599799,0,0.0,nan,
248,0.976377,0,599799,0,0.0,nan,
249,0.980314,0,599799,0,0.0,nan,
250,0.984251,0,599799,0,0.0,nan,
251,0.988188,0,599799,0,0.0,nan,
252,0.992125,0,599799,0,0.0,nan,
253,0.996062,0,599799,0,0.0,nan,
254,1.0,0,599799,0,0.0,nan,
