k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,1756936,2998,3174401,0.9983,0.3563,0.5251
2,0.007874,1742357,17577,2619259,0.99,0.3995,0.5693
3,0.011811,1722578,37356,2200461,0.9788,0.4391,0.6062
4,0.015748,1701246,58688,1890405,0.9667,0.4737,0.6358
5,0.019685,1678802,81132,1648557,0.9539,0.5045,0.66
6,0.023622,1656727,103207,1458864,0.9414,0.5318,0.6796
7,0.027559,1634169,125765,1301059,0.9285,0.5567,0.6961
8,0.031496,1612028,147906,1171376,0.916,0.5792,0.7096
9,0.035433,1589886,170048,1061831,0.9034,0.5996,0.7208
10,0.03937,1569097,190837,969299,0.8916,0.6181,0.7301
11,0.043307,1549377,210557,890560,0.8804,0.635,0.7378
12,0.047244,1530934,229000,822315,0.8699,0.6506,0.7444
13,0.051181,1513569,246365,764273,0.86,0.6645,0.7497
14,0.055118,1496932,263002,712078,0.8506,0.6776,0.7543
15,0.059055,1481777,278157,667839,0.842,0.6893,0.758
16,0.062992,1468076,291858,630234,0.8342,0.6996,0.761
17,0.066929,1455327,304607,597387,0.8269,0.709,0.7634
18,0.070866,1443676,316258,569335,0.8203,0.7172,0.7653
19,0.074803,1432480,327454,544133,0.8139,0.7247,0.7667
20,0.07874,1422321,337613,521833,0.8082,0.7316,0.768
21,0.082677,1412530,347404,501785,0.8026,0.7379,0.7689
22,0.086614,1403143,356791,483229,0.7973,0.7438,0.7696
23,0.090551,1394469,365465,467225,0.7923,0.749,0.7701
24,0.094488,1386347,373587,452436,0.7877,0.7539,0.7705
25,0.098425,1378348,381586,438201,0.7832,0.7588,0.7708
26,0.102362,1370834,389100,425340,0.7789,0.7632,0.771
27,0.106299,1363585,396349,413422,0.7748,0.7673,0.7711
28,0.110236,1356788,403146,402681,0.7709,0.7711,0.771
29,0.114173,1350327,409607,392750,0.7673,0.7747,0.771
30,0.11811,1343995,415939,383177,0.7637,0.7781,0.7708
31,0.122047,1337882,422052,374303,0.7602,0.7814,0.7706
32,0.125984,1332304,427630,365980,0.757,0.7845,0.7705
33,0.129921,1326968,432966,358424,0.754,0.7873,0.7703
34,0.133858,1321796,438138,351196,0.751,0.7901,0.7701
35,0.137795,1316752,443182,344316,0.7482,0.7927,0.7698
36,0.141732,1311978,447956,338062,0.7455,0.7951,0.7695
37,0.145669,1307290,452644,332031,0.7428,0.7975,0.7692
38,0.149606,1302985,456949,326415,0.7404,0.7997,0.7689
39,0.153543,1298656,461278,320940,0.7379,0.8018,0.7685
40,0.15748,1294454,465480,315810,0.7355,0.8039,0.7682
41,0.161417,1290483,469451,311040,0.7333,0.8058,0.7678
42,0.165354,1286661,473273,306383,0.7311,0.8077,0.7675
43,0.169291,1282830,477104,301967,0.7289,0.8095,0.7671
44,0.173228,1279137,480797,297628,0.7268,0.8112,0.7667
45,0.177165,1275527,484407,293472,0.7248,0.813,0.7663
46,0.181102,1271834,488100,289473,0.7227,0.8146,0.7659
47,0.185039,1268492,491442,285682,0.7208,0.8162,0.7655
48,0.188976,1265090,494844,281989,0.7188,0.8177,0.7651
49,0.192913,1261881,498053,278625,0.717,0.8191,0.7647
50,0.19685,1258730,501204,275187,0.7152,0.8206,0.7643
51,0.200787,1255712,504222,271989,0.7135,0.822,0.7639
52,0.204724,1252668,507266,268785,0.7118,0.8233,0.7635
53,0.208661,1249552,510382,265663,0.71,0.8247,0.7631
54,0.212598,1246570,513364,262616,0.7083,0.826,0.7626
55,0.216535,1243737,516197,259811,0.7067,0.8272,0.7622
56,0.220472,1240955,518979,256992,0.7051,0.8284,0.7618
57,0.224409,1238205,521729,254346,0.7036,0.8296,0.7614
58,0.228346,1235520,524414,251781,0.702,0.8307,0.761
59,0.232283,1232711,527223,249186,0.7004,0.8318,0.7605
60,0.23622,1230002,529932,246726,0.6989,0.8329,0.76
61,0.240157,1227426,532508,244361,0.6974,0.834,0.7596
62,0.244094,1224820,535114,242060,0.6959,0.835,0.7592
63,0.248031,1222293,537641,239763,0.6945,0.836,0.7587
64,0.251968,1219830,540104,237526,0.6931,0.837,0.7583
65,0.255905,1217365,542569,235363,0.6917,0.838,0.7579
66,0.259842,1214968,544966,233205,0.6903,0.839,0.7574
67,0.263779,1212570,547364,231088,0.689,0.8399,0.757
68,0.267716,1210216,549718,229060,0.6876,0.8409,0.7566
69,0.271653,1207952,551982,227042,0.6864,0.8418,0.7562
70,0.27559,1205591,554343,224995,0.685,0.8427,0.7557
71,0.279527,1203274,556660,223028,0.6837,0.8436,0.7553
72,0.283464,1201002,558932,221033,0.6824,0.8446,0.7549
73,0.287401,1198717,561217,219129,0.6811,0.8454,0.7544
74,0.291338,1196445,563489,217333,0.6798,0.8463,0.754
75,0.295275,1194163,565771,215495,0.6785,0.8471,0.7535
76,0.299212,1191981,567953,213807,0.6773,0.8479,0.7531
77,0.303149,1189657,570277,212031,0.676,0.8487,0.7526
78,0.307086,1187436,572498,210333,0.6747,0.8495,0.7521
79,0.311023,1185294,574640,208689,0.6735,0.8503,0.7516
80,0.31496,1183164,576770,207021,0.6723,0.8511,0.7512
81,0.318897,1181001,578933,205292,0.671,0.8519,0.7507
82,0.322834,1178905,581029,203688,0.6699,0.8527,0.7503
83,0.326771,1176761,583173,202093,0.6686,0.8534,0.7498
84,0.330708,1174768,585166,200536,0.6675,0.8542,0.7494
85,0.334645,1172640,587294,198867,0.6663,0.855,0.7489
86,0.338582,1170483,589451,197349,0.6651,0.8557,0.7484
87,0.342519,1168408,591526,195727,0.6639,0.8565,0.748
88,0.346456,1166314,593620,194195,0.6627,0.8573,0.7475
89,0.350393,1164218,595716,192707,0.6615,0.858,0.747
90,0.35433,1162197,597737,191239,0.6604,0.8587,0.7466
91,0.358267,1160197,599737,189729,0.6592,0.8595,0.7461
92,0.362204,1158173,601761,188277,0.6581,0.8602,0.7457
93,0.366141,1156146,603788,186774,0.6569,0.8609,0.7452
94,0.370078,1154124,605810,185255,0.6558,0.8617,0.7448
95,0.374015,1152132,607802,183856,0.6546,0.8624,0.7443
96,0.377952,1150075,609859,182500,0.6535,0.863,0.7438
97,0.381889,1147965,611969,181049,0.6523,0.8638,0.7433
98,0.385826,1146020,613914,179702,0.6512,0.8644,0.7428
99,0.389763,1144024,615910,178365,0.65,0.8651,0.7423
100,0.3937,1142026,617908,177042,0.6489,0.8658,0.7418
101,0.397637,1140002,619932,175612,0.6478,0.8665,0.7413
102,0.401574,1138031,621903,174357,0.6466,0.8671,0.7408
103,0.405511,1135991,623943,173057,0.6455,0.8678,0.7403
104,0.409448,1134064,625870,171795,0.6444,0.8684,0.7398
105,0.413385,1132066,627868,170529,0.6432,0.8691,0.7393
106,0.417322,1130074,629860,169259,0.6421,0.8697,0.7388
107,0.421259,1128093,631841,167973,0.641,0.8704,0.7383
108,0.425196,1126160,633774,166688,0.6399,0.8711,0.7378
109,0.429133,1124149,635785,165310,0.6387,0.8718,0.7373
110,0.43307,1122195,637739,164030,0.6376,0.8725,0.7368
111,0.437007,1120255,639679,162771,0.6365,0.8731,0.7363
112,0.440944,1118201,641733,161560,0.6354,0.8738,0.7357
113,0.444881,1116179,643755,160368,0.6342,0.8744,0.7352
114,0.448818,1114208,645726,159132,0.6331,0.875,0.7347
115,0.452755,1112132,647802,157947,0.6319,0.8756,0.7341
116,0.456692,1110131,649803,156727,0.6308,0.8763,0.7335
117,0.460629,1108136,651798,155491,0.6296,0.8769,0.733
118,0.464566,1106149,653785,154241,0.6285,0.8776,0.7325
119,0.468503,1104092,655842,153034,0.6273,0.8783,0.7319
120,0.47244,1101981,657953,151872,0.6261,0.8789,0.7313
121,0.476377,1099879,660055,150748,0.625,0.8795,0.7307
122,0.480314,1097839,662095,149475,0.6238,0.8802,0.7301
123,0.484251,1095798,664136,148249,0.6226,0.8808,0.7296
124,0.488188,1093728,666206,146999,0.6215,0.8815,0.729
125,0.492125,1091673,668261,145741,0.6203,0.8822,0.7284
126,0.496062,1089560,670374,144478,0.6191,0.8829,0.7278
127,0.5,1087462,672472,143190,0.6179,0.8836,0.7273
128,0.503937,1085217,674717,141942,0.6166,0.8843,0.7266
129,0.507874,1083183,676751,140692,0.6155,0.885,0.726
130,0.511811,1081019,678915,139466,0.6142,0.8857,0.7254
131,0.515748,1078776,681158,138225,0.613,0.8864,0.7248
132,0.519685,1076647,683287,137020,0.6118,0.8871,0.7241
133,0.523622,1074384,685550,135840,0.6105,0.8878,0.7235
134,0.527559,1072145,687789,134681,0.6092,0.8884,0.7228
135,0.531496,1069884,690050,133431,0.6079,0.8891,0.7221
136,0.535433,1067698,692236,132161,0.6067,0.8899,0.7215
137,0.53937,1065347,694587,130929,0.6053,0.8906,0.7208
138,0.543307,1062998,696936,129686,0.604,0.8913,0.72
139,0.547244,1060609,699325,128419,0.6026,0.892,0.7193
140,0.551181,1058086,701848,127155,0.6012,0.8927,0.7185
141,0.555118,1055622,704312,125880,0.5998,0.8935,0.7178
142,0.559055,1053148,706786,124660,0.5984,0.8942,0.717
143,0.562992,1050701,709233,123372,0.597,0.8949,0.7162
144,0.566929,1048168,711766,122022,0.5956,0.8957,0.7154
145,0.570866,1045650,714284,120748,0.5941,0.8965,0.7146
146,0.574803,1042955,716979,119414,0.5926,0.8973,0.7138
147,0.57874,1040274,719660,118102,0.5911,0.898,0.7129
148,0.582677,1037628,722306,116785,0.5896,0.8988,0.7121
149,0.586614,1034841,725093,115480,0.588,0.8996,0.7112
150,0.590551,1032164,727770,114188,0.5865,0.9004,0.7103
151,0.594488,1029321,730613,112892,0.5849,0.9012,0.7094
152,0.598425,1026449,733485,111536,0.5832,0.902,0.7084
153,0.602362,1023483,736451,110172,0.5815,0.9028,0.7074
154,0.606299,1020549,739385,108792,0.5799,0.9037,0.7064
155,0.610236,1017515,742419,107411,0.5782,0.9045,0.7054
156,0.614173,1014394,745540,106050,0.5764,0.9054,0.7043
157,0.61811,1011379,748555,104650,0.5747,0.9062,0.7033
158,0.622047,1008125,751809,103281,0.5728,0.9071,0.7022
159,0.625984,1004807,755127,101891,0.5709,0.9079,0.701
160,0.629921,1001410,758524,100503,0.569,0.9088,0.6998
161,0.633858,997961,761973,99037,0.567,0.9097,0.6986
162,0.637795,994305,765629,97575,0.565,0.9106,0.6973
163,0.641732,990505,769429,96080,0.5628,0.9116,0.6959
164,0.645669,986700,773234,94533,0.5606,0.9126,0.6946
