k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,1665637,0,3446368,1.0,0.3258,0.4915
2,0.007874,1665637,0,3446368,1.0,0.3258,0.4915
3,0.011811,1665637,0,3446368,1.0,0.3258,0.4915
4,0.015748,1665637,0,3446368,1.0,0.3258,0.4915
5,0.019685,1665637,0,3446368,1.0,0.3258,0.4915
6,0.023622,1665637,0,3446368,1.0,0.3258,0.4915
7,0.027559,1665637,0,3446368,1.0,0.3258,0.4915
8,0.031496,1665637,0,3446368,1.0,0.3258,0.4915
9,0.035433,1665637,0,3446368,1.0,0.3258,0.4915
10,0.03937,1665637,0,3446368,1.0,0.3258,0.4915
11,0.043307,1665637,0,3446368,1.0,0.3258,0.4915
12,0.047244,1665637,0,3446368,1.0,0.3258,0.4915
13,0.051181,1665637,0,3446368,1.0,0.3258,0.4915
14,0.055118,1665637,0,3446368,1.0,0.3258,0.4915
15,0.059055,1665637,0,3446368,1.0,0.3258,0.4915
16,0.062992,1665637,0,3446368,1.0,0.3258,0.4915
17,0.066929,1665637,0,3446368,1.0,0.3258,0.4915
18,0.070866,1665637,0,3446368,1.0,0.3258,0.4915
19,0.074803,1665637,0,3446368,1.0,0.3258,0.4915
20,0.07874,1665637,0,3446368,1.0,0.3258,0.4915
21,0.082677,1665637,0,3446368,1.0,0.3258,0.4915
22,0.086614,1665637,0,3446187,1.0,0.3258,0.4915
23,0.090551,1665611,26,3443732,1.0,0.326,0.4917
24,0.094488,1665477,160,3428699,0.9999,0.3269,0.4928
25,0.098425,1665231,406,3388528,0.9998,0.3295,0.4956
26,0.102362,1664910,727,3337448,0.9996,0.3328,0.4994
27,0.106299,1664561,1076,3282117,0.9994,0.3365,0.5035
28,0.110236,1663980,1657,3204191,0.999,0.3418,0.5093
29,0.114173,1662990,2647,3083218,0.9984,0.3504,0.5187
30,0.11811,1661435,4202,2912030,0.9975,0.3633,0.5326
31,0.122047,1658776,6861,2701890,0.9959,0.3804,0.5505
32,0.125984,1654885,10752,2492194,0.9935,0.399,0.5694
33,0.129921,1649185,16452,2297905,0.9901,0.4178,0.5877
34,0.133858,1641299,24338,2110602,0.9854,0.4375,0.6059
35,0.137795,1631294,34343,1937502,0.9794,0.4571,0.6233
36,0.141732,1618840,46797,1782946,0.9719,0.4759,0.6389
37,0.145669,1604513,61124,1638611,0.9633,0.4947,0.6537
38,0.149606,1588655,76982,1503700,0.9538,0.5137,0.6678
39,0.153543,1570887,94750,1377442,0.9431,0.5328,0.6809
40,0.15748,1551811,113826,1265914,0.9317,0.5507,0.6923
