k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,6456574,0,13303767,1.0,0.3267,0.4926
2,0.007874,6453149,3425,12568635,0.9995,0.3393,0.5066
3,0.011811,6439508,17066,11352661,0.9974,0.3619,0.5311
4,0.015748,6414161,42413,10008777,0.9934,0.3906,0.5607
5,0.019685,6378766,77808,8764404,0.9879,0.4212,0.5906
6,0.023622,6334525,122049,7727296,0.9811,0.4505,0.6174
7,0.027559,6281776,174798,6888210,0.9729,0.477,0.6401
8,0.031496,6225073,231501,6214076,0.9641,0.5004,0.6589
9,0.035433,6164911,291663,5645299,0.9548,0.522,0.675
10,0.03937,6104634,351940,5176447,0.9455,0.5411,0.6883
11,0.043307,6044216,412358,4780807,0.9361,0.5584,0.6995
12,0.047244,5983425,473149,4433195,0.9267,0.5744,0.7092
13,0.051181,5924464,532110,4141395,0.9176,0.5886,0.7171
14,0.055118,5865465,591109,3881924,0.9084,0.6017,0.724
15,0.059055,5807588,648986,3657018,0.8995,0.6136,0.7295
16,0.062992,5752937,703637,3460297,0.891,0.6244,0.7343
17,0.066929,5699830,756744,3285572,0.8828,0.6343,0.7382
18,0.070866,5648964,807610,3132137,0.8749,0.6433,0.7414
19,0.074803,5599387,857187,2992673,0.8672,0.6517,0.7442
20,0.07874,5552016,904558,2868324,0.8599,0.6594,0.7464
21,0.082677,5506680,949894,2754181,0.8529,0.6666,0.7483
22,0.086614,5462821,993753,2651071,0.8461,0.6733,0.7498
23,0.090551,5423135,1033439,2560765,0.8399,0.6793,0.7511
24,0.094488,5385124,1071450,2478714,0.8341,0.6848,0.7521
25,0.098425,5347838,1108736,2400887,0.8283,0.6902,0.7529
26,0.102362,5312475,1144099,2329350,0.8228,0.6952,0.7536
27,0.106299,5279097,1177477,2264688,0.8176,0.6998,0.7541
28,0.110236,5247772,1208802,2205994,0.8128,0.704,0.7545
29,0.114173,5218099,1238475,2152422,0.8082,0.708,0.7548
30,0.11811,5189241,1267333,2101345,0.8037,0.7118,0.755
31,0.122047,5161854,1294720,2053948,0.7995,0.7154,0.7551
32,0.125984,5135051,1321523,2009304,0.7953,0.7188,0.7551
33,0.129921,5110119,1346455,1968231,0.7915,0.7219,0.7551
34,0.133858,5085370,1371204,1929366,0.7876,0.725,0.755
35,0.137795,5061775,1394799,1892616,0.784,0.7279,0.7549
36,0.141732,5038914,1417660,1858407,0.7804,0.7306,0.7547
37,0.145669,5017036,1439538,1826288,0.777,0.7331,0.7544
38,0.149606,4996201,1460373,1796766,0.7738,0.7355,0.7542
39,0.153543,4976022,1480552,1768119,0.7707,0.7378,0.7539
40,0.15748,4956601,1499973,1741041,0.7677,0.7401,0.7536
41,0.161417,4938210,1518364,1715968,0.7648,0.7421,0.7533
42,0.165354,4920108,1536466,1691986,0.762,0.7441,0.753
43,0.169291,4902875,1553699,1670028,0.7594,0.7459,0.7526
44,0.173228,4886115,1570459,1648343,0.7568,0.7477,0.7522
45,0.177165,4869826,1586748,1628021,0.7542,0.7495,0.7518
46,0.181102,4854126,1602448,1608552,0.7518,0.7511,0.7515
47,0.185039,4839059,1617515,1590430,0.7495,0.7526,0.7511
48,0.188976,4824336,1632238,1573209,0.7472,0.7541,0.7506
49,0.192913,4810198,1646376,1556611,0.745,0.7555,0.7502
50,0.19685,4796505,1660069,1540536,0.7429,0.7569,0.7498
51,0.200787,4783190,1673384,1525259,0.7408,0.7582,0.7494
52,0.204724,4770083,1686491,1510690,0.7388,0.7595,0.749
53,0.208661,4757353,1699221,1496291,0.7368,0.7607,0.7486
54,0.212598,4744707,1711867,1482087,0.7349,0.762,0.7482
55,0.216535,4732568,1724006,1468728,0.733,0.7632,0.7478
56,0.220472,4720588,1735986,1455773,0.7311,0.7643,0.7473
57,0.224409,4709146,1747428,1443390,0.7294,0.7654,0.7469
58,0.228346,4697764,1758810,1431469,0.7276,0.7665,0.7465
59,0.232283,4686545,1770029,1419549,0.7259,0.7675,0.7461
60,0.23622,4675264,1781310,1407662,0.7241,0.7686,0.7457
61,0.240157,4664592,1791982,1396572,0.7225,0.7696,0.7453
62,0.244094,4654010,1802564,1385816,0.7208,0.7706,0.7449
