k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,139081509,0,202600591,1.0,0.407,0.5786
2,0.007874,139081509,0,202600591,1.0,0.407,0.5786
3,0.011811,139081509,0,202600591,1.0,0.407,0.5786
4,0.015748,139081509,0,202600591,1.0,0.407,0.5786
5,0.019685,139081509,0,202600591,1.0,0.407,0.5786
6,0.023622,139081509,0,202600591,1.0,0.407,0.5786
7,0.027559,139081509,0,202600591,1.0,0.407,0.5786
8,0.031496,139081509,0,202600591,1.0,0.407,0.5786
9,0.035433,139081509,0,202600591,1.0,0.407,0.5786
10,0.03937,139081509,0,202600591,1.0,0.407,0.5786
11,0.043307,139081509,0,202600591,1.0,0.407,0.5786
12,0.047244,139081509,0,202600591,1.0,0.407,0.5786
13,0.051181,139081509,0,202600591,1.0,0.407,0.5786
14,0.055118,139081509,0,202600591,1.0,0.407,0.5786
15,0.059055,139081509,0,202600591,1.0,0.407,0.5786
16,0.062992,139081509,0,202600591,1.0,0.407,0.5786
17,0.066929,139081509,0,202600591,1.0,0.407,0.5786
18,0.070866,139081509,0,202600591,1.0,0.407,0.5786
19,0.074803,139081509,0,202600591,1.0,0.407,0.5786
20,0.07874,139081509,0,202600591,1.0,0.407,0.5786
21,0.082677,139081509,0,202600591,1.0,0.407,0.5786
22,0.086614,139081509,0,202600591,1.0,0.407,0.5786
23,0.090551,139081509,0,202600591,1.0,0.407,0.5786
24,0.094488,139081509,0,202600591,1.0,0.407,0.5786
25,0.098425,139081509,0,202600591,1.0,0.407,0.5786
26,0.102362,139081472,37,202599999,1.0,0.4071,0.5786
27,0.106299,139001441,80068,200344307,0.9994,0.4096,0.5811
28,0.110236,136767741,2313768,142850465,0.9834,0.4891,0.6533
29,0.114173,122833452,16248057,77638816,0.8832,0.6127,0.7235
30,0.11811,102841242,36240267,34812932,0.7394,0.7471,0.7432
31,0.122047,90345481,48736028,22883358,0.6496,0.7979,0.7161
32,0.125984,84856217,54225292,19364600,0.6101,0.8142,0.6975
33,0.129921,82179797,56901712,17862083,0.5909,0.8215,0.6873
34,0.133858,80475820,58605689,16941053,0.5786,0.8261,0.6806
35,0.137795,79579184,59502325,16463216,0.5722,0.8286,0.6769
36,0.141732,79080222,60001287,16213972,0.5686,0.8299,0.6748
37,0.145669,78722693,60358816,16038273,0.566,0.8308,0.6733
38,0.149606,78439051,60642458,15899317,0.564,0.8315,0.6721
39,0.153543,78193985,60887524,15780523,0.5622,0.8321,0.671
40,0.15748,77983380,61098129,15678480,0.5607,0.8326,0.6701
41,0.161417,77799980,61281529,15590376,0.5594,0.8331,0.6693
42,0.165354,77631382,61450127,15508813,0.5582,0.8335,0.6686
43,0.169291,77478969,61602540,15435940,0.5571,0.8339,0.6679
44,0.173228,77336631,61744878,15367562,0.5561,0.8342,0.6673
45,0.177165,77207145,61874364,15304935,0.5551,0.8346,0.6667
46,0.181102,77083583,61997926,15245750,0.5542,0.8349,0.6662
47,0.185039,76969489,62112020,15191026,0.5534,0.8352,0.6657
48,0.188976,76859988,62221521,15138407,0.5526,0.8354,0.6652
49,0.192913,76758197,62323312,15089487,0.5519,0.8357,0.6648
50,0.19685,76659417,62422092,15042546,0.5512,0.836,0.6643
51,0.200787,76567031,62514478,14998904,0.5505,0.8362,0.6639
52,0.204724,76477886,62603623,14956897,0.5499,0.8364,0.6635
53,0.208661,76390991,62690518,14916092,0.5493,0.8366,0.6631
54,0.212598,76306048,62775461,14876202,0.5486,0.8369,0.6628
55,0.216535,76226967,62854542,14839150,0.5481,0.8371,0.6624
56,0.220472,76149250,62932259,14803074,0.5475,0.8372,0.6621
57,0.224409,76075894,63005615,14769079,0.547,0.8374,0.6617
58,0.228346,76004405,63077104,14736109,0.5465,0.8376,0.6614
59,0.232283,75934464,63147045,14703385,0.546,0.8378,0.6611
60,0.23622,75865686,63215823,14671347,0.5455,0.838,0.6608
61,0.240157,75801371,63280138,14641348,0.545,0.8381,0.6605
62,0.244094,75737314,63344195,14612191,0.5446,0.8383,0.6602
63,0.248031,75674656,63406853,14583187,0.5441,0.8384,0.6599
64,0.251968,75612439,63469070,14554334,0.5437,0.8386,0.6597
65,0.255905,75553525,63527984,14527275,0.5432,0.8387,0.6594
66,0.259842,75495641,63585868,14500807,0.5428,0.8389,0.6591
67,0.263779,75437820,63643689,14474499,0.5424,0.839,0.6589
68,0.267716,75380401,63701108,14448828,0.542,0.8392,0.6586
69,0.271653,75326324,63755185,14424348,0.5416,0.8393,0.6584
70,0.27559,75271704,63809805,14399823,0.5412,0.8394,0.6581
71,0.279527,75218526,63862983,14375796,0.5408,0.8395,0.6579
72,0.283464,75165250,63916259,14352108,0.5404,0.8397,0.6576
73,0.287401,75112559,63968950,14328293,0.5401,0.8398,0.6574
74,0.291338,75061123,64020386,14305184,0.5397,0.8399,0.6571
75,0.295275,75008453,64073056,14281817,0.5393,0.8401,0.6569
76,0.299212,74958602,64122907,14259612,0.539,0.8402,0.6567
77,0.303149,74907520,64173989,14237044,0.5386,0.8403,0.6564
78,0.307086,74857863,64223646,14215238,0.5382,0.8404,0.6562
79,0.311023,74808237,64273272,14193497,0.5379,0.8405,0.656
80,0.31496,74760374,64321135,14172111,0.5375,0.8406,0.6558
81,0.318897,74710861,64370648,14150286,0.5372,0.8408,0.6555
82,0.322834,74662684,64418825,14129227,0.5368,0.8409,0.6553
83,0.326771,74614066,64467443,14108100,0.5365,0.841,0.6551
84,0.330708,74567249,64514260,14087483,0.5361,0.8411,0.6549
85,0.334645,74518348,64563161,14066082,0.5358,0.8412,0.6546
86,0.338582,74471685,64609824,14045369,0.5355,0.8413,0.6544
87,0.342519,74424344,64657165,14024920,0.5351,0.8414,0.6542
88,0.346456,74376779,64704730,14004014,0.5348,0.8415,0.654
89,0.350393,74328924,64752585,13983298,0.5344,0.8417,0.6537
90,0.35433,74282277,64799232,13962930,0.5341,0.8418,0.6535
91,0.358267,74235303,64846206,13942694,0.5338,0.8419,0.6533
92,0.362204,74188050,64893459,13922437,0.5334,0.842,0.6531
93,0.366141,74141021,64940488,13901934,0.5331,0.8421,0.6529
94,0.370078,74093247,64988262,13881135,0.5327,0.8422,0.6526
95,0.374015,74046620,65034889,13861150,0.5324,0.8423,0.6524
96,0.377952,73997893,65083616,13840209,0.532,0.8424,0.6522
97,0.381889,73950420,65131089,13819836,0.5317,0.8425,0.652
98,0.385826,73902793,65178716,13799288,0.5314,0.8427,0.6517
99,0.389763,73854342,65227167,13778445,0.531,0.8428,0.6515
100,0.3937,73805561,65275948,13757586,0.5307,0.8429,0.6513
101,0.397637,73756217,65325292,13736555,0.5303,0.843,0.6511
102,0.401574,73706655,65374854,13715940,0.53,0.8431,0.6508
103,0.405511,73656705,65424804,13694652,0.5296,0.8432,0.6506
104,0.409448,73605567,65475942,13672901,0.5292,0.8433,0.6503
105,0.413385,73553120,65528389,13650876,0.5288,0.8435,0.6501
106,0.417322,73501038,65580471,13628911,0.5285,0.8436,0.6498
107,0.421259,73446658,65634851,13606150,0.5281,0.8437,0.6496
108,0.425196,73392261,65689248,13583241,0.5277,0.8438,0.6493
109,0.429133,73336193,65745316,13559683,0.5273,0.844,0.6491
110,0.43307,73278460,65803049,13535662,0.5269,0.8441,0.6488
111,0.437007,73218024,65863485,13510510,0.5264,0.8442,0.6485
112,0.440944,73155118,65926391,13484303,0.526,0.8444,0.6482
113,0.444881,73089882,65991627,13457201,0.5255,0.8445,0.6479
114,0.448818,73022704,66058805,13429612,0.525,0.8447,0.6476
115,0.452755,72952437,66129072,13400050,0.5245,0.8448,0.6472
116,0.456692,72879303,66202206,13369606,0.524,0.845,0.6469
117,0.460629,72801407,66280102,13337529,0.5234,0.8452,0.6465
118,0.464566,72719340,66362169,13303396,0.5229,0.8454,0.6461
119,0.468503,72631295,66450214,13267614,0.5222,0.8455,0.6457
120,0.47244,72534878,66546631,13228166,0.5215,0.8458,0.6452
121,0.476377,72428103,66653406,13184945,0.5208,0.846,0.6447
122,0.480314,72305564,66775945,13135519,0.5199,0.8463,0.6441
123,0.484251,72152286,66929223,13074045,0.5188,0.8466,0.6433
124,0.488188,71944852,67136657,12991214,0.5173,0.847,0.6423
125,0.492125,71363982,67717527,12753381,0.5131,0.8484,0.6395
126,0.496062,67056794,72024715,11107189,0.4821,0.8579,0.6173
127,0.5,64827260,74254249,10343502,0.4661,0.8624,0.6051
128,0.503937,63383192,75698317,9876044,0.4557,0.8652,0.597
129,0.507874,62060457,77021052,9467183,0.4462,0.8676,0.5893
130,0.511811,60803112,78278397,9095727,0.4372,0.8699,0.5819
131,0.515748,59571381,79510128,8745671,0.4283,0.872,0.5745
132,0.519685,58394824,80686685,8421661,0.4199,0.874,0.5672
133,0.523622,57235834,81845675,8109762,0.4115,0.8759,0.56
134,0.527559,56045867,83035642,7797736,0.403,0.8779,0.5524
135,0.531496,54801209,84280300,7483774,0.394,0.8798,0.5443
136,0.535433,53487713,85593796,7162566,0.3846,0.8819,0.5356
137,0.53937,52118411,86963098,6838011,0.3747,0.884,0.5263
138,0.543307,50656641,88424868,6505465,0.3642,0.8862,0.5163
139,0.547244,49081762,89999747,6167902,0.3529,0.8884,0.5051
140,0.551181,47419177,91662332,5830484,0.3409,0.8905,0.4931
141,0.555118,45732378,93349131,5502991,0.3288,0.8926,0.4806
142,0.559055,44117722,94963787,5204026,0.3172,0.8945,0.4683
143,0.562992,42583804,96497705,4928175,0.3062,0.8963,0.4564
144,0.566929,41093521,97987988,4667255,0.2955,0.898,0.4446
145,0.570866,39581771,99499738,4412944,0.2846,0.8997,0.4324
