k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,1106124305,0,3020288392,1.0,0.2681,0.4228
2,0.007874,1106124305,0,3020288392,1.0,0.2681,0.4228
3,0.011811,1106124305,0,3020288392,1.0,0.2681,0.4228
4,0.015748,1106124305,0,3020288392,1.0,0.2681,0.4228
5,0.019685,1106124305,0,3020285718,1.0,0.2681,0.4228
6,0.023622,1106123619,686,3020070804,1.0,0.2681,0.4228
7,0.027559,1106095554,28751,3014489159,1.0,0.2684,0.4232
8,0.031496,1105780885,343420,2935642248,0.9997,0.2736,0.4296
9,0.035433,1104184830,1939475,2567520273,0.9982,0.3007,0.4622
10,0.03937,1099858282,6266023,2097224365,0.9943,0.344,0.5112
11,0.043307,1092218006,13906299,1694440263,0.9874,0.3919,0.5612
12,0.047244,1081556611,24567694,1377025451,0.9778,0.4399,0.6068
13,0.051181,1069536498,36587807,1144058294,0.9669,0.4832,0.6444
14,0.055118,1056450085,49674220,964531270,0.9551,0.5227,0.6757
15,0.059055,1043340117,62784188,831538075,0.9432,0.5565,0.7
16,0.062992,1030620681,75503624,732540908,0.9317,0.5845,0.7184
17,0.066929,1018093796,88030509,654452986,0.9204,0.6087,0.7328
18,0.070866,1005865895,100258410,591479935,0.9094,0.6297,0.7441
19,0.074803,993664624,112459681,538272926,0.8983,0.6486,0.7533
20,0.07874,981911420,124212885,494179864,0.8877,0.6652,0.7605
21,0.082677,970244767,135879538,455808921,0.8772,0.6804,0.7663
22,0.086614,958629738,147494567,422027909,0.8667,0.6943,0.771
23,0.090551,947499848,158624457,393134224,0.8566,0.7068,0.7745
24,0.094488,936430926,169693379,367156689,0.8466,0.7183,0.7772
25,0.098425,924979982,181144323,342717115,0.8362,0.7297,0.7793
26,0.102362,913627971,192496334,320682317,0.826,0.7402,0.7807
27,0.106299,902234721,203889584,300415395,0.8157,0.7502,0.7816
28,0.110236,891175283,214949022,282359414,0.8057,0.7594,0.7818
29,0.114173,880807198,225317107,266724865,0.7963,0.7676,0.7817
30,0.11811,870727719,235396586,252598051,0.7872,0.7751,0.7811
31,0.122047,860987740,245136565,239830374,0.7784,0.7821,0.7803
32,0.125984,851920812,254203493,228727776,0.7702,0.7883,0.7792
33,0.129921,843639944,262484361,219248862,0.7627,0.7937,0.7779
34,0.133858,835458303,270666002,210427838,0.7553,0.7988,0.7764
35,0.137795,827552623,278571682,202389171,0.7482,0.8035,0.7748
36,0.141732,819909076,286215229,195032907,0.7412,0.8078,0.7731
37,0.145669,812779273,293345032,188477969,0.7348,0.8118,0.7714
38,0.149606,806703249,299421056,183128446,0.7293,0.815,0.7698
39,0.153543,801757691,304366614,178958058,0.7248,0.8175,0.7684
40,0.15748,797790974,308333331,175696090,0.7212,0.8195,0.7673
41,0.161417,794456986,311667319,173006598,0.7182,0.8212,0.7663
42,0.165354,791469602,314654703,170633729,0.7155,0.8226,0.7654
43,0.169291,788825502,317298803,168560768,0.7131,0.8239,0.7645
44,0.173228,786357845,319766460,166651209,0.7109,0.8251,0.7638
45,0.177165,784110653,322013652,164932601,0.7089,0.8262,0.7631
46,0.181102,781974084,324150221,163329141,0.7069,0.8272,0.7624
47,0.185039,780012513,326111792,161870611,0.7052,0.8281,0.7617
48,0.188976,778129382,327994923,160481755,0.7035,0.829,0.7611
49,0.192913,776369107,329755198,159194695,0.7019,0.8298,0.7605
50,0.19685,774648192,331476113,157949291,0.7003,0.8306,0.7599
51,0.200787,773020107,333104198,156778256,0.6989,0.8314,0.7594
52,0.204724,771421057,334703248,155639291,0.6974,0.8321,0.7588
53,0.208661,769844625,336279680,154525059,0.696,0.8328,0.7583
54,0.212598,768289060,337835245,153435267,0.6946,0.8335,0.7577
55,0.216535,766814722,339309583,152409595,0.6932,0.8342,0.7572
56,0.220472,765355534,340768771,151403341,0.6919,0.8348,0.7567
