k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,6450962,5612,12431694,0.9991,0.3416,0.5092
2,0.007874,6412953,43621,10285980,0.9932,0.384,0.5539
3,0.011811,6358371,98203,8671617,0.9848,0.423,0.5918
4,0.015748,6288919,167655,7408230,0.974,0.4591,0.6241
5,0.019685,6215781,240793,6477485,0.9627,0.4897,0.6492
6,0.023622,6144136,312438,5824133,0.9516,0.5134,0.6669
7,0.027559,6076168,380406,5330200,0.9411,0.5327,0.6803
8,0.031496,6010667,445907,4939762,0.9309,0.5489,0.6906
9,0.035433,5947514,509060,4611047,0.9212,0.5633,0.6991
10,0.03937,5888229,568345,4333551,0.912,0.576,0.7061
11,0.043307,5832099,624475,4095679,0.9033,0.5875,0.7119
12,0.047244,5777448,679126,3883802,0.8948,0.598,0.7169
13,0.051181,5727684,728890,3699582,0.8871,0.6076,0.7212
14,0.055118,5679211,777363,3529460,0.8796,0.6167,0.7251
15,0.059055,5633511,823063,3377459,0.8725,0.6252,0.7284
16,0.062992,5589919,866655,3241155,0.8658,0.633,0.7313
17,0.066929,5548206,908368,3116027,0.8593,0.6404,0.7339
18,0.070866,5508107,948467,3002462,0.8531,0.6472,0.736
19,0.074803,5469112,987462,2895920,0.8471,0.6538,0.738
20,0.07874,5432357,1024217,2800884,0.8414,0.6598,0.7396
21,0.082677,5396343,1060231,2713973,0.8358,0.6654,0.7409
22,0.086614,5361884,1094690,2634301,0.8305,0.6706,0.742
23,0.090551,5330235,1126339,2565110,0.8256,0.6751,0.7428
24,0.094488,5300491,1156083,2502399,0.8209,0.6793,0.7434
25,0.098425,5270756,1185818,2443386,0.8163,0.6833,0.7439
26,0.102362,5242750,1213824,2389481,0.812,0.6869,0.7442
27,0.106299,5216198,1240376,2339998,0.8079,0.6903,0.7445
28,0.110236,5190731,1265843,2294368,0.8039,0.6935,0.7446
29,0.114173,5166944,1289630,2251898,0.8003,0.6965,0.7448
30,0.11811,5143066,1313508,2210701,0.7966,0.6994,0.7448
31,0.122047,5120227,1336347,2172018,0.793,0.7021,0.7448
32,0.125984,5097835,1358739,2134953,0.7896,0.7048,0.7448
33,0.129921,5076907,1379667,2101183,0.7863,0.7073,0.7447
34,0.133858,5056201,1400373,2068413,0.7831,0.7097,0.7446
35,0.137795,5036058,1420516,2037403,0.78,0.712,0.7444
36,0.141732,5016641,1439933,2007752,0.777,0.7142,0.7443
37,0.145669,4997709,1458865,1979820,0.774,0.7163,0.744
38,0.149606,4979180,1477394,1953119,0.7712,0.7183,0.7438
39,0.153543,4960809,1495765,1927034,0.7683,0.7202,0.7435
40,0.15748,4943083,1513491,1901881,0.7656,0.7221,0.7432
41,0.161417,4926031,1530543,1877912,0.7629,0.724,0.743
42,0.165354,4908756,1547818,1854657,0.7603,0.7258,0.7426
43,0.169291,4892245,1564329,1832458,0.7577,0.7275,0.7423
44,0.173228,4875829,1580745,1810693,0.7552,0.7292,0.742
45,0.177165,4860051,1596523,1790764,0.7527,0.7307,0.7416
46,0.181102,4844311,1612263,1771069,0.7503,0.7323,0.7412
47,0.185039,4829231,1627343,1752794,0.748,0.7337,0.7408
48,0.188976,4814332,1642242,1734697,0.7456,0.7351,0.7403
49,0.192913,4800258,1656316,1717613,0.7435,0.7365,0.74
50,0.19685,4786281,1670293,1700859,0.7413,0.7378,0.7396
51,0.200787,4772907,1683667,1685205,0.7392,0.7391,0.7391
52,0.204724,4759666,1696908,1670111,0.7372,0.7403,0.7387
53,0.208661,4746482,1710092,1655107,0.7351,0.7415,0.7383
54,0.212598,4733345,1723229,1640378,0.7331,0.7426,0.7378
55,0.216535,4720945,1735629,1626417,0.7312,0.7438,0.7374
56,0.220472,4708617,1747957,1612708,0.7293,0.7449,0.737
57,0.224409,4696976,1759598,1599729,0.7275,0.7459,0.7366
58,0.228346,4685280,1771294,1586990,0.7257,0.747,0.7362
59,0.232283,4673662,1782912,1574636,0.7239,0.748,0.7357
60,0.23622,4662093,1794481,1562090,0.7221,0.749,0.7353
61,0.240157,4651160,1805414,1550439,0.7204,0.75,0.7349
62,0.244094,4640255,1816319,1538831,0.7187,0.751,0.7345
63,0.248031,4629378,1827196,1527545,0.717,0.7519,0.734
64,0.251968,4618742,1837832,1516228,0.7154,0.7529,0.7336
65,0.255905,4608680,1847894,1505795,0.7138,0.7537,0.7332
66,0.259842,4598480,1858094,1495198,0.7122,0.7546,0.7328
67,0.263779,4588527,1868047,1485116,0.7107,0.7555,0.7324
68,0.267716,4578434,1878140,1474994,0.7091,0.7563,0.732
69,0.271653,4568907,1887667,1465409,0.7076,0.7572,0.7316
70,0.27559,4559430,1897144,1455910,0.7062,0.758,0.7312
71,0.279527,4550045,1906529,1446461,0.7047,0.7588,0.7308
72,0.283464,4540568,1916006,1437312,0.7032,0.7596,0.7303
73,0.287401,4531283,1925291,1428003,0.7018,0.7604,0.7299
74,0.291338,4522262,1934312,1419198,0.7004,0.7611,0.7295
75,0.295275,4513085,1943489,1410245,0.699,0.7619,0.7291
76,0.299212,4504463,1952111,1402010,0.6977,0.7626,0.7287
77,0.303149,4495501,1961073,1393395,0.6963,0.7634,0.7283
78,0.307086,4486969,1969605,1385180,0.6949,0.7641,0.7279
79,0.311023,4478324,1978250,1376903,0.6936,0.7648,0.7275
80,0.31496,4469876,1986698,1369055,0.6923,0.7655,0.7271
81,0.318897,4461116,1995458,1360913,0.6909,0.7662,0.7266
82,0.322834,4452728,2003846,1352973,0.6896,0.767,0.7262
83,0.326771,4444297,2012277,1345094,0.6883,0.7677,0.7258
84,0.330708,4436140,2020434,1337433,0.6871,0.7684,0.7254
85,0.334645,4427707,2028867,1329750,0.6858,0.769,0.725
86,0.338582,4419426,2037148,1322270,0.6845,0.7697,0.7246
87,0.342519,4411127,2045447,1314796,0.6832,0.7704,0.7242
88,0.346456,4402806,2053768,1307220,0.6819,0.7711,0.7238
89,0.350393,4394504,2062070,1299723,0.6806,0.7717,0.7233
90,0.35433,4386450,2070124,1292621,0.6794,0.7724,0.7229
91,0.358267,4378298,2078276,1285337,0.6781,0.7731,0.7225
92,0.362204,4370204,2086370,1278162,0.6769,0.7737,0.7221
93,0.366141,4361889,2094685,1271104,0.6756,0.7743,0.7216
94,0.370078,4353587,2102987,1263984,0.6743,0.775,0.7211
95,0.374015,4345510,2111064,1257106,0.673,0.7756,0.7207
96,0.377952,4337295,2119279,1250091,0.6718,0.7763,0.7202
97,0.381889,4329265,2127309,1243253,0.6705,0.7769,0.7198
98,0.385826,4321208,2135366,1236552,0.6693,0.7775,0.7193
99,0.389763,4313205,2143369,1229851,0.668,0.7781,0.7189
100,0.3937,4305259,2151315,1223351,0.6668,0.7787,0.7184
101,0.397637,4297272,2159302,1216624,0.6656,0.7794,0.718
102,0.401574,4289376,2167198,1210158,0.6643,0.78,0.7175
103,0.405511,4281371,2175203,1203620,0.6631,0.7806,0.7171
104,0.409448,4273454,2183120,1197173,0.6619,0.7812,0.7166
105,0.413385,4265432,2191142,1190705,0.6606,0.7818,0.7161
106,0.417322,4257544,2199030,1184274,0.6594,0.7824,0.7157
107,0.421259,4249628,2206946,1177873,0.6582,0.783,0.7152
108,0.425196,4241786,2214788,1171445,0.657,0.7836,0.7147
109,0.429133,4233829,2222745,1164979,0.6557,0.7842,0.7142
110,0.43307,4226043,2230531,1158749,0.6545,0.7848,0.7138
111,0.437007,4218109,2238465,1152400,0.6533,0.7854,0.7133
112,0.440944,4210156,2246418,1146148,0.6521,0.786,0.7128
113,0.444881,4202379,2254195,1139937,0.6509,0.7866,0.7123
114,0.448818,4194427,2262147,1133601,0.6496,0.7872,0.7118
115,0.452755,4186185,2270389,1127329,0.6484,0.7878,0.7113
116,0.456692,4178330,2278244,1121101,0.6471,0.7884,0.7108
117,0.460629,4170315,2286259,1114834,0.6459,0.7891,0.7103
118,0.464566,4162126,2294448,1108636,0.6446,0.7897,0.7098
119,0.468503,4154136,2302438,1102520,0.6434,0.7903,0.7093
120,0.47244,4145981,2310593,1096357,0.6421,0.7909,0.7088
121,0.476377,4137848,2318726,1090054,0.6409,0.7915,0.7083
122,0.480314,4129652,2326922,1083757,0.6396,0.7921,0.7077
123,0.484251,4121229,2335345,1077590,0.6383,0.7927,0.7072
124,0.488188,4112886,2343688,1071412,0.637,0.7933,0.7066
125,0.492125,4104354,2352220,1065180,0.6357,0.794,0.7061
126,0.496062,4095986,2360588,1059020,0.6344,0.7946,0.7055
127,0.5,4087385,2369189,1052669,0.6331,0.7952,0.7049
128,0.503937,4078751,2377823,1046433,0.6317,0.7958,0.7043
129,0.507874,4070039,2386535,1040100,0.6304,0.7965,0.7038
130,0.511811,4061233,2395341,1033888,0.629,0.7971,0.7031
131,0.515748,4052497,2404077,1027517,0.6277,0.7977,0.7025
132,0.519685,4043519,2413055,1021271,0.6263,0.7984,0.7019
133,0.523622,4034511,2422063,1014897,0.6249,0.799,0.7013
134,0.527559,4025540,2431034,1008465,0.6235,0.7997,0.7007
135,0.531496,4016316,2440258,1001899,0.6221,0.8003,0.7
136,0.535433,4006894,2449680,995299,0.6206,0.801,0.6994
137,0.53937,3997529,2459045,988812,0.6191,0.8017,0.6987
138,0.543307,3988113,2468461,982153,0.6177,0.8024,0.698
139,0.547244,3978398,2478176,975463,0.6162,0.8031,0.6973
140,0.551181,3968564,2488010,968699,0.6147,0.8038,0.6966
141,0.555118,3958416,2498158,961952,0.6131,0.8045,0.6959
142,0.559055,3948406,2508168,955137,0.6115,0.8052,0.6951
143,0.562992,3938195,2518379,948373,0.61,0.8059,0.6944
144,0.566929,3927637,2528937,941563,0.6083,0.8066,0.6936
145,0.570866,3917003,2539571,934618,0.6067,0.8074,0.6928
146,0.574803,3906420,2550154,927886,0.605,0.8081,0.692
147,0.57874,3895377,2561197,920937,0.6033,0.8088,0.6911
148,0.582677,3884425,2572149,913984,0.6016,0.8095,0.6903
149,0.586614,3872898,2583676,906823,0.5998,0.8103,0.6894
150,0.590551,3861295,2595279,899675,0.598,0.811,0.6884
151,0.594488,3849509,2607065,892358,0.5962,0.8118,0.6875
152,0.598425,3837506,2619068,884995,0.5944,0.8126,0.6866
