k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,606672,0,772318,1.0,0.4399,0.6111
2,0.007874,606672,0,772318,1.0,0.4399,0.6111
3,0.011811,606672,0,772318,1.0,0.4399,0.6111
4,0.015748,606672,0,772318,1.0,0.4399,0.6111
5,0.019685,606672,0,772318,1.0,0.4399,0.6111
6,0.023622,606672,0,772318,1.0,0.4399,0.6111
7,0.027559,606672,0,772318,1.0,0.4399,0.6111
8,0.031496,606672,0,772318,1.0,0.4399,0.6111
9,0.035433,606672,0,772318,1.0,0.4399,0.6111
10,0.03937,606672,0,772318,1.0,0.4399,0.6111
11,0.043307,606672,0,772318,1.0,0.4399,0.6111
12,0.047244,606672,0,772318,1.0,0.4399,0.6111
13,0.051181,606672,0,772318,1.0,0.4399,0.6111
14,0.055118,606672,0,772318,1.0,0.4399,0.6111
15,0.059055,606672,0,772318,1.0,0.4399,0.6111
16,0.062992,606672,0,772318,1.0,0.4399,0.6111
17,0.066929,606672,0,772318,1.0,0.4399,0.6111
18,0.070866,606672,0,772318,1.0,0.4399,0.6111
19,0.074803,606672,0,772318,1.0,0.4399,0.6111
20,0.07874,606672,0,772318,1.0,0.4399,0.6111
21,0.082677,606672,0,772318,1.0,0.4399,0.6111
22,0.086614,606672,0,772318,1.0,0.4399,0.6111
23,0.090551,606672,0,772318,1.0,0.4399,0.6111
24,0.094488,606672,0,772318,1.0,0.4399,0.6111
25,0.098425,606672,0,772318,1.0,0.4399,0.6111
26,0.102362,606672,0,772318,1.0,0.4399,0.6111
27,0.106299,606672,0,772318,1.0,0.4399,0.6111
28,0.110236,606672,0,772318,1.0,0.4399,0.6111
29,0.114173,606672,0,772318,1.0,0.4399,0.6111
30,0.11811,606672,0,772318,1.0,0.4399,0.6111
31,0.122047,606672,0,772318,1.0,0.4399,0.6111
32,0.125984,606672,0,772318,1.0,0.4399,0.6111
33,0.129921,606672,0,772318,1.0,0.4399,0.6111
34,0.133858,606672,0,772318,1.0,0.4399,0.6111
35,0.137795,606672,0,772318,1.0,0.4399,0.6111
36,0.141732,606672,0,772318,1.0,0.4399,0.6111
37,0.145669,606672,0,772318,1.0,0.4399,0.6111
38,0.149606,606672,0,772318,1.0,0.4399,0.6111
39,0.153543,606672,0,772318,1.0,0.4399,0.6111
40,0.15748,606672,0,772318,1.0,0.4399,0.6111
41,0.161417,606672,0,772318,1.0,0.4399,0.6111
42,0.165354,606672,0,772161,1.0,0.44,0.6111
43,0.169291,606672,0,771633,1.0,0.4402,0.6113
44,0.173228,606572,100,767924,0.9998,0.4413,0.6123
45,0.177165,606198,474,760136,0.9992,0.4437,0.6145
46,0.181102,605074,1598,747967,0.9974,0.4472,0.6175
47,0.185039,604492,2180,737453,0.9964,0.4505,0.6204
48,0.188976,603405,3267,726273,0.9946,0.4538,0.6232
49,0.192913,601682,4990,709681,0.9918,0.4588,0.6274
50,0.19685,599302,7370,684592,0.9879,0.4668,0.634
51,0.200787,595634,11038,650134,0.9818,0.4781,0.6431
52,0.204724,589739,16933,606008,0.9721,0.4932,0.6544
53,0.208661,582367,24305,556349,0.9599,0.5114,0.6673
54,0.212598,573691,32981,503418,0.9456,0.5326,0.6814
55,0.216535,564158,42514,452520,0.9299,0.5549,0.6951
56,0.220472,552787,53885,401878,0.9112,0.579,0.7081
57,0.224409,540631,66041,355269,0.8911,0.6035,0.7196
58,0.228346,527857,78815,313195,0.8701,0.6276,0.7292
59,0.232283,514625,92047,275422,0.8483,0.6514,0.7369
60,0.23622,501384,105288,242889,0.8264,0.6737,0.7423
61,0.240157,488467,118205,216884,0.8052,0.6925,0.7446
62,0.244094,475405,131267,194825,0.7836,0.7093,0.7446
63,0.248031,462517,144155,175916,0.7624,0.7245,0.7429
64,0.251968,449887,156785,159841,0.7416,0.7378,0.7397
65,0.255905,438763,167909,146244,0.7232,0.75,0.7364
66,0.259842,428313,178359,134771,0.706,0.7607,0.7323
67,0.263779,418452,188220,125009,0.6897,0.77,0.7277
68,0.267716,409494,197178,117101,0.675,0.7776,0.7227
69,0.271653,401361,205311,110445,0.6616,0.7842,0.7177
70,0.27559,394400,212272,105059,0.6501,0.7897,0.7131
71,0.279527,388464,218208,100799,0.6403,0.794,0.7089
72,0.283464,383585,223087,97374,0.6323,0.7975,0.7054
73,0.287401,379758,226914,94545,0.626,0.8007,0.7026
74,0.291338,376525,230147,92167,0.6206,0.8034,0.7003
75,0.295275,373584,233088,89955,0.6158,0.8059,0.6982
76,0.299212,371023,235649,88143,0.6116,0.808,0.6962
77,0.303149,368476,238196,86471,0.6074,0.8099,0.6942
78,0.307086,366227,240445,84938,0.6037,0.8117,0.6924
79,0.311023,364144,242528,83557,0.6002,0.8134,0.6907
80,0.31496,362126,244546,82324,0.5969,0.8148,0.689
81,0.318897,360223,246449,81069,0.5938,0.8163,0.6875
82,0.322834,358385,248287,79914,0.5907,0.8177,0.6859
83,0.326771,356574,250098,78798,0.5878,0.819,0.6844
84,0.330708,354850,251822,77699,0.5849,0.8204,0.6829
85,0.334645,353112,253560,76602,0.582,0.8217,0.6814
86,0.338582,351440,255232,75557,0.5793,0.8231,0.68
87,0.342519,349835,256837,74656,0.5766,0.8241,0.6785
88,0.346456,348239,258433,73751,0.574,0.8252,0.6771
89,0.350393,346681,259991,72893,0.5714,0.8263,0.6756
90,0.35433,345184,261488,72088,0.569,0.8272,0.6742
91,0.358267,343668,263004,71313,0.5665,0.8282,0.6728
92,0.362204,342208,264464,70509,0.5641,0.8292,0.6714
93,0.366141,340794,265878,69742,0.5617,0.8301,0.6701
94,0.370078,339416,267256,68955,0.5595,0.8311,0.6688
95,0.374015,338045,268627,68205,0.5572,0.8321,0.6675
96,0.377952,336677,269995,67463,0.555,0.8331,0.6662
97,0.381889,335233,271439,66752,0.5526,0.8339,0.6647
98,0.385826,333824,272848,66070,0.5503,0.8348,0.6633
99,0.389763,332471,274201,65407,0.548,0.8356,0.6619
100,0.3937,331110,275562,64674,0.5458,0.8366,0.6606
101,0.397637,329737,276935,63951,0.5435,0.8376,0.6592
102,0.401574,328427,278245,63230,0.5414,0.8386,0.658
103,0.405511,327088,279584,62583,0.5392,0.8394,0.6566
104,0.409448,325721,280951,61986,0.5369,0.8401,0.6551
105,0.413385,324407,282265,61328,0.5347,0.841,0.6538
106,0.417322,323042,283630,60684,0.5325,0.8419,0.6523
107,0.421259,321665,285007,59987,0.5302,0.8428,0.6509
108,0.425196,320281,286391,59336,0.5279,0.8437,0.6495
109,0.429133,318866,287806,58682,0.5256,0.8446,0.648
110,0.43307,317468,289204,58041,0.5233,0.8454,0.6465
111,0.437007,316015,290657,57436,0.5209,0.8462,0.6448
112,0.440944,314567,292105,56777,0.5185,0.8471,0.6433
113,0.444881,313051,293621,56089,0.516,0.8481,0.6416
114,0.448818,311548,295124,55375,0.5135,0.8491,0.64
115,0.452755,310047,296625,54732,0.5111,0.85,0.6383
116,0.456692,308491,298181,54047,0.5085,0.8509,0.6366
117,0.460629,306897,299775,53351,0.5059,0.8519,0.6348
118,0.464566,305230,301442,52655,0.5031,0.8529,0.6329
