k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,6822519,0,12990671,1.0,0.3443,0.5123
2,0.007874,6822519,0,12990671,1.0,0.3443,0.5123
3,0.011811,6822519,0,12990671,1.0,0.3443,0.5123
4,0.015748,6822519,0,12990671,1.0,0.3443,0.5123
5,0.019685,6822519,0,12990671,1.0,0.3443,0.5123
6,0.023622,6822519,0,12990671,1.0,0.3443,0.5123
7,0.027559,6822519,0,12990671,1.0,0.3443,0.5123
8,0.031496,6822519,0,12990671,1.0,0.3443,0.5123
9,0.035433,6822519,0,12990671,1.0,0.3443,0.5123
10,0.03937,6822519,0,12990671,1.0,0.3443,0.5123
11,0.043307,6822519,0,12990671,1.0,0.3443,0.5123
12,0.047244,6822519,0,12990671,1.0,0.3443,0.5123
13,0.051181,6822519,0,12990671,1.0,0.3443,0.5123
14,0.055118,6822519,0,12990671,1.0,0.3443,0.5123
15,0.059055,6822519,0,12990332,1.0,0.3443,0.5123
16,0.062992,6822506,13,12988656,1.0,0.3444,0.5123
17,0.066929,6822041,478,12976138,0.9999,0.3446,0.5125
18,0.070866,6820757,1762,12922927,0.9997,0.3455,0.5135
19,0.074803,6817170,5349,12740693,0.9992,0.3486,0.5168
20,0.07874,6808185,14334,12232972,0.9979,0.3576,0.5265
21,0.082677,6784186,38333,11099667,0.9944,0.3793,0.5492
22,0.086614,6730356,92163,9442154,0.9865,0.4162,0.5854
23,0.090551,6639755,182764,7763444,0.9732,0.461,0.6256
24,0.094488,6518058,304461,6336651,0.9554,0.5071,0.6625
25,0.098425,6369955,452564,5197779,0.9337,0.5507,0.6928
26,0.102362,6222531,599988,4350423,0.9121,0.5885,0.7154
27,0.106299,6083585,738934,3714814,0.8917,0.6209,0.732
28,0.110236,5951694,870825,3218132,0.8724,0.6491,0.7443
29,0.114173,5831310,991209,2829797,0.8547,0.6733,0.7532
30,0.11811,5715114,1107405,2511505,0.8377,0.6947,0.7595
31,0.122047,5611186,1211333,2259850,0.8225,0.7129,0.7638
32,0.125984,5513767,1308752,2046973,0.8082,0.7293,0.7667
33,0.129921,5430027,1392492,1883317,0.7959,0.7425,0.7683
34,0.133858,5354124,1468395,1746923,0.7848,0.754,0.7691
35,0.137795,5288971,1533548,1633351,0.7752,0.764,0.7696
36,0.141732,5232081,1590438,1539962,0.7669,0.7726,0.7697
37,0.145669,5183091,1639428,1462898,0.7597,0.7799,0.7697
38,0.149606,5140817,1681702,1398681,0.7535,0.7861,0.7695
39,0.153543,5103684,1718835,1344458,0.7481,0.7915,0.7692
40,0.15748,5072355,1750164,1300321,0.7435,0.796,0.7688
41,0.161417,5045618,1776901,1265374,0.7396,0.7995,0.7684
42,0.165354,5021983,1800536,1236064,0.7361,0.8025,0.7679
43,0.169291,5001631,1820888,1211742,0.7331,0.805,0.7674
44,0.173228,4982948,1839571,1190580,0.7304,0.8071,0.7668
45,0.177165,4965922,1856597,1172129,0.7279,0.809,0.7663
46,0.181102,4949960,1872559,1155226,0.7255,0.8108,0.7658
47,0.185039,4935202,1887317,1139896,0.7234,0.8124,0.7653
48,0.188976,4921459,1901060,1125427,0.7214,0.8139,0.7648
49,0.192913,4908695,1913824,1112383,0.7195,0.8153,0.7644
50,0.19685,4896473,1926046,1099810,0.7177,0.8166,0.764
51,0.200787,4884994,1937525,1088496,0.716,0.8178,0.7635
52,0.204724,4874184,1948335,1077616,0.7144,0.8189,0.7631
53,0.208661,4863495,1959024,1067149,0.7129,0.8201,0.7627
54,0.212598,4853057,1969462,1057197,0.7113,0.8211,0.7623
55,0.216535,4843306,1979213,1047763,0.7099,0.8221,0.7619
56,0.220472,4833791,1988728,1038836,0.7085,0.8231,0.7615
57,0.224409,4824959,1997560,1030554,0.7072,0.824,0.7612
58,0.228346,4816265,2006254,1022469,0.7059,0.8249,0.7608
59,0.232283,4807697,2014822,1014606,0.7047,0.8257,0.7604
60,0.23622,4799330,2023189,1006846,0.7035,0.8266,0.7601
61,0.240157,4791415,2031104,999551,0.7023,0.8274,0.7597
62,0.244094,4783607,2038912,992529,0.7011,0.8282,0.7594
63,0.248031,4775980,2046539,985625,0.7,0.8289,0.759
64,0.251968,4768489,2054030,979024,0.6989,0.8297,0.7587
65,0.255905,4761250,2061269,972734,0.6979,0.8304,0.7584
66,0.259842,4754149,2068370,966456,0.6968,0.8311,0.758
67,0.263779,4747063,2075456,960479,0.6958,0.8317,0.7577
68,0.267716,4740011,2082508,954556,0.6948,0.8324,0.7574
69,0.271653,4733465,2089054,948978,0.6938,0.833,0.7571
70,0.27559,4726677,2095842,943331,0.6928,0.8336,0.7567
71,0.279527,4720017,2102502,937691,0.6918,0.8343,0.7564
72,0.283464,4713448,2109071,932236,0.6909,0.8349,0.7561
73,0.287401,4707009,2115510,926825,0.6899,0.8355,0.7558
74,0.291338,4700733,2121786,921695,0.689,0.8361,0.7554
75,0.295275,4694269,2128250,916431,0.6881,0.8367,0.7551
76,0.299212,4687973,2134546,911379,0.6871,0.8372,0.7548
77,0.303149,4681678,2140841,906365,0.6862,0.8378,0.7545
78,0.307086,4675326,2147193,901506,0.6853,0.8383,0.7541
79,0.311023,4669101,2153418,896641,0.6844,0.8389,0.7538
80,0.31496,4662978,2159541,891931,0.6835,0.8394,0.7535
81,0.318897,4656784,2165735,887231,0.6826,0.84,0.7531
82,0.322834,4650723,2171796,882501,0.6817,0.8405,0.7528
83,0.326771,4644451,2178068,877831,0.6808,0.841,0.7525
84,0.330708,4638396,2184123,873339,0.6799,0.8415,0.7521
85,0.334645,4632153,2190366,868782,0.679,0.8421,0.7518
86,0.338582,4626176,2196343,864222,0.6781,0.8426,0.7514
87,0.342519,4620112,2202407,859716,0.6772,0.8431,0.7511
88,0.346456,4613983,2208536,855283,0.6763,0.8436,0.7507
89,0.350393,4607892,2214627,850858,0.6754,0.8441,0.7504
90,0.35433,4601885,2220634,846601,0.6745,0.8446,0.75
91,0.358267,4595931,2226588,842402,0.6736,0.8451,0.7497
92,0.362204,4589890,2232629,837964,0.6728,0.8456,0.7493
93,0.366141,4583832,2238687,833593,0.6719,0.8461,0.749
94,0.370078,4577702,2244817,829340,0.671,0.8466,0.7486
95,0.374015,4571601,2250918,825146,0.6701,0.8471,0.7483
96,0.377952,4565290,2257229,820778,0.6692,0.8476,0.7479
97,0.381889,4558931,2263588,816371,0.6682,0.8481,0.7475
98,0.385826,4552812,2269707,812187,0.6673,0.8486,0.7471
99,0.389763,4546608,2275911,807977,0.6664,0.8491,0.7467
100,0.3937,4540436,2282083,803674,0.6655,0.8496,0.7464
101,0.397637,4534099,2288420,799355,0.6646,0.8501,0.746
102,0.401574,4527854,2294665,795184,0.6637,0.8506,0.7456
103,0.405511,4521467,2301052,790964,0.6627,0.8511,0.7452
104,0.409448,4515017,2307502,786676,0.6618,0.8516,0.7448
105,0.413385,4508507,2314012,782483,0.6608,0.8521,0.7444
106,0.417322,4501960,2320559,778208,0.6599,0.8526,0.744
107,0.421259,4495260,2327259,773873,0.6589,0.8531,0.7435
108,0.425196,4488502,2334017,769698,0.6579,0.8536,0.7431
109,0.429133,4481650,2340869,765366,0.6569,0.8541,0.7426
110,0.43307,4474625,2347894,761014,0.6559,0.8546,0.7422
111,0.437007,4467562,2354957,756548,0.6548,0.8552,0.7417
112,0.440944,4460212,2362307,751945,0.6537,0.8557,0.7412
113,0.444881,4452850,2369669,747363,0.6527,0.8563,0.7407
114,0.448818,4445191,2377328,742617,0.6515,0.8569,0.7402
115,0.452755,4437141,2385378,737709,0.6504,0.8574,0.7397
116,0.456692,4428685,2393834,732685,0.6491,0.858,0.7391
117,0.460629,4419885,2402634,727438,0.6478,0.8587,0.7385
118,0.464566,4410652,2411867,721927,0.6465,0.8593,0.7379
119,0.468503,4401083,2421436,716213,0.6451,0.86,0.7372
120,0.47244,4391084,2431435,710293,0.6436,0.8608,0.7365
121,0.476377,4380385,2442134,703940,0.642,0.8615,0.7358
122,0.480314,4368972,2453547,697303,0.6404,0.8624,0.735
123,0.484251,4356706,2465813,690081,0.6386,0.8633,0.7341
124,0.488188,4343151,2479368,682170,0.6366,0.8643,0.7332
125,0.492125,4327927,2494592,672964,0.6344,0.8654,0.7321
126,0.496062,4310084,2512435,662267,0.6317,0.8668,0.7308
127,0.5,4287590,2534929,648256,0.6284,0.8687,0.7293
128,0.503937,4248932,2573587,616917,0.6228,0.8732,0.727
129,0.507874,4203800,2618719,582588,0.6162,0.8783,0.7242
130,0.511811,4160918,2661601,553964,0.6099,0.8825,0.7213
131,0.515748,4121407,2701112,531805,0.6041,0.8857,0.7183
132,0.519685,4084653,2737866,513097,0.5987,0.8884,0.7153
133,0.523622,4050339,2772180,495849,0.5937,0.8909,0.7125
134,0.527559,4017632,2804887,479911,0.5889,0.8933,0.7098
135,0.531496,3986947,2835572,465368,0.5844,0.8955,0.7072
136,0.535433,3957429,2865090,451528,0.5801,0.8976,0.7047
137,0.53937,3929736,2892783,438816,0.576,0.8996,0.7023
138,0.543307,3902653,2919866,426466,0.572,0.9015,0.6999
139,0.547244,3876235,2946284,414650,0.5682,0.9034,0.6976
140,0.551181,3850619,2971900,403354,0.5644,0.9052,0.6953
141,0.555118,3825265,2997254,392727,0.5607,0.9069,0.693
142,0.559055,3800686,3021833,382295,0.5571,0.9086,0.6907
143,0.562992,3776278,3046241,371987,0.5535,0.9103,0.6884
144,0.566929,3751996,3070523,361905,0.5499,0.912,0.6861
145,0.570866,3728040,3094479,352081,0.5464,0.9137,0.6839
146,0.574803,3704402,3118117,342315,0.543,0.9154,0.6816
147,0.57874,3680528,3141991,332905,0.5395,0.9171,0.6793
148,0.582677,3656719,3165800,323920,0.536,0.9186,0.677
149,0.586614,3632775,3189744,314797,0.5325,0.9203,0.6746
150,0.590551,3609256,3213263,306083,0.529,0.9218,0.6722
151,0.594488,3585141,3237378,297453,0.5255,0.9234,0.6698
152,0.598425,3561265,3261254,289161,0.522,0.9249,0.6673
153,0.602362,3537555,3284964,281201,0.5185,0.9264,0.6649
154,0.606299,3513592,3308927,273412,0.515,0.9278,0.6623
155,0.610236,3489088,3333431,265588,0.5114,0.9293,0.6597
156,0.614173,3464510,3358009,258137,0.5078,0.9307,0.6571
157,0.61811,3440092,3382427,250651,0.5042,0.9321,0.6544
158,0.622047,3415224,3407295,243437,0.5006,0.9335,0.6517
159,0.625984,3390037,3432482,236267,0.4969,0.9348,0.6489
160,0.629921,3364215,3458304,229183,0.4931,0.9362,0.646
161,0.633858,3338407,3484112,222333,0.4893,0.9376,0.643
162,0.637795,3311329,3511190,215381,0.4854,0.9389,0.6399
163,0.641732,3283819,3538700,208493,0.4813,0.9403,0.6367
164,0.645669,3255577,3566942,201621,0.4772,0.9417,0.6334
165,0.649606,3226704,3595815,194672,0.4729,0.9431,0.63
166,0.653543,3197214,3625305,187867,0.4686,0.9445,0.6264
167,0.65748,3166279,3656240,180745,0.4641,0.946,0.6227
168,0.661417,3134222,3688297,173798,0.4594,0.9475,0.6188
169,0.665354,3101560,3720959,166739,0.4546,0.949,0.6147
170,0.669291,3067801,3754718,159555,0.4497,0.9506,0.6105
171,0.673228,3031925,3790594,152451,0.4444,0.9521,0.606
172,0.677165,2996367,3826152,145825,0.4392,0.9536,0.6014
173,0.681102,2957824,3864695,138741,0.4335,0.9552,0.5964
174,0.685039,2917778,3904741,131706,0.4277,0.9568,0.5911
175,0.688976,2875471,3947048,124419,0.4215,0.9585,0.5855
176,0.692913,2832571,3989948,117511,0.4152,0.9602,0.5797
177,0.69685,2787114,4035405,110789,0.4085,0.9618,0.5735
178,0.700787,2739745,4082774,104653,0.4016,0.9632,0.5668
179,0.704724,2690027,4132492,98521,0.3943,0.9647,0.5598
180,0.708661,2639413,4183106,92746,0.3869,0.9661,0.5525
181,0.712598,2584518,4238001,87044,0.3788,0.9674,0.5444
182,0.716535,2528917,4293602,82071,0.3707,0.9686,0.5362
183,0.720472,2470179,4352340,77466,0.3621,0.9696,0.5272
184,0.724409,2409739,4412780,73254,0.3532,0.9705,0.5179
185,0.728346,2347166,4475353,69126,0.344,0.9714,0.5081
186,0.732283,2281435,4541084,65029,0.3344,0.9723,0.4976
187,0.73622,2213962,4608557,61335,0.3245,0.973,0.4867
188,0.740157,2142841,4679678,57629,0.3141,0.9738,0.475
189,0.744094,2069270,4753249,54100,0.3033,0.9745,0.4626
190,0.748031,1993922,4828597,50767,0.2923,0.9752,0.4497
191,0.751968,1917215,4905304,47524,0.281,0.9758,0.4364
192,0.755905,1835382,4987137,44223,0.269,0.9765,0.4218
193,0.759842,1753342,5069177,41024,0.257,0.9771,0.407
194,0.763779,1669657,5152862,37854,0.2447,0.9778,0.3915
195,0.767716,1584593,5237926,35015,0.2323,0.9784,0.3754
196,0.771653,1496034,5326485,32124,0.2193,0.979,0.3583
197,0.77559,1407997,5414522,29426,0.2064,0.9795,0.3409
198,0.779527,1322262,5500257,26737,0.1938,0.9802,0.3236
199,0.783464,1238187,5584332,24274,0.1815,0.9808,0.3063
200,0.787401,1153457,5669062,21828,0.1691,0.9814,0.2884
201,0.791338,1072406,5750113,19476,0.1572,0.9822,0.271
202,0.795275,991592,5830927,16981,0.1453,0.9832,0.2532
203,0.799212,913332,5909187,14884,0.1339,0.984,0.2357
204,0.803149,837481,5985038,12975,0.1228,0.9847,0.2183
205,0.807086,764502,6058017,11298,0.1121,0.9854,0.2012
206,0.811023,693087,6129432,9726,0.1016,0.9862,0.1842
207,0.81496,626210,6196309,8418,0.0918,0.9867,0.1679
208,0.818897,561780,6260739,7225,0.0823,0.9873,0.152
209,0.822834,502899,6319620,6156,0.0737,0.9879,0.1372
210,0.826771,446780,6375739,5234,0.0655,0.9884,0.1228
211,0.830708,394371,6428148,4455,0.0578,0.9888,0.1092
212,0.834645,345083,6477436,3757,0.0506,0.9892,0.0962
213,0.838582,298701,6523818,3080,0.0438,0.9898,0.0839
214,0.842519,254560,6567959,2425,0.0373,0.9906,0.0719
215,0.846456,215144,6607375,1858,0.0315,0.9914,0.0611
216,0.850393,179005,6643514,1399,0.0262,0.9922,0.0511
217,0.85433,147105,6675414,1090,0.0216,0.9926,0.0422
218,0.858267,120452,6702067,900,0.0177,0.9926,0.0347
219,0.862204,97218,6725301,741,0.0142,0.9924,0.0281
220,0.866141,77230,6745289,613,0.0113,0.9921,0.0224
221,0.870078,60065,6762454,478,0.0088,0.9921,0.0175
222,0.874015,45073,6777446,368,0.0066,0.9919,0.0131
223,0.877952,32940,6789579,251,0.0048,0.9924,0.0096
224,0.881889,23200,6799319,160,0.0034,0.9932,0.0068
225,0.885826,15691,6806828,126,0.0023,0.992,0.0046
226,0.889763,10419,6812100,99,0.0015,0.9906,0.003
227,0.8937,6507,6816012,73,0.001,0.9889,0.0019
228,0.897637,3682,6818837,42,0.0005,0.9887,0.0011
229,0.901574,1868,6820651,22,0.0003,0.9884,0.0005
230,0.905511,915,6821604,10,0.0001,0.9892,0.0003
231,0.909448,417,6822102,0,0.0001,1.0,0.0001
232,0.913385,168,6822351,0,0.0,1.0,0.0
233,0.917322,10,6822509,0,0.0,1.0,0.0
234,0.921259,0,6822519,0,0.0,nan,
235,0.925196,0,6822519,0,0.0,nan,
236,0.929133,0,6822519,0,0.0,nan,
237,0.93307,0,6822519,0,0.0,nan,
238,0.937007,0,6822519,0,0.0,nan,
239,0.940944,0,6822519,0,0.0,nan,
240,0.944881,0,6822519,0,0.0,nan,
241,0.948818,0,6822519,0,0.0,nan,
242,0.952755,0,6822519,0,0.0,nan,
243,0.956692,0,6822519,0,0.0,nan,
244,0.960629,0,6822519,0,0.0,nan,
245,0.964566,0,6822519,0,0.0,nan,
246,0.968503,0,6822519,0,0.0,nan,
247,0.97244,0,6822519,0,0.0,nan,
248,0.976377,0,6822519,0,0.0,nan,
249,0.980314,0,6822519,0,0.0,nan,
250,0.984251,0,6822519,0,0.0,nan,
251,0.988188,0,6822519,0,0.0,nan,
252,0.992125,0,6822519,0,0.0,nan,
253,0.996062,0,6822519,0,0.0,nan,
254,1.0,0,6822519,0,0.0,nan,
