k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,969292,0,1413088,1.0,0.4069,0.5784
2,0.007874,969292,0,1413088,1.0,0.4069,0.5784
3,0.011811,969292,0,1413088,1.0,0.4069,0.5784
4,0.015748,969292,0,1413088,1.0,0.4069,0.5784
5,0.019685,969292,0,1413088,1.0,0.4069,0.5784
6,0.023622,969292,0,1413088,1.0,0.4069,0.5784
7,0.027559,969292,0,1413088,1.0,0.4069,0.5784
8,0.031496,969292,0,1413088,1.0,0.4069,0.5784
9,0.035433,969292,0,1413088,1.0,0.4069,0.5784
10,0.03937,969292,0,1413088,1.0,0.4069,0.5784
11,0.043307,969292,0,1413088,1.0,0.4069,0.5784
12,0.047244,969292,0,1413088,1.0,0.4069,0.5784
13,0.051181,969292,0,1413088,1.0,0.4069,0.5784
14,0.055118,969292,0,1413088,1.0,0.4069,0.5784
15,0.059055,969292,0,1413088,1.0,0.4069,0.5784
16,0.062992,969292,0,1413088,1.0,0.4069,0.5784
17,0.066929,969292,0,1413088,1.0,0.4069,0.5784
18,0.070866,969292,0,1413088,1.0,0.4069,0.5784
19,0.074803,969292,0,1413088,1.0,0.4069,0.5784
20,0.07874,969292,0,1413088,1.0,0.4069,0.5784
21,0.082677,969292,0,1413088,1.0,0.4069,0.5784
22,0.086614,969292,0,1413088,1.0,0.4069,0.5784
23,0.090551,969292,0,1413088,1.0,0.4069,0.5784
24,0.094488,969292,0,1413085,1.0,0.4069,0.5784
25,0.098425,969292,0,1412597,1.0,0.4069,0.5785
26,0.102362,969292,0,1410748,1.0,0.4073,0.5788
27,0.106299,969290,2,1406053,1.0,0.4081,0.5796
28,0.110236,969279,13,1398712,1.0,0.4093,0.5809
29,0.114173,969217,75,1386032,0.9999,0.4115,0.5831
30,0.11811,969029,263,1362899,0.9997,0.4155,0.5871
31,0.122047,968636,656,1328497,0.9993,0.4217,0.5931
32,0.125984,967935,1357,1281103,0.9986,0.4304,0.6015
33,0.129921,966701,2591,1222275,0.9973,0.4416,0.6122
34,0.133858,964469,4823,1155139,0.995,0.455,0.6245
35,0.137795,961238,8054,1087412,0.9917,0.4692,0.637
36,0.141732,956634,12658,1020119,0.9869,0.4839,0.6494
37,0.145669,950504,18788,954983,0.9806,0.4988,0.6613
38,0.149606,943317,25975,892959,0.9732,0.5137,0.6725
39,0.153543,934483,34809,832608,0.9641,0.5288,0.683
40,0.15748,924663,44629,774461,0.954,0.5442,0.693
41,0.161417,913730,55562,716376,0.9427,0.5605,0.703
42,0.165354,902237,67055,662056,0.9308,0.5768,0.7122
43,0.169291,890505,78787,614934,0.9187,0.5915,0.7197
44,0.173228,878769,90523,575037,0.9066,0.6045,0.7253
45,0.177165,868347,100945,542332,0.8959,0.6156,0.7297
46,0.181102,858504,110788,514136,0.8857,0.6254,0.7332
47,0.185039,849916,119376,490420,0.8768,0.6341,0.736
48,0.188976,842094,127198,470432,0.8688,0.6416,0.7381
49,0.192913,835272,134020,454337,0.8617,0.6477,0.7395
50,0.19685,829371,139921,441016,0.8556,0.6528,0.7406
51,0.200787,824771,144521,430480,0.8509,0.6571,0.7415
