k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,4424501510,0,12081216527,1.0,0.2681,0.4228
2,0.007874,4424501510,0,12081216527,1.0,0.2681,0.4228
3,0.011811,4424501510,0,12081216527,1.0,0.2681,0.4228
4,0.015748,4424501510,0,12081216527,1.0,0.2681,0.4228
5,0.019685,4424501510,0,12081216527,1.0,0.2681,0.4228
6,0.023622,4424501510,0,12081216527,1.0,0.2681,0.4228
7,0.027559,4424501510,0,12081216527,1.0,0.2681,0.4228
8,0.031496,4424501510,0,12081216527,1.0,0.2681,0.4228
9,0.035433,4424501510,0,12081216527,1.0,0.2681,0.4228
10,0.03937,4424501510,0,12081216527,1.0,0.2681,0.4228
11,0.043307,4424501510,0,12081216527,1.0,0.2681,0.4228
12,0.047244,4424501510,0,12081216527,1.0,0.2681,0.4228
13,0.051181,4424501510,0,12081216527,1.0,0.2681,0.4228
14,0.055118,4424501510,0,12081216527,1.0,0.2681,0.4228
15,0.059055,4424501510,0,12081216527,1.0,0.2681,0.4228
16,0.062992,4424501510,0,12081216527,1.0,0.2681,0.4228
17,0.066929,4424501510,0,12081216527,1.0,0.2681,0.4228
18,0.070866,4424501510,0,12081216527,1.0,0.2681,0.4228
19,0.074803,4424501510,0,12081216527,1.0,0.2681,0.4228
20,0.07874,4424501510,0,12081216527,1.0,0.2681,0.4228
21,0.082677,4424501510,0,12081216527,1.0,0.2681,0.4228
22,0.086614,4424501510,0,12081216527,1.0,0.2681,0.4228
23,0.090551,4424501510,0,12081216527,1.0,0.2681,0.4228
24,0.094488,4424501510,0,12081216527,1.0,0.2681,0.4228
25,0.098425,4424501510,0,12081216527,1.0,0.2681,0.4228
26,0.102362,4424501510,0,12081216527,1.0,0.2681,0.4228
27,0.106299,4424501510,0,12081216527,1.0,0.2681,0.4228
28,0.110236,4424501510,0,12081216527,1.0,0.2681,0.4228
29,0.114173,4424501510,0,12081216527,1.0,0.2681,0.4228
30,0.11811,4424501510,0,12081216527,1.0,0.2681,0.4228
31,0.122047,4424501510,0,12081216527,1.0,0.2681,0.4228
32,0.125984,4424501510,0,12081216527,1.0,0.2681,0.4228
33,0.129921,4424501510,0,12081216527,1.0,0.2681,0.4228
34,0.133858,4424501510,0,12081216527,1.0,0.2681,0.4228
35,0.137795,4424501510,0,12081216527,1.0,0.2681,0.4228
36,0.141732,4424501510,0,12081216527,1.0,0.2681,0.4228
37,0.145669,4424498214,3296,12081126870,1.0,0.2681,0.4228
38,0.149606,4422520280,1981230,12039533669,0.9996,0.2686,0.4235
39,0.153543,4221906823,202594687,6423713992,0.9542,0.3966,0.5603
40,0.15748,3761763654,662737856,1627386690,0.8502,0.698,0.7666
41,0.161417,3522601420,901900090,1156135201,0.7962,0.7529,0.7739
42,0.165354,3400881712,1023619798,1007504040,0.7686,0.7715,0.77
43,0.169291,3341157362,1083344148,944569880,0.7551,0.7796,0.7672
44,0.173228,3304609056,1119892454,909920766,0.7469,0.7841,0.765
45,0.177165,3283302320,1141199190,891190702,0.7421,0.7865,0.7636
46,0.181102,3272048196,1152453314,881146339,0.7395,0.7878,0.7629
47,0.185039,3264781298,1159720212,874512802,0.7379,0.7887,0.7625
48,0.188976,3259049711,1165451799,869268398,0.7366,0.7894,0.7621
49,0.192913,3254371027,1170130483,864998881,0.7355,0.79,0.7618
50,0.19685,3250240087,1174261423,861240625,0.7346,0.7905,0.7615
51,0.200787,3246646742,1177854768,857982742,0.7338,0.791,0.7613
52,0.204724,3243331500,1181170010,854990349,0.733,0.7914,0.7611
53,0.208661,3240232945,1184268565,852207962,0.7323,0.7918,0.7609
54,0.212598,3237300735,1187200775,849595538,0.7317,0.7921,0.7607
55,0.216535,3234619674,1189881836,847218107,0.7311,0.7924,0.7605
56,0.220472,3232045382,1192456128,844948368,0.7305,0.7928,0.7603
57,0.224409,3229665118,1194836392,842859898,0.73,0.793,0.7602
58,0.228346,3227359740,1197141770,840847581,0.7294,0.7933,0.76
59,0.232283,3225118520,1199382990,838899560,0.7289,0.7936,0.7599
60,0.23622,3222935214,1201566296,837009245,0.7284,0.7938,0.7597
61,0.240157,3220892939,1203608571,835245773,0.728,0.7941,0.7596
62,0.244094,3218892010,1205609500,833525573,0.7275,0.7943,0.7594
63,0.248031,3216927211,1207574299,831846369,0.7271,0.7945,0.7593
64,0.251968,3214999497,1209502013,830202538,0.7266,0.7948,0.7592
65,0.255905,3213187496,1211314014,828665512,0.7262,0.795,0.759
66,0.259842,3211401338,1213100172,827156025,0.7258,0.7952,0.7589
67,0.263779,3209640374,1214861136,825671662,0.7254,0.7954,0.7588
68,0.267716,3207900417,1216601093,824208595,0.725,0.7956,0.7587
