k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,5926875,0,8901987,1.0,0.3997,0.5711
2,0.007874,5926875,0,8901987,1.0,0.3997,0.5711
3,0.011811,5926875,0,8901987,1.0,0.3997,0.5711
4,0.015748,5926875,0,8901987,1.0,0.3997,0.5711
5,0.019685,5926875,0,8901987,1.0,0.3997,0.5711
6,0.023622,5926875,0,8901987,1.0,0.3997,0.5711
7,0.027559,5926875,0,8901987,1.0,0.3997,0.5711
8,0.031496,5926875,0,8901987,1.0,0.3997,0.5711
9,0.035433,5926875,0,8901987,1.0,0.3997,0.5711
10,0.03937,5926875,0,8901987,1.0,0.3997,0.5711
11,0.043307,5926875,0,8901987,1.0,0.3997,0.5711
12,0.047244,5926875,0,8901987,1.0,0.3997,0.5711
13,0.051181,5926875,0,8901987,1.0,0.3997,0.5711
14,0.055118,5926875,0,8901987,1.0,0.3997,0.5711
15,0.059055,5926875,0,8901903,1.0,0.3997,0.5711
16,0.062992,5926867,8,8901051,1.0,0.3997,0.5711
17,0.066929,5926419,456,8896763,0.9999,0.3998,0.5712
18,0.070866,5924864,2011,8878941,0.9997,0.4002,0.5716
19,0.074803,5920437,6438,8792959,0.9989,0.4024,0.5737
20,0.07874,5910426,16449,8474247,0.9972,0.4109,0.582
21,0.082677,5891322,35553,7696284,0.994,0.4336,0.6038
22,0.086614,5856313,70562,6573589,0.9881,0.4711,0.6381
23,0.090551,5808059,118816,5494709,0.98,0.5139,0.6742
24,0.094488,5748867,178008,4623428,0.97,0.5543,0.7054
25,0.098425,5679781,247094,3928508,0.9583,0.5911,0.7312
26,0.102362,5609381,317494,3398173,0.9464,0.6227,0.7512
27,0.106299,5536120,390755,2976789,0.9341,0.6503,0.7668
28,0.110236,5461010,465865,2629586,0.9214,0.675,0.7792
29,0.114173,5385129,541746,2340593,0.9086,0.697,0.7889
30,0.11811,5308035,618840,2090511,0.8956,0.7174,0.7967
31,0.122047,5235680,691195,1888897,0.8834,0.7349,0.8023
32,0.125984,5163896,762979,1716161,0.8713,0.7506,0.8064
33,0.129921,5101510,825365,1579614,0.8607,0.7636,0.8092
34,0.133858,5043745,883130,1464329,0.851,0.775,0.8112
35,0.137795,4992280,934595,1368948,0.8423,0.7848,0.8125
36,0.141732,4946431,980444,1289247,0.8346,0.7932,0.8134
37,0.145669,4906431,1020444,1223001,0.8278,0.8005,0.8139
38,0.149606,4871851,1055024,1167521,0.822,0.8067,0.8143
39,0.153543,4841369,1085506,1120535,0.8169,0.8121,0.8144
40,0.15748,4815442,1111433,1082291,0.8125,0.8165,0.8145
41,0.161417,4793643,1133232,1051709,0.8088,0.8201,0.8144
42,0.165354,4774241,1152634,1026081,0.8055,0.8231,0.8142
43,0.169291,4757424,1169451,1004901,0.8027,0.8256,0.814
44,0.173228,4742109,1184766,986546,0.8001,0.8278,0.8137
45,0.177165,4728391,1198484,970229,0.7978,0.8297,0.8135
46,0.181102,4715439,1211436,955216,0.7956,0.8316,0.8132
47,0.185039,4703342,1223533,941801,0.7936,0.8332,0.8129
48,0.188976,4692017,1234858,929042,0.7917,0.8347,0.8126
49,0.192913,4681679,1245196,917368,0.7899,0.8362,0.8124
50,0.19685,4671627,1255248,906348,0.7882,0.8375,0.8121
51,0.200787,4662130,1264745,896405,0.7866,0.8387,0.8118
52,0.204724,4653140,1273735,886807,0.7851,0.8399,0.8116
53,0.208661,4644200,1282675,877700,0.7836,0.8411,0.8113
54,0.212598,4635541,1291334,868926,0.7821,0.8421,0.811
55,0.216535,4627559,1299316,860557,0.7808,0.8432,0.8108
56,0.220472,4619651,1307224,852620,0.7794,0.8442,0.8105
57,0.224409,4612287,1314588,845306,0.7782,0.8451,0.8103
58,0.228346,4605032,1321843,838195,0.777,0.846,0.81
59,0.232283,4597856,1329019,831292,0.7758,0.8469,0.8098
60,0.23622,4590776,1336099,824516,0.7746,0.8477,0.8095
61,0.240157,4584141,1342734,818016,0.7734,0.8486,0.8093
62,0.244094,4577615,1349260,811835,0.7723,0.8494,0.809
63,0.248031,4571223,1355652,805780,0.7713,0.8501,0.8088
64,0.251968,4564972,1361903,799977,0.7702,0.8509,0.8085
65,0.255905,4558924,1367951,794436,0.7692,0.8516,0.8083
66,0.259842,4552976,1373899,788952,0.7682,0.8523,0.8081
67,0.263779,4547016,1379859,783610,0.7672,0.853,0.8078
68,0.267716,4541129,1385746,778330,0.7662,0.8537,0.8076
69,0.271653,4535799,1391076,773307,0.7653,0.8543,0.8074
70,0.27559,4530035,1396840,768292,0.7643,0.855,0.8071
71,0.279527,4524466,1402409,763259,0.7634,0.8557,0.8069
72,0.283464,4518950,1407925,758418,0.7625,0.8563,0.8066
73,0.287401,4513466,1413409,753695,0.7615,0.8569,0.8064
74,0.291338,4508165,1418710,749157,0.7606,0.8575,0.8062
75,0.295275,4502635,1424240,744563,0.7597,0.8581,0.8059
76,0.299212,4497337,1429538,740114,0.7588,0.8587,0.8057
77,0.303149,4492101,1434774,735629,0.7579,0.8593,0.8054
78,0.307086,4486723,1440152,731334,0.757,0.8598,0.8052
79,0.311023,4481447,1445428,727005,0.7561,0.8604,0.8049
80,0.31496,4476289,1450586,722762,0.7553,0.861,0.8047
81,0.318897,4471081,1455794,718646,0.7544,0.8615,0.8044
82,0.322834,4465940,1460935,714534,0.7535,0.8621,0.8041
83,0.326771,4460755,1466120,710349,0.7526,0.8626,0.8039
84,0.330708,4455557,1471318,706349,0.7518,0.8632,0.8036
85,0.334645,4450300,1476575,702294,0.7509,0.8637,0.8033
86,0.338582,4445292,1481583,698247,0.75,0.8642,0.8031
87,0.342519,4440021,1486854,694346,0.7491,0.8648,0.8028
88,0.346456,4434792,1492083,690390,0.7483,0.8653,0.8025
89,0.350393,4429589,1497286,686544,0.7474,0.8658,0.8022
90,0.35433,4424480,1502395,682803,0.7465,0.8663,0.802
91,0.358267,4419371,1507504,679130,0.7456,0.8668,0.8017
92,0.362204,4414174,1512701,675241,0.7448,0.8673,0.8014
93,0.366141,4408847,1518028,671518,0.7439,0.8678,0.8011
94,0.370078,4403564,1523311,667731,0.743,0.8683,0.8008
95,0.374015,4398255,1528620,664105,0.7421,0.8688,0.8005
96,0.377952,4392801,1534074,660353,0.7412,0.8693,0.8001
97,0.381889,4387325,1539550,656519,0.7402,0.8698,0.7998
98,0.385826,4382027,1544848,652923,0.7393,0.8703,0.7995
99,0.389763,4376621,1550254,649290,0.7384,0.8708,0.7992
100,0.3937,4371263,1555612,645565,0.7375,0.8713,0.7989
101,0.397637,4365758,1561117,641806,0.7366,0.8718,0.7985
102,0.401574,4360355,1566520,638132,0.7357,0.8723,0.7982
103,0.405511,4354756,1572119,634565,0.7347,0.8728,0.7979
104,0.409448,4349083,1577792,630867,0.7338,0.8733,0.7975
105,0.413385,4343526,1583349,627138,0.7329,0.8738,0.7972
106,0.417322,4337787,1589088,623488,0.7319,0.8743,0.7968
107,0.421259,4332082,1594793,619721,0.7309,0.8748,0.7964
108,0.425196,4326315,1600560,616022,0.7299,0.8754,0.7961
109,0.429133,4320355,1606520,612270,0.7289,0.8759,0.7957
110,0.43307,4314347,1612528,608398,0.7279,0.8764,0.7953
111,0.437007,4308181,1618694,604578,0.7269,0.8769,0.7949
112,0.440944,4301783,1625092,600556,0.7258,0.8775,0.7945
113,0.444881,4295297,1631578,596685,0.7247,0.878,0.794
114,0.448818,4288599,1638276,592654,0.7236,0.8786,0.7936
115,0.452755,4281480,1645395,588510,0.7224,0.8792,0.7931
116,0.456692,4273977,1652898,584299,0.7211,0.8797,0.7926
117,0.460629,4266152,1660723,579875,0.7198,0.8803,0.792
118,0.464566,4258000,1668875,575214,0.7184,0.881,0.7914
119,0.468503,4249530,1677345,570366,0.717,0.8817,0.7908
120,0.47244,4240585,1686290,565426,0.7155,0.8824,0.7902
121,0.476377,4230919,1695956,560196,0.7139,0.8831,0.7895
122,0.480314,4220728,1706147,554661,0.7121,0.8839,0.7888
123,0.484251,4209742,1717133,548647,0.7103,0.8847,0.788
124,0.488188,4197619,1729256,541964,0.7082,0.8857,0.7871
125,0.492125,4183750,1743125,534372,0.7059,0.8867,0.7861
126,0.496062,4167957,1758918,524982,0.7032,0.8881,0.7849
127,0.5,4148228,1778647,512318,0.6999,0.8901,0.7836
128,0.503937,4114186,1812689,482787,0.6942,0.895,0.7819
129,0.507874,4073753,1853122,451295,0.6873,0.9003,0.7795
130,0.511811,4034795,1892080,425814,0.6808,0.9045,0.7769
131,0.515748,3998864,1928011,406625,0.6747,0.9077,0.774
132,0.519685,3965502,1961373,390469,0.6691,0.9104,0.7713
133,0.523622,3934054,1992821,375904,0.6638,0.9128,0.7686
134,0.527559,3903892,2022983,362690,0.6587,0.915,0.766
135,0.531496,3875551,2051324,350738,0.6539,0.917,0.7634
136,0.535433,3847940,2078935,339579,0.6492,0.9189,0.7609
137,0.53937,3821971,2104904,329312,0.6449,0.9207,0.7585
138,0.543307,3796417,2130458,319458,0.6405,0.9224,0.7561
139,0.547244,3771397,2155478,310112,0.6363,0.924,0.7536
140,0.551181,3747062,2179813,301230,0.6322,0.9256,0.7513
141,0.555118,3723310,2203565,292601,0.6282,0.9271,0.7489
142,0.559055,3700056,2226819,284313,0.6243,0.9286,0.7466
143,0.562992,3676926,2249949,276079,0.6204,0.9302,0.7443
144,0.566929,3653883,2272992,268023,0.6165,0.9317,0.742
145,0.570866,3631125,2295750,260166,0.6127,0.9331,0.7397
146,0.574803,3608626,2318249,252367,0.6089,0.9346,0.7374
147,0.57874,3585919,2340956,244889,0.605,0.9361,0.735
148,0.582677,3563389,2363486,237695,0.6012,0.9375,0.7326
149,0.586614,3540523,2386352,230411,0.5974,0.9389,0.7302
150,0.590551,3518252,2408623,223320,0.5936,0.9403,0.7278
151,0.594488,3495489,2431386,216307,0.5898,0.9417,0.7253
152,0.598425,3472867,2454008,209556,0.586,0.9431,0.7228
153,0.602362,3450502,2476373,203053,0.5822,0.9444,0.7203
154,0.606299,3427816,2499059,196746,0.5784,0.9457,0.7178
155,0.610236,3404764,2522111,190383,0.5745,0.947,0.7151
156,0.614173,3381761,2545114,184071,0.5706,0.9484,0.7125
157,0.61811,3358722,2568153,178002,0.5667,0.9497,0.7098
158,0.622047,3335302,2591573,172081,0.5627,0.9509,0.7071
159,0.625984,3311575,2615300,166171,0.5587,0.9522,0.7042
160,0.629921,3287342,2639533,160270,0.5547,0.9535,0.7013
161,0.633858,3263074,2663801,154575,0.5506,0.9548,0.6984
162,0.637795,3237721,2689154,148753,0.5463,0.9561,0.6953
163,0.641732,3211875,2715000,142966,0.5419,0.9574,0.6921
164,0.645669,3185410,2741465,137259,0.5375,0.9587,0.6888
165,0.649606,3158234,2768641,131502,0.5329,0.96,0.6853
166,0.653543,3130588,2796287,125686,0.5282,0.9614,0.6818
167,0.65748,3101486,2825389,119719,0.5233,0.9628,0.6781
168,0.661417,3071416,2855459,113768,0.5182,0.9643,0.6741
169,0.665354,3040694,2886181,107697,0.513,0.9658,0.6701
170,0.669291,3008933,2917942,101570,0.5077,0.9673,0.6659
171,0.673228,2975403,2951472,95341,0.502,0.969,0.6614
172,0.677165,2942081,2984794,89602,0.4964,0.9704,0.6568
173,0.681102,2905870,3021005,83504,0.4903,0.9721,0.6518
174,0.685039,2868193,3058682,77379,0.4839,0.9737,0.6465
175,0.688976,2828200,3098675,71156,0.4772,0.9755,0.6409
176,0.692913,2787665,3139210,65188,0.4703,0.9771,0.635
177,0.69685,2744591,3182284,59424,0.4631,0.9788,0.6287
178,0.700787,2699745,3227130,54181,0.4555,0.9803,0.622
179,0.704724,2652284,3274591,49205,0.4475,0.9818,0.6148
180,0.708661,2603984,3322891,44438,0.4394,0.9832,0.6073
181,0.712598,2551442,3375433,39716,0.4305,0.9847,0.5991
182,0.716535,2498236,3428639,35612,0.4215,0.9859,0.5905
183,0.720472,2441860,3485015,31861,0.412,0.9871,0.5814
184,0.724409,2383722,3543153,28623,0.4022,0.9881,0.5717
185,0.728346,2323141,3603734,25631,0.392,0.9891,0.5614
186,0.732283,2259318,3667557,22815,0.3812,0.99,0.5504
187,0.73622,2193920,3732955,20139,0.3702,0.9909,0.539
188,0.740157,2124736,3802139,17641,0.3585,0.9918,0.5266
189,0.744094,2052894,3873981,15491,0.3464,0.9925,0.5135
190,0.748031,1979337,3947538,13475,0.334,0.9932,0.4999
191,0.751968,1904309,4022566,11704,0.3213,0.9939,0.4856
192,0.755905,1823890,4102985,10165,0.3077,0.9945,0.47
193,0.759842,1742760,4184115,8955,0.294,0.9949,0.4539
194,0.763779,1659899,4266976,7817,0.2801,0.9953,0.4371
195,0.767716,1575698,4351177,6776,0.2659,0.9957,0.4197
196,0.771653,1487818,4439057,5870,0.251,0.9961,0.401
197,0.77559,1400521,4526354,5027,0.2363,0.9964,0.382
198,0.779527,1315238,4611637,4311,0.2219,0.9967,0.363
199,0.783464,1231531,4695344,3725,0.2078,0.997,0.3439
200,0.787401,1147140,4779735,3185,0.1935,0.9972,0.3242
201,0.791338,1066284,4860591,2718,0.1799,0.9975,0.3048
202,0.795275,985390,4941485,2238,0.1663,0.9977,0.285
203,0.799212,907180,5019695,1819,0.1531,0.998,0.2654
204,0.803149,831565,5095310,1436,0.1403,0.9983,0.246
205,0.807086,758669,5168206,1160,0.128,0.9985,0.2269
206,0.811023,687242,5239633,987,0.116,0.9986,0.2078
207,0.81496,620439,5306436,816,0.1047,0.9987,0.1895
208,0.818897,556169,5370706,680,0.0938,0.9988,0.1716
209,0.822834,497476,5429399,565,0.0839,0.9989,0.1549
210,0.826771,441700,5485175,487,0.0745,0.9989,0.1387
211,0.830708,389729,5537146,403,0.0658,0.999,0.1234
212,0.834645,340943,5585932,333,0.0575,0.999,0.1088
213,0.838582,295009,5631866,278,0.0498,0.9991,0.0948
214,0.842519,251224,5675651,240,0.0424,0.999,0.0813
215,0.846456,212250,5714625,191,0.0358,0.9991,0.0691
216,0.850393,176516,5750359,142,0.0298,0.9992,0.0578
217,0.85433,145114,5781761,86,0.0245,0.9994,0.0478
218,0.858267,118832,5808043,64,0.02,0.9995,0.0393
219,0.862204,96027,5830848,51,0.0162,0.9995,0.0319
220,0.866141,76425,5850450,35,0.0129,0.9995,0.0255
221,0.870078,59536,5867339,30,0.01,0.9995,0.0199
222,0.874015,44801,5882074,23,0.0076,0.9995,0.015
223,0.877952,32785,5894090,12,0.0055,0.9996,0.011
224,0.881889,23081,5903794,8,0.0039,0.9997,0.0078
225,0.885826,15622,5911253,4,0.0026,0.9997,0.0053
226,0.889763,10368,5916507,4,0.0017,0.9996,0.0035
227,0.8937,6481,5920394,1,0.0011,0.9998,0.0022
228,0.897637,3660,5923215,0,0.0006,1.0,0.0012
229,0.901574,1849,5925026,0,0.0003,1.0,0.0006
230,0.905511,906,5925969,0,0.0002,1.0,0.0003
231,0.909448,413,5926462,0,0.0001,1.0,0.0001
232,0.913385,168,5926707,0,0.0,1.0,0.0001
233,0.917322,10,5926865,0,0.0,1.0,0.0
234,0.921259,0,5926875,0,0.0,nan,
235,0.925196,0,5926875,0,0.0,nan,
236,0.929133,0,5926875,0,0.0,nan,
237,0.93307,0,5926875,0,0.0,nan,
238,0.937007,0,5926875,0,0.0,nan,
239,0.940944,0,5926875,0,0.0,nan,
240,0.944881,0,5926875,0,0.0,nan,
241,0.948818,0,5926875,0,0.0,nan,
242,0.952755,0,5926875,0,0.0,nan,
243,0.956692,0,5926875,0,0.0,nan,
244,0.960629,0,5926875,0,0.0,nan,
245,0.964566,0,5926875,0,0.0,nan,
246,0.968503,0,5926875,0,0.0,nan,
247,0.97244,0,5926875,0,0.0,nan,
248,0.976377,0,5926875,0,0.0,nan,
249,0.980314,0,5926875,0,0.0,nan,
250,0.984251,0,5926875,0,0.0,nan,
251,0.988188,0,5926875,0,0.0,nan,
252,0.992125,0,5926875,0,0.0,nan,
253,0.996062,0,5926875,0,0.0,nan,
254,1.0,0,5926875,0,0.0,nan,
