k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,139081509,0,202600591,1.0,0.407,0.5786
2,0.007874,139081509,0,202600591,1.0,0.407,0.5786
3,0.011811,139081509,0,202600591,1.0,0.407,0.5786
4,0.015748,139081509,0,202600591,1.0,0.407,0.5786
5,0.019685,139081509,0,202600591,1.0,0.407,0.5786
6,0.023622,139081509,0,202600591,1.0,0.407,0.5786
7,0.027559,139081509,0,202600591,1.0,0.407,0.5786
8,0.031496,139081509,0,202600591,1.0,0.407,0.5786
9,0.035433,139081509,0,202600591,1.0,0.407,0.5786
10,0.03937,139081509,0,202600591,1.0,0.407,0.5786
11,0.043307,139081509,0,202600591,1.0,0.407,0.5786
12,0.047244,139081509,0,202600591,1.0,0.407,0.5786
13,0.051181,139081509,0,202600591,1.0,0.407,0.5786
14,0.055118,139081509,0,202600591,1.0,0.407,0.5786
15,0.059055,139076838,4671,202591317,1.0,0.4071,0.5786
16,0.062992,130686059,8395450,184743144,0.9396,0.4143,0.5751
17,0.066929,99156374,39925135,49822610,0.7129,0.6656,0.6884
18,0.070866,85283317,53798192,19870937,0.6132,0.811,0.6984
19,0.074803,81934482,57147027,17677238,0.5891,0.8225,0.6865
20,0.07874,80639781,58441728,16933160,0.5798,0.8265,0.6815
21,0.082677,79971222,59110287,16560449,0.575,0.8284,0.6788
22,0.086614,79558648,59522861,16344884,0.572,0.8296,0.6771
23,0.090551,79274381,59807128,16201074,0.57,0.8303,0.6759
24,0.094488,79048834,60032675,16088430,0.5684,0.8309,0.675
25,0.098425,78854770,60226739,15991319,0.567,0.8314,0.6742
26,0.102362,78687398,60394111,15908898,0.5658,0.8318,0.6735
27,0.106299,78542971,60538538,15838223,0.5647,0.8322,0.6729
28,0.110236,78415537,60665972,15775309,0.5638,0.8325,0.6723
29,0.114173,78302149,60779360,15719484,0.563,0.8328,0.6718
30,0.11811,78195521,60885988,15667021,0.5622,0.8331,0.6714
31,0.122047,78098160,60983349,15619628,0.5615,0.8333,0.6709
32,0.125984,78006291,61075218,15575216,0.5609,0.8336,0.6706
33,0.129921,77923556,61157953,15534967,0.5603,0.8338,0.6702
34,0.133858,77843808,61237701,15495884,0.5597,0.834,0.6699
35,0.137795,77768709,61312800,15459505,0.5592,0.8342,0.6695
36,0.141732,77698543,61382966,15425422,0.5587,0.8344,0.6692
37,0.145669,77632523,61448986,15392970,0.5582,0.8345,0.6689
38,0.149606,77569537,61511972,15362455,0.5577,0.8347,0.6687
39,0.153543,77508112,61573397,15333027,0.5573,0.8348,0.6684
40,0.15748,77449936,61631573,15304963,0.5569,0.835,0.6681
41,0.161417,77394800,61686709,15278490,0.5565,0.8351,0.6679
42,0.165354,77340890,61740619,15252105,0.5561,0.8353,0.6677
43,0.169291,77289485,61792024,15227470,0.5557,0.8354,0.6674
44,0.173228,77238849,61842660,15203167,0.5553,0.8355,0.6672
45,0.177165,77190831,61890678,15180196,0.555,0.8357,0.667
46,0.181102,77143019,61938490,15157695,0.5547,0.8358,0.6668
47,0.185039,77097633,61983876,15135978,0.5543,0.8359,0.6666
48,0.188976,77052804,62028705,15114515,0.554,0.836,0.6664
49,0.192913,77010184,62071325,15094184,0.5537,0.8361,0.6662
50,0.19685,76967870,62113639,15074095,0.5534,0.8362,0.666
51,0.200787,76927708,62153801,15055044,0.5531,0.8363,0.6659
52,0.204724,76887906,62193603,15035889,0.5528,0.8364,0.6657
53,0.208661,76848189,62233320,15017235,0.5525,0.8365,0.6655
54,0.212598,76808413,62273096,14998425,0.5523,0.8366,0.6653
55,0.216535,76770562,62310947,14980715,0.552,0.8367,0.6652
56,0.220472,76732745,62348764,14962943,0.5517,0.8368,0.665
57,0.224409,76696696,62384813,14945836,0.5515,0.8369,0.6648
58,0.228346,76661107,62420402,14929045,0.5512,0.837,0.6647
59,0.232283,76625405,62456104,14912357,0.5509,0.8371,0.6645
60,0.23622,76589884,62491625,14895536,0.5507,0.8372,0.6644
61,0.240157,76555844,62525665,14879583,0.5504,0.8373,0.6642
62,0.244094,76521419,62560090,14863798,0.5502,0.8374,0.6641
63,0.248031,76487298,62594211,14847987,0.5499,0.8374,0.6639
64,0.251968,76452983,62628526,14832196,0.5497,0.8375,0.6638
65,0.255905,76420578,62660931,14817129,0.5495,0.8376,0.6636
66,0.259842,76388116,62693393,14801988,0.5492,0.8377,0.6635
67,0.263779,76355380,62726129,14786902,0.549,0.8378,0.6633
68,0.267716,76322636,62758873,14771535,0.5488,0.8378,0.6632
69,0.271653,76290210,62791299,14756806,0.5485,0.8379,0.663
70,0.27559,76258158,62823351,14741876,0.5483,0.838,0.6629
71,0.279527,76226553,62854956,14727230,0.5481,0.8381,0.6627
72,0.283464,76194572,62886937,14712526,0.5478,0.8382,0.6626
73,0.287401,76162983,62918526,14698137,0.5476,0.8382,0.6625
74,0.291338,76132057,62949452,14683882,0.5474,0.8383,0.6623
75,0.295275,76099948,62981561,14669292,0.5472,0.8384,0.6622
76,0.299212,76069237,63012272,14655270,0.5469,0.8385,0.662
77,0.303149,76037532,63043977,14640791,0.5467,0.8385,0.6619
78,0.307086,76006484,63075025,14626560,0.5465,0.8386,0.6617
79,0.311023,75975128,63106381,14612285,0.5463,0.8387,0.6616
80,0.31496,75944517,63136992,14598270,0.546,0.8388,0.6615
81,0.318897,75913085,63168424,14583960,0.5458,0.8388,0.6613
82,0.322834,75882295,63199214,14569698,0.5456,0.8389,0.6612
83,0.326771,75851094,63230415,14555528,0.5454,0.839,0.661
84,0.330708,75820884,63260625,14541848,0.5452,0.8391,0.6609
85,0.334645,75789900,63291609,14527534,0.5449,0.8392,0.6608
86,0.338582,75759587,63321922,14513688,0.5447,0.8392,0.6606
87,0.342519,75728545,63352964,14499851,0.5445,0.8393,0.6605
88,0.346456,75696978,63384531,14485942,0.5443,0.8394,0.6603
89,0.350393,75665811,63415698,14471762,0.544,0.8394,0.6602
90,0.35433,75634755,63446754,14457709,0.5438,0.8395,0.6601
91,0.358267,75603644,63477865,14443695,0.5436,0.8396,0.6599
92,0.362204,75572199,63509310,14429534,0.5434,0.8397,0.6598
93,0.366141,75540775,63540734,14415247,0.5431,0.8398,0.6596
94,0.370078,75508525,63572984,14400691,0.5429,0.8398,0.6595
95,0.374015,75477012,63604497,14386559,0.5427,0.8399,0.6593
96,0.377952,75443858,63637651,14371626,0.5424,0.84,0.6592
97,0.381889,75411523,63669986,14357143,0.5422,0.8401,0.659
98,0.385826,75378109,63703400,14342282,0.542,0.8401,0.6589
99,0.389763,75344211,63737298,14327122,0.5417,0.8402,0.6587
100,0.3937,75309770,63771739,14311968,0.5415,0.8403,0.6586
101,0.397637,75274657,63806852,14296342,0.5412,0.8404,0.6584
102,0.401574,75239319,63842190,14280508,0.541,0.8405,0.6583
103,0.405511,75203265,63878244,14264541,0.5407,0.8406,0.6581
104,0.409448,75166706,63914803,14248321,0.5405,0.8406,0.6579
105,0.413385,75129067,63952442,14231730,0.5402,0.8407,0.6578
106,0.417322,75091356,63990153,14215000,0.5399,0.8408,0.6576
107,0.421259,75051777,64029732,14197496,0.5396,0.8409,0.6574
108,0.425196,75011217,64070292,14179728,0.5393,0.841,0.6572
109,0.429133,74969509,64112000,14161435,0.539,0.8411,0.657
110,0.43307,74926817,64154692,14142556,0.5387,0.8412,0.6568
111,0.437007,74882008,64199501,14122663,0.5384,0.8413,0.6566
112,0.440944,74835701,64245808,14102156,0.5381,0.8414,0.6564
113,0.444881,74787766,64293743,14081163,0.5377,0.8416,0.6562
114,0.448818,74738715,64342794,14059472,0.5374,0.8417,0.6559
115,0.452755,74686335,64395174,14036854,0.537,0.8418,0.6557
116,0.456692,74632375,64449134,14013295,0.5366,0.8419,0.6555
117,0.460629,74575687,64505822,13988795,0.5362,0.842,0.6552
118,0.464566,74515997,64565512,13962919,0.5358,0.8422,0.6549
119,0.468503,74453030,64628479,13935803,0.5353,0.8423,0.6546
120,0.47244,74385725,64695784,13906587,0.5348,0.8425,0.6543
121,0.476377,74312198,64769311,13874799,0.5343,0.8427,0.654
122,0.480314,74229701,64851808,13838799,0.5337,0.8429,0.6536
123,0.484251,74134725,64946784,13797302,0.533,0.8431,0.6531
124,0.488188,74020472,65061037,13747693,0.5322,0.8434,0.6526
125,0.492125,73877119,65204390,13684626,0.5312,0.8437,0.6519
126,0.496062,73663555,65417954,13588548,0.5296,0.8443,0.6509
127,0.5,73092359,65989150,13312030,0.5255,0.8459,0.6483
128,0.503937,72531798,66549711,13073508,0.5215,0.8473,0.6456
129,0.507874,72067767,67013742,12880133,0.5182,0.8484,0.6434
130,0.511811,71654909,67426600,12708115,0.5152,0.8494,0.6414
131,0.515748,71263618,67817891,12546154,0.5124,0.8503,0.6394
132,0.519685,70876321,68205188,12388021,0.5096,0.8512,0.6375
133,0.523622,70484067,68597442,12230216,0.5068,0.8521,0.6356
134,0.527559,70080046,69001463,12069516,0.5039,0.8531,0.6335
135,0.531496,69664560,69416949,11908697,0.5009,0.854,0.6314
136,0.535433,69249176,69832333,11750545,0.4979,0.8549,0.6293
137,0.53937,68847875,70233634,11599509,0.495,0.8558,0.6272
138,0.543307,68445407,70636102,11449559,0.4921,0.8567,0.6251
139,0.547244,68037048,71044461,11299819,0.4892,0.8576,0.623
140,0.551181,67616736,71464773,11145558,0.4862,0.8585,0.6208
141,0.555118,67174231,71907278,10985766,0.483,0.8594,0.6184
142,0.559055,66710416,72371093,10820267,0.4796,0.8604,0.6159
143,0.562992,66214696,72866813,10646513,0.4761,0.8615,0.6133
