k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,3761880,0,5479590,1.0,0.4071,0.5786
2,0.007874,3761880,0,5479590,1.0,0.4071,0.5786
3,0.011811,3761880,0,5479590,1.0,0.4071,0.5786
4,0.015748,3761880,0,5479590,1.0,0.4071,0.5786
5,0.019685,3761880,0,5479590,1.0,0.4071,0.5786
6,0.023622,3761880,0,5479590,1.0,0.4071,0.5786
7,0.027559,3761880,0,5479590,1.0,0.4071,0.5786
8,0.031496,3761880,0,5479590,1.0,0.4071,0.5786
9,0.035433,3761880,0,5479590,1.0,0.4071,0.5786
10,0.03937,3761880,0,5479590,1.0,0.4071,0.5786
11,0.043307,3761880,0,5479590,1.0,0.4071,0.5786
12,0.047244,3761880,0,5479590,1.0,0.4071,0.5786
13,0.051181,3761880,0,5479590,1.0,0.4071,0.5786
14,0.055118,3761880,0,5479590,1.0,0.4071,0.5786
15,0.059055,3761880,0,5479590,1.0,0.4071,0.5786
16,0.062992,3761880,0,5479590,1.0,0.4071,0.5786
17,0.066929,3761880,0,5479590,1.0,0.4071,0.5786
18,0.070866,3761880,0,5479590,1.0,0.4071,0.5786
19,0.074803,3761880,0,5479590,1.0,0.4071,0.5786
20,0.07874,3761880,0,5479590,1.0,0.4071,0.5786
21,0.082677,3761880,0,5479590,1.0,0.4071,0.5786
22,0.086614,3761880,0,5479590,1.0,0.4071,0.5786
23,0.090551,3761880,0,5479590,1.0,0.4071,0.5786
24,0.094488,3761880,0,5479590,1.0,0.4071,0.5786
25,0.098425,3761880,0,5479590,1.0,0.4071,0.5786
26,0.102362,3761880,0,5479590,1.0,0.4071,0.5786
27,0.106299,3761880,0,5479590,1.0,0.4071,0.5786
28,0.110236,3761880,0,5479590,1.0,0.4071,0.5786
29,0.114173,3761880,0,5479590,1.0,0.4071,0.5786
30,0.11811,3761880,0,5479590,1.0,0.4071,0.5786
31,0.122047,3761880,0,5479590,1.0,0.4071,0.5786
32,0.125984,3761880,0,5479412,1.0,0.4071,0.5786
33,0.129921,3761880,0,5477958,1.0,0.4071,0.5787
34,0.133858,3761870,10,5473392,1.0,0.4073,0.5789
35,0.137795,3761757,123,5458394,1.0,0.408,0.5795
36,0.141732,3761392,488,5417938,0.9999,0.4098,0.5813
37,0.145669,3760256,1624,5318439,0.9996,0.4142,0.5857
38,0.149606,3756610,5270,5128082,0.9986,0.4228,0.5941
39,0.153543,3749597,12283,4819079,0.9967,0.4376,0.6082
40,0.15748,3736882,24998,4440494,0.9934,0.457,0.626
41,0.161417,3714696,47184,4022576,0.9875,0.4801,0.6461
42,0.165354,3681885,79995,3573256,0.9787,0.5075,0.6684
43,0.169291,3635309,126571,3132339,0.9664,0.5372,0.6905
44,0.173228,3575130,186750,2711939,0.9504,0.5686,0.7115
45,0.177165,3502998,258882,2349946,0.9312,0.5985,0.7287
46,0.181102,3420401,341479,2040409,0.9092,0.6264,0.7417
47,0.185039,3332721,429159,1785100,0.8859,0.6512,0.7506
48,0.188976,3242778,519102,1573359,0.862,0.6733,0.7561
49,0.192913,3158455,603425,1403181,0.8396,0.6924,0.7589
50,0.19685,3077176,684704,1257011,0.818,0.71,0.7602
51,0.200787,3003987,757893,1135722,0.7985,0.7257,0.7604
52,0.204724,2936185,825695,1033791,0.7805,0.7396,0.7595
53,0.208661,2873063,888817,948025,0.7637,0.7519,0.7578
54,0.212598,2816455,945425,877193,0.7487,0.7625,0.7555
55,0.216535,2768766,993114,823218,0.736,0.7708,0.753
56,0.220472,2727495,1034385,779421,0.725,0.7777,0.7505
57,0.224409,2694229,1067651,745980,0.7162,0.7832,0.7482
58,0.228346,2666464,1095416,719998,0.7088,0.7874,0.746
59,0.232283,2643824,1118056,699882,0.7028,0.7907,0.7442
60,0.23622,2624671,1137209,683762,0.6977,0.7933,0.7424
61,0.240157,2608598,1153282,670960,0.6934,0.7954,0.7409
62,0.244094,2594051,1167829,659638,0.6896,0.7973,0.7395
63,0.248031,2580893,1180987,649362,0.6861,0.799,0.7382
64,0.251968,2568711,1193169,640164,0.6828,0.8005,0.737
65,0.255905,2557796,1204084,632206,0.6799,0.8018,0.7359
66,0.259842,2547564,1214316,624591,0.6772,0.8031,0.7348
67,0.263779,2537853,1224027,617590,0.6746,0.8043,0.7338
68,0.267716,2528550,1233330,611042,0.6722,0.8054,0.7328
69,0.271653,2520035,1241845,604986,0.6699,0.8064,0.7318
70,0.27559,2511537,1250343,599101,0.6676,0.8074,0.7309
71,0.279527,2503532,1258348,593624,0.6655,0.8083,0.73
72,0.283464,2495832,1266048,588362,0.6635,0.8092,0.7291
73,0.287401,2488240,1273640,583433,0.6614,0.8101,0.7282
74,0.291338,2481348,1280532,578734,0.6596,0.8109,0.7275
75,0.295275,2474310,1287570,573954,0.6577,0.8117,0.7267
76,0.299212,2467529,1294351,569543,0.6559,0.8125,0.7259
77,0.303149,2460756,1301124,565119,0.6541,0.8132,0.7251
78,0.307086,2454411,1307469,561019,0.6524,0.814,0.7243
79,0.311023,2448199,1313681,557153,0.6508,0.8146,0.7235
80,0.31496,2442361,1319519,553545,0.6492,0.8152,0.7228
81,0.318897,2436450,1325430,549741,0.6477,0.8159,0.7221
82,0.322834,2430475,1331405,545964,0.6461,0.8166,0.7214
83,0.326771,2425034,1336846,542507,0.6446,0.8172,0.7207
84,0.330708,2419671,1342209,539075,0.6432,0.8178,0.7201
85,0.334645,2414060,1347820,535451,0.6417,0.8185,0.7194
86,0.338582,2408639,1353241,532199,0.6403,0.819,0.7187
87,0.342519,2403233,1358647,528896,0.6388,0.8196,0.718
88,0.346456,2397868,1364012,525748,0.6374,0.8202,0.7173
89,0.350393,2392690,1369190,522523,0.636,0.8208,0.7167
90,0.35433,2387522,1374358,519594,0.6347,0.8213,0.716
91,0.358267,2382062,1379818,516550,0.6332,0.8218,0.7153
92,0.362204,2377038,1384842,513599,0.6319,0.8223,0.7146
93,0.366141,2371683,1390197,510536,0.6305,0.8229,0.7139
94,0.370078,2366590,1395290,507604,0.6291,0.8234,0.7133
95,0.374015,2361513,1400367,504714,0.6277,0.8239,0.7126
96,0.377952,2356245,1405635,501657,0.6263,0.8245,0.7119
97,0.381889,2351268,1410612,498778,0.625,0.825,0.7112
98,0.385826,2346203,1415677,495890,0.6237,0.8255,0.7105
99,0.389763,2340951,1420929,493036,0.6223,0.826,0.7098
100,0.3937,2335785,1426095,490228,0.6209,0.8265,0.7091
101,0.397637,2330581,1431299,487337,0.6195,0.8271,0.7084
102,0.401574,2325371,1436509,484532,0.6181,0.8276,0.7077
103,0.405511,2320213,1441667,481752,0.6168,0.8281,0.707
104,0.409448,2315010,1446870,478944,0.6154,0.8286,0.7062
105,0.413385,2309711,1452169,476193,0.614,0.8291,0.7055
106,0.417322,2304611,1457269,473433,0.6126,0.8296,0.7048
107,0.421259,2299300,1462580,470629,0.6112,0.8301,0.704
108,0.425196,2293985,1467895,467836,0.6098,0.8306,0.7033
109,0.429133,2288526,1473354,465064,0.6083,0.8311,0.7025
110,0.43307,2283171,1478709,462273,0.6069,0.8316,0.7017
111,0.437007,2277644,1484236,459513,0.6055,0.8321,0.7009
112,0.440944,2271986,1489894,456633,0.6039,0.8327,0.7001
113,0.444881,2266139,1495741,453795,0.6024,0.8332,0.6992
114,0.448818,2260085,1501795,450928,0.6008,0.8337,0.6983
115,0.452755,2253915,1507965,448005,0.5991,0.8342,0.6974
116,0.456692,2247748,1514132,445016,0.5975,0.8347,0.6965
117,0.460629,2241359,1520521,441914,0.5958,0.8353,0.6955
118,0.464566,2234661,1527219,438772,0.594,0.8359,0.6945
119,0.468503,2227670,1534210,435447,0.5922,0.8365,0.6934
120,0.47244,2220404,1541476,431962,0.5902,0.8371,0.6923
121,0.476377,2212507,1549373,428309,0.5881,0.8378,0.6911
122,0.480314,2203960,1557920,424297,0.5859,0.8386,0.6898
123,0.484251,2194814,1567066,420145,0.5834,0.8393,0.6884
124,0.488188,2184630,1577250,415662,0.5807,0.8401,0.6868
125,0.492125,2172974,1588906,410643,0.5776,0.8411,0.6849
