k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,238463729,0,493343217,1.0,0.3259,0.4915
2,0.007874,238299311,164418,491123168,0.9993,0.3267,0.4924
3,0.011811,222742128,15721601,332420838,0.9341,0.4012,0.5613
4,0.015748,191685909,46777820,98650768,0.8038,0.6602,0.725
5,0.019685,171680223,66783506,59555249,0.7199,0.7424,0.731
6,0.023622,161643039,76820690,48036903,0.6779,0.7709,0.7214
7,0.027559,155979347,82484382,43162029,0.6541,0.7833,0.7129
8,0.031496,152510589,85953140,40635892,0.6396,0.7896,0.7067
9,0.035433,150194777,88268952,39094900,0.6298,0.7935,0.7022
10,0.03937,148538554,89925175,38044240,0.6229,0.7961,0.6989
11,0.043307,147250325,91213404,37250389,0.6175,0.7981,0.6963
12,0.047244,146180819,92282910,36602695,0.613,0.7997,0.694
13,0.051181,145297901,93165828,36076278,0.6093,0.8011,0.6922
14,0.055118,144514205,93949524,35614319,0.606,0.8023,0.6905
15,0.059055,143833274,94630455,35217996,0.6032,0.8033,0.689
16,0.062992,143238354,95225375,34876343,0.6007,0.8042,0.6877
17,0.066929,142702390,95761339,34572233,0.5984,0.805,0.6865
18,0.070866,142217656,96246073,34301186,0.5964,0.8057,0.6854
19,0.074803,141767603,96696126,34050845,0.5945,0.8063,0.6844
20,0.07874,141361867,97101862,33826864,0.5928,0.8069,0.6835
21,0.082677,140985168,97478561,33620920,0.5912,0.8074,0.6826
22,0.086614,140633204,97830525,33429276,0.5897,0.8079,0.6818
23,0.090551,140316825,98146904,33257340,0.5884,0.8084,0.6811
24,0.094488,140021628,98442101,33097474,0.5872,0.8088,0.6804
25,0.098425,139733612,98730117,32942248,0.586,0.8092,0.6797
26,0.102362,139463300,99000429,32797796,0.5848,0.8096,0.6791
27,0.106299,139209390,99254339,32662686,0.5838,0.81,0.6785
28,0.110236,138971589,99492140,32536177,0.5828,0.8103,0.678
29,0.114173,138747869,99715860,32416872,0.5818,0.8106,0.6774
30,0.11811,138527391,99936338,32299418,0.5809,0.8109,0.6769
31,0.122047,138318812,100144917,32188808,0.58,0.8112,0.6764
32,0.125984,138114038,100349691,32081146,0.5792,0.8115,0.6759
33,0.129921,137922293,100541436,31979815,0.5784,0.8118,0.6755
34,0.133858,137731401,100732328,31879238,0.5776,0.812,0.675
