k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,6452026,4548,12712995,0.9993,0.3367,0.5036
2,0.007874,6428770,27804,11043571,0.9957,0.3679,0.5373
3,0.011811,6395798,60776,9661516,0.9906,0.3983,0.5682
4,0.015748,6352743,103831,8527817,0.9839,0.4269,0.5955
5,0.019685,6302947,153627,7577528,0.9762,0.4541,0.6198
6,0.023622,6249805,206769,6829076,0.968,0.4779,0.6398
7,0.027559,6194348,262226,6233504,0.9594,0.4984,0.656
8,0.031496,6138238,318336,5762521,0.9507,0.5158,0.6688
9,0.035433,6084052,372522,5371186,0.9423,0.5311,0.6793
10,0.03937,6031344,425230,5044914,0.9341,0.5445,0.688
11,0.043307,5981299,475275,4765377,0.9264,0.5566,0.6954
12,0.047244,5932621,523953,4519142,0.9188,0.5676,0.7017
13,0.051181,5887370,569204,4309107,0.9118,0.5774,0.7071
14,0.055118,5842402,614172,4115618,0.9049,0.5867,0.7119
15,0.059055,5799716,656858,3939950,0.8983,0.5955,0.7162
16,0.062992,5758212,698362,3781290,0.8918,0.6036,0.72
17,0.066929,5717856,738718,3633999,0.8856,0.6114,0.7234
18,0.070866,5678557,778017,3498244,0.8795,0.6188,0.7265
19,0.074803,5639244,817330,3367595,0.8734,0.6261,0.7294
20,0.07874,5601995,854579,3247470,0.8676,0.633,0.732
21,0.082677,5564796,891778,3134611,0.8619,0.6397,0.7343
22,0.086614,5528757,927817,3030532,0.8563,0.6459,0.7364
23,0.090551,5495022,961552,2937344,0.8511,0.6517,0.7381
24,0.094488,5462349,994225,2851241,0.846,0.657,0.7396
25,0.098425,5429688,1026886,2768974,0.841,0.6623,0.741
26,0.102362,5398253,1058321,2693401,0.8361,0.6671,0.7421
27,0.106299,5368242,1088332,2624472,0.8314,0.6716,0.743
28,0.110236,5340115,1116459,2561852,0.8271,0.6758,0.7438
29,0.114173,5313303,1143271,2504757,0.8229,0.6796,0.7444
30,0.11811,5286818,1169756,2449880,0.8188,0.6833,0.745
31,0.122047,5261479,1195095,2399569,0.8149,0.6868,0.7454
32,0.125984,5236767,1219807,2351489,0.8111,0.6901,0.7457
33,0.129921,5213511,1243063,2307555,0.8075,0.6932,0.746
34,0.133858,5190226,1266348,2265486,0.8039,0.6961,0.7461
35,0.137795,5167652,1288922,2225453,0.8004,0.699,0.7462
36,0.141732,5145910,1310664,2187901,0.797,0.7017,0.7463
37,0.145669,5124703,1331871,2152548,0.7937,0.7042,0.7463
38,0.149606,5104242,1352332,2118929,0.7905,0.7066,0.7462
39,0.153543,5084380,1372194,2086452,0.7875,0.709,0.7462
40,0.15748,5064963,1391611,2056371,0.7845,0.7112,0.7461
41,0.161417,5046317,1410257,2027749,0.7816,0.7134,0.7459
42,0.165354,5027903,1428671,1999521,0.7787,0.7155,0.7458
43,0.169291,5010211,1446363,1972853,0.776,0.7175,0.7456
44,0.173228,4992630,1463944,1946907,0.7733,0.7194,0.7454
45,0.177165,4975716,1480858,1922216,0.7706,0.7213,0.7452
46,0.181102,4958749,1497825,1898368,0.768,0.7232,0.7449
47,0.185039,4942438,1514136,1875922,0.7655,0.7249,0.7446
48,0.188976,4926442,1530132,1853826,0.763,0.7266,0.7444
49,0.192913,4911040,1545534,1833000,0.7606,0.7282,0.7441
50,0.19685,4895668,1560906,1812534,0.7582,0.7298,0.7438
51,0.200787,4880966,1575608,1793246,0.756,0.7313,0.7434
52,0.204724,4866369,1590205,1774189,0.7537,0.7328,0.7431
53,0.208661,4851621,1604953,1755661,0.7514,0.7343,0.7428
54,0.212598,4837135,1619439,1737302,0.7492,0.7357,0.7424
55,0.216535,4823242,1633332,1719986,0.747,0.7371,0.742
56,0.220472,4809071,1647503,1702870,0.7448,0.7385,0.7417
57,0.224409,4795573,1661001,1686887,0.7427,0.7398,0.7413
58,0.228346,4782362,1674212,1671067,0.7407,0.7411,0.7409
59,0.232283,4769157,1687417,1655846,0.7387,0.7423,0.7405
60,0.23622,4755818,1700756,1640685,0.7366,0.7435,0.74
61,0.240157,4742999,1713575,1626402,0.7346,0.7447,0.7396
62,0.244094,4730140,1726434,1612369,0.7326,0.7458,0.7391
63,0.248031,4717674,1738900,1598585,0.7307,0.7469,0.7387
64,0.251968,4705063,1751511,1585008,0.7287,0.748,0.7382
65,0.255905,4693103,1763471,1571937,0.7269,0.7491,0.7378
66,0.259842,4681208,1775366,1559270,0.725,0.7501,0.7374
67,0.263779,4669131,1787443,1546607,0.7232,0.7512,0.7369
68,0.267716,4657041,1799533,1534139,0.7213,0.7522,0.7364
69,0.271653,4645735,1810839,1522330,0.7195,0.7532,0.736
70,0.27559,4634225,1822349,1510492,0.7178,0.7542,0.7355
71,0.279527,4623010,1833564,1499216,0.716,0.7551,0.735
72,0.283464,4611937,1844637,1487997,0.7143,0.7561,0.7346
73,0.287401,4600717,1855857,1476934,0.7126,0.757,0.7341
74,0.291338,4589908,1866666,1466161,0.7109,0.7579,0.7336
75,0.295275,4578983,1877591,1455463,0.7092,0.7588,0.7332
76,0.299212,4568433,1888141,1445148,0.7076,0.7597,0.7327
77,0.303149,4557999,1898575,1434484,0.7059,0.7606,0.7323
78,0.307086,4547417,1909157,1424096,0.7043,0.7615,0.7318
79,0.311023,4536885,1919689,1413977,0.7027,0.7624,0.7313
80,0.31496,4526786,1929788,1404462,0.7011,0.7632,0.7308
81,0.318897,4516228,1940346,1394513,0.6995,0.7641,0.7303
82,0.322834,4505928,1950646,1384887,0.6979,0.7649,0.7299
83,0.326771,4495826,1960748,1375358,0.6963,0.7657,0.7294
84,0.330708,4486017,1970557,1366176,0.6948,0.7666,0.7289
85,0.334645,4475746,1980828,1356787,0.6932,0.7674,0.7284
86,0.338582,4465998,1990576,1347790,0.6917,0.7682,0.7279
87,0.342519,4456046,2000528,1338846,0.6902,0.769,0.7274
88,0.346456,4446089,2010485,1329757,0.6886,0.7698,0.7269
89,0.350393,4436123,2020451,1320910,0.6871,0.7706,0.7264
90,0.35433,4426380,2030194,1312306,0.6856,0.7713,0.7259
91,0.358267,4416643,2039931,1303791,0.6841,0.7721,0.7254
92,0.362204,4406812,2049762,1295415,0.6825,0.7728,0.7249
93,0.366141,4397188,2059386,1286835,0.681,0.7736,0.7244
94,0.370078,4387560,2069014,1278553,0.6795,0.7744,0.7239
95,0.374015,4378083,2078491,1270353,0.6781,0.7751,0.7234
96,0.377952,4368259,2088315,1262022,0.6766,0.7759,0.7228
97,0.381889,4358571,2098003,1253887,0.6751,0.7766,0.7223
98,0.385826,4349044,2107530,1245722,0.6736,0.7773,0.7218
99,0.389763,4339480,2117094,1237750,0.6721,0.7781,0.7212
100,0.3937,4330103,2126471,1229789,0.6707,0.7788,0.7207
101,0.397637,4320626,2135948,1221826,0.6692,0.7796,0.7202
102,0.401574,4311268,2145306,1213963,0.6677,0.7803,0.7196
103,0.405511,4301895,2154679,1206125,0.6663,0.781,0.7191
104,0.409448,4292424,2164150,1198149,0.6648,0.7818,0.7186
105,0.413385,4282993,2173581,1190419,0.6634,0.7825,0.718
106,0.417322,4273530,2183044,1182755,0.6619,0.7832,0.7175
107,0.421259,4263921,2192653,1175007,0.6604,0.784,0.7169
108,0.425196,4254393,2202181,1167389,0.6589,0.7847,0.7163
109,0.429133,4244792,2211782,1159668,0.6574,0.7854,0.7158
110,0.43307,4235324,2221250,1152092,0.656,0.7862,0.7152
111,0.437007,4225566,2231008,1144446,0.6545,0.7869,0.7146
112,0.440944,4215956,2240618,1136830,0.653,0.7876,0.714
113,0.444881,4206279,2250295,1129120,0.6515,0.7884,0.7134
114,0.448818,4196709,2259865,1121517,0.65,0.7891,0.7128
115,0.452755,4186895,2269679,1113900,0.6485,0.7899,0.7122
116,0.456692,4177056,2279518,1106427,0.6469,0.7906,0.7116
117,0.460629,4167013,2289561,1098832,0.6454,0.7913,0.7109
118,0.464566,4156992,2299582,1091148,0.6438,0.7921,0.7103
119,0.468503,4147039,2309535,1083560,0.6423,0.7928,0.7097
120,0.47244,4136938,2319636,1075842,0.6407,0.7936,0.709
121,0.476377,4126722,2329852,1068311,0.6392,0.7944,0.7084
122,0.480314,4116359,2340215,1060531,0.6375,0.7951,0.7077
123,0.484251,4105959,2350615,1052883,0.6359,0.7959,0.707
124,0.488188,4095395,2361179,1045260,0.6343,0.7967,0.7063
125,0.492125,4084831,2371743,1037660,0.6327,0.7974,0.7056
126,0.496062,4074185,2382389,1030032,0.631,0.7982,0.7048
127,0.5,4063400,2393174,1022352,0.6293,0.799,0.7041
